Exit stations,Entry stations->,,SATURDAY,,,Mar 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
WC, 	14 , 	24 , 	20 , 	22 , 	88 , 	20 , 	49 , 	68 , 	74 , 	14 , 	28 , 	47 , 	12 , 	14 , 	15 , 	5 , 	9 , 	22 , 	231 , 	117 , 	20 , 	53 , 	29 , 	112 , 	13 , 	396 , 	314 , 	539 , 	320 , 	89 , 	54 , 	28 , 	20 , 	30 , 	14 , 	9 , 	8 , 	23 , 	144 , 	9 , 	12 , 	121 , 	24 , 	3 , 	27 , 	-   ," 	3,298 ",,,OAK," 	21,684 "," 	1,180 ",,,,,,
LF, 	7 , 	4 , 	12 , 	13 , 	46 , 	8 , 	26 , 	47 , 	36 , 	7 , 	22 , 	38 , 	7 , 	4 , 	5 , 	2 , 	5 , 	7 , 	79 , 	40 , 	56 , 	11 , 	15 , 	62 , 	5 , 	235 , 	170 , 	289 , 	235 , 	42 , 	25 , 	12 , 	10 , 	12 , 	3 , 	-   , 	2 , 	5 , 	25 , 	2 , 	2 , 	61 , 	7 , 	0 , 	19 , 	-   ," 	1,715 ",,,CM line," 	36,528 "," 	6,433 "," 	6,408 ",,,,,
OR, 	6 , 	6 , 	8 , 	4 , 	43 , 	8 , 	30 , 	33 , 	39 , 	6 , 	19 , 	18 , 	4 , 	5 , 	2 , 	1 , 	3 , 	6 , 	19 , 	17 , 	33 , 	12 , 	8 , 	54 , 	4 , 	204 , 	159 , 	250 , 	167 , 	47 , 	26 , 	10 , 	8 , 	11 , 	4 , 	3 , 	1 , 	2 , 	15 , 	2 , 	3 , 	45 , 	8 , 	-   , 	7 , 	-   ," 	1,355 ",,,RM line," 	18,885 "," 	6,112 "," 	5,188 "," 	4,771 ",,,,
RR, 	17 , 	21 , 	37 , 	25 , 	60 , 	14 , 	53 , 	102 , 	106 , 	27 , 	52 , 	46 , 	22 , 	13 , 	15 , 	5 , 	7 , 	24 , 	43 , 	65 , 	105 , 	70 , 	54 , 	26 , 	31 , 	458 , 	389 , 	635 , 	446 , 	227 , 	132 , 	44 , 	21 , 	24 , 	5 , 	5 , 	8 , 	11 , 	35 , 	6 , 	7 , 	114 , 	23 , 	5 , 	28 , 	-   ," 	3,658 ",,,WP line," 	17,884 "," 	2,919 "," 	3,115 "," 	1,939 "," 	3,316 ",,,
OW, 	22 , 	27 , 	16 , 	13 , 	110 , 	40 , 	66 , 	52 , 	76 , 	27 , 	89 , 	67 , 	27 , 	35 , 	32 , 	12 , 	11 , 	15 , 	11 , 	11 , 	10 , 	5 , 	6 , 	25 , 	19 , 	660 , 	562 ," 	1,061 ", 	525 , 	305 , 	184 , 	38 , 	51 , 	30 , 	12 , 	10 , 	17 , 	2 , 	22 , 	6 , 	21 , 	51 , 	18 , 	9 , 	7 , 	-   ," 	4,406 ",,,FT/ED line," 	23,473 "," 	6,524 "," 	4,822 "," 	5,414 "," 	2,231 "," 	8,483 ",,
EM, 	168 , 	429 , 	225 , 	402 , 	984 , 	381 , 	523 , 	562 , 	568 , 	440 , 	493 , 	332 , 	282 , 	244 , 	182 , 	104 , 	206 , 	436 , 	257 , 	369 , 	465 , 	284 , 	244 , 	552 , 	790 , 	71 , 	57 , 	410 , 	255 , 	583 , 	734 , 	397 , 	581 , 	415 , 	134 , 	181 , 	638 , 	111 , 	246 , 	125 , 	160 , 	444 , 	368 , 	218 , 	74 , 	-   ," 	16,119 ",,,SFIA," 	12,619 "," 	1,052 "," 	4,814 "," 	1,885 "," 	1,570 "," 	1,070 ", 	963 ," 	214,253 "
MT, 	194 , 	394 , 	236 , 	325 , 	643 , 	277 , 	443 , 	457 , 	449 , 	407 , 	482 , 	220 , 	243 , 	259 , 	142 , 	100 , 	210 , 	392 , 	218 , 	305 , 	382 , 	190 , 	179 , 	428 , 	674 , 	52 , 	60 , 	86 , 	158 , 	585 , 	687 , 	576 ," 	1,288 ", 	664 , 	196 , 	177 , 	404 , 	105 , 	218 , 	200 , 	187 , 	307 , 	468 , 	173 , 	43 , 	-   ," 	14,878 ",,,,,,,,,,,
PL, 	327 , 	732 , 	363 , 	404 ," 	1,122 ", 	384 , 	664 , 	648 , 	691 , 	572 , 	749 , 	470 , 	417 , 	432 , 	259 , 	171 , 	273 , 	572 , 	328 , 	380 , 	517 , 	291 , 	242 , 	623 ," 	1,082 ", 	446 , 	133 , 	136 , 	304 ," 	1,666 "," 	1,842 "," 	1,122 "," 	2,000 "," 	1,434 ", 	450 , 	258 , 	767 , 	138 , 	383 , 	322 , 	387 ," 	1,407 ", 	834 , 	274 , 	105 , 	-   ," 	27,116 ",,,,,,,,,,,
CC, 	121 , 	261 , 	212 , 	304 , 	576 , 	293 , 	499 , 	474 , 	361 , 	292 , 	456 , 	211 , 	151 , 	145 , 	87 , 	73 , 	93 , 	216 , 	167 , 	211 , 	318 , 	234 , 	179 , 	418 , 	545 , 	238 , 	185 , 	310 , 	74 , 	597 , 	788 , 	415 , 	631 , 	525 , 	208 , 	125 , 	308 , 	59 , 	142 , 	160 , 	254 , 	458 , 	640 , 	112 , 	46 , 	-   ," 	13,164 ",,,,,,,,,,,
16, 	101 , 	121 , 	67 , 	156 , 	370 , 	232 , 	342 , 	376 , 	244 , 	218 , 	260 , 	114 , 	66 , 	70 , 	50 , 	31 , 	37 , 	90 , 	56 , 	64 , 	77 , 	50 , 	44 , 	262 , 	329 , 	563 , 	541 ," 	1,769 ", 	685 , 	49 , 	286 , 	340 , 	563 , 	325 , 	121 , 	35 , 	86 , 	18 , 	62 , 	100 , 	122 , 	178 , 	271 , 	40 , 	21 , 	-   ," 	9,997 ",,,,,,,,,,,
24, 	119 , 	142 , 	64 , 	100 , 	242 , 	155 , 	233 , 	261 , 	175 , 	127 , 	203 , 	110 , 	68 , 	51 , 	40 , 	37 , 	25 , 	47 , 	45 , 	38 , 	56 , 	28 , 	31 , 	144 , 	235 , 	630 , 	587 ," 	2,017 ", 	899 , 	245 , 	54 , 	277 , 	540 , 	304 , 	123 , 	31 , 	61 , 	12 , 	52 , 	95 , 	138 , 	135 , 	195 , 	23 , 	15 , 	-   ," 	9,204 ",,,,,,,,,,,
GP, 	20 , 	35 , 	18 , 	29 , 	89 , 	28 , 	50 , 	67 , 	56 , 	33 , 	38 , 	52 , 	18 , 	15 , 	14 , 	7 , 	6 , 	18 , 	17 , 	19 , 	27 , 	12 , 	10 , 	34 , 	48 , 	332 , 	405 ," 	1,221 ", 	386 , 	297 , 	264 , 	28 , 	73 , 	57 , 	36 , 	6 , 	23 , 	4 , 	24 , 	25 , 	64 , 	74 , 	71 , 	10 , 	9 , 	-   ," 	4,163 ",,,,,,,,,,,
BP, 	44 , 	46 , 	14 , 	24 , 	72 , 	28 , 	43 , 	58 , 	61 , 	36 , 	58 , 	48 , 	29 , 	24 , 	18 , 	15 , 	9 , 	25 , 	18 , 	12 , 	15 , 	7 , 	8 , 	18 , 	46 , 	456 , 	684 ," 	2,394 ", 	538 , 	473 , 	471 , 	69 , 	45 , 	72 , 	76 , 	10 , 	30 , 	6 , 	31 , 	45 , 	118 , 	87 , 	89 , 	14 , 	7 , 	-   ," 	6,485 ",,,,,,,,,,,
DC, 	30 , 	57 , 	27 , 	18 , 	91 , 	23 , 	37 , 	46 , 	58 , 	34 , 	58 , 	97 , 	25 , 	30 , 	16 , 	17 , 	22 , 	34 , 	21 , 	26 , 	28 , 	16 , 	10 , 	21 , 	36 , 	348 , 	507 ," 	1,616 ", 	529 , 	328 , 	309 , 	73 , 	83 , 	24 , 	28 , 	14 , 	38 , 	8 , 	28 , 	40 , 	112 , 	166 , 	114 , 	13 , 	9 , 	-   ," 	5,260 ",,,,,,,,,,,
