Exit stations,Entry stations->,,SUNDAY,,,Jan 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	12 , 	30 , 	33 , 	13 , 	81 , 	12 , 	23 , 	24 , 	23 , 	12 , 	19 , 	16 , 	7 , 	4 , 	4 , 	4 , 	2 , 	2 , 	5 , 	5 , 	7 , 	1 , 	2 , 	5 , 	7 , 	55 , 	30 , 	115 , 	30 , 	30 , 	31 , 	8 , 	7 , 	10 , 	4 , 	1 , 	3 , 	2 , 	2 , 	5 , 	6 , 	22 , 	5 , 	0 , 	4 , 	2 , 	4 , 	6 , 	3 , 	5 , 	744 ,,,,,,,,,,,
LF, 	2 , 	4 , 	2 , 	1 , 	10 , 	1 , 	11 , 	8 , 	5 , 	2 , 	3 , 	0 , 	1 , 	0 , 	2 , 	0 , 	1 , 	0 , 	49 , 	13 , 	14 , 	4 , 	5 , 	14 , 	1 , 	62 , 	28 , 	57 , 	28 , 	14 , 	9 , 	7 , 	4 , 	3 , 	0 , 	-   , 	-   , 	1 , 	7 , 	0 , 	1 , 	23 , 	1 , 	0 , 	7 , 	-   , 	1 , 	1 , 	4 , 	3 , 	415 ,,,,,,,,,,,
OR, 	1 , 	1 , 	2 , 	3 , 	8 , 	2 , 	6 , 	6 , 	7 , 	2 , 	4 , 	0 , 	1 , 	2 , 	0 , 	0 , 	1 , 	0 , 	6 , 	3 , 	10 , 	5 , 	5 , 	12 , 	1 , 	37 , 	21 , 	50 , 	20 , 	11 , 	5 , 	2 , 	5 , 	2 , 	1 , 	0 , 	0 , 	0 , 	3 , 	1 , 	1 , 	22 , 	1 , 	-   , 	3 , 	-   , 	1 , 	1 , 	2 , 	1 , 	281 ,,,,,,,,,,,
RR, 	6 , 	5 , 	5 , 	4 , 	3 , 	3 , 	11 , 	25 , 	20 , 	3 , 	7 , 	3 , 	2 , 	1 , 	3 , 	1 , 	1 , 	2 , 	13 , 	21 , 	31 , 	14 , 	11 , 	18 , 	8 , 	88 , 	62 , 	117 , 	61 , 	47 , 	36 , 	14 , 	5 , 	5 , 	2 , 	2 , 	1 , 	2 , 	7 , 	1 , 	2 , 	53 , 	5 , 	0 , 	8 , 	0 , 	3 , 	2 , 	2 , 	7 , 	754 ,,,,,,,,,,,
OW, 	8 , 	4 , 	1 , 	2 , 	17 , 	7 , 	14 , 	15 , 	15 , 	9 , 	32 , 	13 , 	8 , 	9 , 	7 , 	3 , 	2 , 	3 , 	4 , 	3 , 	4 , 	1 , 	1 , 	8 , 	16 , 	161 , 	112 , 	281 , 	111 , 	95 , 	63 , 	14 , 	13 , 	10 , 	5 , 	3 , 	5 , 	0 , 	4 , 	1 , 	5 , 	48 , 	6 , 	2 , 	4 , 	2 , 	2 , 	4 , 	1 , 	6 ," 	1,163 ",,,,,,,,,,,
EM, 	57 , 	83 , 	53 , 	73 , 	163 , 	66 , 	114 , 	135 , 	125 , 	86 , 	87 , 	38 , 	60 , 	61 , 	39 , 	27 , 	39 , 	48 , 	50 , 	60 , 	82 , 	54 , 	39 , 	84 , 	180 , 	53 , 	7 , 	61 , 	30 , 	111 , 	140 , 	61 , 	91 , 	73 , 	28 , 	34 , 	126 , 	12 , 	41 , 	19 , 	19 , 	104 , 	43 , 	31 , 	35 , 	24 , 	50 , 	50 , 	7 , 	32 ," 	3,187 ",,,,,,,,,,,
MT, 	39 , 	68 , 	44 , 	62 , 	208 , 	55 , 	101 , 	112 , 	112 , 	81 , 	68 , 	38 , 	57 , 	73 , 	22 , 	17 , 	34 , 	34 , 	39 , 	52 , 	54 , 	30 , 	26 , 	76 , 	147 , 	11 , 	29 , 	15 , 	20 , 	100 , 	127 , 	65 , 	145 , 	90 , 	32 , 	29 , 	61 , 	10 , 	38 , 	26 , 	27 , 	129 , 	37 , 	25 , 	25 , 	18 , 	32 , 	38 , 	7 , 	23 ," 	2,805 ",,,,,,,,,,,
PL, 	92 , 	131 , 	74 , 	75 , 	187 , 	64 , 	117 , 	143 , 	161 , 	126 , 	133 , 	78 , 	109 , 	98 , 	54 , 	32 , 	51 , 	53 , 	65 , 	57 , 	83 , 	46 , 	34 , 	93 , 	263 , 	68 , 	18 , 	87 , 	39 , 	338 , 	424 , 	202 , 	357 , 	287 , 	81 , 	41 , 	125 , 	18 , 	66 , 	72 , 	76 , 	371 , 	106 , 	40 , 	29 , 	20 , 	50 , 	51 , 	13 , 	44 ," 	5,442 ",,,,,,,,,,,
CC, 	25 , 	36 , 	28 , 	36 , 	75 , 	44 , 	88 , 	95 , 	79 , 	62 , 	88 , 	34 , 	38 , 	28 , 	16 , 	9 , 	13 , 	25 , 	28 , 	29 , 	43 , 	25 , 	16 , 	50 , 	118 , 	29 , 	15 , 	51 , 	42 , 	113 , 	137 , 	75 , 	88 , 	90 , 	38 , 	15 , 	44 , 	6 , 	19 , 	31 , 	38 , 	151 , 	76 , 	18 , 	20 , 	11 , 	19 , 	26 , 	3 , 	10 ," 	2,295 ",,,,,,,,,,,
16, 	33 , 	34 , 	14 , 	42 , 	63 , 	34 , 	71 , 	75 , 	48 , 	52 , 	52 , 	19 , 	17 , 	16 , 	9 , 	6 , 	11 , 	11 , 	14 , 	15 , 	22 , 	10 , 	10 , 	40 , 	92 , 	89 , 	91 , 	340 , 	134 , 	16 , 	51 , 	67 , 	84 , 	83 , 	29 , 	9 , 	25 , 	2 , 	11 , 	21 , 	33 , 	121 , 	41 , 	11 , 	12 , 	2 , 	9 , 	16 , 	2 , 	7 ," 	2,116 ",,,,,,,,,,,
24, 	40 , 	33 , 	9 , 	19 , 	51 , 	25 , 	55 , 	66 , 	48 , 	36 , 	39 , 	21 , 	18 , 	15 , 	10 , 	8 , 	8 , 	6 , 	12 , 	15 , 	17 , 	8 , 	5 , 	31 , 	74 , 	128 , 	106 , 	470 , 	178 , 	54 , 	20 , 	68 , 	75 , 	88 , 	33 , 	5 , 	18 , 	4 , 	21 , 	29 , 	34 , 	84 , 	53 , 	6 , 	12 , 	3 , 	11 , 	8 , 	4 , 	6 ," 	2,188 ",,,,,,,,,,,
