Exit stations,Entry stations->,,SATURDAY,,,Jan 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	19 , 	35 , 	34 , 	20 , 	133 , 	21 , 	37 , 	25 , 	26 , 	9 , 	25 , 	22 , 	5 , 	6 , 	7 , 	4 , 	3 , 	5 , 	5 , 	9 , 	7 , 	3 , 	5 , 	4 , 	13 , 	62 , 	45 , 	144 , 	55 , 	45 , 	49 , 	13 , 	14 , 	13 , 	5 , 	4 , 	3 , 	2 , 	4 , 	5 , 	5 , 	23 , 	7 , 	1 , 	5 , 	7 , 	5 , 	6 , 	4 , 	4 ," 	1,003 ",,,,,,,,,,
LF, 	3 , 	5 , 	3 , 	2 , 	8 , 	2 , 	12 , 	14 , 	12 , 	1 , 	5 , 	8 , 	2 , 	0 , 	3 , 	-   , 	1 , 	1 , 	71 , 	21 , 	19 , 	7 , 	6 , 	25 , 	1 , 	61 , 	37 , 	68 , 	37 , 	18 , 	13 , 	5 , 	2 , 	3 , 	1 , 	-   , 	1 , 	2 , 	9 , 	1 , 	2 , 	27 , 	2 , 	1 , 	7 , 	0 , 	0 , 	2 , 	6 , 	5 , 	536 ,,,,,,,,,,
OR, 	1 , 	2 , 	2 , 	3 , 	11 , 	1 , 	17 , 	13 , 	14 , 	1 , 	5 , 	4 , 	0 , 	1 , 	0 , 	-   , 	0 , 	1 , 	9 , 	5 , 	13 , 	8 , 	3 , 	18 , 	1 , 	49 , 	24 , 	65 , 	33 , 	16 , 	4 , 	4 , 	2 , 	5 , 	0 , 	0 , 	0 , 	1 , 	3 , 	1 , 	1 , 	21 , 	2 , 	0 , 	3 , 	0 , 	1 , 	3 , 	3 , 	1 , 	372 ,,,,,,,,,,
RR, 	10 , 	8 , 	6 , 	4 , 	8 , 	4 , 	25 , 	40 , 	35 , 	6 , 	16 , 	12 , 	4 , 	4 , 	4 , 	3 , 	3 , 	2 , 	21 , 	19 , 	41 , 	23 , 	19 , 	14 , 	13 , 	134 , 	104 , 	169 , 	100 , 	81 , 	44 , 	21 , 	8 , 	11 , 	3 , 	1 , 	4 , 	4 , 	9 , 	3 , 	6 , 	65 , 	4 , 	1 , 	5 , 	0 , 	2 , 	4 , 	3 , 	12 ," 	1,140 ",,,,,,,,,,
OW, 	9 , 	6 , 	2 , 	3 , 	15 , 	6 , 	22 , 	19 , 	23 , 	7 , 	41 , 	29 , 	11 , 	12 , 	10 , 	5 , 	2 , 	2 , 	4 , 	3 , 	7 , 	2 , 	1 , 	12 , 	16 , 	227 , 	179 , 	435 , 	184 , 	132 , 	92 , 	16 , 	21 , 	13 , 	6 , 	3 , 	6 , 	1 , 	6 , 	4 , 	6 , 	43 , 	6 , 	5 , 	4 , 	5 , 	3 , 	4 , 	2 , 	4 ," 	1,670 ",,,,,,,,,,
EM, 	77 , 	119 , 	79 , 	91 , 	255 , 	84 , 	168 , 	218 , 	174 , 	127 , 	131 , 	59 , 	97 , 	90 , 	48 , 	34 , 	56 , 	74 , 	75 , 	107 , 	126 , 	73 , 	64 , 	158 , 	296 , 	94 , 	12 , 	86 , 	60 , 	191 , 	220 , 	110 , 	146 , 	103 , 	36 , 	36 , 	159 , 	18 , 	54 , 	33 , 	35 , 	120 , 	57 , 	68 , 	27 , 	30 , 	70 , 	62 , 	8 , 	48 ," 	4,753 ",,,,,,,,,,
MT, 	63 , 	107 , 	60 , 	75 , 	249 , 	74 , 	151 , 	173 , 	159 , 	109 , 	125 , 	50 , 	86 , 	89 , 	38 , 	22 , 	35 , 	44 , 	66 , 	74 , 	89 , 	42 , 	29 , 	131 , 	243 , 	17 , 	49 , 	22 , 	39 , 	153 , 	201 , 	125 , 	240 , 	145 , 	54 , 	48 , 	101 , 	15 , 	47 , 	34 , 	48 , 	167 , 	60 , 	31 , 	18 , 	21 , 	40 , 	35 , 	8 , 	31 ," 	4,128 ",,,,,,,,,,
PL, 	131 , 	189 , 	92 , 	97 , 	257 , 	95 , 	177 , 	218 , 	205 , 	145 , 	191 , 	119 , 	135 , 	147 , 	69 , 	50 , 	59 , 	66 , 	103 , 	103 , 	119 , 	68 , 	60 , 	141 , 	409 , 	119 , 	21 , 	106 , 	73 , 	475 , 	570 , 	307 , 	504 , 	400 , 	107 , 	52 , 	160 , 	29 , 	121 , 	88 , 	106 , 	495 , 	136 , 	53 , 	24 , 	29 , 	53 , 	69 , 	16 , 	64 ," 	7,618 ",,,,,,,,,,
CC, 	58 , 	87 , 	45 , 	82 , 	160 , 	77 , 	146 , 	177 , 	117 , 	82 , 	148 , 	63 , 	74 , 	53 , 	31 , 	25 , 	37 , 	33 , 	48 , 	52 , 	78 , 	44 , 	42 , 	115 , 	205 , 	84 , 	32 , 	77 , 	52 , 	176 , 	225 , 	115 , 	128 , 	180 , 	55 , 	33 , 	109 , 	12 , 	34 , 	57 , 	78 , 	155 , 	113 , 	38 , 	17 , 	18 , 	29 , 	36 , 	6 , 	19 ," 	3,948 ",,,,,,,,,,
16, 	42 , 	50 , 	30 , 	54 , 	100 , 	59 , 	124 , 	130 , 	97 , 	65 , 	77 , 	35 , 	35 , 	22 , 	16 , 	8 , 	13 , 	15 , 	26 , 	31 , 	24 , 	20 , 	17 , 	79 , 	143 , 	194 , 	136 , 	486 , 	195 , 	38 , 	84 , 	110 , 	111 , 	138 , 	55 , 	14 , 	29 , 	4 , 	13 , 	40 , 	44 , 	101 , 	76 , 	12 , 	9 , 	5 , 	14 , 	16 , 	5 , 	11 ," 	3,243 ",,,,,,,,,,
24, 	46 , 	52 , 	24 , 	36 , 	76 , 	47 , 	82 , 	100 , 	60 , 	54 , 	69 , 	41 , 	28 , 	19 , 	16 , 	18 , 	13 , 	9 , 	21 , 	14 , 	25 , 	11 , 	11 , 	54 , 	94 , 	203 , 	172 , 	657 , 	257 , 	86 , 	37 , 	97 , 	112 , 	108 , 	48 , 	11 , 	25 , 	6 , 	17 , 	45 , 	54 , 	75 , 	59 , 	9 , 	4 , 	5 , 	7 , 	16 , 	4 , 	11 ," 	3,138 ",,,,,,,,,,
GP, 	10 , 	13 , 	9 , 	13 , 	30 , 	11 , 	19 , 	21 , 	27 , 	18 , 	15 , 	14 , 	7 , 	6 , 	4 , 	2 , 	3 , 	2 , 	9 , 	5 , 	6 , 	6 , 	6 , 	19 , 	19 , 	90 , 	91 , 	346 , 	117 , 	93 , 	90 , 	14 , 	20 , 	26 , 	16 , 	5 , 	9 , 	4 , 	7 , 	14 , 	15 , 	55 , 	25 , 	4 , 	4 , 	4 , 	4 , 	5 , 	1 , 	6 ," 	1,353 ",,,,,,,,,,
