Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Jun 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
OR, 	6 , 	9 , 	6 , 	5 , 	25 , 	7 , 	14 , 	13 , 	27 , 	4 , 	23 , 	83 , 	3 , 	2 , 	3 , 	2 , 	1 , 	6 , 	38 , 	15 , 	31 , 	10 , 	4 , 	36 , 	3 , 	183 , 	100 , 	205 , 	88 , 	11 , 	15 , 	9 , 	11 , 	9 , 	13 , 	0 , 	1 , 	4 , 	6 ," 	1,032 ",,,FT/ED line," 	17,379 "," 	5,257 "," 	3,767 "," 	5,110 "," 	2,442 "," 	10,552 "," 	147,897 "
RR, 	29 , 	27 , 	25 , 	21 , 	32 , 	14 , 	20 , 	24 , 	56 , 	10 , 	37 , 	77 , 	14 , 	7 , 	7 , 	3 , 	3 , 	7 , 	52 , 	29 , 	51 , 	28 , 	27 , 	8 , 	8 , 	344 , 	253 , 	529 , 	304 , 	73 , 	44 , 	17 , 	14 , 	18 , 	17 , 	3 , 	5 , 	7 , 	21 ," 	2,264 ",,,,,,,,,,
OW, 	31 , 	31 , 	3 , 	11 , 	41 , 	27 , 	34 , 	24 , 	44 , 	17 , 	74 , 	70 , 	19 , 	29 , 	17 , 	10 , 	8 , 	8 , 	8 , 	4 , 	6 , 	2 , 	1 , 	5 , 	3 , 	288 , 	253 , 	596 , 	185 , 	83 , 	63 , 	14 , 	29 , 	9 , 	14 , 	4 , 	14 , 	1 , 	11 ," 	2,089 ",,,,,,,,,,
EM, 	80 , 	305 , 	156 , 	209 , 	477 , 	200 , 	304 , 	191 , 	305 , 	180 , 	258 , 	270 , 	174 , 	176 , 	118 , 	76 , 	131 , 	335 , 	201 , 	321 , 	348 , 	191 , 	194 , 	365 , 	310 , 	71 , 	65 , 	257 , 	111 , 	392 , 	469 , 	259 , 	326 , 	226 , 	208 , 	142 , 	709 , 	68 , 	186 ," 	9,362 ",,,,,,,,,,
MT, 	109 , 	239 , 	155 , 	192 , 	331 , 	139 , 	261 , 	155 , 	375 , 	195 , 	264 , 	188 , 	151 , 	162 , 	74 , 	38 , 	113 , 	224 , 	123 , 	157 , 	183 , 	93 , 	93 , 	254 , 	263 , 	81 , 	100 , 	132 , 	233 , 	466 , 	659 , 	506 ," 	1,156 ", 	357 , 	248 , 	73 , 	258 , 	42 , 	108 ," 	8,949 ",,,,,,,,,,
PL, 	228 , 	580 , 	276 , 	336 , 	853 , 	338 , 	613 , 	375 , 	646 , 	406 , 	598 , 	517 , 	318 , 	266 , 	171 , 	137 , 	233 , 	483 , 	225 , 	366 , 	387 , 	207 , 	196 , 	521 , 	660 , 	218 , 	83 , 	157 , 	268 ," 	1,478 "," 	2,000 "," 	1,231 "," 	1,977 "," 	1,149 ", 	857 , 	152 , 	626 , 	83 , 	250 ," 	20,466 ",,,,,,,,,,
CC, 	85 , 	175 , 	116 , 	182 , 	351 , 	159 , 	312 , 	190 , 	232 , 	163 , 	236 , 	176 , 	119 , 	102 , 	68 , 	61 , 	72 , 	154 , 	115 , 	129 , 	141 , 	84 , 	86 , 	267 , 	206 , 	82 , 	71 , 	231 , 	78 , 	672 , 	939 , 	419 , 	717 , 	438 , 	365 , 	52 , 	189 , 	28 , 	89 ," 	8,352 ",,,,,,,,,,
16, 	79 , 	81 , 	38 , 	94 , 	163 , 	112 , 	200 , 	77 , 	94 , 	68 , 	151 , 	99 , 	44 , 	25 , 	26 , 	18 , 	15 , 	35 , 	54 , 	28 , 	27 , 	14 , 	15 , 	117 , 	91 , 	285 , 	371 ," 	1,366 ", 	711 , 	52 , 	358 , 	236 , 	447 , 	188 , 	149 , 	14 , 	42 , 	9 , 	40 ," 	6,032 ",,,,,,,,,,
24, 	124 , 	111 , 	27 , 	59 , 	120 , 	78 , 	96 , 	73 , 	88 , 	60 , 	219 , 	121 , 	47 , 	41 , 	31 , 	30 , 	21 , 	26 , 	70 , 	25 , 	30 , 	14 , 	12 , 	62 , 	77 , 	392 , 	491 ," 	1,902 ", 	902 , 	331 , 	72 , 	187 , 	444 , 	243 , 	215 , 	10 , 	32 , 	12 , 	58 ," 	6,953 ",,,,,,,,,,
GP, 	20 , 	33 , 	15 , 	14 , 	51 , 	16 , 	30 , 	19 , 	36 , 	14 , 	37 , 	53 , 	14 , 	11 , 	9 , 	6 , 	8 , 	16 , 	22 , 	17 , 	21 , 	11 , 	8 , 	28 , 	18 , 	232 , 	291 ," 	1,321 ", 	350 , 	192 , 	165 , 	27 , 	83 , 	38 , 	67 , 	4 , 	16 , 	6 , 	25 ," 	3,345 ",,,,,,,,,,
