Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Jun 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
OR, 	2 , 	6 , 	4 , 	4 , 	16 , 	3 , 	12 , 	9 , 	12 , 	3 , 	15 , 	67 , 	1 , 	2 , 	1 , 	2 , 	2 , 	3 , 	28 , 	14 , 	13 , 	6 , 	3 , 	19 , 	1 , 	105 , 	66 , 	150 , 	102 , 	10 , 	11 , 	9 , 	4 , 	8 , 	10 , 	1 , 	1 , 	3 , 	6 , 	730 ,,,FT/ED line," 	14,791 "," 	3,827 "," 	3,071 "," 	4,216 "," 	2,233 "," 	9,051 "," 	118,496 "
RR, 	22 , 	15 , 	20 , 	12 , 	19 , 	8 , 	19 , 	16 , 	35 , 	6 , 	29 , 	91 , 	12 , 	9 , 	6 , 	2 , 	4 , 	11 , 	34 , 	21 , 	36 , 	19 , 	17 , 	8 , 	6 , 	255 , 	196 , 	449 , 	440 , 	45 , 	40 , 	14 , 	9 , 	13 , 	21 , 	2 , 	10 , 	6 , 	12 ," 	1,986 ",,,,,,,,,,
OW, 	23 , 	17 , 	3 , 	7 , 	32 , 	21 , 	29 , 	10 , 	27 , 	15 , 	54 , 	56 , 	13 , 	29 , 	10 , 	4 , 	3 , 	4 , 	4 , 	3 , 	4 , 	1 , 	2 , 	4 , 	2 , 	174 , 	125 , 	366 , 	298 , 	49 , 	41 , 	17 , 	15 , 	7 , 	6 , 	1 , 	13 , 	1 , 	8 ," 	1,492 ",,,,,,,,,,
EM, 	72 , 	197 , 	123 , 	191 , 	335 , 	139 , 	267 , 	143 , 	254 , 	141 , 	231 , 	313 , 	146 , 	117 , 	75 , 	43 , 	90 , 	220 , 	166 , 	193 , 	221 , 	124 , 	128 , 	295 , 	223 , 	50 , 	45 , 	201 , 	175 , 	317 , 	350 , 	188 , 	230 , 	162 , 	123 , 	91 , 	393 , 	48 , 	142 ," 	6,961 ",,,,,,,,,,
MT, 	71 , 	140 , 	110 , 	173 , 	208 , 	116 , 	188 , 	122 , 	274 , 	145 , 	185 , 	179 , 	106 , 	92 , 	51 , 	33 , 	71 , 	157 , 	75 , 	105 , 	116 , 	64 , 	66 , 	196 , 	151 , 	49 , 	79 , 	97 , 	165 , 	317 , 	411 , 	332 , 	729 , 	211 , 	160 , 	49 , 	159 , 	33 , 	81 ," 	6,061 ",,,,,,,,,,
PL, 	238 , 	364 , 	187 , 	257 , 	630 , 	276 , 	433 , 	242 , 	576 , 	324 , 	558 , 	391 , 	240 , 	205 , 	190 , 	101 , 	166 , 	406 , 	178 , 	297 , 	274 , 	127 , 	161 , 	484 , 	426 , 	186 , 	68 , 	143 , 	239 ," 	1,312 "," 	1,497 ", 	863 ," 	1,391 ", 	880 , 	662 , 	129 , 	412 , 	54 , 	181 ," 	15,747 ",,,,,,,,,,
CC, 	85 , 	218 , 	143 , 	244 , 	374 , 	207 , 	390 , 	237 , 	261 , 	211 , 	269 , 	243 , 	156 , 	131 , 	92 , 	80 , 	92 , 	286 , 	160 , 	160 , 	177 , 	112 , 	85 , 	345 , 	272 , 	140 , 	99 , 	213 , 	124 , 	860 ," 	1,194 ", 	520 , 	755 , 	658 , 	582 , 	90 , 	281 , 	45 , 	115 ," 	10,703 ",,,,,,,,,,
16, 	56 , 	42 , 	25 , 	42 , 	92 , 	61 , 	95 , 	49 , 	66 , 	51 , 	100 , 	93 , 	19 , 	18 , 	17 , 	9 , 	15 , 	28 , 	32 , 	18 , 	22 , 	11 , 	7 , 	51 , 	41 , 	215 , 	268 ," 	1,103 ", 	824 , 	47 , 	231 , 	143 , 	266 , 	114 , 	110 , 	8 , 	32 , 	4 , 	26 ," 	4,446 ",,,,,,,,,,
24, 	76 , 	67 , 	13 , 	31 , 	84 , 	54 , 	69 , 	41 , 	62 , 	38 , 	139 , 	131 , 	31 , 	30 , 	19 , 	19 , 	14 , 	21 , 	67 , 	17 , 	24 , 	8 , 	12 , 	46 , 	38 , 	310 , 	333 ," 	1,510 "," 	1,094 ", 	225 , 	80 , 	114 , 	342 , 	170 , 	158 , 	13 , 	33 , 	11 , 	58 ," 	5,598 ",,,,,,,,,,
GP, 	14 , 	24 , 	9 , 	10 , 	25 , 	13 , 	17 , 	16 , 	23 , 	13 , 	25 , 	79 , 	9 , 	9 , 	8 , 	4 , 	7 , 	12 , 	15 , 	16 , 	13 , 	6 , 	8 , 	19 , 	16 , 	159 , 	200 , 	974 , 	527 , 	141 , 	106 , 	24 , 	39 , 	32 , 	52 , 	8 , 	17 , 	4 , 	21 ," 	2,711 ",,,,,,,,,,
