Exit stations,Entry stations->,,TOTAL,,,Jul 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
WC, 	626 , 	765 , 	653 , 	644 ," 	3,635 ", 	652 ," 	3,579 "," 	7,469 "," 	7,281 ", 	719 , 	943 ," 	1,875 ", 	627 , 	327 , 	461 , 	307 , 	363 , 	615 ," 	7,060 "," 	3,233 ", 	747 ," 	1,602 "," 	1,170 "," 	4,009 ", 	549 ," 	34,414 "," 	31,102 "," 	13,519 "," 	11,827 "," 	3,234 "," 	1,875 "," 	1,494 "," 	1,087 "," 	1,365 ", 	411 , 	109 , 	155 ," 	1,279 "," 	3,520 ", 	496 , 	604 ," 	5,912 ", 	756 , 	84 ," 	1,260 ", 	191 , 	-   , 	-   , 	953 ," 	2,235 "," 	167,793 ",,,,,,,,,,,,,
LF, 	193 , 	250 , 	196 , 	283 ," 	1,952 ", 	213 ," 	1,272 "," 	3,683 "," 	3,224 ", 	326 , 	453 ," 	1,053 ", 	207 , 	96 , 	168 , 	83 , 	113 , 	179 ," 	2,209 "," 	1,336 "," 	1,752 ", 	436 , 	551 ," 	1,776 ", 	181 ," 	21,773 "," 	17,877 "," 	6,705 "," 	6,379 "," 	1,538 "," 	1,018 ", 	572 , 	307 , 	331 , 	131 , 	20 , 	69 , 	307 , 	655 , 	205 , 	212 ," 	3,397 ", 	359 , 	25 , 	708 , 	105 , 	-   , 	-   , 	318 , 	399 ," 	85,595 ",,,,,,,,,,,,,
OR, 	284 , 	278 , 	130 , 	197 ," 	1,502 ", 	246 ," 	1,197 "," 	2,506 "," 	3,159 ", 	224 , 	514 , 	778 , 	172 , 	97 , 	138 , 	55 , 	95 , 	263 , 	980 , 	731 ," 	1,168 ", 	634 , 	325 ," 	1,464 ", 	148 ," 	19,424 "," 	16,652 "," 	6,180 "," 	5,572 "," 	1,760 ", 	860 , 	656 , 	352 , 	367 , 	77 , 	39 , 	73 , 	187 , 	262 , 	198 , 	211 ," 	2,799 ", 	350 , 	30 , 	469 , 	105 , 	-   , 	-   , 	133 , 	202 ," 	74,243 ",,,,,,,,,,,,,
RR, 	553 , 	783 , 	761 , 	349 ," 	1,154 ", 	352 ," 	1,432 "," 	4,443 "," 	5,022 ", 	716 ," 	1,229 "," 	1,247 ", 	490 , 	281 , 	442 , 	212 , 	265 , 	494 ," 	2,065 "," 	2,770 "," 	3,803 "," 	1,841 "," 	1,458 ", 	639 , 	550 ," 	28,400 "," 	27,913 "," 	15,030 "," 	14,974 "," 	5,857 "," 	3,094 "," 	1,477 ", 	832 , 	718 , 	172 , 	182 , 	303 , 	494 , 	866 , 	322 , 	331 ," 	4,533 ", 	846 , 	108 , 	617 , 	236 , 	-   , 	-   , 	294 , 	750 ," 	141,700 ",,,,,,,,,,,,,
OW, 	576 , 	927 , 	348 , 	308 ," 	1,609 ", 	687 ," 	1,147 "," 	1,625 "," 	2,515 ", 	708 ," 	2,357 "," 	2,393 ", 	960 , 	875 , 	747 , 	345 , 	337 , 	376 , 	378 , 	281 , 	458 , 	141 , 	132 , 	565 , 	732 ," 	43,158 "," 	35,234 "," 	27,336 "," 	20,682 "," 	9,880 "," 	6,053 "," 	1,797 "," 	1,676 "," 	1,064 ", 	352 , 	345 , 	834 , 	123 , 	381 , 	385 , 	690 ," 	3,443 ", 	842 , 	249 , 	305 , 	335 , 	-   , 	-   , 	177 , 	435 ," 	177,303 ",,,,,,,,,,,,,
EM," 	13,018 "," 	26,566 "," 	17,156 "," 	19,363 "," 	38,928 "," 	22,980 "," 	32,724 "," 	41,395 "," 	38,458 "," 	28,847 "," 	28,678 "," 	16,451 "," 	23,813 "," 	20,752 "," 	14,480 "," 	12,638 "," 	25,134 "," 	37,926 "," 	25,420 "," 	48,901 "," 	41,088 "," 	24,999 "," 	22,905 "," 	32,558 "," 	53,380 "," 	4,686 "," 	3,065 "," 	13,693 "," 	15,438 "," 	28,335 "," 	43,453 "," 	32,616 "," 	44,079 "," 	35,121 "," 	19,792 "," 	16,491 "," 	63,844 "," 	11,128 "," 	15,909 "," 	14,917 "," 	15,381 "," 	15,092 "," 	27,220 "," 	23,022 "," 	4,616 "," 	19,664 ", 	-   , 	-   ," 	2,923 "," 	11,441 "," 	1,190,484 ",,,,,,,,,,,,,
MT," 	10,988 "," 	23,030 "," 	15,151 "," 	15,266 "," 	26,223 "," 	18,514 "," 	26,490 "," 	32,910 "," 	27,499 "," 	25,378 "," 	23,690 "," 	12,784 "," 	19,427 "," 	17,655 "," 	12,769 "," 	9,979 "," 	18,639 "," 	27,280 "," 	20,288 "," 	38,378 "," 	29,604 "," 	16,469 "," 	15,525 "," 	26,065 "," 	40,154 "," 	3,200 "," 	3,788 "," 	3,900 "," 	13,620 "," 	31,714 "," 	51,574 "," 	39,404 "," 	69,121 "," 	45,305 "," 	24,881 "," 	12,441 "," 	41,979 "," 	8,656 "," 	13,466 "," 	18,130 "," 	17,361 "," 	13,277 "," 	34,218 "," 	16,942 "," 	2,767 "," 	16,724 ", 	-   , 	-   ," 	2,027 "," 	8,187 "," 	1,042,837 ",,,,,,,,,,,,,
PL," 	10,044 "," 	18,013 "," 	8,595 "," 	8,666 "," 	20,196 "," 	9,679 "," 	17,859 "," 	19,799 "," 	20,694 "," 	15,525 "," 	19,733 "," 	11,715 "," 	12,612 "," 	11,601 "," 	6,974 "," 	5,456 "," 	7,542 "," 	10,316 "," 	10,391 "," 	12,111 "," 	11,087 "," 	5,214 "," 	4,899 "," 	11,422 "," 	26,234 "," 	18,719 "," 	6,749 "," 	3,491 "," 	8,832 "," 	33,775 "," 	43,178 "," 	30,441 "," 	56,509 "," 	35,683 "," 	13,948 "," 	6,468 "," 	18,396 "," 	4,829 "," 	9,717 "," 	10,846 "," 	10,685 "," 	39,999 "," 	18,828 "," 	7,201 "," 	3,592 "," 	6,330 ", 	-   , 	-   ," 	1,765 "," 	6,038 "," 	712,396 ",,,,,,,,,,,,,
CC," 	7,594 "," 	14,177 "," 	8,523 "," 	9,610 "," 	17,198 "," 	11,212 "," 	18,463 "," 	20,871 "," 	18,044 "," 	13,895 "," 	18,445 "," 	8,816 "," 	10,661 "," 	9,304 "," 	6,491 "," 	5,045 "," 	6,974 "," 	8,005 "," 	9,008 "," 	12,025 "," 	10,093 "," 	5,508 "," 	4,881 "," 	12,956 "," 	21,636 "," 	15,046 "," 	13,843 "," 	8,400 "," 	2,139 "," 	14,779 "," 	23,159 "," 	19,163 "," 	34,616 "," 	21,151 "," 	11,600 "," 	5,651 "," 	14,460 "," 	4,636 "," 	7,752 "," 	9,273 "," 	8,887 "," 	16,326 "," 	16,113 "," 	5,945 "," 	1,943 "," 	5,626 ", 	-   , 	-   ," 	1,693 "," 	5,085 "," 	556,721 ",,,,,,,,,,,,,
16," 	3,972 "," 	5,772 "," 	2,877 "," 	4,061 "," 	8,652 "," 	5,649 "," 	9,027 "," 	10,725 "," 	7,550 "," 	5,913 "," 	7,356 "," 	3,704 "," 	3,513 "," 	3,192 "," 	2,196 "," 	1,820 "," 	1,806 "," 	2,582 "," 	2,808 "," 	3,417 "," 	2,690 "," 	1,413 "," 	1,560 "," 	5,083 "," 	10,144 "," 	28,703 "," 	33,038 "," 	38,446 "," 	16,440 ", 	991 ," 	5,322 "," 	8,373 "," 	14,579 "," 	8,258 "," 	3,881 "," 	1,653 "," 	4,616 "," 	1,220 "," 	2,669 "," 	3,213 "," 	3,583 "," 	6,719 "," 	6,883 "," 	1,841 ", 	771 ," 	1,450 ", 	-   , 	-   , 	611 ," 	2,011 "," 	312,753 ",,,,,,,,,,,,,
