Exit stations,Entry stations->,,SUNDAY,,,Jul 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RR, 	8 , 	14 , 	17 , 	7 , 	17 , 	8 , 	34 , 	46 , 	58 , 	11 , 	24 , 	50 , 	7 , 	6 , 	4 , 	3 , 	6 , 	11 , 	26 , 	33 , 	66 , 	31 , 	24 , 	15 , 	12 , 	346 , 	195 , 	324 , 	226 , 	125 , 	79 , 	39 , 	16 , 	19 , 	5 , 	3 , 	7 , 	7 , 	13 , 	5 , 	4 , 	154 , 	27 , 	2 , 	24 , 	10 , 	-   , 	-   , 	3 , 	12 ," 	2,183 ",,,,,,,,,,,
OW, 	7 , 	18 , 	7 , 	4 , 	29 , 	14 , 	26 , 	29 , 	38 , 	20 , 	36 , 	44 , 	17 , 	18 , 	9 , 	4 , 	5 , 	4 , 	4 , 	6 , 	7 , 	3 , 	1 , 	12 , 	20 , 	498 , 	303 , 	587 , 	369 , 	198 , 	145 , 	33 , 	31 , 	24 , 	6 , 	6 , 	15 , 	2 , 	10 , 	6 , 	11 , 	106 , 	15 , 	4 , 	10 , 	5 , 	-   , 	-   , 	2 , 	8 ," 	2,774 ",,,,,,,,,,,
EM, 	154 , 	259 , 	197 , 	238 , 	567 , 	216 , 	373 , 	303 , 	320 , 	246 , 	292 , 	254 , 	208 , 	171 , 	106 , 	101 , 	144 , 	235 , 	209 , 	291 , 	408 , 	267 , 	212 , 	396 , 	646 , 	82 , 	23 , 	175 , 	125 , 	311 , 	385 , 	245 , 	323 , 	264 , 	85 , 	154 , 	754 , 	101 , 	156 , 	72 , 	93 , 	351 , 	211 , 	213 , 	110 , 	137 , 	-   , 	-   , 	22 , 	121 ," 	11,325 ",,,,,,,,,,,
MT, 	70 , 	175 , 	104 , 	118 , 	291 , 	113 , 	209 , 	195 , 	218 , 	201 , 	174 , 	128 , 	126 , 	142 , 	51 , 	43 , 	77 , 	111 , 	109 , 	132 , 	173 , 	110 , 	102 , 	185 , 	360 , 	24 , 	37 , 	34 , 	60 , 	219 , 	271 , 	210 , 	552 , 	221 , 	69 , 	80 , 	263 , 	42 , 	73 , 	49 , 	67 , 	305 , 	109 , 	88 , 	66 , 	73 , 	-   , 	-   , 	9 , 	55 ," 	6,691 ",,,,,,,,,,,
PL, 	157 , 	330 , 	152 , 	148 , 	442 , 	155 , 	309 , 	278 , 	330 , 	292 , 	375 , 	258 , 	224 , 	213 , 	106 , 	77 , 	110 , 	172 , 	140 , 	150 , 	207 , 	101 , 	106 , 	268 , 	577 , 	175 , 	33 , 	103 , 	123 , 	819 , 	947 , 	582 ," 	1,065 ", 	778 , 	198 , 	116 , 	370 , 	58 , 	149 , 	157 , 	204 ," 	1,112 ", 	351 , 	123 , 	91 , 	91 , 	-   , 	-   , 	18 , 	91 ," 	13,432 ",,,,,,,,,,,
CC, 	75 , 	131 , 	97 , 	148 , 	260 , 	128 , 	265 , 	229 , 	208 , 	183 , 	248 , 	142 , 	103 , 	73 , 	46 , 	36 , 	49 , 	82 , 	82 , 	91 , 	137 , 	85 , 	81 , 	195 , 	404 , 	110 , 	52 , 	143 , 	49 , 	269 , 	379 , 	231 , 	388 , 	279 , 	93 , 	60 , 	177 , 	27 , 	44 , 	69 , 	109 , 	472 , 	226 , 	61 , 	66 , 	63 , 	-   , 	-   , 	7 , 	43 ," 	6,995 ",,,,,,,,,,,
16, 	54 , 	68 , 	47 , 	78 , 	152 , 	87 , 	157 , 	144 , 	109 , 	102 , 	112 , 	63 , 	42 , 	39 , 	21 , 	10 , 	20 , 	35 , 	35 , 	34 , 	56 , 	28 , 	29 , 	102 , 	206 , 	297 , 	214 , 	853 , 	310 , 	38 , 	117 , 	162 , 	232 , 	161 , 	55 , 	24 , 	60 , 	9 , 	25 , 	45 , 	60 , 	227 , 	120 , 	23 , 	30 , 	25 , 	-   , 	-   , 	4 , 	15 ," 	4,936 ",,,,,,,,,,,
24, 	60 , 	69 , 	37 , 	51 , 	125 , 	74 , 	125 , 	119 , 	90 , 	88 , 	96 , 	63 , 	35 , 	23 , 	20 , 	12 , 	13 , 	24 , 	26 , 	24 , 	36 , 	25 , 	22 , 	78 , 	166 , 	402 , 	252 ," 	1,060 ", 	421 , 	114 , 	40 , 	132 , 	199 , 	146 , 	51 , 	19 , 	44 , 	9 , 	32 , 	35 , 	82 , 	205 , 	124 , 	15 , 	38 , 	14 , 	-   , 	-   , 	4 , 	16 ," 	4,953 ",,,,,,,,,,,
GP, 	16 , 	28 , 	18 , 	21 , 	60 , 	25 , 	41 , 	39 , 	41 , 	32 , 	28 , 	44 , 	18 , 	15 , 	8 , 	4 , 	10 , 	16 , 	21 , 	22 , 	26 , 	12 , 	11 , 	36 , 	39 , 	243 , 	169 , 	684 , 	224 , 	147 , 	134 , 	20 , 	33 , 	40 , 	22 , 	10 , 	31 , 	2 , 	17 , 	11 , 	43 , 	119 , 	56 , 	8 , 	22 , 	7 , 	-   , 	-   , 	1 , 	8 ," 	2,679 ",,,,,,,,,,,
BP, 	24 , 	26 , 	9 , 	13 , 	41 , 	18 , 	28 , 	28 , 	37 , 	33 , 	38 , 	27 , 	18 , 	21 , 	7 , 	8 , 	10 , 	13 , 	17 , 	10 , 	14 , 	5 , 	6 , 	13 , 	39 , 	330 , 	291 ," 	1,383 ", 	353 , 	209 , 	194 , 	33 , 	27 , 	27 , 	30 , 	7 , 	27 , 	6 , 	21 , 	18 , 	71 , 	96 , 	58 , 	7 , 	11 , 	9 , 	-   , 	-   , 	4 , 	12 ," 	3,731 ",,,,,,,,,,,
