Exit stations,Entry stations->,,SATURDAY,,,Jul 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
WC, 	10 , 	17 , 	16 , 	16 , 	63 , 	12 , 	45 , 	54 , 	68 , 	13 , 	24 , 	96 , 	9 , 	8 , 	6 , 	4 , 	7 , 	10 , 	172 , 	70 , 	20 , 	31 , 	23 , 	86 , 	11 , 	506 , 	276 , 	337 , 	200 , 	67 , 	50 , 	20 , 	22 , 	27 , 	7 , 	3 , 	4 , 	19 , 	61 , 	10 , 	9 , 	148 , 	16 , 	2 , 	26 , 	6 , 	-   , 	-   , 	20 , 	39 ," 	2,758 ",,,,,,,,,,
LF, 	5 , 	5 , 	6 , 	9 , 	33 , 	3 , 	24 , 	27 , 	33 , 	7 , 	10 , 	57 , 	2 , 	2 , 	3 , 	3 , 	1 , 	4 , 	47 , 	21 , 	37 , 	12 , 	8 , 	47 , 	5 , 	331 , 	151 , 	194 , 	106 , 	42 , 	27 , 	12 , 	6 , 	10 , 	2 , 	0 , 	3 , 	10 , 	13 , 	4 , 	4 , 	89 , 	11 , 	0 , 	21 , 	3 , 	-   , 	-   , 	7 , 	5 ," 	1,458 ",,,,,,,,,,
OR, 	8 , 	6 , 	6 , 	4 , 	25 , 	5 , 	23 , 	19 , 	33 , 	4 , 	8 , 	31 , 	3 , 	2 , 	2 , 	1 , 	1 , 	2 , 	17 , 	15 , 	30 , 	10 , 	4 , 	31 , 	3 , 	238 , 	127 , 	153 , 	104 , 	44 , 	25 , 	14 , 	8 , 	8 , 	2 , 	-   , 	2 , 	2 , 	5 , 	2 , 	2 , 	68 , 	6 , 	1 , 	10 , 	2 , 	-   , 	-   , 	3 , 	2 ," 	1,116 ",,,,,,,,,,
RR, 	14 , 	23 , 	20 , 	9 , 	32 , 	9 , 	37 , 	58 , 	90 , 	14 , 	30 , 	42 , 	12 , 	6 , 	6 , 	3 , 	7 , 	11 , 	44 , 	49 , 	76 , 	60 , 	38 , 	26 , 	16 , 	411 , 	267 , 	388 , 	246 , 	154 , 	119 , 	47 , 	20 , 	18 , 	4 , 	6 , 	8 , 	9 , 	16 , 	10 , 	7 , 	120 , 	27 , 	2 , 	22 , 	5 , 	-   , 	-   , 	4 , 	16 ," 	2,653 ",,,,,,,,,,
OW, 	12 , 	22 , 	11 , 	10 , 	32 , 	17 , 	22 , 	32 , 	58 , 	15 , 	48 , 	60 , 	23 , 	16 , 	15 , 	5 , 	7 , 	10 , 	9 , 	12 , 	12 , 	6 , 	3 , 	14 , 	15 , 	680 , 	488 , 	812 , 	404 , 	277 , 	172 , 	47 , 	38 , 	34 , 	10 , 	11 , 	16 , 	2 , 	13 , 	7 , 	11 , 	84 , 	15 , 	6 , 	8 , 	4 , 	-   , 	-   , 	3 , 	8 ," 	3,629 ",,,,,,,,,,
EM, 	201 , 	423 , 	263 , 	378 , 	986 , 	347 , 	523 , 	452 , 	472 , 	385 , 	445 , 	316 , 	300 , 	272 , 	169 , 	140 , 	241 , 	398 , 	328 , 	472 , 	607 , 	395 , 	294 , 	578 , 	885 , 	97 , 	52 , 	314 , 	180 , 	482 , 	646 , 	413 , 	568 , 	457 , 	150 , 	241 ," 	1,114 ", 	138 , 	200 , 	119 , 	154 , 	430 , 	352 , 	347 , 	108 , 	182 , 	-   , 	-   , 	26 , 	159 ," 	17,195 ",,,,,,,,,,
MT, 	137 , 	276 , 	171 , 	212 , 	502 , 	190 , 	311 , 	297 , 	326 , 	291 , 	289 , 	163 , 	213 , 	203 , 	94 , 	72 , 	133 , 	186 , 	170 , 	220 , 	292 , 	173 , 	140 , 	290 , 	619 , 	46 , 	54 , 	46 , 	89 , 	335 , 	446 , 	351 , 	917 , 	401 , 	119 , 	120 , 	362 , 	66 , 	123 , 	90 , 	95 , 	287 , 	201 , 	163 , 	52 , 	101 , 	-   , 	-   , 	14 , 	67 ," 	10,507 ",,,,,,,,,,
PL, 	226 , 	507 , 	220 , 	222 , 	675 , 	241 , 	446 , 	415 , 	463 , 	394 , 	498 , 	309 , 	306 , 	291 , 	154 , 	128 , 	178 , 	273 , 	231 , 	288 , 	320 , 	178 , 	135 , 	357 , 	841 , 	322 , 	47 , 	99 , 	196 ," 	1,098 "," 	1,295 ", 	832 ," 	1,504 "," 	1,082 ", 	276 , 	177 , 	528 , 	98 , 	210 , 	241 , 	267 ," 	1,245 ", 	507 , 	199 , 	114 , 	125 , 	-   , 	-   , 	27 , 	126 ," 	18,905 ",,,,,,,,,,
CC, 	103 , 	170 , 	127 , 	185 , 	386 , 	187 , 	316 , 	322 , 	284 , 	230 , 	306 , 	151 , 	133 , 	112 , 	69 , 	42 , 	86 , 	119 , 	100 , 	120 , 	179 , 	120 , 	103 , 	247 , 	464 , 	146 , 	84 , 	191 , 	46 , 	367 , 	495 , 	289 , 	448 , 	362 , 	117 , 	84 , 	250 , 	38 , 	62 , 	100 , 	126 , 	424 , 	277 , 	99 , 	42 , 	72 , 	-   , 	-   , 	16 , 	47 ," 	8,837 ",,,,,,,,,,
16, 	73 , 	107 , 	61 , 	115 , 	247 , 	137 , 	222 , 	240 , 	164 , 	148 , 	184 , 	83 , 	66 , 	61 , 	32 , 	20 , 	28 , 	62 , 	54 , 	61 , 	72 , 	40 , 	42 , 	157 , 	316 , 	459 , 	330 ," 	1,123 ", 	404 , 	38 , 	180 , 	216 , 	323 , 	248 , 	81 , 	38 , 	81 , 	20 , 	36 , 	60 , 	91 , 	189 , 	196 , 	33 , 	14 , 	29 , 	-   , 	-   , 	5 , 	19 ," 	6,997 ",,,,,,,,,,
