Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Mar 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
OR, 	5 , 	8 , 	5 , 	4 , 	30 , 	7 , 	13 , 	8 , 	29 , 	4 , 	17 , 	15 , 	2 , 	1 , 	1 , 	2 , 	2 , 	5 , 	39 , 	16 , 	30 , 	11 , 	2 , 	39 , 	2 , 	148 , 	98 , 	216 , 	82 , 	8 , 	11 , 	9 , 	9 , 	11 , 	10 , 	3 , 	1 , 	3 , 	6 , 	914 ,,,FT/ED line," 	17,313 "," 	5,337 "," 	3,548 "," 	5,135 "," 	1,657 "," 	7,757 "," 	146,984 "
RR, 	52 , 	38 , 	23 , 	28 , 	38 , 	9 , 	21 , 	28 , 	50 , 	10 , 	43 , 	22 , 	17 , 	13 , 	5 , 	3 , 	3 , 	12 , 	59 , 	28 , 	50 , 	26 , 	32 , 	5 , 	9 , 	285 , 	281 , 	560 , 	218 , 	67 , 	47 , 	21 , 	14 , 	17 , 	13 , 	2 , 	5 , 	6 , 	25 ," 	2,184 ",,,,,,,,,,
OW, 	32 , 	31 , 	7 , 	9 , 	38 , 	31 , 	40 , 	26 , 	49 , 	13 , 	83 , 	71 , 	21 , 	37 , 	17 , 	5 , 	9 , 	10 , 	8 , 	3 , 	9 , 	2 , 	1 , 	10 , 	3 , 	300 , 	271 , 	599 , 	151 , 	60 , 	74 , 	16 , 	28 , 	10 , 	7 , 	3 , 	14 , 	1 , 	11 ," 	2,108 ",,,,,,,,,,
EM, 	86 , 	274 , 	149 , 	207 , 	445 , 	179 , 	287 , 	190 , 	316 , 	157 , 	300 , 	175 , 	171 , 	193 , 	131 , 	86 , 	150 , 	270 , 	182 , 	282 , 	300 , 	177 , 	160 , 	308 , 	333 , 	58 , 	52 , 	259 , 	107 , 	468 , 	507 , 	265 , 	333 , 	284 , 	140 , 	145 , 	589 , 	70 , 	200 ," 	8,984 ",,,,,,,,,,
MT, 	149 , 	281 , 	171 , 	230 , 	353 , 	150 , 	250 , 	168 , 	389 , 	192 , 	301 , 	141 , 	174 , 	173 , 	75 , 	57 , 	106 , 	239 , 	136 , 	190 , 	206 , 	90 , 	98 , 	308 , 	285 , 	160 , 	218 , 	170 , 	349 , 	433 , 	612 , 	455 ," 	1,036 ", 	426 , 	189 , 	83 , 	264 , 	51 , 	133 ," 	9,493 ",,,,,,,,,,
PL, 	205 , 	608 , 	312 , 	425 ," 	1,120 ", 	390 , 	643 , 	383 , 	709 , 	426 , 	690 , 	397 , 	316 , 	296 , 	202 , 	156 , 	265 , 	517 , 	291 , 	338 , 	426 , 	252 , 	246 , 	570 , 	682 , 	234 , 	103 , 	143 , 	230 ," 	1,539 "," 	2,042 "," 	1,155 "," 	1,913 "," 	1,174 ", 	601 , 	197 , 	747 , 	85 , 	268 ," 	21,298 ",,,,,,,,,,
CC, 	90 , 	190 , 	109 , 	203 , 	500 , 	182 , 	293 , 	164 , 	242 , 	142 , 	238 , 	145 , 	99 , 	110 , 	73 , 	43 , 	64 , 	140 , 	98 , 	108 , 	143 , 	91 , 	83 , 	220 , 	177 , 	94 , 	89 , 	217 , 	82 , 	757 , 	976 , 	412 , 	801 , 	402 , 	250 , 	65 , 	194 , 	40 , 	83 ," 	8,409 ",,,,,,,,,,
16, 	78 , 	72 , 	35 , 	70 , 	169 , 	92 , 	131 , 	68 , 	91 , 	65 , 	129 , 	64 , 	22 , 	26 , 	29 , 	20 , 	18 , 	30 , 	38 , 	22 , 	27 , 	14 , 	9 , 	83 , 	68 , 	292 , 	401 ," 	1,468 ", 	691 , 	55 , 	343 , 	242 , 	441 , 	204 , 	112 , 	9 , 	40 , 	7 , 	34 ," 	5,808 ",,,,,,,,,,
24, 	137 , 	108 , 	26 , 	60 , 	125 , 	68 , 	104 , 	66 , 	98 , 	61 , 	202 , 	109 , 	41 , 	41 , 	37 , 	31 , 	22 , 	35 , 	74 , 	30 , 	30 , 	11 , 	14 , 	69 , 	76 , 	393 , 	532 ," 	1,955 ", 	923 , 	334 , 	72 , 	216 , 	482 , 	286 , 	168 , 	12 , 	36 , 	13 , 	62 ," 	7,156 ",,,,,,,,,,
GP, 	22 , 	33 , 	15 , 	22 , 	59 , 	15 , 	31 , 	21 , 	46 , 	22 , 	37 , 	38 , 	16 , 	12 , 	15 , 	7 , 	9 , 	11 , 	23 , 	18 , 	16 , 	7 , 	9 , 	30 , 	20 , 	227 , 	299 ," 	1,293 ", 	347 , 	187 , 	198 , 	31 , 	99 , 	43 , 	46 , 	8 , 	21 , 	4 , 	26 ," 	3,381 ",,,,,,,,,,
BP, 	32 , 	52 , 	16 , 	22 , 	41 , 	18 , 	31 , 	27 , 	66 , 	26 , 	56 , 	38 , 	19 , 	20 , 	19 , 	16 , 	15 , 	20 , 	27 , 	22 , 	21 , 	9 , 	10 , 	22 , 	37 , 	289 , 	501 ," 	2,633 ", 	674 , 	396 , 	487 , 	89 , 	45 , 	74 , 	92 , 	8 , 	27 , 	6 , 	33 ," 	6,039 ",,,,,,,,,,
DC, 	24 , 	59 , 	18 , 	20 , 	95 , 	22 , 	30 , 	40 , 	73 , 	26 , 	56 , 	64 , 	26 , 	25 , 	20 , 	16 , 	26 , 	37 , 	34 , 	30 , 	32 , 	10 , 	10 , 	18 , 	23 , 	254 , 	354 ," 	1,179 ", 	374 , 	198 , 	286 , 	59 , 	85 , 	12 , 	45 , 	15 , 	47 , 	10 , 	52 ," 	3,801 ",,,,,,,,,,
CM, 	15 , 	29 , 	9 , 	15 , 	57 , 	12 , 	22 , 	22 , 	42 , 	10 , 	21 , 	25 , 	9 , 	9 , 	10 , 	8 , 	8 , 	14 , 	31 , 	25 , 	25 , 	6 , 	7 , 	17 , 	9 , 	122 , 	163 , 	611 , 	218 , 	104 , 	165 , 	54 , 	92 , 	42 , 	11 , 	6 , 	11 , 	7 , 	40 ," 	2,104 ",,,,,,,,,,
CV, 	2 , 	6 , 	2 , 	3 , 	27 , 	4 , 	5 , 	13 , 	15 , 	30 , 	42 , 	28 , 	24 , 	45 , 	15 , 	10 , 	5 , 	12 , 	4 , 	2 , 	2 , 	2 , 	1 , 	3 , 	3 , 	137 , 	96 , 	176 , 	77 , 	10 , 	11 , 	9 , 	10 , 	14 , 	7 , 	2 , 	70 , 	0 , 	3 , 	927 ,,,,,,,,,,
ED, 	16 , 	15 , 	5 , 	10 , 	59 , 	17 , 	22 , 	26 , 	29 , 	37 , 	95 , 	121 , 	43 , 	133 , 	37 , 	25 , 	25 , 	35 , 	6 , 	5 , 	5 , 	4 , 	2 , 	8 , 	11 , 	541 , 	276 , 	641 , 	185 , 	30 , 	36 , 	21 , 	31 , 	47 , 	17 , 	67 , 	18 , 	1 , 	4 ," 	2,706 ",,,,,,,,,,
NC, 	4 , 	4 , 	1 , 	2 , 	8 , 	2 , 	8 , 	5 , 	13 , 	1 , 	5 , 	11 , 	4 , 	1 , 	2 , 	1 , 	2 , 	4 , 	27 , 	12 , 	25 , 	4 , 	1 , 	8 , 	1 , 	71 , 	48 , 	81 , 	32 , 	7 , 	16 , 	6 , 	9 , 	11 , 	7 , 	-   , 	0 , 	4 , 	40 , 	486 ,,,,,,,,,,
WP, 	22 , 	30 , 	6 , 	8 , 	28 , 	14 , 	54 , 	40 , 	69 , 	9 , 	37 , 	70 , 	17 , 	14 , 	17 , 	15 , 	11 , 	30 , 	247 , 	54 , 	101 , 	18 , 	10 , 	32 , 	14 , 	192 , 	132 , 	282 , 	94 , 	40 , 	81 , 	34 , 	46 , 	55 , 	47 , 	4 , 	7 , 	43 , 	17 ," 	2,042 ",,,,,,,,,,
Entries," 	2,304 "," 	3,553 "," 	1,843 "," 	2,119 "," 	6,893 "," 	2,578 "," 	3,267 "," 	2,457 "," 	4,577 "," 	2,196 "," 	4,575 "," 	3,529 "," 	2,159 "," 	2,628 "," 	2,052 "," 	1,225 "," 	1,633 "," 	2,869 "," 	2,417 "," 	1,729 "," 	2,328 "," 	1,071 ", 	951 ," 	2,293 "," 	2,323 "," 	8,022 "," 	7,735 "," 	21,706 "," 	8,609 "," 	6,031 "," 	7,480 "," 	3,577 "," 	6,095 "," 	3,879 "," 	2,167 ", 	902 ," 	2,841 ", 	523 ," 	1,845 "," 	146,984 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
