Exit stations,Entry stations->,,WEEKDAY,,,Jun 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
WC, 	25 , 	45 , 	25 , 	30 , 	168 , 	35 , 	132 , 	323 , 	333 , 	38 , 	43 , 	65 , 	24 , 	23 , 	22 , 	14 , 	13 , 	30 , 	369 , 	135 , 	28 , 	75 , 	46 , 	166 , 	24 ," 	1,439 "," 	1,388 ", 	574 , 	451 , 	126 , 	68 , 	50 , 	38 , 	54 , 	23 , 	9 , 	7 , 	60 , 	257 , 	18 , 	26 , 	190 , 	35 , 	4 , 	52 , 	-   ," 	7,099 ",,,OAK,"43,957","2,339",,,,,,
LF, 	11 , 	12 , 	14 , 	11 , 	86 , 	11 , 	56 , 	174 , 	176 , 	14 , 	25 , 	37 , 	9 , 	5 , 	9 , 	4 , 	4 , 	13 , 	128 , 	64 , 	80 , 	14 , 	16 , 	84 , 	7 ," 	1,032 ", 	926 , 	362 , 	304 , 	65 , 	35 , 	26 , 	15 , 	18 , 	6 , 	2 , 	4 , 	13 , 	47 , 	6 , 	10 , 	106 , 	19 , 	2 , 	27 , 	-   ," 	4,091 ",,,CM line,"66,267","10,252","7,506",,,,,
OR, 	9 , 	13 , 	10 , 	11 , 	73 , 	9 , 	48 , 	112 , 	148 , 	12 , 	26 , 	25 , 	8 , 	4 , 	5 , 	1 , 	6 , 	17 , 	43 , 	30 , 	45 , 	23 , 	22 , 	69 , 	5 , 	837 , 	757 , 	268 , 	246 , 	52 , 	30 , 	29 , 	12 , 	16 , 	5 , 	2 , 	3 , 	8 , 	19 , 	8 , 	7 , 	76 , 	14 , 	1 , 	16 , 	-   ," 	3,179 ",,,RM line,"34,958","13,919","6,870","7,527",,,,
RR, 	23 , 	40 , 	38 , 	28 , 	78 , 	19 , 	77 , 	223 , 	246 , 	45 , 	70 , 	52 , 	24 , 	15 , 	16 , 	10 , 	11 , 	36 , 	93 , 	117 , 	151 , 	79 , 	67 , 	21 , 	32 ," 	1,234 "," 	1,316 ", 	720 , 	710 , 	250 , 	126 , 	60 , 	33 , 	28 , 	6 , 	8 , 	13 , 	23 , 	62 , 	6 , 	17 , 	156 , 	32 , 	5 , 	27 , 	-   ," 	6,443 ",,,WP line,"48,333","11,083","5,011","3,378","5,487",,,
OW, 	23 , 	42 , 	19 , 	19 , 	95 , 	41 , 	68 , 	81 , 	130 , 	42 , 	116 , 	103 , 	48 , 	47 , 	35 , 	16 , 	15 , 	27 , 	21 , 	16 , 	20 , 	5 , 	5 , 	31 , 	19 ," 	1,654 "," 	1,400 ", 	990 , 	863 , 	371 , 	210 , 	56 , 	64 , 	41 , 	13 , 	14 , 	28 , 	6 , 	32 , 	9 , 	32 , 	85 , 	31 , 	9 , 	12 , 	-   ," 	7,003 ",,,FT/ED line,"56,344","19,079","7,106","8,314","3,387","13,339",,
EM, 	434 ," 	1,082 ", 	676 , 	841 ," 	1,695 "," 	1,009 "," 	1,336 "," 	1,662 "," 	1,686 "," 	1,053 "," 	1,153 ", 	654 , 	914 , 	848 , 	639 , 	516 ," 	1,165 "," 	2,197 "," 	1,208 "," 	2,008 "," 	1,777 "," 	1,111 ", 	909 ," 	1,353 "," 	1,966 ", 	189 , 	135 , 	570 , 	585 ," 	1,124 "," 	1,739 "," 	1,255 "," 	1,618 "," 	1,361 ", 	873 , 	675 ," 	2,330 ", 	635 , 	935 , 	674 , 	592 , 	557 ," 	1,149 ", 	998 , 	175 , 	-   ," 	48,062 ",,,SFIA,"23,379","2,971","6,712","2,641","3,020","1,829","1,494","422,338"
MT, 	464 ," 	1,011 ", 	655 , 	718 ," 	1,269 ", 	917 ," 	1,245 "," 	1,379 "," 	1,280 "," 	1,001 "," 	1,049 ", 	576 , 	712 , 	747 , 	557 , 	411 , 	860 ," 	1,672 "," 	1,039 "," 	1,646 "," 	1,305 ", 	805 , 	673 ," 	1,182 "," 	1,501 ", 	152 , 	167 , 	209 , 	537 ," 	1,513 "," 	2,442 "," 	1,739 "," 	2,730 "," 	1,925 "," 	1,151 ", 	563 ," 	1,604 ", 	517 , 	829 , 	908 , 	792 , 	527 ," 	1,640 ", 	685 , 	119 , 	-   ," 	45,422 ",,,,,,,,,,,
PL, 	398 , 	735 , 	359 , 	392 ," 	1,005 ", 	451 , 	808 , 	863 , 	943 , 	633 , 	786 , 	474 , 	455 , 	456 , 	318 , 	224 , 	318 , 	575 , 	453 , 	510 , 	452 , 	259 , 	201 , 	539 , 	896 , 	811 , 	346 , 	153 , 	401 ," 	1,487 "," 	1,909 "," 	1,196 "," 	2,270 "," 	1,320 ", 	649 , 	251 , 	670 , 	260 , 	537 , 	466 , 	446 ," 	1,506 ", 	793 , 	282 , 	138 , 	-   ," 	29,393 ",,,,,,,,,,,
CC, 	314 , 	637 , 	381 , 	471 , 	736 , 	550 , 	834 , 	881 , 	745 , 	551 , 	795 , 	401 , 	418 , 	403 , 	278 , 	224 , 	271 , 	453 , 	427 , 	478 , 	349 , 	253 , 	206 , 	591 , 	823 , 	574 , 	550 , 	368 , 	88 , 	715 ," 	1,142 ", 	857 ," 	1,388 ", 	848 , 	536 , 	229 , 	584 , 	235 , 	487 , 	381 , 	378 , 	568 , 	651 , 	246 , 	76 , 	-   ," 	23,373 ",,,,,,,,,,,
16, 	172 , 	204 , 	104 , 	166 , 	380 , 	272 , 	423 , 	455 , 	372 , 	255 , 	307 , 	152 , 	129 , 	115 , 	91 , 	67 , 	68 , 	130 , 	108 , 	120 , 	114 , 	51 , 	44 , 	200 , 	368 ," 	1,136 "," 	1,547 "," 	1,718 ", 	805 , 	34 , 	262 , 	370 , 	718 , 	337 , 	172 , 	57 , 	157 , 	68 , 	166 , 	148 , 	141 , 	247 , 	311 , 	56 , 	25 , 	-   ," 	13,342 ",,,,,,,,,,,
24, 	147 , 	162 , 	60 , 	108 , 	262 , 	152 , 	241 , 	332 , 	312 , 	134 , 	220 , 	117 , 	90 , 	76 , 	63 , 	47 , 	34 , 	54 , 	70 , 	60 , 	61 , 	32 , 	24 , 	111 , 	224 ," 	1,497 "," 	2,030 "," 	2,212 "," 	1,203 ", 	264 , 	49 , 	278 , 	610 , 	278 , 	152 , 	26 , 	88 , 	37 , 	124 , 	112 , 	142 , 	200 , 	258 , 	30 , 	25 , 	-   ," 	12,806 ",,,,,,,,,,,
