Exit stations,Entry stations->,,TOTAL,,,Oct 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	387 ," 	2,013 "," 	1,686 "," 	1,059 "," 	6,732 "," 	1,247 "," 	1,996 "," 	1,501 "," 	1,597 ", 	592 ," 	1,423 ", 	981 , 	472 , 	257 , 	561 , 	256 , 	117 , 	203 , 	296 , 	247 , 	359 , 	190 , 	147 , 	336 , 	532 ," 	4,965 "," 	3,669 "," 	6,733 "," 	3,644 "," 	2,681 "," 	2,713 ", 	727 , 	747 ," 	1,311 ", 	301 , 	104 , 	160 , 	91 , 	188 , 	244 , 	296 ," 	1,030 ", 	324 , 	80 , 	298 , 	407 , 	162 , 	234 , 	182 , 	175 ," 	56,653 ",,,,,,,,,,,,,
LF, 	170 , 	139 , 	99 , 	108 , 	729 , 	89 , 	613 ," 	1,118 ", 	934 , 	72 , 	276 , 	202 , 	42 , 	31 , 	106 , 	15 , 	25 , 	25 ," 	2,019 ", 	901 , 	983 , 	319 , 	297 , 	973 , 	74 ," 	7,775 "," 	5,179 "," 	2,944 "," 	2,627 ", 	736 , 	525 , 	216 , 	196 , 	218 , 	60 , 	9 , 	35 , 	71 , 	460 , 	25 , 	90 ," 	1,783 ", 	103 , 	5 , 	419 , 	8 , 	38 , 	54 , 	216 , 	265 ," 	34,416 ",,,,,,,,,,,,,
OR, 	151 , 	157 , 	63 , 	103 , 	541 , 	66 , 	524 , 	894 , 	790 , 	56 , 	306 , 	173 , 	57 , 	67 , 	63 , 	16 , 	23 , 	57 , 	478 , 	405 , 	634 , 	281 , 	260 , 	927 , 	67 ," 	6,924 "," 	4,315 "," 	2,361 "," 	2,183 ", 	772 , 	343 , 	235 , 	135 , 	235 , 	31 , 	73 , 	27 , 	56 , 	143 , 	41 , 	46 ," 	1,159 ", 	69 , 	11 , 	180 , 	17 , 	77 , 	41 , 	130 , 	191 ," 	26,954 ",,,,,,,,,,,,,
RR, 	369 , 	426 , 	372 , 	238 , 	397 , 	135 ," 	1,000 "," 	1,806 "," 	1,630 ", 	233 , 	665 , 	409 , 	268 , 	224 , 	178 , 	60 , 	124 , 	141 , 	990 ," 	1,429 "," 	1,836 ", 	953 , 	989 , 	501 , 	374 ," 	9,932 "," 	7,383 "," 	5,738 "," 	5,654 "," 	2,546 "," 	1,505 ", 	685 , 	754 , 	528 , 	135 , 	88 , 	68 , 	173 , 	608 , 	128 , 	169 ," 	2,488 ", 	160 , 	33 , 	273 , 	120 , 	91 , 	120 , 	284 , 	536 ," 	55,946 ",,,,,,,,,,,,,
OW, 	531 , 	544 , 	146 , 	145 , 	985 , 	470 , 	828 , 	656 , 	998 , 	387 ," 	1,931 "," 	1,331 ", 	720 , 	638 , 	592 , 	259 , 	232 , 	201 , 	289 , 	123 , 	287 , 	40 , 	63 , 	383 , 	525 ," 	17,846 "," 	11,420 "," 	13,370 "," 	10,319 "," 	4,928 "," 	3,193 ", 	834 ," 	1,044 ", 	691 , 	262 , 	161 , 	391 , 	59 , 	281 , 	229 , 	344 ," 	2,072 ", 	455 , 	112 , 	237 , 	184 , 	104 , 	137 , 	195 , 	341 ," 	82,513 ",,,,,,,,,,,,,
EM," 	5,877 "," 	10,635 "," 	6,687 "," 	7,119 "," 	12,018 "," 	6,532 "," 	12,069 "," 	15,082 "," 	14,190 "," 	9,489 "," 	11,382 "," 	6,318 "," 	9,445 "," 	7,708 "," 	5,157 "," 	4,078 "," 	5,725 "," 	6,637 "," 	7,874 "," 	12,391 "," 	12,181 "," 	9,019 "," 	8,039 "," 	10,832 "," 	21,036 "," 	3,434 ", 	738 ," 	3,987 "," 	4,697 "," 	10,957 "," 	15,185 "," 	9,463 "," 	12,394 "," 	12,449 "," 	4,939 "," 	5,448 "," 	15,778 "," 	2,412 "," 	5,545 "," 	4,156 "," 	3,636 "," 	7,370 "," 	5,803 "," 	6,456 "," 	2,007 "," 	2,455 "," 	3,256 "," 	3,726 "," 	1,158 "," 	6,554 "," 	391,523 ",,,,,,,,,,,,,
MT," 	4,864 "," 	8,455 "," 	4,868 "," 	5,276 "," 	8,921 "," 	5,285 "," 	9,007 "," 	11,337 "," 	10,247 "," 	7,590 "," 	8,179 "," 	4,316 "," 	7,629 "," 	6,822 "," 	3,593 "," 	2,898 "," 	3,687 "," 	4,021 "," 	5,622 "," 	8,602 "," 	7,510 "," 	5,498 "," 	4,427 "," 	8,030 "," 	13,988 ", 	859 ," 	2,032 "," 	1,103 "," 	3,305 "," 	10,616 "," 	16,679 "," 	11,514 "," 	17,634 "," 	14,743 "," 	5,655 "," 	4,274 "," 	8,865 "," 	1,635 "," 	4,877 "," 	4,231 "," 	4,207 "," 	8,071 "," 	5,837 "," 	3,311 "," 	1,367 "," 	1,790 "," 	2,309 "," 	2,605 "," 	1,115 "," 	5,119 "," 	314,425 ",,,,,,,,,,,,,
PL," 	5,900 "," 	8,828 "," 	3,602 "," 	3,590 "," 	8,573 "," 	3,654 "," 	7,064 "," 	7,868 "," 	8,476 "," 	6,150 "," 	8,522 "," 	4,933 "," 	5,920 "," 	5,867 "," 	2,950 "," 	1,944 "," 	2,602 "," 	2,609 "," 	4,318 "," 	4,789 "," 	4,676 "," 	2,676 "," 	2,308 "," 	4,909 "," 	12,768 "," 	4,944 "," 	1,450 "," 	2,832 "," 	2,672 "," 	13,702 "," 	18,030 "," 	11,028 "," 	19,540 "," 	14,779 "," 	4,982 "," 	2,415 "," 	6,761 "," 	1,440 "," 	5,131 "," 	4,270 "," 	3,859 "," 	21,835 "," 	5,243 "," 	2,097 "," 	1,710 "," 	1,191 "," 	1,923 "," 	1,891 "," 	1,174 "," 	4,182 "," 	294,577 ",,,,,,,,,,,,,
CC," 	3,619 "," 	6,204 "," 	3,528 "," 	4,401 "," 	7,042 "," 	4,611 "," 	8,046 "," 	8,235 "," 	7,380 "," 	5,630 "," 	9,105 "," 	3,855 "," 	4,867 "," 	4,201 "," 	2,476 "," 	2,035 "," 	1,898 "," 	2,262 "," 	3,759 "," 	4,062 "," 	4,283 "," 	2,572 "," 	2,110 "," 	5,246 "," 	10,340 "," 	4,466 "," 	3,154 "," 	2,601 "," 	1,785 "," 	6,597 "," 	9,939 "," 	7,733 "," 	11,314 "," 	10,132 "," 	4,290 "," 	2,448 "," 	5,176 "," 	1,249 "," 	3,106 "," 	3,673 "," 	3,808 "," 	7,982 "," 	5,319 "," 	1,846 ", 	843 ," 	1,106 "," 	1,366 "," 	1,431 ", 	729 ," 	3,314 "," 	227,174 ",,,,,,,,,,,,,
16," 	2,586 "," 	2,711 "," 	1,413 "," 	1,938 "," 	4,209 "," 	2,378 "," 	4,707 "," 	5,062 "," 	4,081 "," 	2,968 "," 	3,619 "," 	1,663 "," 	1,968 "," 	1,457 "," 	1,161 ", 	752 , 	810 , 	775 ," 	1,286 "," 	1,396 "," 	1,249 ", 	694 , 	758 ," 	2,494 "," 	5,377 "," 	10,548 "," 	10,206 "," 	15,782 "," 	7,429 ", 	870 ," 	2,603 "," 	4,694 "," 	7,118 "," 	6,073 "," 	2,592 ", 	676 ," 	1,477 ", 	371 ," 	1,447 "," 	1,748 "," 	2,181 "," 	4,938 "," 	2,969 ", 	655 , 	452 , 	377 , 	431 , 	609 , 	418 ," 	1,308 "," 	145,484 ",,,,,,,,,,,,,
24," 	2,464 "," 	2,541 ", 	962 ," 	1,191 "," 	3,370 "," 	1,383 "," 	3,060 "," 	3,540 "," 	2,868 "," 	2,060 "," 	2,868 "," 	1,812 "," 	1,549 ", 	976 , 	662 , 	767 , 	413 , 	406 , 	991 , 	823 , 	826 , 	544 , 	404 ," 	1,464 "," 	3,512 "," 	14,132 "," 	13,950 "," 	21,131 "," 	11,039 "," 	2,525 ", 	762 ," 	4,091 "," 	5,678 "," 	5,056 "," 	2,391 ", 	429 , 	866 , 	383 ," 	1,331 "," 	1,716 "," 	2,189 "," 	3,488 "," 	2,497 ", 	389 , 	349 , 	287 , 	281 , 	313 , 	300 , 	953 ," 	137,982 ",,,,,,,,,,,,,
