Exit stations,Entry stations->,,SUNDAY,,,Oct 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
LF, 	2 , 	3 , 	3 , 	3 , 	8 , 	3 , 	11 , 	12 , 	7 , 	1 , 	9 , 	2 , 	1 , 	0 , 	3 , 	-   , 	0 , 	0 , 	28 , 	18 , 	15 , 	10 , 	9 , 	17 , 	1 , 	117 , 	41 , 	82 , 	63 , 	14 , 	9 , 	7 , 	6 , 	5 , 	1 , 	0 , 	1 , 	1 , 	6 , 	1 , 	1 , 	51 , 	2 , 	-   , 	13 , 	0 , 	2 , 	1 , 	4 , 	4 , 	600 ,,,,,,,,,,,
OR, 	2 , 	3 , 	2 , 	3 , 	10 , 	1 , 	6 , 	13 , 	6 , 	1 , 	6 , 	3 , 	-   , 	1 , 	1 , 	0 , 	-   , 	0 , 	6 , 	8 , 	13 , 	8 , 	9 , 	18 , 	1 , 	101 , 	33 , 	59 , 	44 , 	16 , 	11 , 	5 , 	1 , 	3 , 	1 , 	-   , 	1 , 	0 , 	1 , 	1 , 	1 , 	33 , 	3 , 	0 , 	4 , 	0 , 	1 , 	1 , 	2 , 	2 , 	445 ,,,,,,,,,,,
RR, 	7 , 	6 , 	3 , 	4 , 	6 , 	3 , 	17 , 	30 , 	24 , 	3 , 	20 , 	3 , 	4 , 	3 , 	3 , 	1 , 	1 , 	4 , 	10 , 	27 , 	31 , 	19 , 	18 , 	19 , 	9 , 	155 , 	101 , 	146 , 	122 , 	58 , 	37 , 	13 , 	5 , 	7 , 	2 , 	1 , 	2 , 	2 , 	6 , 	2 , 	3 , 	75 , 	5 , 	1 , 	9 , 	0 , 	2 , 	4 , 	3 , 	7 ," 	1,041 ",,,,,,,,,,,
OW, 	7 , 	8 , 	3 , 	3 , 	16 , 	12 , 	13 , 	12 , 	14 , 	11 , 	45 , 	18 , 	9 , 	10 , 	6 , 	5 , 	4 , 	3 , 	2 , 	2 , 	5 , 	1 , 	1 , 	11 , 	11 , 	256 , 	144 , 	307 , 	209 , 	120 , 	66 , 	15 , 	15 , 	11 , 	6 , 	4 , 	9 , 	1 , 	4 , 	4 , 	6 , 	62 , 	10 , 	3 , 	7 , 	3 , 	3 , 	5 , 	2 , 	5 ," 	1,507 ",,,,,,,,,,,
EM, 	104 , 	140 , 	91 , 	124 , 	278 , 	103 , 	179 , 	193 , 	175 , 	114 , 	146 , 	88 , 	134 , 	105 , 	61 , 	48 , 	85 , 	102 , 	84 , 	165 , 	170 , 	123 , 	104 , 	168 , 	311 , 	97 , 	10 , 	77 , 	52 , 	153 , 	163 , 	97 , 	134 , 	154 , 	41 , 	92 , 	302 , 	34 , 	75 , 	44 , 	51 , 	200 , 	121 , 	92 , 	39 , 	42 , 	105 , 	80 , 	13 , 	62 ," 	5,722 ",,,,,,,,,,,
MT, 	58 , 	81 , 	51 , 	79 , 	196 , 	77 , 	120 , 	139 , 	134 , 	93 , 	93 , 	43 , 	71 , 	76 , 	28 , 	26 , 	31 , 	41 , 	40 , 	78 , 	77 , 	45 , 	31 , 	106 , 	189 , 	10 , 	44 , 	20 , 	26 , 	126 , 	141 , 	88 , 	167 , 	109 , 	42 , 	42 , 	96 , 	14 , 	35 , 	24 , 	41 , 	210 , 	71 , 	33 , 	30 , 	19 , 	46 , 	43 , 	7 , 	25 ," 	3,511 ",,,,,,,,,,,
PL, 	102 , 	140 , 	73 , 	87 , 	236 , 	83 , 	147 , 	144 , 	155 , 	121 , 	153 , 	89 , 	117 , 	108 , 	54 , 	39 , 	39 , 	45 , 	51 , 	95 , 	104 , 	70 , 	53 , 	115 , 	296 , 	77 , 	15 , 	90 , 	54 , 	338 , 	409 , 	195 , 	333 , 	295 , 	98 , 	45 , 	160 , 	21 , 	65 , 	66 , 	91 , 	554 , 	129 , 	47 , 	39 , 	24 , 	90 , 	45 , 	16 , 	50 ," 	6,061 ",,,,,,,,,,,
CC, 	43 , 	72 , 	53 , 	91 , 	174 , 	90 , 	143 , 	131 , 	112 , 	87 , 	130 , 	48 , 	61 , 	55 , 	29 , 	22 , 	25 , 	40 , 	28 , 	67 , 	112 , 	64 , 	43 , 	115 , 	206 , 	47 , 	25 , 	50 , 	48 , 	131 , 	205 , 	113 , 	136 , 	146 , 	52 , 	39 , 	107 , 	7 , 	23 , 	43 , 	62 , 	235 , 	120 , 	36 , 	20 , 	20 , 	40 , 	40 , 	5 , 	21 ," 	3,810 ",,,,,,,,,,,
16, 	44 , 	41 , 	20 , 	40 , 	104 , 	50 , 	94 , 	94 , 	70 , 	60 , 	69 , 	26 , 	22 , 	16 , 	13 , 	11 , 	11 , 	13 , 	13 , 	24 , 	25 , 	15 , 	15 , 	48 , 	117 , 	140 , 	108 , 	375 , 	149 , 	19 , 	58 , 	71 , 	108 , 	114 , 	45 , 	11 , 	36 , 	4 , 	13 , 	27 , 	43 , 	164 , 	75 , 	11 , 	16 , 	6 , 	18 , 	22 , 	2 , 	9 ," 	2,698 ",,,,,,,,,,,
24, 	36 , 	42 , 	15 , 	34 , 	66 , 	38 , 	69 , 	75 , 	43 , 	54 , 	54 , 	27 , 	19 , 	16 , 	12 , 	8 , 	7 , 	8 , 	11 , 	16 , 	19 , 	9 , 	13 , 	31 , 	79 , 	178 , 	123 , 	476 , 	228 , 	53 , 	22 , 	82 , 	76 , 	106 , 	40 , 	8 , 	22 , 	4 , 	25 , 	29 , 	39 , 	118 , 	51 , 	6 , 	10 , 	3 , 	9 , 	12 , 	3 , 	10 ," 	2,534 ",,,,,,,,,,,
