Exit stations,Entry stations->,,SATURDAY,,,Feb 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
WC, 	8 , 	15 , 	14 , 	17 , 	63 , 	9 , 	40 , 	53 , 	47 , 	15 , 	19 , 	35 , 	10 , 	6 , 	5 , 	1 , 	4 , 	4 , 	149 , 	66 , 	12 , 	29 , 	19 , 	78 , 	14 , 	284 , 	173 , 	292 , 	169 , 	64 , 	38 , 	23 , 	16 , 	25 , 	5 , 	2 , 	4 , 	19 , 	49 , 	4 , 	8 , 	88 , 	12 , 	1 , 	19 , 	8 , 	-   , 	-   , 	24 , 	42 ," 	2,099 ",,,,,,,,,,
LF, 	3 , 	6 , 	6 , 	6 , 	26 , 	3 , 	20 , 	36 , 	26 , 	7 , 	12 , 	20 , 	2 , 	2 , 	3 , 	1 , 	2 , 	2 , 	56 , 	25 , 	25 , 	11 , 	7 , 	35 , 	3 , 	156 , 	114 , 	193 , 	114 , 	35 , 	24 , 	11 , 	6 , 	6 , 	1 , 	0 , 	0 , 	6 , 	19 , 	3 , 	2 , 	56 , 	8 , 	1 , 	7 , 	3 , 	-   , 	-   , 	5 , 	7 ," 	1,123 ",,,,,,,,,,
OR, 	6 , 	5 , 	8 , 	3 , 	24 , 	4 , 	11 , 	27 , 	19 , 	7 , 	10 , 	18 , 	3 , 	1 , 	2 , 	2 , 	1 , 	2 , 	15 , 	13 , 	18 , 	9 , 	4 , 	32 , 	2 , 	140 , 	102 , 	149 , 	97 , 	31 , 	22 , 	8 , 	5 , 	6 , 	2 , 	2 , 	2 , 	1 , 	4 , 	2 , 	2 , 	46 , 	4 , 	1 , 	9 , 	2 , 	-   , 	-   , 	1 , 	4 , 	886 ,,,,,,,,,,
RR, 	18 , 	20 , 	20 , 	10 , 	32 , 	9 , 	41 , 	84 , 	65 , 	17 , 	42 , 	21 , 	12 , 	7 , 	7 , 	3 , 	8 , 	6 , 	34 , 	48 , 	75 , 	38 , 	34 , 	20 , 	23 , 	292 , 	252 , 	381 , 	296 , 	164 , 	104 , 	39 , 	18 , 	21 , 	4 , 	3 , 	7 , 	8 , 	14 , 	6 , 	6 , 	84 , 	17 , 	2 , 	8 , 	8 , 	-   , 	-   , 	4 , 	14 ," 	2,445 ",,,,,,,,,,
OW, 	11 , 	14 , 	8 , 	8 , 	43 , 	19 , 	20 , 	40 , 	59 , 	12 , 	49 , 	47 , 	26 , 	16 , 	13 , 	8 , 	5 , 	8 , 	8 , 	7 , 	12 , 	4 , 	3 , 	14 , 	13 , 	593 , 	475 , 	858 , 	459 , 	254 , 	181 , 	36 , 	43 , 	34 , 	8 , 	6 , 	17 , 	2 , 	6 , 	8 , 	12 , 	71 , 	12 , 	10 , 	5 , 	10 , 	-   , 	-   , 	4 , 	5 ," 	3,579 ",,,,,,,,,,
EM, 	161 , 	273 , 	205 , 	232 , 	619 , 	236 , 	417 , 	469 , 	383 , 	300 , 	336 , 	186 , 	231 , 	222 , 	128 , 	95 , 	157 , 	175 , 	190 , 	293 , 	317 , 	187 , 	173 , 	382 , 	754 , 	81 , 	38 , 	192 , 	130 , 	381 , 	502 , 	281 , 	423 , 	323 , 	100 , 	139 , 	408 , 	77 , 	104 , 	75 , 	83 , 	251 , 	177 , 	162 , 	49 , 	158 , 	-   , 	-   , 	28 , 	99 ," 	11,384 ",,,,,,,,,,
MT, 	154 , 	262 , 	167 , 	197 , 	468 , 	186 , 	350 , 	390 , 	322 , 	296 , 	298 , 	141 , 	221 , 	224 , 	99 , 	79 , 	117 , 	124 , 	143 , 	185 , 	208 , 	133 , 	118 , 	308 , 	642 , 	32 , 	55 , 	53 , 	103 , 	435 , 	562 , 	334 , 	812 , 	431 , 	130 , 	113 , 	237 , 	45 , 	83 , 	90 , 	104 , 	219 , 	178 , 	116 , 	30 , 	102 , 	-   , 	-   , 	19 , 	54 ," 	10,169 ",,,,,,,,,,
PL, 	225 , 	409 , 	236 , 	203 , 	588 , 	206 , 	408 , 	444 , 	413 , 	354 , 	466 , 	216 , 	292 , 	284 , 	164 , 	114 , 	137 , 	165 , 	218 , 	229 , 	274 , 	176 , 	147 , 	345 , 	848 , 	229 , 	65 , 	110 , 	165 ," 	1,056 "," 	1,233 ", 	681 ," 	1,242 ", 	966 , 	259 , 	165 , 	427 , 	84 , 	178 , 	193 , 	222 , 	899 , 	377 , 	154 , 	55 , 	137 , 	-   , 	-   , 	37 , 	97 ," 	16,593 ",,,,,,,,,,
CC, 	107 , 	191 , 	155 , 	222 , 	388 , 	189 , 	331 , 	361 , 	267 , 	219 , 	290 , 	141 , 	140 , 	132 , 	77 , 	48 , 	85 , 	92 , 	99 , 	145 , 	171 , 	131 , 	101 , 	300 , 	517 , 	121 , 	100 , 	149 , 	56 , 	451 , 	578 , 	285 , 	393 , 	371 , 	119 , 	77 , 	220 , 	37 , 	52 , 	91 , 	130 , 	305 , 	274 , 	69 , 	18 , 	91 , 	-   , 	-   , 	10 , 	46 ," 	8,943 ",,,,,,,,,,
16, 	83 , 	89 , 	90 , 	120 , 	288 , 	155 , 	244 , 	291 , 	154 , 	163 , 	157 , 	78 , 	66 , 	55 , 	41 , 	22 , 	33 , 	42 , 	46 , 	50 , 	63 , 	35 , 	34 , 	168 , 	310 , 	360 , 	388 ," 	1,120 ", 	487 , 	25 , 	214 , 	219 , 	367 , 	255 , 	83 , 	33 , 	68 , 	16 , 	41 , 	65 , 	88 , 	139 , 	166 , 	38 , 	10 , 	40 , 	-   , 	-   , 	9 , 	23 ," 	7,130 ",,,,,,,,,,
24, 	109 , 	101 , 	55 , 	79 , 	192 , 	95 , 	163 , 	202 , 	125 , 	104 , 	140 , 	80 , 	52 , 	42 , 	37 , 	20 , 	18 , 	23 , 	30 , 	41 , 	44 , 	25 , 	27 , 	108 , 	208 , 	430 , 	481 ," 	1,357 ", 	620 , 	181 , 	35 , 	218 , 	337 , 	265 , 	89 , 	20 , 	47 , 	12 , 	42 , 	68 , 	103 , 	108 , 	120 , 	22 , 	9 , 	23 , 	-   , 	-   , 	8 , 	17 ," 	6,732 ",,,,,,,,,,
GP, 	17 , 	29 , 	19 , 	23 , 	66 , 	18 , 	47 , 	59 , 	47 , 	29 , 	32 , 	29 , 	21 , 	19 , 	9 , 	7 , 	9 , 	9 , 	18 , 	14 , 	21 , 	8 , 	8 , 	39 , 	42 , 	248 , 	272 , 	771 , 	285 , 	200 , 	224 , 	23 , 	46 , 	42 , 	31 , 	10 , 	19 , 	2 , 	13 , 	15 , 	40 , 	64 , 	48 , 	9 , 	5 , 	8 , 	-   , 	-   , 	3 , 	11 ," 	3,028 ",,,,,,,,,,
BP, 	27 , 	27 , 	16 , 	12 , 	61 , 	16 , 	30 , 	43 , 	42 , 	31 , 	44 , 	34 , 	23 , 	21 , 	13 , 	5 , 	10 , 	10 , 	14 , 	7 , 	15 , 	7 , 	6 , 	15 , 	41 , 	304 , 	390 ," 	1,525 ", 	357 , 	290 , 	294 , 	47 , 	21 , 	41 , 	41 , 	7 , 	15 , 	2 , 	15 , 	23 , 	67 , 	95 , 	55 , 	6 , 	3 , 	6 , 	-   , 	-   , 	3 , 	10 ," 	4,188 ",,,,,,,,,,
DC, 	21 , 	33 , 	22 , 	17 , 	73 , 	16 , 	26 , 	48 , 	42 , 	29 , 	40 , 	54 , 	29 , 	20 , 	16 , 	12 , 	12 , 	14 , 	23 , 	18 , 	22 , 	6 , 	8 , 	20 , 	38 , 	270 , 	337 ," 	1,122 ", 	357 , 	276 , 	245 , 	44 , 	58 , 	24 , 	21 , 	15 , 	35 , 	5 , 	14 , 	23 , 	78 , 	179 , 	75 , 	10 , 	5 , 	15 , 	-   , 	-   , 	5 , 	13 ," 	3,887 ",,,,,,,,,,
CM, 	4 , 	15 , 	6 , 	5 , 	12 , 	3 , 	8 , 	10 , 	16 , 	4 , 	7 , 	6 , 	4 , 	5 , 	4 , 	4 , 	1 , 	1 , 	6 , 	6 , 	8 , 	2 , 	2 , 	3 , 	8 , 	82 , 	104 , 	285 , 	107 , 	69 , 	82 , 	30 , 	35 , 	19 , 	9 , 	1 , 	4 , 	2 , 	10 , 	8 , 	32 , 	131 , 	24 , 	1 , 	0 , 	2 , 	-   , 	-   , 	3 , 	5 ," 	1,193 ",,,,,,,,,,
CV, 	3 , 	3 , 	5 , 	3 , 	22 , 	5 , 	7 , 	12 , 	11 , 	49 , 	34 , 	73 , 	23 , 	27 , 	15 , 	6 , 	7 , 	9 , 	3 , 	1 , 	3 , 	1 , 	1 , 	3 , 	5 , 	118 , 	93 , 	171 , 	78 , 	27 , 	20 , 	15 , 	7 , 	16 , 	1 , 	9 , 	49 , 	1 , 	-   , 	2 , 	4 , 	14 , 	4 , 	51 , 	3 , 	6 , 	-   , 	-   , 	1 , 	0 ," 	1,022 ",,,,,,,,,,
ED, 	6 , 	12 , 	9 , 	12 , 	61 , 	11 , 	15 , 	21 , 	19 , 	67 , 	68 , 	245 , 	37 , 	59 , 	23 , 	15 , 	20 , 	20 , 	4 , 	3 , 	4 , 	1 , 	1 , 	9 , 	17 , 	376 , 	210 , 	412 , 	219 , 	66 , 	39 , 	20 , 	25 , 	39 , 	6 , 	41 , 	24 , 	2 , 	4 , 	5 , 	6 , 	62 , 	8 , 	24 , 	34 , 	20 , 	-   , 	-   , 	1 , 	2 ," 	2,407 ",,,,,,,,,,
NC, 	2 , 	3 , 	1 , 	2 , 	8 , 	1 , 	7 , 	7 , 	9 , 	0 , 	3 , 	18 , 	3 , 	2 , 	2 , 	1 , 	1 , 	1 , 	16 , 	8 , 	18 , 	3 , 	1 , 	8 , 	2 , 	68 , 	40 , 	85 , 	41 , 	17 , 	9 , 	5 , 	4 , 	10 , 	3 , 	2 , 	-   , 	3 , 	10 , 	1 , 	3 , 	24 , 	3 , 	0 , 	4 , 	3 , 	-   , 	-   , 	6 , 	4 , 	474 ,,,,,,,,,,
WP, 	9 , 	9 , 	4 , 	4 , 	21 , 	7 , 	25 , 	15 , 	23 , 	3 , 	15 , 	34 , 	7 , 	7 , 	6 , 	4 , 	5 , 	5 , 	79 , 	29 , 	45 , 	18 , 	6 , 	16 , 	5 , 	78 , 	64 , 	197 , 	53 , 	39 , 	40 , 	14 , 	17 , 	20 , 	10 , 	0 , 	3 , 	9 , 	16 , 	5 , 	6 , 	62 , 	3 , 	0 , 	6 , 	6 , 	-   , 	-   , 	6 , 	9 ," 	1,061 ",,,,,,,,,,
SS, 	5 , 	7 , 	3 , 	2 , 	13 , 	3 , 	7 , 	9 , 	11 , 	4 , 	9 , 	9 , 	4 , 	3 , 	3 , 	2 , 	2 , 	2 , 	9 , 	6 , 	3 , 	2 , 	2 , 	5 , 	7 , 	72 , 	72 , 	217 , 	94 , 	57 , 	64 , 	17 , 	34 , 	25 , 	7 , 	2 , 	3 , 	1 , 	5 , 	11 , 	22 , 	49 , 	14 , 	2 , 	2 , 	1 , 	-   , 	-   , 	3 , 	7 , 	916 ,,,,,,,,,,
SB, 	8 , 	14 , 	4 , 	3 , 	23 , 	4 , 	13 , 	9 , 	17 , 	7 , 	9 , 	10 , 	6 , 	7 , 	7 , 	4 , 	4 , 	3 , 	12 , 	8 , 	7 , 	1 , 	2 , 	9 , 	15 , 	67 , 	90 , 	264 , 	142 , 	96 , 	96 , 	41 , 	68 , 	85 , 	32 , 	4 , 	5 , 	3 , 	9 , 	21 , 	11 , 	46 , 	17 , 	2 , 	2 , 	2 , 	-   , 	-   , 	2 , 	7 ," 	1,317 ",,,,,,,,,,
