Exit stations,Entry stations->,,SUNDAY,,,Feb 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	12 , 	24 , 	19 , 	8 , 	67 , 	13 , 	20 , 	23 , 	20 , 	19 , 	28 , 	18 , 	11 , 	4 , 	7 , 	3 , 	3 , 	2 , 	5 , 	3 , 	4 , 	2 , 	2 , 	4 , 	4 , 	48 , 	23 , 	95 , 	33 , 	30 , 	33 , 	8 , 	9 , 	7 , 	3 , 	2 , 	2 , 	1 , 	1 , 	4 , 	6 , 	16 , 	3 , 	1 , 	5 , 	6 , 	5 , 	6 , 	2 , 	3 , 	672 ,,,,,,,,,,,
LF, 	3 , 	2 , 	2 , 	2 , 	7 , 	1 , 	9 , 	13 , 	6 , 	2 , 	4 , 	2 , 	2 , 	1 , 	1 , 	1 , 	0 , 	0 , 	32 , 	13 , 	15 , 	7 , 	5 , 	16 , 	1 , 	45 , 	14 , 	40 , 	32 , 	14 , 	6 , 	6 , 	1 , 	4 , 	1 , 	-   , 	-   , 	3 , 	7 , 	0 , 	1 , 	19 , 	2 , 	-   , 	5 , 	-   , 	1 , 	3 , 	4 , 	4 , 	354 ,,,,,,,,,,,
OR, 	2 , 	3 , 	1 , 	1 , 	5 , 	1 , 	6 , 	12 , 	8 , 	1 , 	4 , 	1 , 	1 , 	3 , 	1 , 	-   , 	0 , 	0 , 	7 , 	6 , 	7 , 	8 , 	6 , 	9 , 	1 , 	24 , 	11 , 	29 , 	24 , 	12 , 	9 , 	4 , 	1 , 	2 , 	2 , 	1 , 	-   , 	1 , 	2 , 	1 , 	1 , 	16 , 	1 , 	-   , 	4 , 	-   , 	1 , 	0 , 	1 , 	1 , 	237 ,,,,,,,,,,,
RR, 	6 , 	6 , 	8 , 	4 , 	6 , 	2 , 	16 , 	37 , 	22 , 	4 , 	11 , 	3 , 	6 , 	4 , 	2 , 	-   , 	2 , 	2 , 	14 , 	19 , 	24 , 	14 , 	10 , 	15 , 	7 , 	82 , 	51 , 	99 , 	77 , 	52 , 	30 , 	9 , 	9 , 	6 , 	2 , 	1 , 	2 , 	4 , 	5 , 	1 , 	3 , 	33 , 	7 , 	1 , 	4 , 	2 , 	3 , 	3 , 	4 , 	8 , 	736 ,,,,,,,,,,,
OW, 	4 , 	9 , 	3 , 	4 , 	17 , 	6 , 	12 , 	26 , 	19 , 	12 , 	25 , 	18 , 	11 , 	8 , 	6 , 	3 , 	3 , 	4 , 	2 , 	3 , 	7 , 	1 , 	0 , 	4 , 	15 , 	163 , 	77 , 	236 , 	125 , 	86 , 	50 , 	12 , 	11 , 	13 , 	6 , 	2 , 	6 , 	0 , 	4 , 	5 , 	4 , 	31 , 	6 , 	3 , 	3 , 	3 , 	4 , 	5 , 	2 , 	7 ," 	1,081 ",,,,,,,,,,,
EM, 	51 , 	78 , 	53 , 	69 , 	188 , 	58 , 	105 , 	122 , 	107 , 	78 , 	79 , 	45 , 	53 , 	58 , 	28 , 	27 , 	36 , 	40 , 	54 , 	54 , 	62 , 	43 , 	29 , 	90 , 	174 , 	58 , 	7 , 	41 , 	25 , 	96 , 	102 , 	60 , 	81 , 	66 , 	19 , 	32 , 	131 , 	12 , 	38 , 	20 , 	22 , 	95 , 	37 , 	39 , 	29 , 	23 , 	38 , 	27 , 	12 , 	38 ," 	2,926 ",,,,,,,,,,,
MT, 	36 , 	50 , 	33 , 	48 , 	138 , 	36 , 	77 , 	80 , 	93 , 	67 , 	68 , 	25 , 	46 , 	55 , 	25 , 	16 , 	22 , 	25 , 	37 , 	36 , 	37 , 	24 , 	15 , 	64 , 	98 , 	7 , 	29 , 	11 , 	12 , 	77 , 	96 , 	52 , 	98 , 	73 , 	26 , 	30 , 	55 , 	10 , 	28 , 	18 , 	26 , 	86 , 	19 , 	17 , 	12 , 	9 , 	15 , 	26 , 	5 , 	13 ," 	2,097 ",,,,,,,,,,,
PL, 	67 , 	86 , 	48 , 	53 , 	176 , 	50 , 	103 , 	123 , 	130 , 	94 , 	134 , 	75 , 	87 , 	75 , 	33 , 	32 , 	29 , 	35 , 	57 , 	66 , 	70 , 	33 , 	23 , 	79 , 	219 , 	47 , 	8 , 	89 , 	26 , 	251 , 	316 , 	136 , 	241 , 	207 , 	79 , 	40 , 	99 , 	19 , 	50 , 	43 , 	55 , 	210 , 	65 , 	31 , 	16 , 	16 , 	21 , 	32 , 	13 , 	37 ," 	4,118 ",,,,,,,,,,,
CC, 	29 , 	44 , 	38 , 	49 , 	131 , 	51 , 	96 , 	97 , 	89 , 	69 , 	111 , 	27 , 	36 , 	37 , 	17 , 	12 , 	17 , 	22 , 	27 , 	36 , 	52 , 	33 , 	23 , 	67 , 	135 , 	31 , 	12 , 	31 , 	41 , 	93 , 	132 , 	87 , 	96 , 	84 , 	48 , 	21 , 	50 , 	8 , 	25 , 	29 , 	33 , 	108 , 	65 , 	15 , 	12 , 	10 , 	18 , 	22 , 	6 , 	24 ," 	2,439 ",,,,,,,,,,,
16, 	36 , 	38 , 	17 , 	36 , 	94 , 	39 , 	74 , 	84 , 	60 , 	69 , 	48 , 	21 , 	22 , 	14 , 	9 , 	6 , 	9 , 	12 , 	22 , 	17 , 	19 , 	12 , 	7 , 	47 , 	94 , 	95 , 	59 , 	276 , 	117 , 	34 , 	37 , 	54 , 	69 , 	75 , 	39 , 	7 , 	24 , 	4 , 	13 , 	19 , 	35 , 	87 , 	45 , 	9 , 	10 , 	8 , 	8 , 	19 , 	4 , 	8 ," 	2,054 ",,,,,,,,,,,
24, 	30 , 	27 , 	17 , 	22 , 	53 , 	31 , 	51 , 	57 , 	42 , 	44 , 	50 , 	25 , 	15 , 	11 , 	9 , 	7 , 	9 , 	6 , 	11 , 	9 , 	15 , 	6 , 	6 , 	39 , 	67 , 	111 , 	77 , 	367 , 	158 , 	39 , 	45 , 	47 , 	66 , 	67 , 	31 , 	6 , 	20 , 	5 , 	17 , 	30 , 	40 , 	66 , 	32 , 	6 , 	10 , 	4 , 	8 , 	8 , 	6 , 	7 ," 	1,926 ",,,,,,,,,,,
