Exit stations,Entry stations->,,TOTAL,,,Oct 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
WC, 	568 , 	699 , 	617 , 	603 ," 	3,109 ", 	540 ," 	4,034 "," 	7,750 "," 	8,056 ", 	548 , 	837 ," 	1,051 ", 	629 , 	286 , 	469 , 	230 , 	387 , 	304 ," 	6,398 "," 	3,240 ", 	769 ," 	1,447 ", 	969 ," 	3,920 ", 	472 ," 	33,426 "," 	30,936 "," 	12,661 "," 	12,486 "," 	3,633 "," 	1,701 "," 	1,222 "," 	1,158 "," 	1,699 ", 	414 , 	121 , 	159 ," 	1,306 "," 	3,494 ", 	581 , 	573 ," 	5,098 ", 	616 , 	107 ," 	1,187 ", 	446 , 	-   , 	-   ," 	1,434 "," 	2,519 "," 	164,909 ",,,,,,,,,,,,,
LF, 	154 , 	234 , 	160 , 	220 ," 	1,745 ", 	250 ," 	1,448 "," 	4,044 "," 	3,810 ", 	186 , 	384 , 	505 , 	206 , 	90 , 	204 , 	66 , 	87 , 	109 ," 	2,563 "," 	1,133 "," 	1,464 ", 	450 , 	336 ," 	1,981 ", 	132 ," 	21,179 "," 	19,823 "," 	6,688 "," 	7,182 "," 	2,012 ", 	939 , 	488 , 	342 , 	690 , 	92 , 	22 , 	22 , 	182 , 	904 , 	161 , 	238 ," 	2,931 ", 	412 , 	17 , 	607 , 	98 , 	-   , 	-   , 	310 , 	406 ," 	87,706 ",,,,,,,,,,,,,
OR, 	248 , 	300 , 	175 , 	282 ," 	1,621 ", 	258 ," 	1,115 "," 	3,006 "," 	3,172 ", 	285 , 	847 , 	557 , 	252 , 	108 , 	138 , 	150 , 	101 , 	173 , 	992 , 	693 ," 	1,001 ", 	467 , 	593 ," 	1,598 ", 	125 ," 	20,860 "," 	17,327 "," 	7,062 "," 	7,044 "," 	1,893 ", 	944 , 	730 , 	365 , 	618 , 	74 , 	100 , 	68 , 	135 , 	270 , 	163 , 	193 ," 	2,925 ", 	328 , 	35 , 	455 , 	192 , 	-   , 	-   , 	250 , 	307 ," 	80,595 ",,,,,,,,,,,,,
RR, 	604 , 	869 , 	817 , 	497 ," 	1,352 ", 	319 ," 	1,710 "," 	5,363 "," 	5,002 ", 	929 ," 	1,284 "," 	1,004 ", 	643 , 	325 , 	411 , 	173 , 	283 , 	335 ," 	2,083 "," 	2,958 "," 	3,916 "," 	1,814 "," 	1,600 ", 	850 , 	526 ," 	27,613 "," 	25,824 "," 	15,012 "," 	17,700 "," 	6,275 "," 	3,126 "," 	1,413 "," 	1,425 "," 	1,291 ", 	111 , 	180 , 	261 , 	551 , 	940 , 	260 , 	339 ," 	4,432 ", 	735 , 	125 , 	539 , 	383 , 	-   , 	-   , 	568 , 	998 ," 	145,768 ",,,,,,,,,,,,,
OW, 	668 , 	928 , 	320 , 	412 ," 	1,980 ", 	726 ," 	1,209 "," 	1,687 "," 	2,492 ", 	818 ," 	2,425 "," 	2,054 ", 	989 , 	800 , 	888 , 	366 , 	371 , 	329 , 	363 , 	340 , 	404 , 	127 , 	104 , 	623 , 	884 ," 	46,101 "," 	37,921 "," 	28,865 "," 	24,875 "," 	10,974 "," 	6,220 "," 	1,617 "," 	1,933 "," 	2,066 ", 	390 , 	252 , 	701 , 	130 , 	459 , 	505 , 	657 ," 	3,404 "," 	1,073 ", 	281 , 	252 , 	304 , 	-   , 	-   , 	199 , 	524 ," 	192,010 ",,,,,,,,,,,,,
EM," 	14,093 "," 	27,615 "," 	18,054 "," 	18,839 "," 	30,807 "," 	23,518 "," 	37,276 "," 	51,417 "," 	43,912 "," 	32,093 "," 	30,719 "," 	17,033 "," 	25,685 "," 	22,560 "," 	17,048 "," 	13,793 "," 	25,909 "," 	36,572 "," 	26,491 "," 	50,548 "," 	40,153 "," 	25,799 "," 	24,934 "," 	32,280 "," 	60,303 "," 	7,231 "," 	3,160 "," 	11,576 "," 	15,930 "," 	30,766 "," 	48,854 "," 	31,766 "," 	41,214 "," 	35,959 "," 	21,892 "," 	16,075 "," 	61,412 "," 	9,500 "," 	15,437 "," 	16,440 "," 	15,045 "," 	12,505 "," 	28,396 "," 	24,393 "," 	4,393 "," 	23,285 ", 	-   , 	-   ," 	4,318 "," 	12,167 "," 	1,239,165 ",,,,,,,,,,,,,
MT," 	13,027 "," 	22,637 "," 	15,505 "," 	14,351 "," 	22,260 "," 	19,383 "," 	31,228 "," 	39,678 "," 	29,602 "," 	28,089 "," 	25,113 "," 	13,668 "," 	21,068 "," 	19,005 "," 	14,447 "," 	10,715 "," 	19,602 "," 	27,402 "," 	20,950 "," 	39,751 "," 	29,712 "," 	18,460 "," 	16,706 "," 	24,887 "," 	43,479 "," 	3,263 "," 	6,530 "," 	3,956 "," 	14,827 "," 	36,568 "," 	60,227 "," 	41,033 "," 	64,627 "," 	48,719 "," 	26,807 "," 	13,808 "," 	44,743 "," 	8,674 "," 	13,598 "," 	19,089 "," 	19,926 "," 	12,430 "," 	35,043 "," 	16,257 "," 	2,832 "," 	20,044 ", 	-   , 	-   ," 	3,407 "," 	9,535 "," 	1,106,668 ",,,,,,,,,,,,,
PL," 	11,246 "," 	17,973 "," 	8,572 "," 	7,894 "," 	17,108 "," 	10,069 "," 	18,391 "," 	22,487 "," 	20,503 "," 	15,904 "," 	18,556 "," 	9,953 "," 	12,865 "," 	12,071 "," 	7,596 "," 	5,755 "," 	7,343 "," 	8,342 "," 	10,451 "," 	12,746 "," 	9,808 "," 	5,181 "," 	5,547 "," 	11,806 "," 	27,206 "," 	16,587 "," 	6,428 "," 	5,225 "," 	7,874 "," 	34,764 "," 	42,449 "," 	27,613 "," 	51,984 "," 	33,598 "," 	14,866 "," 	6,023 "," 	17,019 "," 	4,193 "," 	8,873 "," 	10,819 "," 	10,087 "," 	31,034 "," 	16,618 "," 	6,151 "," 	2,804 "," 	7,076 ", 	-   , 	-   ," 	2,970 "," 	6,514 "," 	686,942 ",,,,,,,,,,,,,
CC," 	8,480 "," 	15,487 "," 	10,224 "," 	10,892 "," 	16,918 "," 	12,645 "," 	22,675 "," 	24,267 "," 	19,984 "," 	15,859 "," 	19,221 "," 	9,275 "," 	12,441 "," 	11,061 "," 	7,347 "," 	6,320 "," 	8,111 "," 	8,561 "," 	10,301 "," 	13,602 "," 	10,465 "," 	6,415 "," 	6,160 "," 	15,584 "," 	25,269 "," 	15,152 "," 	14,129 "," 	7,596 "," 	3,441 "," 	15,978 "," 	26,140 "," 	19,629 "," 	34,885 "," 	23,228 "," 	13,025 "," 	6,485 "," 	18,331 "," 	4,466 "," 	7,342 "," 	9,759 "," 	9,851 "," 	14,209 "," 	17,800 "," 	6,826 "," 	1,601 "," 	7,290 ", 	-   , 	-   ," 	2,392 "," 	6,085 "," 	613,204 ",,,,,,,,,,,,,
16," 	5,104 "," 	6,116 "," 	3,313 "," 	3,974 "," 	8,753 "," 	6,077 "," 	10,077 "," 	12,190 "," 	8,623 "," 	6,417 "," 	8,130 "," 	4,067 "," 	3,909 "," 	3,842 "," 	2,783 "," 	2,037 "," 	2,712 "," 	2,799 "," 	3,214 "," 	4,294 "," 	2,824 "," 	1,743 "," 	1,714 "," 	5,248 "," 	10,993 "," 	29,858 "," 	37,953 "," 	38,995 "," 	18,068 "," 	1,757 "," 	5,509 "," 	9,104 "," 	17,350 "," 	10,524 "," 	4,799 "," 	1,903 "," 	5,812 "," 	1,543 "," 	3,072 "," 	4,026 "," 	3,954 "," 	6,572 "," 	7,740 "," 	2,009 ", 	611 ," 	2,376 ", 	-   , 	-   ," 	1,076 "," 	2,270 "," 	347,834 ",,,,,,,,,,,,,
24," 	4,788 "," 	4,755 "," 	1,802 "," 	2,701 "," 	6,598 "," 	3,169 "," 	5,982 "," 	8,584 "," 	7,464 "," 	3,891 "," 	6,045 "," 	3,266 "," 	2,555 "," 	1,967 "," 	1,512 "," 	1,241 "," 	1,047 ", 	913 ," 	1,989 "," 	1,809 "," 	1,569 ", 	866 , 	975 ," 	2,868 "," 	6,539 "," 	40,322 "," 	49,119 "," 	49,169 "," 	27,524 "," 	5,580 "," 	1,728 "," 	7,481 "," 	15,230 "," 	7,912 "," 	3,517 ", 	787 ," 	1,998 ", 	751 ," 	2,277 "," 	2,850 "," 	3,446 "," 	5,565 "," 	5,978 ", 	893 , 	604 , 	866 , 	-   , 	-   , 	624 ," 	1,375 "," 	320,491 ",,,,,,,,,,,,,
GP," 	1,104 "," 	1,924 ", 	761 , 	865 ," 	3,518 ", 	894 ," 	2,158 "," 	4,161 "," 	4,089 "," 	1,369 "," 	1,711 "," 	1,498 "," 	1,036 ", 	784 , 	723 , 	454 , 	382 , 	314 ," 	1,211 "," 	1,127 ", 	955 , 	458 , 	537 ," 	1,300 "," 	1,849 "," 	27,384 "," 	33,513 "," 	31,467 "," 	17,980 "," 	9,222 "," 	7,439 ", 	880 ," 	3,276 "," 	2,066 "," 	1,549 ", 	427 ," 	1,503 ", 	448 , 	861 , 	836 ," 	1,855 "," 	3,549 "," 	3,377 ", 	687 , 	421 , 	393 , 	-   , 	-   , 	265 , 	908 ," 	185,488 ",,,,,,,,,,,,,
BP," 	1,862 "," 	2,430 ", 	887 , 	967 ," 	2,634 "," 	1,051 "," 	2,093 "," 	3,475 "," 	4,031 "," 	2,039 "," 	2,307 "," 	1,633 "," 	1,786 "," 	1,143 ", 	986 , 	448 , 	515 , 	479 ," 	1,254 "," 	1,104 ", 	962 , 	222 , 	293 ," 	1,223 "," 	2,356 "," 	32,951 "," 	42,254 "," 	62,120 "," 	30,166 "," 	15,647 "," 	13,971 "," 	3,299 "," 	1,249 "," 	2,675 "," 	2,272 ", 	692 ," 	1,460 ", 	329 ," 	1,129 "," 	1,793 "," 	2,726 "," 	4,016 "," 	3,754 ", 	614 , 	217 , 	413 , 	-   , 	-   , 	414 , 	911 ," 	263,252 ",,,,,,,,,,,,,
DC," 	3,515 "," 	4,897 "," 	1,882 "," 	1,360 "," 	3,558 "," 	1,283 "," 	2,874 "," 	3,894 "," 	5,607 "," 	3,208 "," 	4,470 "," 	3,511 "," 	3,412 "," 	2,637 "," 	2,122 "," 	1,575 "," 	1,872 "," 	1,724 "," 	2,767 "," 	2,369 "," 	1,767 ", 	712 , 	703 ," 	1,259 "," 	2,604 "," 	33,330 "," 	41,734 "," 	39,020 "," 	22,640 "," 	10,625 "," 	8,590 "," 	1,912 "," 	3,341 ", 	951 ," 	1,274 "," 	1,147 "," 	3,300 "," 	1,451 "," 	2,452 "," 	2,468 "," 	4,086 "," 	7,102 "," 	7,761 "," 	1,395 ", 	450 ," 	1,397 ", 	-   , 	-   , 	841 ," 	2,427 "," 	265,276 ",,,,,,,,,,,,,
CM, 	470 , 	689 , 	159 , 	205 , 	949 , 	237 , 	693 ," 	1,853 "," 	2,807 ", 	238 , 	304 , 	238 , 	133 , 	185 , 	141 , 	143 , 	133 , 	100 , 	578 , 	316 , 	385 , 	101 , 	91 , 	161 , 	412 ," 	20,650 "," 	23,810 "," 	16,692 "," 	12,180 "," 	4,390 "," 	3,397 "," 	1,370 "," 	2,294 "," 	1,215 ", 	362 , 	78 , 	443 , 	113 , 	521 , 	527 ," 	1,257 "," 	4,511 "," 	2,200 ", 	83 , 	72 , 	65 , 	-   , 	-   , 	165 , 	387 ," 	108,503 ",,,,,,,,,,,,,
