Exit stations,Entry stations->,,SUNDAY,,,Oct 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
LF, 	6 , 	5 , 	6 , 	7 , 	31 , 	6 , 	11 , 	16 , 	15 , 	6 , 	8 , 	60 , 	2 , 	2 , 	2 , 	1 , 	1 , 	6 , 	41 , 	19 , 	23 , 	5 , 	5 , 	40 , 	2 , 	96 , 	68 , 	156 , 	102 , 	24 , 	14 , 	9 , 	13 , 	4 , 	1 , 	-   , 	2 , 	5 , 	16 , 	3 , 	2 , 	72 , 	12 , 	-   , 	919 ,,,CM line," 	17,386 "," 	3,050 "," 	3,208 ",,,,,
OR, 	2 , 	2 , 	6 , 	5 , 	22 , 	6 , 	12 , 	11 , 	15 , 	3 , 	8 , 	60 , 	4 , 	2 , 	-   , 	1 , 	2 , 	4 , 	16 , 	9 , 	16 , 	6 , 	4 , 	34 , 	3 , 	97 , 	56 , 	116 , 	82 , 	21 , 	8 , 	11 , 	15 , 	9 , 	2 , 	-   , 	1 , 	1 , 	10 , 	1 , 	2 , 	57 , 	7 , 	0 , 	744 ,,,RM line," 	8,471 "," 	2,851 "," 	2,556 "," 	2,349 ",,,,
RR, 	10 , 	16 , 	20 , 	14 , 	41 , 	15 , 	36 , 	58 , 	47 , 	17 , 	25 , 	66 , 	9 , 	8 , 	4 , 	3 , 	5 , 	13 , 	27 , 	66 , 	63 , 	36 , 	34 , 	10 , 	15 , 	210 , 	143 , 	336 , 	295 , 	113 , 	75 , 	23 , 	21 , 	18 , 	3 , 	3 , 	6 , 	7 , 	18 , 	3 , 	2 , 	124 , 	23 , 	2 ," 	2,076 ",,,WP line," 	8,110 "," 	1,397 "," 	1,970 "," 	1,146 "," 	1,829 ",,,
OW, 	15 , 	20 , 	5 , 	6 , 	39 , 	23 , 	32 , 	22 , 	39 , 	18 , 	52 , 	89 , 	15 , 	18 , 	12 , 	2 , 	5 , 	7 , 	5 , 	2 , 	8 , 	2 , 	2 , 	12 , 	8 , 	287 , 	195 , 	481 , 	293 , 	146 , 	98 , 	18 , 	37 , 	15 , 	4 , 	3 , 	9 , 	1 , 	17 , 	5 , 	7 , 	47 , 	7 , 	5 ," 	2,130 ",,,FT/ED line," 	10,741 "," 	3,875 "," 	2,783 "," 	3,569 "," 	2,226 "," 	8,326 ",,
EM, 	80 , 	162 , 	109 , 	185 , 	382 , 	175 , 	262 , 	235 , 	241 , 	212 , 	212 , 	337 , 	119 , 	122 , 	70 , 	39 , 	77 , 	155 , 	125 , 	167 , 	221 , 	131 , 	113 , 	260 , 	364 , 	53 , 	18 , 	145 , 	108 , 	258 , 	316 , 	175 , 	293 , 	184 , 	64 , 	82 , 	278 , 	45 , 	119 , 	50 , 	54 , 	331 , 	154 , 	84 ," 	7,361 ",,,SFIA," 	6,976 ", 	735 ," 	3,236 "," 	1,096 "," 	1,333 ", 	857 , 	747 ," 	112,631 "
MT, 	58 , 	110 , 	76 , 	97 , 	232 , 	104 , 	153 , 	152 , 	175 , 	161 , 	149 , 	187 , 	78 , 	89 , 	44 , 	32 , 	52 , 	85 , 	71 , 	96 , 	119 , 	65 , 	57 , 	130 , 	230 , 	17 , 	31 , 	35 , 	46 , 	235 , 	266 , 	199 , 	536 , 	170 , 	64 , 	45 , 	110 , 	33 , 	74 , 	49 , 	48 , 	284 , 	85 , 	39 ," 	5,161 ",,,,,,,,,,,
PL, 	128 , 	278 , 	148 , 	182 , 	504 , 	200 , 	346 , 	278 , 	332 , 	308 , 	338 , 	499 , 	193 , 	202 , 	110 , 	74 , 	118 , 	207 , 	137 , 	162 , 	237 , 	145 , 	101 , 	275 , 	464 , 	159 , 	29 , 	103 , 	117 , 	842 , 	939 , 	527 ," 	1,030 ", 	605 , 	213 , 	104 , 	284 , 	68 , 	175 , 	149 , 	150 , 	989 , 	328 , 	107 ," 	12,879 ",,,,,,,,,,,
CC, 	67 , 	103 , 	99 , 	173 , 	333 , 	213 , 	308 , 	230 , 	172 , 	188 , 	214 , 	204 , 	77 , 	73 , 	46 , 	28 , 	50 , 	99 , 	87 , 	96 , 	139 , 	95 , 	66 , 	242 , 	273 , 	86 , 	47 , 	104 , 	53 , 	321 , 	423 , 	223 , 	395 , 	216 , 	95 , 	45 , 	166 , 	41 , 	82 , 	67 , 	102 , 	494 , 	204 , 	54 ," 	6,888 ",,,,,,,,,,,
16, 	44 , 	57 , 	35 , 	74 , 	144 , 	112 , 	178 , 	126 , 	97 , 	98 , 	97 , 	91 , 	26 , 	33 , 	16 , 	14 , 	14 , 	29 , 	34 , 	36 , 	37 , 	23 , 	21 , 	96 , 	142 , 	254 , 	173 , 	891 , 	364 , 	36 , 	140 , 	160 , 	279 , 	146 , 	53 , 	17 , 	38 , 	10 , 	36 , 	33 , 	51 , 	223 , 	100 , 	13 ," 	4,689 ",,,,,,,,,,,
24, 	51 , 	46 , 	24 , 	43 , 	107 , 	71 , 	111 , 	85 , 	60 , 	66 , 	84 , 	87 , 	30 , 	21 , 	22 , 	11 , 	9 , 	17 , 	27 , 	18 , 	29 , 	12 , 	9 , 	60 , 	105 , 	281 , 	203 ," 	1,062 ", 	453 , 	130 , 	32 , 	124 , 	250 , 	109 , 	59 , 	13 , 	29 , 	10 , 	29 , 	38 , 	80 , 	199 , 	83 , 	8 ," 	4,391 ",,,,,,,,,,,
GP, 	15 , 	19 , 	11 , 	14 , 	39 , 	17 , 	26 , 	31 , 	25 , 	21 , 	21 , 	49 , 	12 , 	10 , 	9 , 	4 , 	8 , 	11 , 	16 , 	15 , 	18 , 	11 , 	6 , 	23 , 	21 , 	163 , 	134 , 	639 , 	210 , 	157 , 	124 , 	22 , 	50 , 	33 , 	22 , 	7 , 	17 , 	7 , 	18 , 	16 , 	38 , 	87 , 	47 , 	4 ," 	2,242 ",,,,,,,,,,,
