Exit stations,Entry stations->,,TOTAL,,,Dec 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	422 ," 	1,685 "," 	1,430 ", 	832 ," 	4,922 "," 	1,100 "," 	1,562 "," 	1,127 "," 	1,529 ", 	444 ," 	1,045 ", 	851 , 	431 , 	207 , 	329 , 	212 , 	171 , 	198 , 	277 , 	306 , 	287 , 	144 , 	109 , 	323 , 	476 ," 	3,958 "," 	3,212 "," 	6,205 "," 	3,229 "," 	2,161 "," 	2,268 ", 	607 , 	576 , 	708 , 	260 , 	102 , 	145 , 	56 , 	161 , 	201 , 	285 , 	855 , 	272 , 	66 , 	177 , 	367 , 	132 , 	190 , 	175 , 	160 ," 	46,947 ",,,,,,,,,,,,,
CL, 	833 ," 	1,024 ", 	317 , 	305 ," 	1,299 ", 	480 ," 	1,470 "," 	1,212 "," 	1,530 "," 	1,579 "," 	2,350 ", 	438 ," 	1,446 "," 	1,714 "," 	1,522 ", 	727 , 	590 , 	511 , 	298 , 	231 , 	205 , 	66 , 	45 , 	256 , 	940 ," 	3,643 "," 	2,603 "," 	4,620 "," 	3,093 "," 	1,162 "," 	1,486 ", 	413 , 	580 , 	639 , 	98 , 	389 , 	878 , 	68 , 	297 , 	124 , 	198 , 	470 , 	166 , 	419 , 	560 , 	835 , 	328 , 	475 , 	162 , 	377 ," 	45,471 ",,,,,,,,,,,,,
SL, 	484 , 	574 , 	344 , 	395 ," 	1,316 ", 	566 ," 	1,275 "," 	1,690 "," 	2,411 "," 	3,060 "," 	3,457 "," 	1,623 ", 	478 ," 	2,067 "," 	2,041 "," 	1,131 "," 	1,091 ", 	981 , 	334 , 	230 , 	267 , 	40 , 	55 , 	224 , 	566 ," 	6,527 "," 	5,643 "," 	7,323 "," 	4,890 "," 	1,802 "," 	1,265 ", 	340 , 	732 , 	816 , 	112 , 	507 ," 	1,234 ", 	40 , 	179 , 	150 , 	106 , 	409 , 	95 , 	633 , 	137 , 	917 , 	438 , 	537 , 	73 , 	264 ," 	61,869 ",,,,,,,,,,,,,
BF, 	196 , 	385 , 	190 , 	214 ," 	1,046 ", 	288 , 	928 ," 	1,294 "," 	2,165 "," 	2,514 "," 	3,181 "," 	1,702 "," 	1,946 ", 	372 ," 	1,521 ", 	965 , 	855 ," 	1,099 ", 	349 , 	101 , 	153 , 	37 , 	79 , 	176 , 	522 ," 	5,305 "," 	4,789 "," 	7,451 "," 	4,478 "," 	1,322 ", 	824 , 	402 , 	557 , 	517 , 	111 , 	546 ," 	1,439 ", 	24 , 	97 , 	106 , 	126 , 	237 , 	100 ," 	1,053 ", 	186 ," 	1,166 ", 	478 , 	562 , 	69 , 	61 ," 	54,284 ",,,,,,,,,,,,,
HY, 	344 , 	612 , 	142 , 	215 ," 	1,030 ", 	299 , 	911 ," 	1,174 "," 	1,800 "," 	1,273 "," 	2,559 "," 	1,579 "," 	2,027 "," 	1,570 ", 	472 ," 	1,032 "," 	2,043 "," 	2,234 ", 	227 , 	125 , 	159 , 	147 , 	42 , 	128 , 	421 ," 	3,214 "," 	2,456 "," 	3,248 "," 	2,172 ", 	808 , 	508 , 	218 , 	315 , 	371 , 	81 , 	214 , 	881 , 	43 , 	198 , 	89 , 	112 , 	194 , 	88 , 	539 , 	138 ," 	1,609 ", 	894 , 	863 , 	72 , 	221 ," 	42,111 ",,,,,,,,,,,,,
SH, 	230 , 	163 , 	93 , 	180 , 	701 , 	138 , 	412 , 	716 , 	982 ," 	1,088 "," 	1,188 ", 	723 ," 	1,042 ", 	915 ," 	1,018 ", 	290 , 	718 ," 	1,116 ", 	124 , 	83 , 	111 , 	11 , 	13 , 	46 , 	241 ," 	2,432 "," 	1,984 "," 	2,422 "," 	1,748 ", 	531 , 	556 , 	127 , 	179 , 	276 , 	93 , 	130 , 	387 , 	20 , 	82 , 	73 , 	39 , 	135 , 	51 , 	315 , 	114 ," 	1,226 ", 	613 , 	496 , 	29 , 	95 ," 	26,495 ",,,,,,,,,,,,,
UC, 	194 , 	407 , 	162 , 	171 , 	944 , 	235 , 	536 , 	789 ," 	1,320 ", 	858 ," 	1,059 ", 	650 ," 	1,057 ", 	935 ," 	2,018 ", 	718 , 	426 ," 	1,156 ", 	142 , 	103 , 	161 , 	33 , 	22 , 	113 , 	219 ," 	3,864 "," 	2,480 "," 	3,077 "," 	1,970 ", 	664 , 	370 , 	153 , 	200 , 	342 , 	86 , 	188 , 	583 , 	20 , 	68 , 	24 , 	39 , 	228 , 	39 , 	302 , 	204 ," 	1,290 "," 	1,096 ", 	926 , 	53 , 	76 ," 	32,770 ",,,,,,,,,,,,,
FM, 	200 , 	435 , 	160 , 	235 , 	848 , 	267 , 	583 , 	851 ," 	1,083 ", 	825 ," 	1,254 ", 	506 ," 	1,030 "," 	1,036 "," 	2,379 "," 	1,314 "," 	1,119 ", 	477 , 	183 , 	83 , 	73 , 	19 , 	33 , 	137 , 	206 ," 	4,539 "," 	2,845 "," 	3,164 "," 	2,163 ", 	640 , 	363 , 	138 , 	187 , 	323 , 	86 , 	194 , 	496 , 	9 , 	84 , 	11 , 	48 , 	441 , 	24 , 	238 , 	251 ," 	1,335 "," 	1,552 "," 	1,336 ", 	24 , 	149 ," 	35,976 ",,,,,,,,,,,,,
CN, 	308 , 	345 , 	300 , 	192 , 	648 , 	136 ," 	1,216 "," 	1,254 "," 	1,428 ", 	193 , 	348 , 	305 , 	335 , 	322 , 	260 , 	138 , 	123 , 	173 , 	678 , 	879 ," 	3,313 "," 	1,684 ", 	414 , 	813 , 	242 ," 	5,016 "," 	4,253 "," 	5,330 "," 	4,069 "," 	1,326 ", 	991 , 	497 , 	524 , 	579 , 	142 , 	43 , 	125 , 	556 ," 	2,090 ", 	174 , 	217 ," 	1,615 ", 	180 , 	76 , 	390 , 	83 , 	155 , 	124 ," 	1,448 "," 	1,532 "," 	47,582 ",,,,,,,,,,,,,
PH, 	348 , 	252 , 	177 , 	144 , 	726 , 	156 , 	920 ," 	1,290 "," 	1,685 ", 	156 , 	262 , 	234 , 	205 , 	131 , 	121 , 	84 , 	91 , 	88 , 	986 , 	400 ," 	1,270 ", 	587 , 	312 , 	935 , 	124 ," 	7,279 "," 	6,272 "," 	5,403 "," 	3,576 "," 	1,155 ", 	708 , 	442 , 	327 , 	500 , 	93 , 	20 , 	80 , 	231 , 	698 , 	126 , 	197 ," 	2,002 ", 	113 , 	34 , 	512 , 	93 , 	116 , 	160 , 	442 , 	694 ," 	42,957 ",,,,,,,,,,,,,
WC, 	265 , 	433 , 	343 , 	232 , 	802 , 	169 ," 	1,317 "," 	1,685 "," 	1,884 ", 	251 , 	384 , 	170 , 	257 , 	140 , 	134 , 	105 , 	161 , 	85 ," 	3,665 "," 	1,263 ", 	499 , 	820 , 	489 ," 	1,380 ", 	263 ," 	8,024 "," 	5,817 "," 	5,362 "," 	3,907 "," 	1,208 ", 	692 , 	362 , 	323 , 	403 , 	150 , 	90 , 	78 , 	462 ," 	1,610 ", 	212 , 	177 ," 	2,369 ", 	210 , 	26 , 	480 , 	53 , 	99 , 	115 , 	763 ," 	1,180 "," 	51,368 ",,,,,,,,,,,,,
LF, 	164 , 	116 , 	111 , 	84 , 	378 , 	53 , 	520 , 	802 , 	778 , 	47 , 	219 , 	75 , 	31 , 	24 , 	133 , 	12 , 	29 , 	23 ," 	2,191 ", 	770 , 	863 , 	305 , 	177 , 	697 , 	43 ," 	5,732 "," 	4,155 "," 	3,230 "," 	2,180 ", 	673 , 	456 , 	184 , 	162 , 	143 , 	58 , 	10 , 	16 , 	50 , 	356 , 	45 , 	82 ," 	1,428 ", 	75 , 	12 , 	246 , 	12 , 	45 , 	54 , 	191 , 	188 ," 	28,428 ",,,,,,,,,,,,,
OR, 	87 , 	112 , 	62 , 	75 , 	326 , 	60 , 	427 , 	630 , 	570 , 	39 , 	236 , 	63 , 	67 , 	58 , 	52 , 	10 , 	17 , 	41 , 	343 , 	300 , 	475 , 	188 , 	192 , 	571 , 	44 ," 	4,825 "," 	3,405 "," 	2,922 "," 	1,769 ", 	614 , 	327 , 	178 , 	104 , 	169 , 	28 , 	35 , 	12 , 	25 , 	144 , 	28 , 	41 ," 	1,059 ", 	44 , 	2 , 	139 , 	3 , 	49 , 	42 , 	101 , 	120 ," 	21,230 ",,,,,,,,,,,,,
RR, 	375 , 	330 , 	308 , 	184 , 	310 , 	118 , 	805 ," 	1,376 "," 	1,288 ", 	182 , 	501 , 	191 , 	240 , 	194 , 	140 , 	46 , 	98 , 	122 , 	802 , 	985 ," 	1,320 ", 	678 , 	640 , 	496 , 	381 ," 	7,166 "," 	5,862 "," 	5,582 "," 	4,204 "," 	1,818 "," 	1,266 ", 	546 , 	502 , 	305 , 	69 , 	76 , 	42 , 	161 , 	410 , 	111 , 	131 ," 	1,863 ", 	104 , 	20 , 	162 , 	89 , 	76 , 	92 , 	196 , 	382 ," 	43,345 ",,,,,,,,,,,,,
OW, 	449 , 	467 , 	131 , 	166 , 	627 , 	337 , 	796 , 	667 , 	873 , 	249 ," 	1,548 ", 	796 , 	473 , 	496 , 	440 , 	188 , 	160 , 	167 , 	213 , 	138 , 	281 , 	36 , 	56 , 	375 , 	494 ," 	13,778 "," 	9,964 "," 	13,447 "," 	8,526 "," 	4,181 "," 	2,480 ", 	668 , 	778 , 	508 , 	216 , 	88 , 	370 , 	40 , 	235 , 	184 , 	307 ," 	1,738 ", 	265 , 	128 , 	136 , 	161 , 	101 , 	125 , 	115 , 	260 ," 	69,422 ",,,,,,,,,,,,,
EM," 	4,885 "," 	9,003 "," 	5,422 "," 	5,499 "," 	7,754 "," 	4,904 "," 	9,414 "," 	11,240 "," 	10,585 "," 	7,727 "," 	8,822 "," 	4,075 "," 	7,879 "," 	6,259 "," 	3,910 "," 	3,134 "," 	4,501 "," 	5,196 "," 	6,155 "," 	9,214 "," 	9,435 "," 	6,817 "," 	5,868 "," 	8,229 "," 	16,520 "," 	2,974 ", 	699 ," 	4,366 "," 	3,401 "," 	8,641 "," 	12,323 "," 	7,903 "," 	10,072 "," 	9,690 "," 	3,941 "," 	4,097 "," 	12,062 "," 	1,922 "," 	4,931 "," 	3,236 "," 	2,772 "," 	4,745 "," 	4,000 "," 	5,041 "," 	1,390 "," 	1,925 "," 	2,590 "," 	2,733 ", 	786 ," 	5,169 "," 	303,856 ",,,,,,,,,,,,,
MT," 	4,299 "," 	7,711 "," 	4,291 "," 	4,576 "," 	5,912 "," 	4,215 "," 	7,306 "," 	8,950 "," 	8,313 "," 	6,288 "," 	7,213 "," 	3,194 "," 	6,528 "," 	5,845 "," 	3,175 "," 	2,526 "," 	2,978 "," 	3,301 "," 	4,968 "," 	6,910 "," 	6,354 "," 	4,704 "," 	3,721 "," 	6,472 "," 	12,237 ", 	888 ," 	2,052 "," 	1,299 "," 	2,778 "," 	8,844 "," 	13,652 "," 	9,378 "," 	14,879 "," 	12,140 "," 	4,583 "," 	3,431 "," 	7,100 "," 	1,375 "," 	4,403 "," 	3,363 "," 	3,153 "," 	5,313 "," 	4,378 "," 	2,749 ", 	984 ," 	1,372 "," 	2,151 "," 	2,265 ", 	824 ," 	4,215 "," 	259,556 ",,,,,,,,,,,,,
PL," 	5,514 "," 	8,874 "," 	4,001 "," 	3,744 "," 	7,269 "," 	3,090 "," 	6,722 "," 	7,199 "," 	7,945 "," 	5,797 "," 	8,361 "," 	4,112 "," 	5,995 "," 	5,964 "," 	2,965 "," 	2,152 "," 	2,788 "," 	2,876 "," 	4,585 "," 	4,634 "," 	5,127 "," 	3,218 "," 	2,843 "," 	5,242 "," 	12,887 "," 	5,560 "," 	1,674 "," 	3,204 "," 	3,301 "," 	14,001 "," 	18,786 "," 	11,843 "," 	18,616 "," 	15,027 "," 	4,838 "," 	2,923 "," 	7,910 "," 	1,490 "," 	4,958 "," 	4,071 "," 	3,980 "," 	13,886 "," 	5,373 "," 	2,451 "," 	1,205 "," 	1,404 "," 	2,013 "," 	2,011 "," 	1,020 "," 	3,755 "," 	289,204 ",,,,,,,,,,,,,
CC," 	3,119 "," 	5,440 "," 	2,849 "," 	3,156 "," 	4,314 "," 	3,458 "," 	6,082 "," 	6,050 "," 	5,788 "," 	4,279 "," 	7,740 "," 	3,080 "," 	4,509 "," 	3,653 "," 	2,042 "," 	1,617 "," 	1,812 "," 	2,051 "," 	3,489 "," 	3,300 "," 	3,532 "," 	2,120 "," 	1,806 "," 	4,116 "," 	8,741 "," 	3,348 "," 	2,408 "," 	2,848 "," 	1,706 "," 	5,753 "," 	8,548 "," 	6,230 "," 	9,107 "," 	8,570 "," 	3,506 "," 	2,131 "," 	4,443 "," 	1,217 "," 	2,821 "," 	3,085 "," 	3,287 "," 	5,316 "," 	4,075 "," 	1,603 ", 	593 , 	894 ," 	1,057 "," 	1,149 ", 	567 ," 	2,758 "," 	185,163 ",,,,,,,,,,,,,
16," 	2,160 "," 	2,358 "," 	1,133 "," 	1,499 "," 	2,348 "," 	1,658 "," 	3,551 "," 	3,689 "," 	2,914 "," 	2,292 "," 	2,839 "," 	1,041 "," 	1,711 "," 	1,253 ", 	850 , 	623 , 	648 , 	628 ," 	1,155 "," 	1,049 "," 	1,113 ", 	693 , 	609 ," 	1,881 "," 	4,290 "," 	8,098 "," 	8,234 "," 	15,382 "," 	6,467 ", 	985 ," 	2,230 "," 	3,682 "," 	5,714 "," 	4,961 "," 	2,140 ", 	581 ," 	1,127 ", 	315 ," 	1,261 "," 	1,452 "," 	1,693 "," 	3,405 "," 	2,153 ", 	624 , 	257 , 	275 , 	329 , 	468 , 	324 ," 	1,121 "," 	117,263 ",,,,,,,,,,,,,
24," 	2,083 "," 	2,119 ", 	847 , 	944 ," 	1,881 "," 	1,079 "," 	2,325 "," 	2,632 "," 	2,222 "," 	1,453 "," 	2,272 "," 	1,431 "," 	1,197 ", 	848 , 	534 , 	582 , 	363 , 	334 , 	899 , 	699 , 	694 , 	480 , 	351 ," 	1,227 "," 	2,889 "," 	10,878 "," 	10,999 "," 	21,553 "," 	9,572 "," 	2,157 ", 	944 ," 	3,246 "," 	4,350 "," 	4,219 "," 	1,968 ", 	349 , 	742 , 	326 ," 	1,164 "," 	1,432 "," 	1,798 "," 	2,730 "," 	1,722 ", 	408 , 	251 , 	207 , 	198 , 	267 , 	267 , 	852 ," 	114,984 ",,,,,,,,,,,,,
GP, 	600 , 	642 , 	350 , 	363 ," 	1,096 ", 	333 , 	794 , 	935 ," 	1,060 ", 	538 , 	659 , 	370 , 	317 , 	334 , 	260 , 	117 , 	139 , 	122 , 	428 , 	372 , 	337 , 	205 , 	184 , 	520 , 	746 ," 	7,056 "," 	7,737 "," 	13,375 "," 	5,919 "," 	3,825 "," 	3,312 ", 	592 , 	910 ," 	1,008 ", 	643 , 	203 , 	339 , 	96 , 	354 , 	618 , 	761 ," 	1,940 ", 	973 , 	189 , 	179 , 	139 , 	104 , 	109 , 	85 , 	464 ," 	62,751 ",,,,,,,,,,,,,
BP, 	602 , 	875 , 	326 , 	216 , 	646 , 	327 , 	664 , 	857 ," 	1,156 ", 	705 , 	797 , 	500 , 	602 , 	477 , 	318 , 	186 , 	175 , 	184 , 	467 , 	303 , 	294 , 	127 , 	82 , 	429 , 	979 ," 	8,387 "," 	8,845 "," 	22,117 "," 	8,075 "," 	4,875 "," 	4,354 ", 	796 , 	515 ," 	1,061 "," 	1,091 ", 	197 , 	403 , 	95 , 	403 , 	833 ," 	1,229 "," 	1,741 "," 	1,352 ", 	187 , 	106 , 	118 , 	164 , 	117 , 	128 , 	405 ," 	79,888 ",,,,,,,,,,,,,
DC, 	774 ," 	1,048 ", 	377 , 	252 , 	748 , 	248 , 	626 , 	791 ," 	1,198 ", 	661 ," 	1,093 ", 	741 , 	814 , 	465 , 	406 , 	274 , 	309 , 	331 , 	537 , 	502 , 	393 , 	135 , 	178 , 	305 , 	550 ," 	9,302 "," 	10,135 "," 	18,116 "," 	9,229 "," 	5,058 "," 	4,542 "," 	1,085 "," 	1,341 ", 	931 , 	635 , 	212 , 	812 , 	149 , 	469 ," 	1,085 "," 	1,699 "," 	3,621 "," 	2,263 ", 	294 , 	159 , 	142 , 	216 , 	250 , 	117 , 	593 ," 	86,211 ",,,,,,,,,,,,,
CM, 	230 , 	258 , 	113 , 	76 , 	208 , 	86 , 	170 , 	297 , 	635 , 	111 , 	102 , 	82 , 	90 , 	80 , 	78 , 	72 , 	79 , 	61 , 	152 , 	99 , 	138 , 	57 , 	23 , 	78 , 	226 ," 	3,710 "," 	3,618 "," 	6,028 "," 	3,368 "," 	2,043 "," 	2,017 ", 	644 ," 	1,124 ", 	464 , 	262 , 	28 , 	101 , 	45 , 	239 , 	234 , 	667 ," 	2,218 ", 	921 , 	24 , 	17 , 	12 , 	22 , 	27 , 	68 , 	268 ," 	31,770 ",,,,,,,,,,,,,
CV, 	108 , 	101 , 	81 , 	63 , 	325 , 	68 , 	139 , 	294 , 	319 ," 	1,140 ", 	691 , 	416 , 	743 , 	637 , 	245 , 	177 , 	202 , 	179 , 	68 , 	22 , 	77 , 	9 , 	39 , 	66 , 	161 ," 	3,456 "," 	3,064 "," 	3,319 "," 	2,231 ", 	659 , 	337 , 	207 , 	246 , 	207 , 	38 , 	226 ," 	1,211 ", 	18 , 	33 , 	53 , 	50 , 	181 , 	42 , 	937 , 	96 , 	115 , 	129 , 	81 , 	8 , 	36 ," 	23,350 ",,,,,,,,,,,,,
ED, 	183 , 	259 , 	129 , 	146 , 	782 , 	236 , 	513 , 	808 , 	932 ," 	1,598 "," 	1,896 ", 	921 ," 	1,127 "," 	1,339 ", 	692 , 	492 , 	561 , 	447 , 	123 , 	76 , 	87 , 	22 , 	11 , 	54 , 	395 ," 	10,602 "," 	6,491 "," 	8,317 "," 	4,606 "," 	1,302 ", 	802 , 	343 , 	465 , 	793 , 	113 ," 	1,151 ", 	753 , 	10 , 	31 , 	137 , 	95 ," 	1,739 ", 	162 , 	554 , 	824 , 	353 , 	414 , 	373 , 	17 , 	94 ," 	54,370 ",,,,,,,,,,,,,
NC, 	50 , 	110 , 	47 , 	52 , 	122 , 	48 , 	245 , 	254 , 	350 , 	86 , 	68 , 	55 , 	74 , 	24 , 	42 , 	22 , 	19 , 	15 , 	505 , 	254 , 	329 , 	51 , 	38 , 	185 , 	27 ," 	1,546 "," 	1,222 "," 	1,585 "," 	1,269 ", 	368 , 	314 , 	80 , 	149 , 	170 , 	48 , 	19 , 	15 , 	144 , 	364 , 	59 , 	37 , 	568 , 	23 , 	3 , 	119 , 	15 , 	26 , 	30 , 	344 , 	292 ," 	11,881 ",,,,,,,,,,,,,
WP, 	159 , 	192 , 	116 , 	76 , 	429 , 	104 , 	840 ," 	1,027 "," 	1,167 ", 	166 , 	239 , 	256 , 	194 , 	119 , 	167 , 	100 , 	89 , 	89 ," 	2,185 ", 	780 ," 	1,598 ", 	371 , 	160 , 	439 , 	204 ," 	3,848 "," 	3,525 "," 	6,010 "," 	3,703 "," 	1,451 "," 	1,136 ", 	473 , 	490 , 	537 , 	248 , 	38 , 	39 , 	340 , 	412 , 	217 , 	268 ," 	1,587 ", 	95 , 	32 , 	299 , 	104 , 	57 , 	63 , 	274 , 	348 ," 	36,860 ",,,,,,,,,,,,,
