Exit stations,Entry stations->,,SATURDAY,,,Dec 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	20 , 	35 , 	33 , 	13 , 	109 , 	20 , 	30 , 	16 , 	27 , 	7 , 	21 , 	18 , 	6 , 	6 , 	6 , 	3 , 	3 , 	3 , 	6 , 	9 , 	7 , 	2 , 	4 , 	7 , 	10 , 	53 , 	40 , 	141 , 	53 , 	44 , 	49 , 	8 , 	15 , 	11 , 	6 , 	2 , 	3 , 	0 , 	2 , 	5 , 	8 , 	22 , 	8 , 	1 , 	3 , 	6 , 	6 , 	5 , 	3 , 	3 , 	917 ,,,,,,,,,,
LF, 	2 , 	4 , 	3 , 	2 , 	8 , 	1 , 	10 , 	14 , 	9 , 	0 , 	3 , 	2 , 	1 , 	1 , 	5 , 	1 , 	-   , 	1 , 	50 , 	15 , 	18 , 	11 , 	4 , 	19 , 	1 , 	69 , 	45 , 	115 , 	54 , 	18 , 	8 , 	5 , 	5 , 	4 , 	1 , 	0 , 	1 , 	1 , 	8 , 	3 , 	1 , 	40 , 	2 , 	0 , 	5 , 	0 , 	1 , 	1 , 	4 , 	3 , 	577 ,,,,,,,,,,
OR, 	1 , 	1 , 	1 , 	2 , 	6 , 	1 , 	5 , 	11 , 	6 , 	0 , 	5 , 	1 , 	1 , 	0 , 	0 , 	0 , 	0 , 	1 , 	7 , 	6 , 	9 , 	5 , 	4 , 	14 , 	1 , 	50 , 	33 , 	86 , 	47 , 	13 , 	9 , 	4 , 	2 , 	3 , 	1 , 	0 , 	-   , 	0 , 	2 , 	1 , 	2 , 	34 , 	1 , 	0 , 	3 , 	-   , 	0 , 	2 , 	3 , 	1 , 	386 ,,,,,,,,,,
RR, 	10 , 	6 , 	5 , 	4 , 	7 , 	3 , 	20 , 	29 , 	22 , 	6 , 	11 , 	3 , 	5 , 	4 , 	3 , 	2 , 	0 , 	4 , 	13 , 	21 , 	29 , 	16 , 	14 , 	12 , 	11 , 	112 , 	84 , 	184 , 	99 , 	54 , 	37 , 	15 , 	5 , 	11 , 	3 , 	1 , 	2 , 	4 , 	7 , 	2 , 	2 , 	60 , 	2 , 	0 , 	5 , 	1 , 	2 , 	3 , 	1 , 	6 , 	960 ,,,,,,,,,,
OW, 	8 , 	9 , 	5 , 	3 , 	12 , 	7 , 	21 , 	15 , 	22 , 	8 , 	33 , 	13 , 	9 , 	10 , 	8 , 	3 , 	3 , 	3 , 	2 , 	2 , 	9 , 	1 , 	1 , 	13 , 	20 , 	220 , 	179 , 	441 , 	202 , 	123 , 	64 , 	21 , 	16 , 	14 , 	6 , 	2 , 	8 , 	1 , 	5 , 	4 , 	5 , 	54 , 	5 , 	4 , 	4 , 	4 , 	3 , 	4 , 	2 , 	4 ," 	1,634 ",,,,,,,,,,
EM, 	69 , 	132 , 	84 , 	88 , 	181 , 	72 , 	144 , 	160 , 	154 , 	116 , 	127 , 	45 , 	109 , 	86 , 	48 , 	38 , 	67 , 	79 , 	81 , 	113 , 	135 , 	74 , 	71 , 	126 , 	264 , 	83 , 	14 , 	135 , 	57 , 	159 , 	173 , 	110 , 	152 , 	119 , 	34 , 	51 , 	158 , 	23 , 	58 , 	31 , 	44 , 	140 , 	76 , 	62 , 	30 , 	38 , 	80 , 	72 , 	6 , 	42 ," 	4,609 ",,,,,,,,,,
MT, 	58 , 	103 , 	56 , 	80 , 	155 , 	59 , 	125 , 	147 , 	141 , 	84 , 	102 , 	42 , 	89 , 	86 , 	37 , 	26 , 	36 , 	45 , 	51 , 	77 , 	87 , 	54 , 	38 , 	106 , 	230 , 	19 , 	42 , 	24 , 	41 , 	138 , 	180 , 	106 , 	209 , 	125 , 	45 , 	39 , 	104 , 	13 , 	52 , 	24 , 	38 , 	153 , 	55 , 	35 , 	24 , 	23 , 	49 , 	53 , 	7 , 	30 ," 	3,742 ",,,,,,,,,,
PL, 	132 , 	209 , 	128 , 	117 , 	242 , 	97 , 	187 , 	221 , 	212 , 	169 , 	222 , 	107 , 	169 , 	175 , 	83 , 	47 , 	88 , 	102 , 	129 , 	153 , 	194 , 	122 , 	98 , 	185 , 	418 , 	150 , 	26 , 	127 , 	103 , 	471 , 	553 , 	333 , 	506 , 	430 , 	133 , 	110 , 	306 , 	48 , 	112 , 	91 , 	120 , 	452 , 	174 , 	93 , 	37 , 	52 , 	93 , 	92 , 	17 , 	67 ," 	8,702 ",,,,,,,,,,
CC, 	57 , 	82 , 	54 , 	72 , 	116 , 	64 , 	125 , 	125 , 	128 , 	80 , 	147 , 	63 , 	81 , 	63 , 	30 , 	30 , 	45 , 	43 , 	62 , 	70 , 	84 , 	63 , 	52 , 	105 , 	224 , 	63 , 	34 , 	99 , 	62 , 	147 , 	194 , 	114 , 	129 , 	181 , 	50 , 	43 , 	103 , 	23 , 	35 , 	49 , 	67 , 	160 , 	127 , 	46 , 	15 , 	18 , 	36 , 	50 , 	5 , 	23 ," 	3,939 ",,,,,,,,,,
16, 	39 , 	41 , 	20 , 	38 , 	74 , 	39 , 	88 , 	101 , 	77 , 	52 , 	62 , 	25 , 	31 , 	18 , 	11 , 	8 , 	10 , 	16 , 	20 , 	19 , 	31 , 	22 , 	15 , 	56 , 	120 , 	147 , 	112 , 	483 , 	173 , 	30 , 	68 , 	85 , 	110 , 	125 , 	45 , 	14 , 	29 , 	7 , 	16 , 	26 , 	41 , 	102 , 	66 , 	12 , 	6 , 	7 , 	14 , 	16 , 	3 , 	10 ," 	2,781 ",,,,,,,,,,
24, 	39 , 	46 , 	20 , 	30 , 	48 , 	31 , 	68 , 	73 , 	52 , 	37 , 	53 , 	25 , 	23 , 	19 , 	17 , 	9 , 	7 , 	8 , 	16 , 	16 , 	18 , 	12 , 	12 , 	37 , 	83 , 	168 , 	143 , 	620 , 	223 , 	63 , 	34 , 	74 , 	91 , 	99 , 	42 , 	5 , 	18 , 	4 , 	20 , 	37 , 	49 , 	88 , 	46 , 	10 , 	6 , 	4 , 	8 , 	9 , 	5 , 	10 ," 	2,677 ",,,,,,,,,,
GP, 	8 , 	6 , 	7 , 	13 , 	35 , 	8 , 	21 , 	18 , 	22 , 	9 , 	13 , 	6 , 	6 , 	5 , 	6 , 	1 , 	3 , 	3 , 	7 , 	5 , 	8 , 	7 , 	4 , 	16 , 	22 , 	87 , 	81 , 	364 , 	110 , 	79 , 	78 , 	20 , 	14 , 	19 , 	13 , 	5 , 	9 , 	4 , 	5 , 	9 , 	16 , 	62 , 	27 , 	4 , 	5 , 	2 , 	2 , 	5 , 	0 , 	4 ," 	1,282 ",,,,,,,,,,
BP, 	13 , 	12 , 	4 , 	5 , 	16 , 	8 , 	14 , 	15 , 	21 , 	10 , 	14 , 	6 , 	8 , 	11 , 	5 , 	3 , 	2 , 	3 , 	7 , 	6 , 	7 , 	3 , 	2 , 	6 , 	19 , 	124 , 	106 , 	531 , 	112 , 	79 , 	83 , 	15 , 	10 , 	17 , 	23 , 	3 , 	5 , 	1 , 	8 , 	11 , 	22 , 	51 , 	25 , 	4 , 	3 , 	2 , 	5 , 	4 , 	3 , 	6 ," 	1,473 ",,,,,,,,,,
DC, 	11 , 	15 , 	6 , 	5 , 	18 , 	6 , 	9 , 	12 , 	15 , 	11 , 	20 , 	13 , 	16 , 	10 , 	9 , 	5 , 	6 , 	5 , 	8 , 	8 , 	6 , 	3 , 	3 , 	7 , 	16 , 	119 , 	98 , 	505 , 	192 , 	120 , 	98 , 	18 , 	19 , 	18 , 	11 , 	3 , 	17 , 	2 , 	8 , 	14 , 	33 , 	108 , 	34 , 	8 , 	3 , 	4 , 	7 , 	8 , 	2 , 	7 ," 	1,703 ",,,,,,,,,,
CM, 	4 , 	6 , 	2 , 	2 , 	6 , 	1 , 	3 , 	5 , 	10 , 	2 , 	4 , 	0 , 	2 , 	2 , 	1 , 	1 , 	3 , 	1 , 	4 , 	4 , 	2 , 	1 , 	1 , 	3 , 	5 , 	33 , 	30 , 	154 , 	48 , 	41 , 	43 , 	13 , 	20 , 	11 , 	5 , 	0 , 	2 , 	1 , 	7 , 	3 , 	12 , 	64 , 	13 , 	1 , 	0 , 	-   , 	0 , 	1 , 	2 , 	5 , 	584 ,,,,,,,,,,
