Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Jul 04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
LF, 	8 , 	6 , 	9 , 	3 , 	25 , 	6 , 	14 , 	21 , 	27 , 	4 , 	11 , 	54 , 	4 , 	4 , 	3 , 	2 , 	2 , 	4 , 	81 , 	33 , 	48 , 	7 , 	13 , 	38 , 	3 , 	223 , 	89 , 	205 , 	94 , 	19 , 	17 , 	6 , 	3 , 	10 , 	3 , 	1 , 	3 , 	8 , 	18 , 	3 , 	1 , 	36 , 	5 ," 	1,173 ",,,CM line," 	28,490 "," 	2,438 "," 	4,601 ",,,,,
OR, 	7 , 	6 , 	7 , 	6 , 	25 , 	6 , 	12 , 	6 , 	37 , 	4 , 	19 , 	36 , 	4 , 	2 , 	2 , 	1 , 	2 , 	5 , 	31 , 	17 , 	26 , 	10 , 	4 , 	33 , 	1 , 	215 , 	94 , 	210 , 	79 , 	17 , 	13 , 	9 , 	5 , 	6 , 	3 , 	1 , 	2 , 	6 , 	8 , 	2 , 	1 , 	36 , 	6 ," 	1,022 ",,,RM line," 	11,578 "," 	3,772 "," 	2,826 "," 	3,647 ",,,,
RR, 	15 , 	12 , 	20 , 	12 , 	34 , 	12 , 	29 , 	27 , 	45 , 	17 , 	26 , 	53 , 	10 , 	10 , 	11 , 	4 , 	5 , 	10 , 	37 , 	41 , 	75 , 	37 , 	33 , 	8 , 	10 , 	338 , 	228 , 	484 , 	233 , 	69 , 	67 , 	22 , 	11 , 	14 , 	3 , 	3 , 	11 , 	6 , 	22 , 	3 , 	4 , 	53 , 	10 ," 	2,176 ",,,WP line," 	13,214 "," 	1,726 "," 	1,951 "," 	1,365 "," 	3,032 ",,,
OW, 	18 , 	22 , 	7 , 	11 , 	32 , 	36 , 	34 , 	27 , 	57 , 	13 , 	72 , 	49 , 	21 , 	29 , 	15 , 	8 , 	7 , 	11 , 	7 , 	5 , 	8 , 	3 , 	2 , 	9 , 	7 , 	295 , 	242 , 	631 , 	206 , 	78 , 	91 , 	15 , 	20 , 	15 , 	5 , 	2 , 	14 , 	3 , 	13 , 	3 , 	1 , 	14 , 	5 ," 	2,161 ",,,FT/ED line," 	18,225 "," 	4,874 "," 	3,140 "," 	4,326 "," 	2,331 "," 	8,900 ",,
EM, 	92 , 	317 , 	193 , 	240 , 	493 , 	175 , 	318 , 	154 , 	310 , 	178 , 	241 , 	315 , 	185 , 	205 , 	105 , 	67 , 	169 , 	410 , 	291 , 	390 , 	483 , 	245 , 	242 , 	402 , 	341 , 	57 , 	41 , 	258 , 	119 , 	385 , 	530 , 	281 , 	351 , 	236 , 	115 , 	204 ," 	1,190 ", 	125 , 	285 , 	53 , 	55 , 	236 , 	191 ," 	11,274 ",,,SFIA," 	5,769 "," 	1,304 "," 	1,424 ", 	827 , 	875 , 	368 , 	519 ," 	144,590 "
MT, 	72 , 	208 , 	113 , 	164 , 	321 , 	126 , 	229 , 	145 , 	337 , 	175 , 	198 , 	202 , 	138 , 	122 , 	66 , 	46 , 	102 , 	213 , 	113 , 	157 , 	182 , 	89 , 	88 , 	260 , 	264 , 	31 , 	37 , 	57 , 	88 , 	483 , 	581 , 	520 ," 	1,358 ", 	247 , 	152 , 	79 , 	240 , 	36 , 	114 , 	66 , 	40 , 	156 , 	102 ," 	8,517 ",,,,,,,,,,,
PL, 	167 , 	509 , 	258 , 	288 , 	789 , 	247 , 	510 , 	270 , 	503 , 	345 , 	432 , 	573 , 	275 , 	242 , 	171 , 	118 , 	217 , 	463 , 	241 , 	373 , 	452 , 	233 , 	208 , 	478 , 	625 , 	241 , 	61 , 	123 , 	236 ," 	1,171 "," 	1,640 ", 	911 ," 	1,490 ", 	751 , 	356 , 	181 , 	887 , 	86 , 	275 , 	167 , 	166 , 	829 , 	391 ," 	18,950 ",,,,,,,,,,,
CC, 	79 , 	206 , 	114 , 	169 , 	349 , 	161 , 	270 , 	144 , 	209 , 	129 , 	178 , 	212 , 	116 , 	90 , 	62 , 	33 , 	73 , 	149 , 	97 , 	131 , 	160 , 	99 , 	83 , 	237 , 	215 , 	113 , 	67 , 	199 , 	75 , 	691 , 	775 , 	347 , 	715 , 	265 , 	175 , 	61 , 	284 , 	36 , 	82 , 	70 , 	77 , 	270 , 	182 ," 	8,252 ",,,,,,,,,,,
16, 	63 , 	64 , 	30 , 	58 , 	149 , 	86 , 	131 , 	76 , 	88 , 	64 , 	96 , 	79 , 	31 , 	25 , 	23 , 	17 , 	13 , 	26 , 	31 , 	23 , 	29 , 	18 , 	16 , 	72 , 	82 , 	282 , 	352 ," 	1,210 ", 	703 , 	40 , 	234 , 	186 , 	380 , 	143 , 	86 , 	16 , 	41 , 	7 , 	32 , 	30 , 	51 , 	67 , 	52 ," 	5,299 ",,,,,,,,,,,
24, 	122 , 	93 , 	37 , 	57 , 	111 , 	75 , 	94 , 	60 , 	75 , 	41 , 	131 , 	96 , 	42 , 	36 , 	25 , 	23 , 	18 , 	26 , 	52 , 	30 , 	26 , 	14 , 	14 , 	57 , 	96 , 	415 , 	417 ," 	1,706 ", 	774 , 	226 , 	45 , 	183 , 	365 , 	228 , 	125 , 	9 , 	53 , 	10 , 	67 , 	42 , 	77 , 	83 , 	69 ," 	6,347 ",,,,,,,,,,,
