Exit stations,Entry stations->,,TOTAL,,,Aug 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	421 ," 	1,730 "," 	1,593 ", 	915 ," 	6,090 "," 	1,219 "," 	2,073 "," 	1,428 "," 	1,634 ", 	658 ," 	1,308 "," 	1,265 ", 	524 , 	255 , 	527 , 	219 , 	154 , 	189 , 	257 , 	217 , 	314 , 	221 , 	113 , 	324 , 	479 ," 	5,133 "," 	3,489 "," 	6,470 "," 	3,596 "," 	2,710 "," 	2,931 ", 	690 , 	720 , 	949 , 	300 , 	60 , 	140 , 	68 , 	137 , 	178 , 	359 , 	977 , 	320 , 	90 , 	291 , 	387 , 	102 , 	194 , 	180 , 	195 ," 	54,793 ",,,,,,,,,,,,,
LF, 	213 , 	145 , 	117 , 	70 , 	584 , 	90 , 	537 , 	846 ," 	1,055 ", 	54 , 	230 , 	472 , 	35 , 	30 , 	54 , 	4 , 	39 , 	23 ," 	1,842 ", 	957 , 	916 , 	288 , 	227 , 	941 , 	58 ," 	7,546 "," 	5,170 "," 	2,298 "," 	1,998 ", 	768 , 	422 , 	198 , 	166 , 	164 , 	47 , 	15 , 	30 , 	75 , 	488 , 	46 , 	101 ," 	1,510 ", 	120 , 	4 , 	335 , 	16 , 	43 , 	58 , 	246 , 	272 ," 	31,963 ",,,,,,,,,,,,,
OR, 	107 , 	112 , 	50 , 	82 , 	476 , 	70 , 	582 , 	728 , 	823 , 	84 , 	231 , 	398 , 	78 , 	74 , 	42 , 	23 , 	15 , 	45 , 	451 , 	341 , 	491 , 	203 , 	243 , 	764 , 	67 ," 	6,255 "," 	4,024 "," 	1,938 "," 	1,749 ", 	552 , 	324 , 	195 , 	107 , 	142 , 	37 , 	46 , 	31 , 	36 , 	157 , 	49 , 	66 , 	997 , 	75 , 	6 , 	183 , 	8 , 	64 , 	39 , 	83 , 	169 ," 	23,912 ",,,,,,,,,,,,,
RR, 	384 , 	432 , 	454 , 	233 , 	342 , 	158 , 	921 ," 	1,452 "," 	1,714 ", 	279 , 	677 , 	730 , 	289 , 	176 , 	179 , 	35 , 	111 , 	135 ," 	1,071 "," 	1,327 "," 	1,634 ", 	943 , 	845 , 	489 , 	374 ," 	9,665 "," 	7,154 "," 	4,948 "," 	4,819 "," 	2,590 "," 	1,265 ", 	632 , 	579 , 	432 , 	111 , 	71 , 	74 , 	156 , 	579 , 	146 , 	179 ," 	2,203 ", 	161 , 	47 , 	283 , 	131 , 	86 , 	108 , 	206 , 	606 ," 	52,615 ",,,,,,,,,,,,,
OW, 	615 , 	566 , 	213 , 	204 ," 	1,036 ", 	576 , 	873 , 	750 ," 	1,086 ", 	373 ," 	1,728 "," 	1,760 ", 	718 , 	620 , 	678 , 	298 , 	223 , 	179 , 	331 , 	184 , 	319 , 	84 , 	67 , 	406 , 	609 ," 	17,056 "," 	10,852 "," 	12,110 "," 	8,863 "," 	4,608 "," 	2,969 ", 	789 , 	876 , 	631 , 	229 , 	217 , 	456 , 	37 , 	293 , 	241 , 	340 ," 	1,957 ", 	448 , 	139 , 	209 , 	189 , 	87 , 	166 , 	192 , 	305 ," 	78,755 ",,,,,,,,,,,,,
EM," 	5,824 "," 	10,917 "," 	6,563 "," 	6,790 "," 	13,960 "," 	6,615 "," 	12,004 "," 	14,299 "," 	14,189 "," 	9,551 "," 	11,057 "," 	6,962 "," 	9,162 "," 	7,362 "," 	5,229 "," 	4,057 "," 	5,334 "," 	6,198 "," 	8,290 "," 	11,624 "," 	11,763 "," 	8,878 "," 	7,620 "," 	10,936 "," 	19,667 "," 	4,081 ", 	709 ," 	3,726 "," 	4,115 "," 	10,471 "," 	14,757 "," 	9,804 "," 	12,343 "," 	11,333 "," 	4,670 "," 	4,976 "," 	16,199 "," 	2,554 "," 	5,756 "," 	4,167 "," 	3,465 "," 	7,198 "," 	5,398 "," 	6,146 "," 	2,212 "," 	2,278 "," 	2,710 "," 	3,317 "," 	1,162 "," 	6,717 "," 	385,115 ",,,,,,,,,,,,,
MT," 	4,632 "," 	8,348 "," 	4,916 "," 	4,794 "," 	9,882 "," 	4,856 "," 	8,653 "," 	10,420 "," 	10,340 "," 	7,687 "," 	8,129 "," 	5,177 "," 	7,584 "," 	6,875 "," 	3,579 "," 	2,847 "," 	3,803 "," 	3,924 "," 	5,946 "," 	8,292 "," 	7,332 "," 	5,305 "," 	4,245 "," 	7,771 "," 	13,293 ", 	927 ," 	2,142 "," 	1,242 "," 	3,144 "," 	9,902 "," 	16,244 "," 	10,909 "," 	17,677 "," 	13,958 "," 	5,513 "," 	4,223 "," 	9,260 "," 	1,654 "," 	5,135 "," 	4,241 "," 	4,232 "," 	8,061 "," 	5,494 "," 	3,516 "," 	1,454 "," 	1,708 "," 	2,079 "," 	2,471 "," 	1,009 "," 	5,193 "," 	310,018 ",,,,,,,,,,,,,
PL," 	5,828 "," 	8,439 "," 	3,363 "," 	2,965 "," 	8,082 "," 	3,315 "," 	6,622 "," 	6,946 "," 	8,490 "," 	5,638 "," 	8,048 "," 	5,844 "," 	5,860 "," 	5,768 "," 	2,743 "," 	2,039 "," 	2,236 "," 	2,246 "," 	4,315 "," 	4,215 "," 	3,884 "," 	2,104 "," 	1,903 "," 	4,158 "," 	11,284 "," 	4,519 "," 	1,208 "," 	3,114 "," 	2,223 "," 	12,561 "," 	16,556 "," 	10,219 "," 	18,733 "," 	13,850 "," 	5,349 "," 	2,427 "," 	5,950 "," 	1,339 "," 	4,855 "," 	4,231 "," 	3,956 "," 	23,605 "," 	4,729 "," 	1,857 "," 	1,821 "," 	1,035 "," 	1,365 "," 	1,680 "," 	1,251 "," 	4,064 "," 	278,832 ",,,,,,,,,,,,,
CC," 	3,490 "," 	5,953 "," 	2,955 "," 	3,507 "," 	5,888 "," 	3,881 "," 	6,899 "," 	7,334 "," 	6,864 "," 	5,117 "," 	8,551 "," 	4,202 "," 	4,631 "," 	3,964 "," 	2,578 "," 	1,800 "," 	1,851 "," 	2,054 "," 	3,705 "," 	3,698 "," 	3,728 "," 	1,941 "," 	1,765 "," 	4,304 "," 	8,926 "," 	3,960 "," 	2,865 "," 	2,181 "," 	1,938 "," 	5,465 "," 	8,182 "," 	6,556 "," 	10,483 "," 	8,854 "," 	4,157 "," 	2,178 "," 	4,450 "," 	1,251 "," 	3,184 "," 	3,570 "," 	3,521 "," 	8,166 "," 	4,508 "," 	1,736 ", 	814 , 	993 ," 	1,034 "," 	1,410 ", 	666 ," 	3,336 "," 	205,044 ",,,,,,,,,,,,,
16," 	2,377 "," 	2,708 "," 	1,406 "," 	1,802 "," 	3,793 "," 	1,920 "," 	4,331 "," 	4,492 "," 	3,918 "," 	2,804 "," 	3,605 "," 	1,856 "," 	1,823 "," 	1,440 "," 	1,062 ", 	788 , 	786 , 	870 ," 	1,306 "," 	1,215 "," 	1,222 ", 	765 , 	581 ," 	2,382 "," 	4,925 "," 	10,471 "," 	9,714 "," 	14,534 "," 	6,413 "," 	1,179 "," 	2,348 "," 	4,164 "," 	6,702 "," 	5,618 "," 	2,533 ", 	765 ," 	1,569 ", 	426 ," 	1,491 "," 	1,789 "," 	2,053 "," 	5,033 "," 	2,843 ", 	695 , 	440 , 	397 , 	359 , 	579 , 	494 ," 	1,294 "," 	138,080 ",,,,,,,,,,,,,
24," 	2,647 "," 	2,499 ", 	959 ," 	1,093 "," 	2,827 "," 	1,237 "," 	2,669 "," 	3,193 "," 	3,018 "," 	1,928 "," 	3,022 "," 	2,024 "," 	1,466 ", 	815 , 	652 , 	648 , 	442 , 	463 ," 	1,059 ", 	727 , 	810 , 	466 , 	338 ," 	1,233 "," 	3,229 "," 	13,394 "," 	13,527 "," 	19,458 "," 	9,662 "," 	2,162 ", 	930 ," 	3,582 "," 	5,304 "," 	4,660 "," 	2,324 ", 	317 , 	844 , 	439 ," 	1,289 "," 	1,606 "," 	2,062 "," 	3,378 "," 	2,334 ", 	394 , 	393 , 	220 , 	239 , 	328 , 	271 ," 	1,017 "," 	129,598 ",,,,,,,,,,,,,
