Exit stations,Entry stations->,,TOTAL,,,Aug 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
WC, 	519 , 	707 , 	616 , 	608 ," 	2,925 ", 	538 ," 	3,779 "," 	7,130 "," 	7,577 ", 	565 , 	903 ," 	1,700 ", 	610 , 	282 , 	468 , 	284 , 	409 , 	318 ," 	5,977 "," 	2,976 ", 	770 ," 	1,422 ", 	937 ," 	3,978 ", 	446 ," 	32,814 "," 	30,832 "," 	12,531 "," 	12,178 "," 	3,738 "," 	1,638 "," 	1,240 "," 	1,077 "," 	1,346 ", 	362 , 	105 , 	128 ," 	1,219 "," 	3,400 ", 	562 , 	521 ," 	5,148 ", 	670 , 	62 ," 	1,101 ", 	416 , 	-   , 	-   ," 	1,241 "," 	2,412 "," 	161,185 ",,,,,,,,,,,,,
LF, 	182 , 	223 , 	184 , 	188 ," 	1,605 ", 	194 ," 	1,487 "," 	3,748 "," 	3,782 ", 	218 , 	341 , 	899 , 	184 , 	50 , 	152 , 	34 , 	87 , 	146 ," 	2,360 "," 	1,206 "," 	1,328 ", 	461 , 	316 ," 	1,770 ", 	124 ," 	21,268 "," 	19,451 "," 	6,655 "," 	6,834 "," 	1,865 ", 	982 , 	484 , 	322 , 	409 , 	94 , 	20 , 	30 , 	220 , 	829 , 	180 , 	219 ," 	2,752 ", 	366 , 	18 , 	626 , 	133 , 	-   , 	-   , 	337 , 	365 ," 	85,728 ",,,,,,,,,,,,,
OR, 	221 , 	293 , 	186 , 	261 ," 	1,605 ", 	259 ," 	1,057 "," 	2,707 "," 	3,110 ", 	291 , 	446 ," 	1,283 ", 	231 , 	87 , 	166 , 	63 , 	82 , 	182 , 	883 , 	695 , 	927 , 	400 , 	576 ," 	1,574 ", 	124 ," 	21,165 "," 	17,070 "," 	7,495 "," 	7,175 "," 	1,860 "," 	1,107 ", 	768 , 	353 , 	519 , 	90 , 	89 , 	88 , 	118 , 	262 , 	206 , 	207 ," 	3,081 ", 	412 , 	48 , 	530 , 	208 , 	-   , 	-   , 	174 , 	247 ," 	80,981 ",,,,,,,,,,,,,
RR, 	594 , 	837 , 	815 , 	481 ," 	1,211 ", 	317 ," 	1,619 "," 	4,593 "," 	5,039 ", 	757 ," 	1,332 "," 	1,535 ", 	657 , 	289 , 	346 , 	178 , 	262 , 	319 ," 	2,096 "," 	2,746 "," 	3,707 "," 	1,746 "," 	1,554 ", 	659 , 	640 ," 	28,414 "," 	26,289 "," 	15,283 "," 	15,609 "," 	6,420 "," 	3,091 "," 	1,671 "," 	1,051 ", 	866 , 	96 , 	125 , 	290 , 	542 , 	842 , 	306 , 	362 ," 	4,712 ", 	753 , 	148 , 	604 , 	415 , 	-   , 	-   , 	514 , 	900 ," 	143,632 ",,,,,,,,,,,,,
OW, 	653 , 	945 , 	381 , 	384 ," 	1,991 ", 	783 ," 	1,206 "," 	1,651 "," 	2,345 ", 	730 ," 	2,269 "," 	2,393 ", 	986 , 	907 , 	741 , 	294 , 	369 , 	382 , 	423 , 	327 , 	420 , 	137 , 	130 , 	654 , 	738 ," 	44,907 "," 	36,979 "," 	28,314 "," 	22,863 "," 	10,571 "," 	6,179 "," 	1,836 "," 	1,717 "," 	1,248 ", 	361 , 	279 , 	802 , 	112 , 	467 , 	432 , 	647 ," 	3,662 "," 	1,078 ", 	330 , 	303 , 	314 , 	-   , 	-   , 	244 , 	454 ," 	186,338 ",,,,,,,,,,,,,
EM," 	13,748 "," 	25,918 "," 	16,887 "," 	19,366 "," 	33,090 "," 	22,600 "," 	36,009 "," 	47,131 "," 	42,297 "," 	29,554 "," 	28,410 "," 	18,140 "," 	24,800 "," 	20,765 "," 	15,480 "," 	12,574 "," 	25,083 "," 	35,256 "," 	25,615 "," 	48,809 "," 	39,384 "," 	25,642 "," 	24,827 "," 	32,923 "," 	56,673 "," 	6,278 "," 	2,833 "," 	12,517 "," 	16,041 "," 	30,042 "," 	46,911 "," 	31,207 "," 	39,669 "," 	34,535 "," 	21,252 "," 	16,193 "," 	61,813 "," 	9,584 "," 	15,214 "," 	15,507 "," 	14,611 "," 	13,356 "," 	27,222 "," 	24,600 "," 	4,097 "," 	22,388 ", 	-   , 	-   ," 	3,797 "," 	11,738 "," 	1,202,386 ",,,,,,,,,,,,,
MT," 	12,631 "," 	22,350 "," 	15,649 "," 	15,172 "," 	24,490 "," 	18,742 "," 	29,496 "," 	36,842 "," 	29,330 "," 	26,720 "," 	24,464 "," 	14,243 "," 	20,723 "," 	18,692 "," 	13,879 "," 	10,316 "," 	19,291 "," 	26,136 "," 	20,407 "," 	37,725 "," 	29,131 "," 	17,729 "," 	16,071 "," 	25,240 "," 	41,296 "," 	3,157 "," 	4,706 "," 	4,114 "," 	14,417 "," 	35,027 "," 	56,326 "," 	39,844 "," 	63,268 "," 	46,937 "," 	25,860 "," 	13,671 "," 	43,783 "," 	8,426 "," 	13,185 "," 	18,564 "," 	18,681 "," 	13,735 "," 	35,844 "," 	16,153 "," 	2,645 "," 	19,233 ", 	-   , 	-   ," 	3,371 "," 	8,447 "," 	1,076,159 ",,,,,,,,,,,,,
PL," 	11,472 "," 	18,188 "," 	8,607 "," 	8,119 "," 	18,351 "," 	9,554 "," 	17,578 "," 	19,974 "," 	20,849 "," 	15,359 "," 	18,017 "," 	12,454 "," 	12,666 "," 	11,627 "," 	7,331 "," 	5,772 "," 	7,591 "," 	8,433 "," 	10,089 "," 	12,448 "," 	9,338 "," 	5,297 "," 	5,947 "," 	11,730 "," 	25,747 "," 	17,253 "," 	6,600 "," 	4,738 "," 	8,077 "," 	34,091 "," 	42,014 "," 	27,741 "," 	50,840 "," 	33,195 "," 	14,476 "," 	5,613 "," 	17,804 "," 	4,250 "," 	8,533 "," 	10,514 "," 	10,292 "," 	37,499 "," 	16,794 "," 	6,456 "," 	2,807 "," 	7,238 ", 	-   , 	-   ," 	2,823 "," 	5,959 "," 	688,145 ",,,,,,,,,,,,,
CC," 	8,537 "," 	14,790 "," 	9,052 "," 	9,837 "," 	14,917 "," 	11,562 "," 	19,990 "," 	21,651 "," 	19,166 "," 	15,279 "," 	17,608 "," 	9,630 "," 	11,506 "," 	10,057 "," 	7,029 "," 	5,573 "," 	8,031 "," 	8,020 "," 	9,791 "," 	12,856 "," 	10,513 "," 	6,085 "," 	6,512 "," 	13,751 "," 	22,807 "," 	15,358 "," 	13,840 "," 	7,684 "," 	2,984 "," 	15,089 "," 	23,372 "," 	18,220 "," 	31,289 "," 	21,777 "," 	12,314 "," 	6,030 "," 	16,967 "," 	4,231 "," 	7,316 "," 	9,141 "," 	9,596 "," 	15,512 "," 	16,076 "," 	6,346 "," 	1,497 "," 	6,805 ", 	-   , 	-   ," 	2,142 "," 	5,500 "," 	573,636 ",,,,,,,,,,,,,
16," 	4,891 "," 	5,600 "," 	3,015 "," 	4,241 "," 	8,710 "," 	5,619 "," 	9,975 "," 	11,106 "," 	8,782 "," 	6,082 "," 	7,863 "," 	4,128 "," 	3,691 "," 	3,444 "," 	2,354 "," 	1,974 "," 	2,403 "," 	2,583 "," 	3,093 "," 	3,910 "," 	2,989 "," 	1,555 "," 	1,722 "," 	5,750 "," 	10,527 "," 	30,046 "," 	37,083 "," 	39,802 "," 	16,859 "," 	1,642 "," 	5,251 "," 	8,252 "," 	15,113 "," 	9,466 "," 	4,519 "," 	1,738 "," 	5,304 "," 	1,325 "," 	2,969 "," 	3,711 "," 	3,700 "," 	6,502 "," 	7,301 "," 	2,015 ", 	612 ," 	2,492 ", 	-   , 	-   , 	893 ," 	2,009 "," 	334,611 ",,,,,,,,,,,,,
