Avg Weekday Trip OD																																																			
Weekday																																																			
2025 / 03																																																			
	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday
LM	21	43	30	20	121	30	31	15	14	12	91	114	177	136	89	66	53	54	12	8	13	5	3	10	18	337	251	241	240	98	80	28	40	41	5	57	96	4	12	5	6	15	4	45	12	32	9	16	25	39	"2,924"
FV	67	66	27	34	158	53	95	63	68	92	21	140	153	151	161	65	59	49	24	11	20	9	13	25	70	408	330	361	367	165	132	39	54	96	5	40	88	6	13	8	18	30	8	30	8	49	10	18	31	43	"4,050"
CL	45	45	16	15	82	33	74	71	82	107	138	14	62	86	96	49	41	33	22	14	11	4	3	11	53	172	139	183	167	70	71	25	29	65	6	21	59	3	15	6	9	18	9	20	13	32	12	27	22	35	"2,433"
SL	26	34	14	14	86	24	71	89	126	175	157	65	15	78	112	68	56	86	18	13	13	3	4	16	33	369	321	283	260	90	67	22	36	68	4	31	89	4	9	8	8	21	5	33	6	49	3	14	34	46	"3,276"
BF	15	22	12	9	61	12	47	69	101	139	153	84	80	14	67	49	48	64	14	3	7	3	3	7	26	281	247	282	205	66	48	18	31	48	4	25	83	3	7	7	9	13	3	45	4	43	4	4	22	38	"2,649"
HY	17	32	14	14	66	19	49	69	80	85	158	91	132	67	15	55	137	142	19	8	13	4	2	10	27	174	148	126	114	43	26	12	17	28	4	11	44	3	12	4	6	9	9	23	7	88	5	15	56	62	"2,373"
SH	12	12	2	4	34	10	28	40	66	58	64	48	66	45	53	9	54	70	6	5	5	1	1	3	9	138	117	96	100	25	33	4	14	17	2	12	27	0	5	3	1	4	3	16	4	71	2	3	26	41	"1,470"
UC	14	15	7	10	70	12	27	56	77	53	59	45	61	51	130	51	11	59	6	4	13	1	2	3	10	231	191	101	100	33	16	6	12	19	4	9	34	0	4	2	4	12	2	14	8	64	1	4	55	57	"1,826"
FM	10	20	9	10	64	12	32	64	84	48	52	34	88	68	143	76	64	14	9	3	7	1	3	5	7	280	209	95	95	32	15	7	9	23	2	15	30	1	5	2	3	15	3	13	9	74	1	6	70	87	"2,030"
CN	21	22	12	11	54	10	88	82	113	12	25	22	20	13	18	5	6	10	18	65	146	88	32	61	11	318	273	206	222	62	52	22	30	46	8	5	5	31	128	9	11	67	13	3	16	2	77	103	7	8	"2,689"
PH	6	11	8	13	53	9	61	97	133	5	10	14	12	4	8	5	4	3	65	7	58	31	18	58	9	538	468	195	215	65	39	29	14	34	6	2	4	13	39	8	9	81	10	3	18	4	23	47	5	7	"2,577"
WC	17	25	16	13	65	8	78	100	125	15	20	11	13	7	13	6	10	5	152	61	10	41	27	91	8	579	451	196	201	58	33	19	20	32	7	2	4	18	76	11	10	105	10	1	16	3	32	67	6	7	"2,900"
LF	9	10	5	4	28	7	32	50	64	4	9	4	3	2	3	1	1	1	95	37	43	8	10	44	3	441	322	100	97	36	19	6	10	10	2	0	1	5	20	2	3	64	4	0	10	1	10	13	1	3	"1,656"
OR	6	8	3	4	18	4	21	36	50	3	8	1	4	3	2	2	1	3	26	16	29	10	6	33	3	385	268	77	94	23	12	11	9	9	3	1	1	2	7	3	3	49	4	0	6	1	4	9	3	2	"1,286"
RR	14	20	16	11	18	5	38	82	84	10	25	12	17	10	9	4	4	5	63	64	87	40	37	11	15	607	446	197	282	100	60	33	27	22	3	2	4	9	31	5	5	90	7	2	8	3	11	27	3	7	"2,692"
OW	28	20	6	8	40	12	33	36	49	14	69	51	35	28	27	8	10	7	13	6	8	3	3	14	16	864	557	483	440	217	129	36	41	38	6	6	18	2	7	7	19	68	14	4	5	6	8	12	3	7	"3,542"
EM	267	484	291	358	577	338	552	755	738	373	477	206	458	343	211	175	261	317	376	631	665	499	445	664	"1,021"	105	25	106	174	458	766	503	538	629	228	258	790	117	347	191	176	246	175	322	55	117	48	249	143	159	"18,406"
MT	209	382	230	248	346	240	416	509	469	266	361	157	367	291	167	136	202	210	292	478	444	325	266	460	666	35	60	44	116	486	861	582	767	823	283	205	534	85	276	239	235	219	200	203	30	95	36	212	111	119	"14,993"
PL	220	336	122	119	300	136	271	323	360	212	339	171	231	226	118	85	99	89	188	181	175	97	78	179	485	134	49	71	83	448	597	407	760	570	185	101	212	50	252	165	136	545	111	83	37	35	48	147	45	52	"10,461"
CC	174	282	155	173	280	178	327	376	347	227	331	148	224	161	103	83	86	84	186	186	173	86	88	242	451	166	100	76	47	236	400	338	524	477	189	111	206	64	180	194	160	267	151	73	18	45	38	172	36	52	"9,467"
16	103	120	48	67	161	80	183	208	175	93	168	63	90	62	44	27	30	34	56	55	53	33	23	94	227	456	459	498	267	22	110	206	316	284	114	30	64	21	78	75	86	154	70	28	8	19	14	59	13	19	"5,767"
24	113	89	36	41	124	51	114	133	141	68	110	60	66	45	25	33	14	16	50	36	29	19	12	55	140	673	729	708	455	110	20	177	241	240	82	12	39	14	64	68	74	100	67	15	10	13	10	31	7	11	"5,593"
GP	25	35	16	18	66	17	41	66	75	27	36	25	16	16	9	4	6	7	20	20	14	7	9	32	45	466	516	445	338	211	171	11	51	58	38	4	21	4	25	25	39	78	48	8	6	4	5	27	4	5	"3,261"
BP	40	40	18	15	50	17	45	53	72	42	52	24	37	28	16	13	10	6	32	15	22	10	7	21	54	447	492	857	496	292	232	51	13	68	62	11	20	8	27	50	58	65	73	6	3	7	10	19	5	8	"4,118"
DC	70	90	29	19	59	21	37	59	88	45	97	65	66	43	27	18	20	24	46	33	31	10	10	21	48	602	742	628	510	302	257	59	82	19	35	19	44	12	47	70	104	150	154	18	6	12	8	45	14	16	"5,029"
CM	13	12	3	4	21	4	7	18	32	3	4	4	3	4	4	2	3	1	10	6	7	1	3	3	7	237	246	214	198	104	77	37	57	27	6	1	3	1	10	17	30	62	57	0	0	0	3	9	1	1	"1,580"
CV	2	3	3	3	21	3	7	21	24	58	39	20	34	27	13	11	11	15	4	1	2	1	1	2	6	229	199	110	127	28	16	5	13	20	1	5	72	0	1	2	2	9	3	44	3	6	0	1	4	11	"1,245"
ED	11	12	6	7	54	10	25	52	88	95	95	55	94	73	43	27	34	29	6	2	3	1	2	2	15	707	519	233	236	69	42	20	21	48	3	70	18	1	3	5	5	69	6	20	27	15	1	4	19	31	"3,032"
NC	4	2	2	2	9	2	16	24	40	4	6	2	5	2	2	0	1	1	25	13	17	6	1	9	3	89	71	54	78	22	15	7	7	13	1	0	0	4	23	5	3	22	3	0	4	1	18	19	0	2	656
WP	14	13	5	4	36	8	85	48	92	14	15	12	7	5	10	4	4	5	132	47	82	21	11	35	10	284	248	291	255	91	77	31	30	45	11	1	3	19	9	8	13	65	9	2	10	5	9	15	2	6	"2,261"
SS	8	14	3	2	17	3	10	20	35	4	8	6	8	8	4	2	2	3	10	8	10	3	3	6	8	186	217	182	194	79	64	25	56	68	17	1	4	5	9	8	16	31	24	1	0	1	1	12	1	0	"1,408"
SB	17	16	7	2	20	5	13	30	32	7	16	9	8	8	7	1	2	4	10	9	9	3	3	6	20	172	214	153	162	93	83	43	59	96	31	2	5	4	10	19	7	70	12	2	1	0	2	12	1	0	"1,517"
SO	49	57	42	69	205	48	67	60	76	16	28	15	19	10	8	3	9	13	70	83	103	66	58	97	85	190	170	433	229	127	82	66	61	126	52	7	55	20	60	26	54	62	335	18	8	6	11	53	5	4	"3,613"
MB	13	28	12	11	68	14	16	33	38	6	7	10	6	3	5	3	2	1	13	9	9	3	3	4	13	156	171	116	134	60	53	37	75	136	46	1	7	2	7	18	11	345	32	2	2	1	2	8	0	0	"1,756"
WD	4	7	4	1	16	4	13	25	34	44	31	20	37	42	23	16	14	11	4	2	1	0	0	2	5	293	203	88	91	29	15	8	7	20	0	45	16	0	2	1	2	22	2	6	14	7	0	1	6	14	"1,255"
OA	5	15	12	16	59	11	12	16	16	9	5	11	4	2	5	3	6	8	11	14	13	7	5	6	4	47	28	32	24	9	8	6	4	5	0	3	21	4	9	1	1	9	2	10	4	4	4	10	4	6	535
WS	10	17	8	5	32	11	20	31	33	30	47	31	46	39	70	63	65	65	3	2	2	1	1	2	5	108	85	41	50	21	11	3	8	12	0	6	11	1	3	1	0	7	1	6	4	8	2	7	53	62	"1,145"
PC	5	5	2	1	7	4	19	16	24	8	6	12	4	2	5	2	1	1	81	21	29	9	5	13	7	37	27	48	37	15	11	4	9	10	3	0	1	17	9	2	2	11	2	0	3	2	5	27	1	2	576
AN	13	10	4	4	27	7	80	57	91	15	15	26	16	5	15	4	4	6	100	39	65	13	10	28	13	209	191	166	188	65	36	30	24	47	11	1	4	20	17	15	12	59	10	1	13	9	31	18	4	6	"1,853"
ML	6	10	6	6	65	12	20	38	34	22	28	21	37	23	54	27	57	63	7	5	5	1	3	3	3	127	104	48	42	13	9	5	5	13	0	3	19	0	1	0	1	6	1	7	5	51	1	3	8	23	"1,053"
BE	13	18	10	8	102	14	24	45	42	38	44	35	48	42	63	43	70	89	9	7	6	2	3	7	9	145	115	56	58	18	11	4	8	17	1	9	29	2	5	0	0	6	1	12	7	79	2	5	28	10	"1,420"
Grand Total	"2,585"	"3,681"	"2,088"	"1,874"	"5,765"	"2,092"	"3,961"	"4,876"	"5,509"	"2,892"	"4,056"	"2,416"	"3,342"	"2,598"	"2,361"	"1,513"	"1,849"	"2,014"	"2,701"	"2,629"	"2,880"	"1,675"	"1,367"	"2,668"	"3,890"	"16,216"	"13,507"	"11,408"	"10,339"	"5,767"	"5,753"	"3,355"	"4,507"	"4,948"	"1,589"	"1,236"	"3,032"	687	"2,149"	"1,411"	"1,499"	"3,998"	"1,902"	"1,244"	605	"1,226"	608	"1,835"	"1,073"	"1,362"	"174,538"
