Exit stations,Entry stations->,,WEEKDAY,,,Aug 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
WC, 	25 , 	33 , 	25 , 	27 , 	137 , 	26 , 	151 , 	344 , 	327 , 	26 , 	32 , 	83 , 	27 , 	12 , 	19 , 	12 , 	15 , 	26 , 	266 , 	131 , 	27 , 	64 , 	43 , 	155 , 	20 ," 	1,426 "," 	1,403 ", 	516 , 	482 , 	128 , 	73 , 	62 , 	46 , 	57 , 	19 , 	4 , 	6 , 	57 , 	134 , 	23 , 	24 , 	186 , 	29 , 	3 , 	50 , 	7 , 	-   , 	-   , 	48 , 	90 ," 	6,926 ",,,,,,,,,,,,,
LF, 	7 , 	9 , 	8 , 	8 , 	68 , 	10 , 	53 , 	164 , 	145 , 	10 , 	14 , 	50 , 	8 , 	3 , 	7 , 	3 , 	6 , 	7 , 	92 , 	58 , 	65 , 	13 , 	16 , 	71 , 	4 , 	899 , 	813 , 	244 , 	251 , 	57 , 	37 , 	21 , 	14 , 	18 , 	5 , 	1 , 	2 , 	12 , 	27 , 	8 , 	10 , 	100 , 	14 , 	1 , 	28 , 	3 , 	-   , 	-   , 	12 , 	15 ," 	3,490 ",,,,,,,,,,,,,
OR, 	9 , 	13 , 	5 , 	8 , 	47 , 	8 , 	45 , 	113 , 	130 , 	8 , 	19 , 	41 , 	8 , 	3 , 	6 , 	2 , 	3 , 	10 , 	40 , 	32 , 	43 , 	23 , 	13 , 	60 , 	4 , 	818 , 	741 , 	239 , 	227 , 	68 , 	29 , 	31 , 	16 , 	17 , 	3 , 	2 , 	2 , 	8 , 	12 , 	9 , 	8 , 	88 , 	12 , 	1 , 	16 , 	3 , 	-   , 	-   , 	6 , 	8 ," 	3,059 ",,,,,,,,,,,,,
RR, 	24 , 	34 , 	27 , 	16 , 	44 , 	13 , 	59 , 	180 , 	183 , 	31 , 	45 , 	66 , 	22 , 	10 , 	16 , 	10 , 	14 , 	22 , 	84 , 	123 , 	150 , 	69 , 	58 , 	19 , 	19 ," 	1,131 "," 	1,151 ", 	530 , 	601 , 	212 , 	108 , 	56 , 	38 , 	29 , 	5 , 	5 , 	11 , 	21 , 	33 , 	12 , 	15 , 	148 , 	25 , 	5 , 	22 , 	9 , 	-   , 	-   , 	16 , 	32 ," 	5,550 ",,,,,,,,,,,,,
OW, 	21 , 	37 , 	12 , 	12 , 	68 , 	22 , 	46 , 	65 , 	101 , 	26 , 	97 , 	115 , 	39 , 	39 , 	32 , 	15 , 	14 , 	13 , 	16 , 	12 , 	17 , 	4 , 	4 , 	18 , 	26 ," 	1,835 "," 	1,513 ", 	978 , 	838 , 	354 , 	219 , 	69 , 	74 , 	46 , 	13 , 	12 , 	34 , 	6 , 	14 , 	16 , 	27 , 	112 , 	34 , 	7 , 	11 , 	15 , 	-   , 	-   , 	8 , 	18 ," 	7,121 ",,,,,,,,,,,,,
EM, 	521 ," 	1,094 ", 	727 , 	757 ," 	1,202 ", 	928 ," 	1,334 "," 	1,804 "," 	1,638 "," 	1,214 "," 	1,160 ", 	723 , 	999 , 	872 , 	594 , 	550 ," 	1,073 "," 	1,606 "," 	1,082 "," 	2,178 "," 	1,720 "," 	1,034 ", 	958 ," 	1,256 "," 	2,283 ", 	185 , 	127 , 	509 , 	628 ," 	1,129 "," 	1,819 "," 	1,392 "," 	1,834 "," 	1,472 ", 	898 , 	686 ," 	2,588 ", 	469 , 	668 , 	666 , 	649 , 	499 ," 	1,140 ", 	987 , 	168 , 	828 , 	-   , 	-   , 	134 , 	467 ," 	49,248 ",,,,,,,,,,,,,
MT, 	492 , 	993 , 	652 , 	631 , 	916 , 	808 ," 	1,153 "," 	1,484 "," 	1,161 "," 	1,104 "," 	1,019 ", 	583 , 	866 , 	753 , 	577 , 	434 , 	830 ," 	1,195 ", 	947 ," 	1,794 "," 	1,320 ", 	742 , 	700 ," 	1,058 "," 	1,720 ", 	141 , 	172 , 	183 , 	600 ," 	1,401 "," 	2,340 "," 	1,747 "," 	2,929 "," 	2,030 "," 	1,145 ", 	560 ," 	1,876 ", 	386 , 	620 , 	841 , 	771 , 	491 ," 	1,553 ", 	739 , 	113 , 	748 , 	-   , 	-   , 	103 , 	374 ," 	45,795 ",,,,,,,,,,,,,
PL, 	393 , 	640 , 	318 , 	325 , 	637 , 	365 , 	643 , 	784 , 	773 , 	576 , 	729 , 	487 , 	467 , 	428 , 	278 , 	211 , 	280 , 	365 , 	394 , 	471 , 	393 , 	183 , 	177 , 	394 , 	926 , 	739 , 	303 , 	122 , 	338 ," 	1,158 "," 	1,530 "," 	1,117 "," 	2,117 "," 	1,277 ", 	540 , 	214 , 	628 , 	189 , 	373 , 	410 , 	388 ," 	1,332 ", 	637 , 	253 , 	142 , 	229 , 	-   , 	-   , 	81 , 	228 ," 	25,982 ",,,,,,,,,,,,,
CC, 	331 , 	609 , 	364 , 	370 , 	589 , 	462 , 	752 , 	863 , 	726 , 	581 , 	755 , 	395 , 	463 , 	413 , 	286 , 	219 , 	297 , 	322 , 	402 , 	545 , 	408 , 	218 , 	197 , 	516 , 	858 , 	637 , 	594 , 	312 , 	80 , 	555 , 	916 , 	773 ," 	1,445 ", 	866 , 	506 , 	236 , 	616 , 	197 , 	344 , 	402 , 	373 , 	512 , 	624 , 	248 , 	69 , 	231 , 	-   , 	-   , 	77 , 	233 ," 	22,784 ",,,,,,,,,,,,,
16, 	158 , 	231 , 	115 , 	145 , 	293 , 	219 , 	345 , 	422 , 	292 , 	232 , 	294 , 	161 , 	134 , 	137 , 	93 , 	72 , 	70 , 	95 , 	114 , 	146 , 	101 , 	49 , 	57 , 	186 , 	362 ," 	1,153 "," 	1,463 "," 	1,377 ", 	612 , 	34 , 	194 , 	322 , 	614 , 	298 , 	154 , 	66 , 	185 , 	53 , 	120 , 	124 , 	132 , 	211 , 	248 , 	73 , 	26 , 	61 , 	-   , 	-   , 	26 , 	78 ," 	12,147 ",,,,,,,,,,,,,
