Exit stations,Entry stations->,,SATURDAY,,,Jan 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
CV, 	4 , 	7 , 	5 , 	5 , 	19 , 	5 , 	6 , 	17 , 	16 , 	58 , 	39 , 	100 , 	31 , 	65 , 	23 , 	14 , 	14 , 	20 , 	3 , 	2 , 	5 , 	1 , 	1 , 	6 , 	9 , 	216 , 	117 , 	248 , 	81 , 	36 , 	18 , 	8 , 	8 , 	8 , 	1 , 	6 , 	51 , 	1 , 	3 , 	1 , 	3 , 	15 , 	3 , 	74 , 	8 , 	-   ," 	1,383 ",,,,,,,,,,,
ED, 	6 , 	11 , 	7 , 	12 , 	62 , 	14 , 	20 , 	31 , 	31 , 	70 , 	63 , 	329 , 	37 , 	111 , 	35 , 	23 , 	27 , 	72 , 	9 , 	3 , 	6 , 	3 , 	2 , 	5 , 	12 , 	764 , 	282 , 	677 , 	209 , 	65 , 	49 , 	18 , 	25 , 	35 , 	4 , 	50 , 	19 , 	2 , 	10 , 	9 , 	7 , 	89 , 	11 , 	26 , 	43 , 	-   ," 	3,397 ",,,,,,,,,,,
NC, 	2 , 	4 , 	1 , 	2 , 	13 , 	3 , 	8 , 	8 , 	14 , 	1 , 	4 , 	35 , 	3 , 	4 , 	4 , 	2 , 	1 , 	3 , 	22 , 	9 , 	23 , 	4 , 	3 , 	8 , 	1 , 	142 , 	50 , 	148 , 	57 , 	17 , 	10 , 	4 , 	5 , 	8 , 	3 , 	2 , 	1 , 	3 , 	24 , 	2 , 	5 , 	31 , 	3 , 	1 , 	7 , 	-   , 	704 ,,,,,,,,,,,
WP, 	27 , 	35 , 	10 , 	9 , 	44 , 	12 , 	83 , 	41 , 	70 , 	8 , 	45 , 	98 , 	26 , 	25 , 	26 , 	9 , 	9 , 	24 , 	185 , 	67 , 	116 , 	22 , 	12 , 	45 , 	26 , 	307 , 	167 , 	435 , 	131 , 	61 , 	62 , 	21 , 	42 , 	41 , 	23 , 	4 , 	10 , 	23 , 	15 , 	14 , 	19 , 	94 , 	17 , 	6 , 	20 , 	-   ," 	2,584 ",,,,,,,,,,,
SS, 	4 , 	14 , 	3 , 	3 , 	12 , 	3 , 	7 , 	8 , 	16 , 	4 , 	12 , 	16 , 	4 , 	4 , 	5 , 	1 , 	3 , 	3 , 	8 , 	7 , 	8 , 	3 , 	2 , 	3 , 	4 , 	190 , 	113 , 	341 , 	112 , 	65 , 	70 , 	21 , 	35 , 	36 , 	8 , 	1 , 	6 , 	2 , 	14 , 	15 , 	26 , 	31 , 	19 , 	2 , 	1 , 	-   ," 	1,263 ",,,,,,,,,,,
SB, 	14 , 	23 , 	6 , 	5 , 	17 , 	4 , 	12 , 	12 , 	18 , 	8 , 	18 , 	25 , 	5 , 	13 , 	12 , 	5 , 	3 , 	8 , 	11 , 	10 , 	9 , 	2 , 	2 , 	6 , 	15 , 	231 , 	114 , 	362 , 	158 , 	87 , 	121 , 	52 , 	121 , 	109 , 	53 , 	3 , 	4 , 	3 , 	18 , 	27 , 	14 , 	46 , 	26 , 	2 , 	2 , 	-   ," 	1,818 ",,,,,,,,,,,
SO, 	29 , 	60 , 	34 , 	58 , 	96 , 	32 , 	54 , 	40 , 	52 , 	21 , 	27 , 	18 , 	26 , 	13 , 	12 , 	6 , 	13 , 	24 , 	58 , 	75 , 	85 , 	47 , 	54 , 	68 , 	53 , 	200 , 	167 , 	831 , 	240 , 	113 , 	95 , 	57 , 	74 , 	136 , 	87 , 	10 , 	65 , 	26 , 	77 , 	25 , 	33 , 	33 , 	231 , 	19 , 	19 , 	-   ," 	3,593 ",,,,,,,,,,,
MB, 	12 , 	22 , 	12 , 	18 , 	85 , 	14 , 	22 , 	30 , 	37 , 	13 , 	18 , 	26 , 	6 , 	5 , 	6 , 	5 , 	5 , 	3 , 	15 , 	15 , 	18 , 	9 , 	7 , 	21 , 	18 , 	604 , 	258 , 	719 , 	277 , 	200 , 	156 , 	56 , 	83 , 	115 , 	32 , 	3 , 	6 , 	5 , 	18 , 	17 , 	30 , 	321 , 	36 , 	2 , 	8 , 	-   ," 	3,386 ",,,,,,,,,,,
WD, 	3 , 	7 , 	5 , 	5 , 	30 , 	8 , 	9 , 	13 , 	11 , 	41 , 	50 , 	132 , 	34 , 	106 , 	46 , 	15 , 	19 , 	31 , 	5 , 	4 , 	2 , 	1 , 	2 , 	2 , 	8 , 	286 , 	131 , 	266 , 	91 , 	31 , 	18 , 	9 , 	8 , 	14 , 	2 , 	89 , 	19 , 	1 , 	4 , 	4 , 	3 , 	32 , 	4 , 	13 , 	18 , 	-   ," 	1,630 ",,,,,,,,,,,
OA, 	4 , 	13 , 	17 , 	18 , 	36 , 	12 , 	14 , 	12 , 	16 , 	8 , 	11 , 	21 , 	4 , 	4 , 	4 , 	3 , 	10 , 	12 , 	9 , 	14 , 	12 , 	8 , 	7 , 	9 , 	6 , 	45 , 	27 , 	65 , 	26 , 	7 , 	12 , 	5 , 	4 , 	4 , 	1 , 	4 , 	25 , 	3 , 	10 , 	1 , 	0 , 	13 , 	2 , 	11 , 	2 , 	-   , 	552 ,,,,,,,,,,,
