Exit stations,Entry stations->,,WEEKDAY,,,Jan 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,
OR, 	8 , 	13 , 	5 , 	6 , 	51 , 	9 , 	40 , 	110 , 	124 , 	8 , 	19 , 	22 , 	6 , 	3 , 	6 , 	3 , 	5 , 	16 , 	40 , 	25 , 	43 , 	21 , 	11 , 	52 , 	2 , 	799 , 	766 , 	238 , 	241 , 	54 , 	32 , 	26 , 	15 , 	16 , 	3 , 	3 , 	2 , 	5 , 	18 , 	7 , 	6 , 	67 , 	9 , 	2 , 	12 , 	-   ," 	2,970 ",,,,,,,,,
RR, 	23 , 	41 , 	31 , 	23 , 	61 , 	17 , 	71 , 	211 , 	190 , 	27 , 	48 , 	30 , 	23 , 	11 , 	15 , 	7 , 	11 , 	31 , 	86 , 	107 , 	142 , 	69 , 	57 , 	29 , 	28 ," 	1,109 "," 	1,250 ", 	608 , 	665 , 	210 , 	111 , 	54 , 	39 , 	32 , 	4 , 	4 , 	13 , 	21 , 	57 , 	12 , 	14 , 	131 , 	25 , 	5 , 	20 , 	-   ," 	5,775 ",,,,,,,,,
OW, 	28 , 	38 , 	16 , 	13 , 	71 , 	28 , 	55 , 	66 , 	114 , 	34 , 	95 , 	92 , 	36 , 	38 , 	25 , 	15 , 	13 , 	21 , 	17 , 	9 , 	16 , 	9 , 	3 , 	26 , 	35 ," 	1,595 "," 	1,504 ", 	992 , 	857 , 	352 , 	195 , 	59 , 	70 , 	41 , 	15 , 	12 , 	24 , 	4 , 	40 , 	14 , 	25 , 	83 , 	28 , 	8 , 	8 , 	-   ," 	6,838 ",,,,,,,,,
EM, 	466 ," 	1,109 ", 	702 , 	757 ," 	1,082 ", 	954 ," 	1,306 "," 	1,768 "," 	1,640 "," 	1,055 "," 	1,091 ", 	660 , 	922 , 	888 , 	652 , 	494 ," 	1,129 "," 	2,254 "," 	1,147 "," 	2,110 "," 	1,741 "," 	1,057 ", 	919 ," 	1,238 "," 	1,981 ", 	198 , 	147 , 	511 , 	593 ," 	1,148 "," 	1,833 "," 	1,237 "," 	1,516 "," 	1,364 ", 	892 , 	661 ," 	2,266 ", 	617 , 	992 , 	661 , 	632 , 	380 ," 	1,095 ", 	940 , 	151 , 	-   ," 	46,951 ",,,,,,,,,
MT, 	454 ," 	1,021 ", 	651 , 	703 , 	867 , 	838 ," 	1,239 "," 	1,435 "," 	1,204 "," 	1,039 "," 	1,068 ", 	568 , 	804 , 	737 , 	578 , 	410 , 	874 ," 	1,647 "," 	1,025 "," 	1,749 "," 	1,387 ", 	760 , 	685 ," 	1,076 "," 	1,629 ", 	174 , 	200 , 	223 , 	543 ," 	1,502 "," 	2,534 "," 	1,738 "," 	2,521 "," 	1,930 "," 	1,144 ", 	572 ," 	1,663 ", 	549 , 	872 , 	886 , 	836 , 	397 ," 	1,580 ", 	708 , 	111 , 	-   ," 	45,128 ",,,,,,,,,
PL, 	347 , 	676 , 	312 , 	332 , 	604 , 	407 , 	677 , 	797 , 	767 , 	561 , 	715 , 	454 , 	448 , 	444 , 	302 , 	188 , 	282 , 	507 , 	428 , 	498 , 	413 , 	204 , 	175 , 	453 , 	894 , 	754 , 	360 , 	149 , 	360 ," 	1,260 "," 	1,647 "," 	1,055 "," 	2,022 "," 	1,205 ", 	560 , 	215 , 	609 , 	233 , 	545 , 	415 , 	371 , 	946 , 	659 , 	262 , 	112 , 	-   ," 	25,621 ",,,,,,,,,
CC, 	291 , 	630 , 	380 , 	406 , 	564 , 	506 , 	794 , 	871 , 	751 , 	545 , 	747 , 	400 , 	434 , 	406 , 	289 , 	201 , 	305 , 	488 , 	439 , 	502 , 	398 , 	253 , 	199 , 	521 , 	831 , 	620 , 	580 , 	339 , 	92 , 	664 ," 	1,085 ", 	794 ," 	1,326 ", 	792 , 	501 , 	229 , 	587 , 	267 , 	541 , 	386 , 	355 , 	397 , 	623 , 	234 , 	62 , 	-   ," 	22,626 ",,,,,,,,,
16, 	163 , 	209 , 	111 , 	147 , 	284 , 	214 , 	375 , 	420 , 	295 , 	217 , 	278 , 	153 , 	134 , 	115 , 	83 , 	72 , 	63 , 	115 , 	119 , 	121 , 	99 , 	55 , 	48 , 	172 , 	350 ," 	1,200 "," 	1,621 "," 	1,517 ", 	731 , 	55 , 	241 , 	330 , 	642 , 	291 , 	138 , 	58 , 	146 , 	66 , 	166 , 	127 , 	120 , 	163 , 	253 , 	51 , 	21 , 	-   ," 	12,351 ",,,,,,,,,
24, 	167 , 	173 , 	65 , 	85 , 	236 , 	121 , 	232 , 	319 , 	283 , 	132 , 	202 , 	117 , 	93 , 	75 , 	52 , 	39 , 	33 , 	52 , 	71 , 	70 , 	60 , 	32 , 	32 , 	99 , 	199 ," 	1,655 "," 	2,283 "," 	1,982 "," 	1,144 ", 	265 , 	59 , 	239 , 	555 , 	245 , 	119 , 	23 , 	87 , 	50 , 	139 , 	91 , 	122 , 	141 , 	236 , 	33 , 	23 , 	-   ," 	12,529 ",,,,,,,,,
GP, 	39 , 	72 , 	29 , 	37 , 	112 , 	35 , 	75 , 	159 , 	151 , 	46 , 	64 , 	73 , 	40 , 	29 , 	24 , 	11 , 	11 , 	31 , 	36 , 	50 , 	46 , 	17 , 	16 , 	39 , 	60 ," 	1,122 "," 	1,387 "," 	1,186 ", 	707 , 	331 , 	254 , 	36 , 	119 , 	74 , 	59 , 	19 , 	51 , 	10 , 	60 , 	38 , 	68 , 	95 , 	124 , 	21 , 	12 , 	-   ," 	7,072 ",,,,,,,,,
BP, 	58 , 	89 , 	32 , 	26 , 	90 , 	42 , 	70 , 	113 , 	135 , 	67 , 	83 , 	63 , 	54 , 	37 , 	33 , 	18 , 	19 , 	33 , 	42 , 	38 , 	35 , 	10 , 	13 , 	38 , 	80 ," 	1,286 "," 	1,698 "," 	2,303 "," 	1,161 ", 	566 , 	520 , 	110 , 	54 , 	100 , 	82 , 	16 , 	56 , 	21 , 	62 , 	72 , 	102 , 	112 , 	151 , 	16 , 	9 , 	-   ," 	9,817 ",,,,,,,,,
DC, 	60 , 	115 , 	40 , 	39 , 	102 , 	36 , 	77 , 	145 , 	173 , 	83 , 	94 , 	117 , 	80 , 	58 , 	45 , 	34 , 	46 , 	59 , 	71 , 	61 , 	55 , 	14 , 	16 , 	30 , 	54 ," 	1,271 "," 	1,647 "," 	1,359 ", 	767 , 	299 , 	254 , 	75 , 	108 , 	33 , 	37 , 	26 , 	88 , 	40 , 	94 , 	70 , 	137 , 	200 , 	244 , 	36 , 	13 , 	-   ," 	8,502 ",,,,,,,,,
CM, 	13 , 	22 , 	6 , 	7 , 	37 , 	10 , 	27 , 	78 , 	122 , 	11 , 	7 , 	14 , 	11 , 	8 , 	6 , 	5 , 	3 , 	6 , 	24 , 	12 , 	18 , 	5 , 	3 , 	5 , 	14 , 	847 , 	996 , 	631 , 	472 , 	133 , 	118 , 	56 , 	79 , 	33 , 	15 , 	3 , 	16 , 	6 , 	28 , 	22 , 	51 , 	132 , 	94 , 	4 , 	3 , 	-   ," 	4,214 ",,,,,,,,,
CV, 	5 , 	8 , 	3 , 	6 , 	42 , 	8 , 	22 , 	79 , 	108 , 	108 , 	48 , 	48 , 	44 , 	59 , 	21 , 	14 , 	19 , 	43 , 	5 , 	4 , 	5 , 	1 , 	4 , 	5 , 	12 , 	530 , 	566 , 	269 , 	253 , 	67 , 	28 , 	18 , 	18 , 	27 , 	3 , 	13 , 	105 , 	2 , 	2 , 	4 , 	6 , 	23 , 	5 , 	66 , 	9 , 	-   ," 	2,735 ",,,,,,,,,
ED, 	17 , 	29 , 	20 , 	15 , 	110 , 	19 , 	66 , 	214 , 	221 , 	175 , 	122 , 	135 , 	90 , 	158 , 	57 , 	33 , 	51 , 	92 , 	9 , 	5 , 	6 , 	2 , 	2 , 	13 , 	27 ," 	1,897 "," 	1,646 ", 	713 , 	644 , 	170 , 	93 , 	50 , 	65 , 	94 , 	16 , 	111 , 	61 , 	2 , 	9 , 	25 , 	15 , 	133 , 	17 , 	41 , 	68 , 	-   ," 	7,554 ",,,,,,,,,
NC, 	5 , 	7 , 	4 , 	5 , 	47 , 	11 , 	66 , 	166 , 	163 , 	14 , 	9 , 	16 , 	9 , 	5 , 	14 , 	2 , 	5 , 	11 , 	44 , 	28 , 	59 , 	11 , 	5 , 	23 , 	5 , 	486 , 	499 , 	259 , 	302 , 	76 , 	50 , 	16 , 	25 , 	38 , 	7 , 	2 , 	2 , 	14 , 	45 , 	11 , 	12 , 	54 , 	12 , 	0 , 	13 , 	-   ," 	2,652 ",,,,,,,,,
WP, 	37 , 	33 , 	18 , 	15 , 	128 , 	32 , 	276 , 	260 , 	340 , 	40 , 	50 , 	95 , 	40 , 	23 , 	55 , 	17 , 	24 , 	55 , 	301 , 	144 , 	239 , 	44 , 	22 , 	63 , 	44 , 	791 , 	745 , 	682 , 	667 , 	201 , 	158 , 	83 , 	86 , 	92 , 	33 , 	4 , 	10 , 	50 , 	36 , 	41 , 	48 , 	157 , 	28 , 	8 , 	28 , 	-   ," 	6,343 ",,,,,,,,,
SS, 	13 , 	36 , 	9 , 	10 , 	33 , 	9 , 	32 , 	66 , 	81 , 	11 , 	13 , 	21 , 	16 , 	13 , 	9 , 	8 , 	7 , 	9 , 	27 , 	26 , 	18 , 	6 , 	8 , 	14 , 	15 , 	625 , 	781 , 	458 , 	375 , 	125 , 	97 , 	37 , 	80 , 	77 , 	17 , 	3 , 	25 , 	11 , 	39 , 	16 , 	33 , 	51 , 	77 , 	6 , 	2 , 	-   ," 	3,441 ",,,,,,,,,
SB, 	19 , 	48 , 	11 , 	10 , 	39 , 	13 , 	31 , 	66 , 	80 , 	17 , 	27 , 	29 , 	17 , 	17 , 	12 , 	8 , 	7 , 	8 , 	26 , 	29 , 	23 , 	11 , 	7 , 	15 , 	28 , 	614 , 	747 , 	427 , 	365 , 	125 , 	125 , 	71 , 	121 , 	137 , 	51 , 	5 , 	16 , 	13 , 	43 , 	34 , 	17 , 	67 , 	54 , 	4 , 	4 , 	-   ," 	3,634 ",,,,,,,,,
SO, 	50 , 	99 , 	59 , 	75 , 	110 , 	52 , 	106 , 	72 , 	102 , 	37 , 	57 , 	37 , 	40 , 	25 , 	21 , 	12 , 	21 , 	37 , 	109 , 	143 , 	150 , 	82 , 	71 , 	115 , 	99 , 	343 , 	359 , 	636 , 	303 , 	139 , 	117 , 	86 , 	101 , 	166 , 	114 , 	18 , 	105 , 	60 , 	154 , 	44 , 	55 , 	48 , 	228 , 	29 , 	19 , 	-   ," 	4,904 ",,,,,,,,,
MB, 	28 , 	73 , 	35 , 	37 , 	143 , 	47 , 	65 , 	143 , 	141 , 	21 , 	25 , 	28 , 	10 , 	10 , 	6 , 	4 , 	4 , 	8 , 	28 , 	21 , 	26 , 	13 , 	10 , 	19 , 	33 ," 	1,015 "," 	1,365 ", 	632 , 	565 , 	216 , 	203 , 	137 , 	176 , 	239 , 	91 , 	3 , 	17 , 	12 , 	30 , 	67 , 	42 , 	287 , 	63 , 	4 , 	8 , 	-   ," 	6,149 ",,,,,,,,,
WD, 	5 , 	15 , 	9 , 	10 , 	55 , 	11 , 	27 , 	97 , 	117 , 	87 , 	58 , 	72 , 	45 , 	96 , 	38 , 	18 , 	22 , 	38 , 	4 , 	2 , 	4 , 	2 , 	2 , 	6 , 	9 , 	834 , 	755 , 	315 , 	275 , 	64 , 	37 , 	24 , 	21 , 	40 , 	4 , 	73 , 	43 , 	1 , 	6 , 	7 , 	4 , 	43 , 	4 , 	20 , 	31 , 	-   ," 	3,447 ",,,,,,,,,
OA, 	11 , 	29 , 	22 , 	30 , 	47 , 	19 , 	27 , 	37 , 	46 , 	14 , 	8 , 	31 , 	6 , 	5 , 	11 , 	5 , 	15 , 	29 , 	28 , 	41 , 	36 , 	20 , 	11 , 	15 , 	7 , 	137 , 	112 , 	83 , 	65 , 	21 , 	19 , 	12 , 	9 , 	11 , 	2 , 	7 , 	58 , 	10 , 	24 , 	2 , 	3 , 	22 , 	5 , 	26 , 	6 , 	-   ," 	1,180 ",,,,,,,,,
WS, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,,,,,
Entries," 	4,184 "," 	8,176 "," 	4,763 "," 	4,363 "," 	11,043 "," 	5,452 "," 	9,000 "," 	13,108 "," 	13,418 "," 	6,539 "," 	7,701 "," 	5,837 "," 	5,836 "," 	5,564 "," 	4,958 "," 	3,007 "," 	4,772 "," 	8,748 "," 	6,035 "," 	7,574 "," 	6,719 "," 	3,481 "," 	2,896 "," 	5,299 "," 	7,312 "," 	40,376 "," 	43,430 "," 	29,460 "," 	24,798 "," 	12,409 "," 	12,817 "," 	7,732 "," 	11,170 "," 	8,681 "," 	4,397 "," 	2,781 "," 	7,702 "," 	2,800 "," 	6,262 "," 	3,542 "," 	3,628 "," 	5,833 "," 	6,570 "," 	3,303 "," 	1,350 ", 	-   ," 	404,827 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
