Exit stations,Entry stations->,,WEEKDAY,,,Oct 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
WC, 	9 , 	6 , 	4 , 	4 , 	10 , 	3 , 	25 , 	21 , 	28 , 	5 , 	11 , 	5 , 	4 , 	5 , 	4 , 	2 , 	2 , 	1 , 	64 , 	22 , 	4 , 	15 , 	9 , 	22 , 	6 , 	54 , 	65 , 	60 , 	48 , 	19 , 	15 , 	4 , 	4 , 	9 , 	3 , 	1 , 	1 , 	12 , 	42 , 	4 , 	3 , 	18 , 	2 , 	1 , 	5 , 	1 , 	1 , 	1 , 	22 , 	22 , 	704 ,,,,,,,,,,,,,
LF, 	3 , 	2 , 	2 , 	1 , 	4 , 	1 , 	8 , 	9 , 	10 , 	2 , 	7 , 	4 , 	4 , 	1 , 	2 , 	1 , 	2 , 	-   , 	36 , 	16 , 	16 , 	2 , 	3 , 	8 , 	1 , 	24 , 	40 , 	21 , 	27 , 	6 , 	8 , 	1 , 	2 , 	2 , 	1 , 	0 , 	0 , 	2 , 	9 , 	0 , 	1 , 	6 , 	1 , 	0 , 	2 , 	0 , 	1 , 	0 , 	3 , 	4 , 	305 ,,,,,,,,,,,,,
OR, 	4 , 	2 , 	1 , 	1 , 	2 , 	1 , 	6 , 	6 , 	11 , 	1 , 	9 , 	1 , 	2 , 	2 , 	1 , 	1 , 	0 , 	1 , 	10 , 	6 , 	12 , 	3 , 	1 , 	6 , 	1 , 	25 , 	30 , 	15 , 	16 , 	8 , 	4 , 	1 , 	2 , 	1 , 	0 , 	0 , 	0 , 	1 , 	3 , 	1 , 	1 , 	4 , 	1 , 	-   , 	2 , 	0 , 	0 , 	0 , 	3 , 	2 , 	210 ,,,,,,,,,,,,,
RR, 	8 , 	5 , 	5 , 	2 , 	1 , 	1 , 	8 , 	11 , 	13 , 	3 , 	15 , 	4 , 	6 , 	3 , 	6 , 	2 , 	3 , 	1 , 	15 , 	20 , 	20 , 	8 , 	8 , 	4 , 	4 , 	38 , 	40 , 	38 , 	35 , 	17 , 	9 , 	4 , 	4 , 	2 , 	1 , 	0 , 	3 , 	5 , 	13 , 	1 , 	1 , 	9 , 	1 , 	0 , 	1 , 	1 , 	0 , 	1 , 	4 , 	8 , 	412 ,,,,,,,,,,,,,
OW, 	10 , 	12 , 	2 , 	2 , 	11 , 	7 , 	14 , 	9 , 	19 , 	6 , 	37 , 	32 , 	17 , 	18 , 	11 , 	8 , 	5 , 	4 , 	7 , 	4 , 	5 , 	1 , 	0 , 	5 , 	6 , 	210 , 	176 , 	211 , 	166 , 	69 , 	55 , 	11 , 	20 , 	15 , 	5 , 	3 , 	10 , 	1 , 	6 , 	7 , 	8 , 	16 , 	5 , 	1 , 	2 , 	3 , 	1 , 	1 , 	2 , 	6 ," 	1,261 ",,,,,,,,,,,,,
EM, 	103 , 	155 , 	50 , 	37 , 	63 , 	42 , 	96 , 	98 , 	104 , 	96 , 	165 , 	101 , 	128 , 	103 , 	74 , 	52 , 	41 , 	38 , 	94 , 	90 , 	61 , 	31 , 	30 , 	41 , 	237 , 	14 , 	11 , 	38 , 	47 , 	83 , 	123 , 	80 , 	165 , 	137 , 	52 , 	43 , 	100 , 	26 , 	101 , 	38 , 	27 , 	30 , 	18 , 	32 , 	7 , 	9 , 	6 , 	14 , 	25 , 	86 ," 	3,441 ",,,,,,,,,,,,,
MT, 	125 , 	166 , 	57 , 	35 , 	48 , 	42 , 	83 , 	103 , 	111 , 	93 , 	165 , 	101 , 	144 , 	115 , 	56 , 	56 , 	47 , 	39 , 	92 , 	84 , 	69 , 	40 , 	35 , 	44 , 	211 , 	11 , 	13 , 	16 , 	43 , 	110 , 	171 , 	133 , 	318 , 	179 , 	80 , 	42 , 	78 , 	28 , 	105 , 	49 , 	58 , 	31 , 	31 , 	19 , 	6 , 	15 , 	12 , 	17 , 	25 , 	76 ," 	3,828 ",,,,,,,,,,,,,
PL, 	128 , 	170 , 	52 , 	23 , 	49 , 	42 , 	95 , 	87 , 	123 , 	102 , 	179 , 	94 , 	122 , 	103 , 	61 , 	40 , 	33 , 	31 , 	95 , 	74 , 	50 , 	20 , 	12 , 	28 , 	200 , 	44 , 	17 , 	24 , 	36 , 	158 , 	241 , 	159 , 	365 , 	248 , 	91 , 	36 , 	67 , 	29 , 	98 , 	68 , 	60 , 	68 , 	38 , 	19 , 	8 , 	9 , 	7 , 	13 , 	32 , 	71 ," 	4,018 ",,,,,,,,,,,,,
CC, 	96 , 	146 , 	48 , 	29 , 	50 , 	49 , 	97 , 	97 , 	88 , 	90 , 	193 , 	105 , 	86 , 	87 , 	46 , 	44 , 	39 , 	30 , 	90 , 	62 , 	48 , 	20 , 	16 , 	31 , 	169 , 	42 , 	37 , 	28 , 	15 , 	86 , 	137 , 	96 , 	234 , 	179 , 	92 , 	33 , 	72 , 	25 , 	76 , 	54 , 	48 , 	37 , 	44 , 	21 , 	5 , 	8 , 	9 , 	16 , 	25 , 	69 ," 	3,342 ",,,,,,,,,,,,,
16, 	66 , 	69 , 	19 , 	15 , 	30 , 	26 , 	61 , 	46 , 	50 , 	44 , 	79 , 	42 , 	43 , 	43 , 	23 , 	21 , 	14 , 	14 , 	28 , 	29 , 	19 , 	6 , 	7 , 	14 , 	73 , 	81 , 	99 , 	187 , 	98 , 	10 , 	29 , 	54 , 	125 , 	106 , 	49 , 	9 , 	21 , 	7 , 	48 , 	26 , 	34 , 	31 , 	25 , 	7 , 	3 , 	5 , 	2 , 	4 , 	13 , 	33 ," 	1,987 ",,,,,,,,,,,,,
