Exit stations,Entry stations->,,SUNDAY,,,Oct 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
EM, 	36 , 	36 , 	16 , 	18 , 	31 , 	19 , 	32 , 	43 , 	51 , 	37 , 	60 , 	25 , 	35 , 	31 , 	14 , 	13 , 	15 , 	14 , 	23 , 	19 , 	15 , 	14 , 	8 , 	20 , 	86 , 	16 , 	6 , 	22 , 	14 , 	30 , 	35 , 	18 , 	40 , 	28 , 	14 , 	9 , 	31 , 	4 , 	19 , 	6 , 	11 , 	21 , 	9 , 	14 , 	6 , 	5 , 	8 , 	11 , 	7 , 	15 ," 	1,103 ",,,,,,,,,,,
MT, 	38 , 	30 , 	14 , 	12 , 	30 , 	13 , 	28 , 	29 , 	47 , 	36 , 	45 , 	27 , 	31 , 	35 , 	8 , 	7 , 	8 , 	10 , 	24 , 	21 , 	16 , 	7 , 	3 , 	21 , 	54 , 	5 , 	10 , 	6 , 	8 , 	26 , 	42 , 	21 , 	62 , 	32 , 	22 , 	11 , 	24 , 	5 , 	16 , 	5 , 	13 , 	25 , 	7 , 	9 , 	4 , 	4 , 	5 , 	8 , 	7 , 	8 , 	975 ,,,,,,,,,,,
PL, 	53 , 	65 , 	22 , 	10 , 	48 , 	19 , 	42 , 	45 , 	55 , 	53 , 	92 , 	49 , 	52 , 	48 , 	22 , 	11 , 	12 , 	12 , 	43 , 	25 , 	26 , 	10 , 	10 , 	20 , 	119 , 	15 , 	3 , 	38 , 	13 , 	89 , 	119 , 	61 , 	162 , 	133 , 	48 , 	15 , 	29 , 	12 , 	33 , 	16 , 	35 , 	54 , 	20 , 	12 , 	5 , 	5 , 	7 , 	14 , 	9 , 	16 ," 	1,922 ",,,,,,,,,,,
CC, 	28 , 	35 , 	13 , 	13 , 	33 , 	16 , 	42 , 	39 , 	41 , 	34 , 	65 , 	27 , 	15 , 	20 , 	9 , 	6 , 	6 , 	8 , 	16 , 	13 , 	12 , 	9 , 	3 , 	13 , 	69 , 	11 , 	9 , 	14 , 	22 , 	36 , 	48 , 	28 , 	66 , 	49 , 	32 , 	7 , 	15 , 	2 , 	11 , 	15 , 	16 , 	36 , 	12 , 	6 , 	3 , 	4 , 	6 , 	6 , 	5 , 	11 ," 	1,048 ",,,,,,,,,,,
16, 	26 , 	23 , 	9 , 	10 , 	20 , 	12 , 	31 , 	44 , 	34 , 	30 , 	30 , 	17 , 	11 , 	9 , 	5 , 	4 , 	3 , 	5 , 	9 , 	8 , 	9 , 	2 , 	6 , 	14 , 	43 , 	30 , 	27 , 	104 , 	39 , 	26 , 	12 , 	25 , 	41 , 	52 , 	17 , 	4 , 	11 , 	2 , 	9 , 	10 , 	21 , 	29 , 	9 , 	5 , 	2 , 	1 , 	1 , 	6 , 	5 , 	8 , 	903 ,,,,,,,,,,,
24, 	27 , 	19 , 	10 , 	8 , 	14 , 	7 , 	25 , 	23 , 	19 , 	25 , 	40 , 	18 , 	13 , 	16 , 	6 , 	7 , 	6 , 	4 , 	10 , 	9 , 	6 , 	5 , 	3 , 	13 , 	38 , 	40 , 	29 , 	163 , 	74 , 	14 , 	24 , 	22 , 	43 , 	37 , 	22 , 	2 , 	9 , 	1 , 	10 , 	12 , 	25 , 	23 , 	12 , 	1 , 	2 , 	1 , 	3 , 	9 , 	3 , 	5 , 	950 ,,,,,,,,,,,
GP, 	6 , 	11 , 	2 , 	3 , 	5 , 	3 , 	6 , 	4 , 	7 , 	3 , 	6 , 	3 , 	3 , 	3 , 	2 , 	1 , 	1 , 	2 , 	7 , 	3 , 	2 , 	1 , 	2 , 	3 , 	6 , 	15 , 	21 , 	74 , 	31 , 	22 , 	22 , 	12 , 	6 , 	8 , 	8 , 	1 , 	3 , 	1 , 	3 , 	2 , 	12 , 	13 , 	8 , 	1 , 	2 , 	0 , 	1 , 	1 , 	1 , 	3 , 	364 ,,,,,,,,,,,
BP, 	10 , 	11 , 	4 , 	1 , 	6 , 	2 , 	8 , 	6 , 	11 , 	7 , 	9 , 	5 , 	6 , 	3 , 	3 , 	2 , 	0 , 	1 , 	5 , 	1 , 	6 , 	2 , 	0 , 	2 , 	14 , 	35 , 	30 , 	208 , 	59 , 	47 , 	46 , 	7 , 	14 , 	8 , 	15 , 	1 , 	5 , 	1 , 	6 , 	9 , 	17 , 	24 , 	9 , 	1 , 	2 , 	1 , 	-   , 	5 , 	1 , 	6 , 	677 ,,,,,,,,,,,
DC, 	10 , 	6 , 	1 , 	1 , 	7 , 	2 , 	5 , 	6 , 	8 , 	7 , 	10 , 	4 , 	4 , 	7 , 	2 , 	2 , 	1 , 	3 , 	7 , 	2 , 	5 , 	0 , 	2 , 	1 , 	9 , 	27 , 	26 , 	152 , 	58 , 	47 , 	36 , 	6 , 	14 , 	13 , 	5 , 	1 , 	3 , 	1 , 	3 , 	3 , 	15 , 	34 , 	17 , 	1 , 	3 , 	1 , 	3 , 	2 , 	2 , 	4 , 	583 ,,,,,,,,,,,
CM, 	2 , 	6 , 	1 , 	1 , 	2 , 	1 , 	3 , 	3 , 	5 , 	2 , 	2 , 	1 , 	1 , 	3 , 	1 , 	2 , 	1 , 	1 , 	3 , 	1 , 	1 , 	0 , 	1 , 	1 , 	2 , 	11 , 	10 , 	70 , 	27 , 	19 , 	22 , 	7 , 	15 , 	6 , 	4 , 	0 , 	1 , 	2 , 	3 , 	1 , 	8 , 	30 , 	4 , 	-   , 	-   , 	0 , 	-   , 	0 , 	-   , 	4 , 	287 ,,,,,,,,,,,
