Exit stations,Entry stations->,,SUNDAY,,,Feb 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
WC, 	12 , 	22 , 	12 , 	15 , 	61 , 	13 , 	44 , 	47 , 	39 , 	11 , 	18 , 	17 , 	7 , 	5 , 	9 , 	3 , 	4 , 	14 , 	144 , 	73 , 	10 , 	36 , 	17 , 	80 , 	10 , 	213 , 	123 , 	321 , 	155 , 	58 , 	32 , 	18 , 	12 , 	29 , 	9 , 	4 , 	5 , 	13 , 	86 , 	8 , 	10 , 	118 , 	15 , 	3 , 	27 , 	-   ," 	1,976 ",,,OAK," 	12,159 ", 	822 ,,,,,,
LF, 	5 , 	6 , 	6 , 	6 , 	26 , 	8 , 	18 , 	26 , 	21 , 	3 , 	8 , 	6 , 	6 , 	3 , 	4 , 	2 , 	4 , 	7 , 	51 , 	23 , 	37 , 	6 , 	7 , 	44 , 	7 , 	118 , 	69 , 	181 , 	80 , 	21 , 	16 , 	8 , 	3 , 	11 , 	3 , 	1 , 	2 , 	3 , 	20 , 	2 , 	2 , 	63 , 	10 , 	1 , 	23 , 	-   , 	971 ,,,CM line," 	20,411 "," 	4,315 "," 	4,056 ",,,,,
OR, 	7 , 	7 , 	6 , 	4 , 	27 , 	3 , 	19 , 	18 , 	25 , 	5 , 	6 , 	4 , 	4 , 	3 , 	1 , 	-   , 	-   , 	5 , 	14 , 	14 , 	16 , 	10 , 	4 , 	37 , 	1 , 	90 , 	53 , 	142 , 	73 , 	24 , 	18 , 	7 , 	5 , 	12 , 	1 , 	0 , 	1 , 	2 , 	10 , 	0 , 	3 , 	43 , 	5 , 	1 , 	17 , 	-   , 	741 ,,,RM line," 	9,891 "," 	3,917 "," 	3,343 "," 	3,063 ",,,,
RR, 	11 , 	13 , 	22 , 	16 , 	28 , 	13 , 	44 , 	71 , 	61 , 	17 , 	28 , 	14 , 	11 , 	4 , 	9 , 	5 , 	9 , 	16 , 	30 , 	49 , 	71 , 	44 , 	38 , 	12 , 	26 , 	287 , 	174 , 	379 , 	296 , 	148 , 	98 , 	27 , 	17 , 	19 , 	4 , 	2 , 	6 , 	6 , 	22 , 	4 , 	5 , 	94 , 	25 , 	2 , 	31 , 	-   ," 	2,303 ",,,WP line," 	8,849 "," 	1,849 "," 	2,095 "," 	1,307 "," 	2,191 ",,,
OW, 	14 , 	21 , 	10 , 	11 , 	54 , 	24 , 	39 , 	34 , 	54 , 	23 , 	59 , 	38 , 	18 , 	18 , 	17 , 	7 , 	7 , 	11 , 	9 , 	4 , 	9 , 	6 , 	1 , 	22 , 	13 , 	352 , 	258 , 	605 , 	304 , 	227 , 	129 , 	31 , 	34 , 	27 , 	7 , 	7 , 	14 , 	2 , 	20 , 	4 , 	10 , 	52 , 	11 , 	6 , 	10 , 	-   ," 	2,626 ",,,FT/ED line," 	11,454 "," 	3,849 "," 	2,879 "," 	3,329 "," 	1,350 "," 	4,485 ",,
EM, 	96 , 	191 , 	131 , 	207 , 	510 , 	188 , 	305 , 	298 , 	296 , 	253 , 	269 , 	109 , 	129 , 	93 , 	93 , 	50 , 	82 , 	236 , 	143 , 	169 , 	227 , 	135 , 	91 , 	302 , 	413 , 	60 , 	22 , 	199 , 	97 , 	290 , 	369 , 	217 , 	318 , 	188 , 	66 , 	100 , 	327 , 	50 , 	138 , 	53 , 	80 , 	324 , 	144 , 	111 , 	91 , 	-   ," 	8,255 ",,,SFIA," 	7,344 ", 	872 ," 	3,561 "," 	1,189 "," 	1,376 ", 	796 , 	914 ," 	123,035 "
MT, 	70 , 	153 , 	91 , 	143 , 	263 , 	122 , 	222 , 	217 , 	255 , 	222 , 	209 , 	84 , 	96 , 	99 , 	46 , 	38 , 	80 , 	137 , 	90 , 	106 , 	149 , 	73 , 	60 , 	180 , 	298 , 	23 , 	33 , 	43 , 	55 , 	305 , 	322 , 	234 , 	673 , 	221 , 	73 , 	69 , 	144 , 	42 , 	107 , 	62 , 	66 , 	243 , 	103 , 	59 , 	56 , 	-   ," 	6,429 ",,,,,,,,,,,
PL, 	188 , 	344 , 	167 , 	233 , 	605 , 	229 , 	378 , 	308 , 	390 , 	388 , 	419 , 	201 , 	243 , 	200 , 	139 , 	90 , 	138 , 	286 , 	160 , 	184 , 	256 , 	155 , 	114 , 	294 , 	619 , 	196 , 	46 , 	121 , 	139 ," 	1,020 "," 	1,040 ", 	619 ," 	1,188 ", 	772 , 	238 , 	128 , 	384 , 	70 , 	221 , 	176 , 	208 ," 	1,083 ", 	362 , 	134 , 	84 , 	-   ," 	14,951 ",,,,,,,,,,,
CC, 	80 , 	114 , 	82 , 	162 , 	292 , 	180 , 	277 , 	255 , 	223 , 	192 , 	255 , 	84 , 	79 , 	54 , 	36 , 	26 , 	47 , 	102 , 	61 , 	90 , 	129 , 	75 , 	67 , 	218 , 	311 , 	96 , 	54 , 	131 , 	58 , 	390 , 	449 , 	245 , 	434 , 	247 , 	106 , 	52 , 	130 , 	22 , 	78 , 	77 , 	106 , 	414 , 	193 , 	46 , 	53 , 	-   ," 	6,864 ",,,,,,,,,,,
16, 	62 , 	74 , 	39 , 	102 , 	213 , 	147 , 	217 , 	220 , 	150 , 	132 , 	146 , 	49 , 	48 , 	32 , 	26 , 	19 , 	20 , 	53 , 	28 , 	29 , 	49 , 	22 , 	21 , 	139 , 	236 , 	283 , 	250 ," 	1,063 ", 	408 , 	46 , 	177 , 	207 , 	351 , 	191 , 	73 , 	15 , 	53 , 	9 , 	37 , 	48 , 	75 , 	189 , 	140 , 	16 , 	25 , 	-   ," 	5,921 ",,,,,,,,,,,
