Exit stations,Entry stations->,,SATURDAY,,,Dec 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
WC, 	14 , 	21 , 	15 , 	19 , 	77 , 	20 , 	55 , 	72 , 	64 , 	8 , 	24 , 	31 , 	10 , 	10 , 	6 , 	5 , 	7 , 	17 , 	209 , 	110 , 	17 , 	51 , 	26 , 	85 , 	11 , 	341 , 	279 , 	782 , 	226 , 	76 , 	47 , 	34 , 	19 , 	28 , 	9 , 	7 , 	5 , 	28 , 	141 , 	6 , 	7 , 	136 , 	18 , 	2 , 	31 , 	-   ," 	3,198 ",,,OAK," 	19,729 "," 	1,029 ",,,,,,
LF, 	6 , 	8 , 	10 , 	10 , 	56 , 	9 , 	17 , 	35 , 	26 , 	4 , 	13 , 	12 , 	2 , 	3 , 	3 , 	3 , 	3 , 	10 , 	73 , 	28 , 	42 , 	10 , 	12 , 	47 , 	4 , 	216 , 	163 , 	461 , 	166 , 	40 , 	27 , 	21 , 	7 , 	9 , 	3 , 	2 , 	2 , 	3 , 	23 , 	3 , 	4 , 	71 , 	7 , 	2 , 	17 , 	-   ," 	1,688 ",,,CM line," 	35,205 "," 	5,350 "," 	5,315 ",,,,,
OR, 	6 , 	5 , 	7 , 	3 , 	43 , 	4 , 	21 , 	31 , 	32 , 	4 , 	6 , 	10 , 	6 , 	3 , 	3 , 	1 , 	4 , 	5 , 	20 , 	13 , 	26 , 	10 , 	6 , 	44 , 	2 , 	175 , 	137 , 	407 , 	106 , 	28 , 	23 , 	10 , 	6 , 	9 , 	2 , 	1 , 	3 , 	3 , 	11 , 	3 , 	3 , 	49 , 	7 , 	2 , 	7 , 	-   ," 	1,301 ",,,RM line," 	16,471 "," 	4,961 "," 	4,333 "," 	4,106 ",,,,
RR, 	15 , 	20 , 	26 , 	16 , 	45 , 	10 , 	43 , 	99 , 	64 , 	13 , 	36 , 	18 , 	20 , 	9 , 	14 , 	5 , 	8 , 	16 , 	47 , 	56 , 	86 , 	57 , 	35 , 	22 , 	17 , 	346 , 	309 , 	796 , 	320 , 	171 , 	121 , 	41 , 	19 , 	18 , 	4 , 	4 , 	8 , 	8 , 	35 , 	6 , 	8 , 	100 , 	24 , 	4 , 	21 , 	-   ," 	3,151 ",,,WP line," 	18,099 "," 	2,453 "," 	2,874 "," 	1,690 "," 	2,958 ",,,
OW, 	15 , 	34 , 	13 , 	9 , 	67 , 	31 , 	44 , 	49 , 	82 , 	18 , 	74 , 	58 , 	20 , 	23 , 	18 , 	9 , 	8 , 	16 , 	7 , 	7 , 	11 , 	4 , 	2 , 	21 , 	17 , 	517 , 	499 ," 	1,281 ", 	450 , 	255 , 	187 , 	46 , 	38 , 	29 , 	6 , 	9 , 	15 , 	4 , 	23 , 	4 , 	14 , 	73 , 	15 , 	10 , 	6 , 	-   ," 	4,134 ",,,FT/ED line," 	23,358 "," 	5,423 "," 	4,099 "," 	4,181 "," 	1,749 "," 	6,819 ",,
EM, 	158 , 	376 , 	226 , 	296 , 	622 , 	291 , 	427 , 	467 , 	435 , 	328 , 	407 , 	243 , 	235 , 	194 , 	130 , 	78 , 	168 , 	350 , 	208 , 	318 , 	430 , 	272 , 	205 , 	440 , 	659 , 	66 , 	52 , 	520 , 	148 , 	430 , 	540 , 	334 , 	497 , 	398 , 	114 , 	173 , 	560 , 	89 , 	230 , 	98 , 	120 , 	366 , 	257 , 	214 , 	86 , 	-   ," 	13,248 ",,,SFIA," 	12,280 "," 	1,130 "," 	4,667 "," 	1,614 "," 	1,767 "," 	1,103 ", 	959 ," 	196,605 "
MT, 	151 , 	331 , 	200 , 	232 , 	414 , 	192 , 	364 , 	356 , 	355 , 	313 , 	377 , 	178 , 	207 , 	209 , 	105 , 	81 , 	146 , 	259 , 	185 , 	221 , 	324 , 	188 , 	153 , 	357 , 	581 , 	54 , 	53 , 	91 , 	110 , 	415 , 	524 , 	413 ," 	1,024 ", 	460 , 	144 , 	138 , 	330 , 	76 , 	161 , 	114 , 	104 , 	336 , 	236 , 	133 , 	66 , 	-   ," 	11,459 ",,,,,,,,,,,
PL, 	362 , 	925 , 	495 , 	495 ," 	1,063 ", 	452 , 	755 , 	694 , 	710 , 	706 , 	943 , 	437 , 	570 , 	575 , 	299 , 	243 , 	415 , 	786 , 	438 , 	585 , 	844 , 	487 , 	447 , 	767 ," 	1,374 ", 	568 , 	99 , 	178 , 	333 ," 	1,754 "," 	2,082 "," 	1,487 "," 	2,264 "," 	1,915 ", 	524 , 	409 ," 	1,273 ", 	234 , 	509 , 	495 , 	483 ," 	1,598 "," 	1,200 ", 	437 , 	137 , 	-   ," 	33,840 ",,,,,,,,,,,
CC, 	111 , 	214 , 	139 , 	233 , 	387 , 	207 , 	384 , 	383 , 	285 , 	231 , 	350 , 	163 , 	139 , 	120 , 	72 , 	41 , 	81 , 	217 , 	116 , 	158 , 	217 , 	156 , 	111 , 	322 , 	467 , 	135 , 	84 , 	338 , 	58 , 	487 , 	580 , 	359 , 	556 , 	402 , 	158 , 	90 , 	259 , 	52 , 	110 , 	137 , 	181 , 	473 , 	360 , 	93 , 	54 , 	-   ," 	10,263 ",,,,,,,,,,,
16, 	88 , 	111 , 	56 , 	125 , 	264 , 	181 , 	255 , 	261 , 	179 , 	161 , 	201 , 	100 , 	54 , 	52 , 	33 , 	27 , 	34 , 	67 , 	53 , 	49 , 	75 , 	45 , 	31 , 	176 , 	296 , 	428 , 	350 ," 	1,807 ", 	531 , 	49 , 	228 , 	276 , 	463 , 	283 , 	99 , 	29 , 	75 , 	13 , 	58 , 	73 , 	105 , 	194 , 	201 , 	21 , 	22 , 	-   ," 	8,275 ",,,,,,,,,,,
