Exit stations,Entry stations->,,SUNDAY,,,Dec 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
WC, 	9 , 	17 , 	9 , 	16 , 	49 , 	14 , 	46 , 	44 , 	39 , 	5 , 	14 , 	133 , 	5 , 	8 , 	5 , 	1 , 	2 , 	18 , 	141 , 	64 , 	9 , 	29 , 	18 , 	61 , 	10 , 	234 , 	149 , 	496 , 	192 , 	48 , 	38 , 	26 , 	16 , 	22 , 	7 , 	3 , 	1 , 	15 , 	87 , 	5 , 	6 , 	140 , 	15 , 	2 , 	45 , 	-   ," 	2,310 ",,,OAK," 	11,870 ", 	732 ,,,,,,
LF, 	6 , 	9 , 	5 , 	6 , 	29 , 	9 , 	14 , 	26 , 	15 , 	4 , 	11 , 	87 , 	4 , 	4 , 	2 , 	1 , 	1 , 	13 , 	49 , 	21 , 	30 , 	10 , 	8 , 	35 , 	4 , 	132 , 	89 , 	333 , 	117 , 	33 , 	16 , 	12 , 	5 , 	10 , 	3 , 	1 , 	1 , 	2 , 	20 , 	2 , 	2 , 	70 , 	7 , 	2 , 	20 , 	-   ," 	1,269 ",,,CM line," 	21,126 "," 	3,552 "," 	3,313 ",,,,,
OR, 	4 , 	4 , 	8 , 	4 , 	23 , 	4 , 	15 , 	22 , 	21 , 	3 , 	4 , 	96 , 	2 , 	4 , 	2 , 	1 , 	2 , 	7 , 	18 , 	13 , 	22 , 	4 , 	9 , 	26 , 	3 , 	106 , 	66 , 	269 , 	91 , 	24 , 	11 , 	12 , 	4 , 	5 , 	1 , 	1 , 	1 , 	1 , 	7 , 	3 , 	1 , 	61 , 	6 , 	1 , 	12 , 	-   , 	999 ,,,RM line," 	9,560 "," 	3,049 "," 	2,626 "," 	2,553 ",,,,
RR, 	10 , 	12 , 	20 , 	10 , 	28 , 	9 , 	37 , 	70 , 	49 , 	10 , 	27 , 	68 , 	13 , 	3 , 	8 , 	2 , 	5 , 	13 , 	29 , 	36 , 	56 , 	31 , 	24 , 	16 , 	19 , 	232 , 	173 , 	499 , 	253 , 	110 , 	79 , 	40 , 	15 , 	17 , 	5 , 	2 , 	8 , 	5 , 	21 , 	3 , 	7 , 	113 , 	22 , 	4 , 	29 , 	-   ," 	2,237 ",,,WP line," 	10,952 "," 	1,683 "," 	1,962 "," 	1,096 "," 	2,053 ",,,
OW, 	10 , 	20 , 	7 , 	7 , 	50 , 	17 , 	32 , 	34 , 	50 , 	18 , 	53 , 	85 , 	15 , 	20 , 	15 , 	4 , 	4 , 	9 , 	6 , 	7 , 	5 , 	5 , 	5 , 	17 , 	21 , 	273 , 	251 , 	852 , 	305 , 	188 , 	112 , 	31 , 	33 , 	21 , 	6 , 	5 , 	15 , 	1 , 	23 , 	4 , 	11 , 	75 , 	13 , 	8 , 	10 , 	-   ," 	2,746 ",,,FT/ED line," 	14,855 "," 	4,556 "," 	2,948 "," 	3,795 "," 	2,670 "," 	11,118 ",,
EM, 	105 , 	174 , 	120 , 	172 , 	333 , 	149 , 	227 , 	244 , 	225 , 	191 , 	220 , 	325 , 	125 , 	124 , 	69 , 	32 , 	92 , 	188 , 	119 , 	157 , 	245 , 	136 , 	132 , 	255 , 	348 , 	73 , 	41 , 	281 , 	83 , 	251 , 	313 , 	185 , 	286 , 	174 , 	58 , 	96 , 	290 , 	49 , 	150 , 	53 , 	62 , 	340 , 	139 , 	111 , 	120 , 	-   ," 	7,659 ",,,SFIA," 	9,064 "," 	1,124 "," 	3,604 "," 	1,350 "," 	1,717 "," 	1,116 ", 	907 ," 	136,779 "
MT, 	79 , 	156 , 	90 , 	143 , 	209 , 	103 , 	192 , 	203 , 	224 , 	166 , 	209 , 	211 , 	115 , 	112 , 	39 , 	33 , 	65 , 	126 , 	86 , 	116 , 	141 , 	95 , 	67 , 	159 , 	312 , 	36 , 	35 , 	71 , 	65 , 	239 , 	271 , 	194 , 	559 , 	204 , 	67 , 	77 , 	135 , 	35 , 	97 , 	52 , 	60 , 	378 , 	111 , 	64 , 	86 , 	-   ," 	6,284 ",,,,,,,,,,,
PL, 	238 , 	476 , 	282 , 	299 , 	610 , 	253 , 	439 , 	380 , 	433 , 	431 , 	571 , 	573 , 	348 , 	338 , 	170 , 	116 , 	182 , 	412 , 	243 , 	291 , 	428 , 	307 , 	224 , 	458 , 	872 , 	310 , 	69 , 	141 , 	228 ," 	1,103 "," 	1,287 ", 	853 ," 	1,336 "," 	1,035 ", 	308 , 	210 , 	602 , 	129 , 	296 , 	232 , 	261 ," 	1,830 ", 	576 , 	239 , 	166 , 	-   ," 	20,578 ",,,,,,,,,,,
CC, 	87 , 	128 , 	96 , 	153 , 	206 , 	139 , 	250 , 	217 , 	172 , 	158 , 	252 , 	169 , 	84 , 	82 , 	32 , 	21 , 	40 , 	123 , 	85 , 	105 , 	180 , 	113 , 	81 , 	220 , 	321 , 	84 , 	48 , 	207 , 	61 , 	316 , 	389 , 	228 , 	376 , 	245 , 	98 , 	68 , 	169 , 	42 , 	83 , 	79 , 	116 , 	555 , 	213 , 	62 , 	72 , 	-   ," 	7,017 ",,,,,,,,,,,
16, 	57 , 	62 , 	33 , 	69 , 	109 , 	105 , 	155 , 	152 , 	108 , 	104 , 	115 , 	77 , 	37 , 	31 , 	23 , 	13 , 	16 , 	48 , 	36 , 	35 , 	41 , 	30 , 	20 , 	105 , 	185 , 	248 , 	200 ," 	1,143 ", 	330 , 	36 , 	155 , 	154 , 	279 , 	167 , 	57 , 	21 , 	52 , 	10 , 	38 , 	47 , 	68 , 	233 , 	117 , 	24 , 	36 , 	-   ," 	5,175 ",,,,,,,,,,,
24, 	63 , 	65 , 	35 , 	55 , 	103 , 	83 , 	132 , 	109 , 	85 , 	77 , 	103 , 	62 , 	28 , 	30 , 	17 , 	17 , 	18 , 	33 , 	23 , 	24 , 	39 , 	18 , 	18 , 	72 , 	132 , 	298 , 	240 ," 	1,462 ", 	437 , 	158 , 	44 , 	136 , 	246 , 	155 , 	63 , 	14 , 	35 , 	10 , 	37 , 	41 , 	106 , 	207 , 	100 , 	15 , 	39 , 	-   ," 	5,276 ",,,,,,,,,,,
GP, 	20 , 	28 , 	17 , 	23 , 	55 , 	27 , 	39 , 	44 , 	36 , 	20 , 	35 , 	38 , 	11 , 	18 , 	8 , 	3 , 	9 , 	22 , 	22 , 	18 , 	24 , 	11 , 	16 , 	39 , 	39 , 	165 , 	144 , 	936 , 	207 , 	161 , 	127 , 	21 , 	29 , 	37 , 	21 , 	10 , 	31 , 	8 , 	27 , 	16 , 	45 , 	104 , 	55 , 	11 , 	19 , 	-   ," 	2,792 ",,,,,,,,,,,
