Exit stations,Entry stations->,,SATURDAY,,,Sep 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
WC, 	13 , 	18 , 	14 , 	17 , 	119 , 	19 , 	45 , 	65 , 	52 , 	10 , 	21 , 	95 , 	8 , 	5 , 	8 , 	4 , 	5 , 	14 , 	154 , 	75 , 	28 , 	90 , 	28 , 	103 , 	8 , 	333 , 	189 , 	271 , 	174 , 	57 , 	36 , 	22 , 	23 , 	25 , 	8 , 	2 , 	7 , 	25 , 	66 , 	8 , 	6 , 	100 , 	16 , 	2 , 	31 , 	3 , 	-   , 	-   , 	22 , 	42 ," 	2,487 ",,,,,,,,,,
LF, 	4 , 	7 , 	10 , 	7 , 	88 , 	5 , 	28 , 	30 , 	28 , 	7 , 	13 , 	59 , 	4 , 	5 , 	4 , 	2 , 	2 , 	3 , 	87 , 	71 , 	91 , 	22 , 	38 , 	76 , 	3 , 	169 , 	105 , 	149 , 	109 , 	30 , 	17 , 	11 , 	5 , 	13 , 	3 , 	1 , 	2 , 	19 , 	19 , 	2 , 	3 , 	58 , 	8 , 	1 , 	12 , 	2 , 	-   , 	-   , 	6 , 	8 ," 	1,446 ",,,,,,,,,,
OR, 	6 , 	5 , 	7 , 	3 , 	77 , 	6 , 	17 , 	25 , 	30 , 	5 , 	11 , 	65 , 	2 , 	3 , 	2 , 	0 , 	2 , 	2 , 	17 , 	14 , 	23 , 	34 , 	16 , 	51 , 	1 , 	167 , 	89 , 	144 , 	85 , 	28 , 	24 , 	8 , 	6 , 	6 , 	1 , 	2 , 	2 , 	3 , 	6 , 	3 , 	1 , 	39 , 	6 , 	0 , 	9 , 	3 , 	-   , 	-   , 	8 , 	4 ," 	1,071 ",,,,,,,,,,
RR, 	15 , 	20 , 	24 , 	11 , 	42 , 	11 , 	39 , 	65 , 	62 , 	12 , 	32 , 	75 , 	15 , 	5 , 	7 , 	3 , 	5 , 	11 , 	51 , 	70 , 	111 , 	75 , 	55 , 	46 , 	12 , 	261 , 	194 , 	311 , 	253 , 	110 , 	86 , 	24 , 	17 , 	21 , 	4 , 	5 , 	10 , 	13 , 	24 , 	4 , 	5 , 	71 , 	15 , 	3 , 	15 , 	6 , 	-   , 	-   , 	11 , 	19 ," 	2,358 ",,,,,,,,,,
OW, 	8 , 	12 , 	6 , 	8 , 	30 , 	14 , 	17 , 	30 , 	28 , 	12 , 	33 , 	53 , 	18 , 	19 , 	12 , 	5 , 	5 , 	7 , 	11 , 	6 , 	7 , 	2 , 	1 , 	9 , 	26 , 	876 , 	698 ," 	1,259 ", 	752 , 	441 , 	328 , 	92 , 	80 , 	79 , 	20 , 	8 , 	13 , 	1 , 	9 , 	17 , 	25 , 	151 , 	38 , 	4 , 	5 , 	7 , 	-   , 	-   , 	3 , 	4 ," 	5,289 ",,,,,,,,,,
EM, 	175 , 	355 , 	251 , 	379 , 	730 , 	301 , 	423 , 	334 , 	355 , 	295 , 	379 , 	290 , 	240 , 	198 , 	140 , 	100 , 	160 , 	275 , 	222 , 	308 , 	401 , 	209 , 	198 , 	410 ," 	1,178 ", 	121 , 	39 , 	285 , 	237 , 	459 , 	658 , 	373 , 	517 , 	457 , 	132 , 	141 , 	657 , 	99 , 	149 , 	121 , 	142 , 	357 , 	347 , 	172 , 	93 , 	142 , 	-   , 	-   , 	21 , 	131 ," 	14,153 ",,,,,,,,,,
MT, 	129 , 	231 , 	147 , 	165 , 	422 , 	151 , 	250 , 	237 , 	242 , 	215 , 	232 , 	180 , 	202 , 	176 , 	86 , 	65 , 	114 , 	163 , 	135 , 	163 , 	217 , 	115 , 	110 , 	234 , 	819 , 	39 , 	79 , 	60 , 	108 , 	358 , 	471 , 	384 , 	926 , 	448 , 	128 , 	96 , 	287 , 	54 , 	113 , 	95 , 	104 , 	333 , 	208 , 	107 , 	63 , 	85 , 	-   , 	-   , 	13 , 	60 ," 	9,821 ",,,,,,,,,,
PL, 	214 , 	383 , 	214 , 	207 , 	634 , 	190 , 	340 , 	308 , 	336 , 	307 , 	440 , 	340 , 	264 , 	243 , 	152 , 	108 , 	171 , 	223 , 	216 , 	228 , 	252 , 	140 , 	122 , 	276 ," 	1,168 ", 	313 , 	61 , 	158 , 	212 ," 	1,096 "," 	1,251 ", 	816 ," 	1,427 "," 	1,097 ", 	284 , 	148 , 	451 , 	81 , 	177 , 	246 , 	278 ," 	1,354 ", 	512 , 	153 , 	132 , 	126 , 	-   , 	-   , 	29 , 	111 ," 	17,987 ",,,,,,,,,,
CC, 	104 , 	165 , 	107 , 	174 , 	401 , 	170 , 	273 , 	259 , 	203 , 	170 , 	267 , 	185 , 	124 , 	95 , 	73 , 	50 , 	71 , 	100 , 	100 , 	125 , 	170 , 	96 , 	74 , 	207 , 	676 , 	175 , 	93 , 	196 , 	89 , 	383 , 	501 , 	266 , 	449 , 	392 , 	121 , 	75 , 	215 , 	41 , 	58 , 	85 , 	124 , 	422 , 	280 , 	69 , 	46 , 	55 , 	-   , 	-   , 	8 , 	45 ," 	8,624 ",,,,,,,,,,
16, 	67 , 	87 , 	57 , 	97 , 	251 , 	113 , 	189 , 	188 , 	124 , 	114 , 	149 , 	80 , 	61 , 	50 , 	28 , 	20 , 	31 , 	41 , 	40 , 	42 , 	60 , 	25 , 	39 , 	110 , 	421 , 	388 , 	345 ," 	1,180 ", 	438 , 	47 , 	159 , 	195 , 	344 , 	240 , 	82 , 	21 , 	64 , 	12 , 	26 , 	63 , 	85 , 	172 , 	180 , 	27 , 	17 , 	31 , 	-   , 	-   , 	8 , 	18 ," 	6,625 ",,,,,,,,,,
24, 	86 , 	99 , 	48 , 	75 , 	172 , 	70 , 	114 , 	129 , 	86 , 	91 , 	132 , 	95 , 	41 , 	38 , 	29 , 	22 , 	19 , 	27 , 	35 , 	32 , 	35 , 	18 , 	25 , 	95 , 	300 , 	481 , 	405 ," 	1,432 ", 	599 , 	156 , 	63 , 	195 , 	337 , 	245 , 	90 , 	21 , 	37 , 	10 , 	31 , 	65 , 	105 , 	130 , 	143 , 	13 , 	18 , 	15 , 	-   , 	-   , 	6 , 	20 ," 	6,528 ",,,,,,,,,,
GP, 	17 , 	31 , 	13 , 	20 , 	95 , 	20 , 	33 , 	43 , 	42 , 	28 , 	28 , 	58 , 	21 , 	14 , 	12 , 	5 , 	5 , 	11 , 	16 , 	19 , 	20 , 	9 , 	7 , 	25 , 	75 , 	280 , 	261 , 	933 , 	263 , 	189 , 	191 , 	27 , 	48 , 	42 , 	34 , 	6 , 	20 , 	5 , 	15 , 	18 , 	53 , 	87 , 	73 , 	5 , 	13 , 	5 , 	-   , 	-   , 	3 , 	8 ," 	3,245 ",,,,,,,,,,
BP, 	26 , 	27 , 	11 , 	10 , 	64 , 	15 , 	23 , 	32 , 	39 , 	30 , 	37 , 	75 , 	21 , 	19 , 	13 , 	7 , 	11 , 	15 , 	14 , 	13 , 	19 , 	3 , 	6 , 	14 , 	74 , 	389 , 	432 ," 	1,726 ", 	375 , 	275 , 	299 , 	43 , 	42 , 	40 , 	42 , 	7 , 	23 , 	4 , 	15 , 	24 , 	89 , 	96 , 	70 , 	6 , 	6 , 	7 , 	-   , 	-   , 	4 , 	10 ," 	4,644 ",,,,,,,,,,
DC, 	21 , 	35 , 	16 , 	13 , 	111 , 	13 , 	25 , 	29 , 	42 , 	31 , 	42 , 	150 , 	22 , 	25 , 	11 , 	14 , 	15 , 	25 , 	21 , 	22 , 	18 , 	10 , 	8 , 	13 , 	72 , 	348 , 	350 ," 	1,226 ", 	381 , 	244 , 	221 , 	33 , 	49 , 	33 , 	21 , 	11 , 	33 , 	7 , 	21 , 	30 , 	85 , 	185 , 	89 , 	14 , 	11 , 	11 , 	-   , 	-   , 	4 , 	11 ," 	4,226 ",,,,,,,,,,
CM, 	4 , 	13 , 	3 , 	5 , 	23 , 	2 , 	8 , 	10 , 	11 , 	4 , 	4 , 	14 , 	5 , 	4 , 	4 , 	3 , 	4 , 	2 , 	8 , 	9 , 	7 , 	2 , 	1 , 	3 , 	13 , 	93 , 	104 , 	340 , 	122 , 	68 , 	83 , 	27 , 	52 , 	20 , 	14 , 	2 , 	6 , 	1 , 	12 , 	8 , 	33 , 	113 , 	30 , 	1 , 	1 , 	0 , 	-   , 	-   , 	1 , 	5 ," 	1,306 ",,,,,,,,,,
CV, 	5 , 	4 , 	3 , 	4 , 	39 , 	4 , 	7 , 	14 , 	13 , 	66 , 	36 , 	125 , 	25 , 	40 , 	12 , 	7 , 	10 , 	12 , 	1 , 	2 , 	3 , 	1 , 	0 , 	3 , 	7 , 	112 , 	82 , 	164 , 	81 , 	23 , 	18 , 	10 , 	7 , 	14 , 	3 , 	13 , 	52 , 	2 , 	1 , 	2 , 	4 , 	17 , 	2 , 	55 , 	4 , 	4 , 	-   , 	-   , 	0 , 	2 ," 	1,114 ",,,,,,,,,,
ED, 	9 , 	12 , 	5 , 	8 , 	129 , 	12 , 	20 , 	35 , 	30 , 	79 , 	84 , 	383 , 	42 , 	69 , 	25 , 	16 , 	22 , 	44 , 	6 , 	4 , 	6 , 	3 , 	2 , 	11 , 	13 , 	560 , 	273 , 	468 , 	228 , 	64 , 	46 , 	20 , 	29 , 	46 , 	6 , 	45 , 	47 , 	1 , 	5 , 	3 , 	5 , 	84 , 	12 , 	33 , 	50 , 	16 , 	-   , 	-   , 	2 , 	3 ," 	3,114 ",,,,,,,,,,
NC, 	1 , 	2 , 	0 , 	3 , 	17 , 	2 , 	10 , 	11 , 	12 , 	2 , 	2 , 	37 , 	3 , 	4 , 	2 , 	2 , 	2 , 	4 , 	13 , 	12 , 	20 , 	18 , 	2 , 	13 , 	1 , 	73 , 	52 , 	90 , 	41 , 	11 , 	12 , 	4 , 	6 , 	8 , 	1 , 	2 , 	0 , 	7 , 	12 , 	3 , 	2 , 	26 , 	4 , 	0 , 	8 , 	2 , 	-   , 	-   , 	7 , 	7 , 	572 ,,,,,,,,,,
