Avg Sunday Trip OD																																																			
																																																			
2024 / 09																																																			
	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday
CV	2	3	1	2	7	3	4	6	8	28	24	60	16	14	6	5	4	4	1	1	1	1	0	3	5	71	38	71	51	14	12	5	4	7	1	3	40		1	0	2	10	1	31	4	2	1	1	2	4	583
ED	6	5	3	5	37	8	8	14	12	35	36	200	24	35	21	10	14	15	5	3	3	2	1	3	10	341	118	190	146	39	18	15	13	25	2	32	28	2	1	2	4	70	5	18	29	1	1	1	21	19	"1,652"
NC	1	1	0		4	0	6	5	3	1	1	11	1	2	1	1	0	1	12	4	10	6	1	4	1	30	13	22	22	6	6	1	1	2	0		1	5	6	0	0	17	2		4		4	6	1	1	227
WP	6	5	1	4	7	2	18	11	9	2	8	15	2	2	1	2	4	2	51	23	41	7	5	12	4	71	37	89	40	14	16	4	10	11	4	1	1	7	7	3	5	51	1	1	10	1	4	8	1	5	647
SS	5	4	2	1	7	2	4	6	8	2	4	7	1	3	1	1	2	1	3	1	5	0		3	4	41	18	86	54	36	31	13	21	23	5	0	1	2	3	4	8	34	10	1	1	0	1	5	0	0	475
SB	8	8	2	2	11	1	4	8	10	2	6	8	3	3	3	1	1	0	7	6	7	1	1	3	5	40	26	99	83	44	52	20	33	40	15	2	3	0	4	7	10	91	10	1	0	0	1	3	1	4	707
SO	39	37	32	48	82	25	41	33	59	10	14	25	10	8	4	3	5	10	41	55	79	40	33	48	51	227	202	821	201	126	67	44	40	87	34	3	40	15	35	19	37	59	176	11	8	4	4	30	5	3	"3,129"
MB	7	8	7	8	56	8	10	14	17	6	5	20	5	3	4	0	0	2	4	4	4	1	2	7	8	59	43	127	128	69	44	29	28	60	14	1	5	3	3	9	6	366	29	1	3	1	0	3	1		"1,242"
WD	1	3	1		17	3	6	5	4	17	24	71	18	23	15	10	7	5	2	1	0	0	0	2	4	88	39	57	40	14	8	4	4	6	0	34	15		1		1	20	1	7	9	3	0	0	3	6	602
OA	3	9	8	8	39	8	8	10	19	7	4	51	2	2	3	3	2	3	5	9	10	4	2	5	1	40	26	60	13	8	6	4	2	4	0	2	15	4	3	0	0	14	1	5	9	1	1	4	2	2	452
WS	2	5	2	3	24	2	8	8	4	13	14	45	7	14	19	16	26	18	2	1	1	2		1	3	39	22	29	23	10	5	2	1	4	0	2	3	1	2	0		8	1	4	3	4		3	27	23	457
PC	4	2	1	1	2	2	9	5	4	2	4	4	2	3	2	1	1	0	34	12	14	4	2	4	2	13	7	16	10	3	3	1	2	3	1	0	0	4	5	0	1	4	1		3	0	1	8	0	1	207
AN	6	6	2	2	12	1	25	9	14	2	8	19	4	4	6	1	4	2	44	16	25	12	4	14	5	66	28	69	47	14	11	7	9	15	5	0	2	6	8	6	3	57	3	0	13	2	8	11	2	4	642
ML	6	11	4	8	59	9	10	19	11	17	20	68	16	17	31	21	42	50	7	6	6	2	1	4	3	97	51	117	54	17	8	5	7	12	0	2	17	1	1	0	0	10	1	4	6	22	0	1	15	20	920
BE	11	22	10	11	101	16	23	29	18	28	36	98	25	22	40	34	31	57	7	6	9	4	2	4	8	87	48	80	83	26	18	7	13	16	2	3	28	2	3	1	3	9	1	7	8	24	0	5	15	17	"1,159"
Grand Total	"1,126"	"1,413"	958	997	"3,167"	"1,092"	"1,729"	"2,222"	"1,855"	"1,422"	"1,932"	"2,959"	"1,316"	"1,168"	930	589	743	889	"1,063"	853	"1,290"	787	570	"1,246"	"1,968"	"5,943"	"3,283"	"7,837"	"5,288"	"3,067"	"3,030"	"1,350"	"1,653"	"1,884"	604	558	"1,654"	233	620	438	647	"4,083"	"1,101"	570	657	434	177	579	975	"1,129"	"82,080"
