Exit stations,Entry stations->,,SUNDAY,,,Dec 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	4 , 	14 , 	13 , 	7 , 	30 , 	8 , 	12 , 	10 , 	11 , 	10 , 	15 , 	10 , 	5 , 	3 , 	4 , 	1 , 	1 , 	2 , 	6 , 	2 , 	5 , 	1 , 	1 , 	2 , 	3 , 	21 , 	17 , 	62 , 	19 , 	19 , 	19 , 	4 , 	7 , 	6 , 	3 , 	-   , 	2 , 	0 , 	2 , 	2 , 	6 , 	8 , 	1 , 	1 , 	1 , 	3 , 	1 , 	3 , 	2 , 	4 , 	389 ,,,,,,,,,,,
CL, 	9 , 	10 , 	4 , 	2 , 	13 , 	8 , 	14 , 	10 , 	13 , 	12 , 	23 , 	5 , 	17 , 	23 , 	13 , 	10 , 	6 , 	4 , 	2 , 	1 , 	4 , 	0 , 	0 , 	2 , 	9 , 	15 , 	17 , 	63 , 	24 , 	11 , 	9 , 	2 , 	4 , 	4 , 	1 , 	3 , 	11 , 	1 , 	4 , 	1 , 	1 , 	5 , 	2 , 	7 , 	6 , 	5 , 	1 , 	4 , 	3 , 	5 , 	419 ,,,,,,,,,,,
SL, 	8 , 	2 , 	2 , 	2 , 	6 , 	2 , 	8 , 	9 , 	15 , 	19 , 	26 , 	19 , 	3 , 	23 , 	19 , 	11 , 	9 , 	8 , 	2 , 	1 , 	2 , 	2 , 	1 , 	3 , 	6 , 	18 , 	19 , 	49 , 	27 , 	9 , 	10 , 	2 , 	4 , 	5 , 	2 , 	6 , 	11 , 	1 , 	1 , 	2 , 	1 , 	7 , 	1 , 	8 , 	2 , 	3 , 	2 , 	3 , 	1 , 	2 , 	396 ,,,,,,,,,,,
BF, 	5 , 	7 , 	1 , 	3 , 	6 , 	6 , 	8 , 	13 , 	14 , 	23 , 	43 , 	26 , 	26 , 	5 , 	19 , 	10 , 	8 , 	14 , 	3 , 	1 , 	3 , 	1 , 	1 , 	3 , 	7 , 	20 , 	24 , 	52 , 	18 , 	11 , 	8 , 	1 , 	3 , 	5 , 	3 , 	6 , 	16 , 	-   , 	1 , 	1 , 	2 , 	5 , 	1 , 	15 , 	1 , 	8 , 	6 , 	6 , 	0 , 	2 , 	467 ,,,,,,,,,,,
HY, 	3 , 	6 , 	2 , 	3 , 	5 , 	3 , 	7 , 	5 , 	8 , 	7 , 	21 , 	12 , 	17 , 	14 , 	7 , 	10 , 	11 , 	18 , 	3 , 	1 , 	2 , 	1 , 	0 , 	2 , 	5 , 	5 , 	5 , 	21 , 	8 , 	4 , 	5 , 	2 , 	3 , 	2 , 	1 , 	3 , 	5 , 	1 , 	2 , 	1 , 	1 , 	2 , 	1 , 	3 , 	4 , 	8 , 	6 , 	5 , 	0 , 	2 , 	266 ,,,,,,,,,,,
SH, 	1 , 	3 , 	2 , 	1 , 	2 , 	1 , 	5 , 	1 , 	4 , 	6 , 	12 , 	9 , 	9 , 	13 , 	10 , 	3 , 	5 , 	9 , 	1 , 	1 , 	2 , 	-   , 	-   , 	0 , 	2 , 	8 , 	2 , 	12 , 	5 , 	3 , 	4 , 	0 , 	1 , 	3 , 	1 , 	3 , 	2 , 	0 , 	1 , 	1 , 	1 , 	2 , 	0 , 	3 , 	2 , 	3 , 	2 , 	5 , 	1 , 	1 , 	161 ,,,,,,,,,,,
UC, 	1 , 	2 , 	1 , 	1 , 	2 , 	3 , 	4 , 	3 , 	4 , 	5 , 	8 , 	8 , 	10 , 	6 , 	12 , 	3 , 	4 , 	8 , 	1 , 	1 , 	1 , 	1 , 	1 , 	1 , 	0 , 	5 , 	4 , 	11 , 	5 , 	4 , 	3 , 	1 , 	1 , 	2 , 	-   , 	2 , 	2 , 	1 , 	1 , 	-   , 	0 , 	2 , 	0 , 	2 , 	3 , 	7 , 	5 , 	7 , 	1 , 	1 , 	154 ,,,,,,,,,,,
FM, 	3 , 	3 , 	2 , 	-   , 	2 , 	2 , 	2 , 	3 , 	3 , 	3 , 	11 , 	5 , 	10 , 	14 , 	17 , 	10 , 	5 , 	5 , 	2 , 	2 , 	1 , 	-   , 	-   , 	1 , 	1 , 	6 , 	3 , 	10 , 	5 , 	1 , 	1 , 	0 , 	2 , 	3 , 	1 , 	3 , 	5 , 	-   , 	2 , 	1 , 	1 , 	3 , 	0 , 	1 , 	3 , 	5 , 	6 , 	8 , 	1 , 	1 , 	173 ,,,,,,,,,,,
CN, 	5 , 	3 , 	2 , 	2 , 	3 , 	2 , 	13 , 	5 , 	8 , 	2 , 	7 , 	3 , 	2 , 	3 , 	3 , 	1 , 	0 , 	1 , 	4 , 	9 , 	24 , 	21 , 	5 , 	6 , 	3 , 	16 , 	7 , 	31 , 	10 , 	7 , 	9 , 	2 , 	3 , 	2 , 	0 , 	1 , 	3 , 	3 , 	27 , 	1 , 	2 , 	14 , 	2 , 	2 , 	4 , 	1 , 	-   , 	1 , 	16 , 	13 , 	309 ,,,,,,,,,,,
PH, 	1 , 	2 , 	2 , 	1 , 	3 , 	1 , 	5 , 	4 , 	3 , 	1 , 	3 , 	1 , 	1 , 	1 , 	2 , 	0 , 	0 , 	2 , 	9 , 	5 , 	13 , 	7 , 	4 , 	7 , 	1 , 	11 , 	13 , 	22 , 	10 , 	5 , 	4 , 	1 , 	2 , 	2 , 	1 , 	0 , 	1 , 	1 , 	9 , 	1 , 	3 , 	15 , 	1 , 	-   , 	5 , 	0 , 	-   , 	2 , 	5 , 	5 , 	192 ,,,,,,,,,,,
WC, 	2 , 	4 , 	3 , 	2 , 	3 , 	1 , 	5 , 	6 , 	4 , 	1 , 	4 , 	3 , 	3 , 	1 , 	1 , 	2 , 	1 , 	1 , 	37 , 	14 , 	2 , 	6 , 	5 , 	4 , 	1 , 	11 , 	12 , 	20 , 	6 , 	3 , 	5 , 	1 , 	3 , 	5 , 	1 , 	1 , 	1 , 	5 , 	15 , 	1 , 	3 , 	10 , 	2 , 	0 , 	3 , 	1 , 	1 , 	0 , 	7 , 	7 , 	233 ,,,,,,,,,,,
LF, 	1 , 	1 , 	1 , 	-   , 	1 , 	1 , 	3 , 	2 , 	2 , 	-   , 	3 , 	-   , 	1 , 	1 , 	1 , 	0 , 	0 , 	-   , 	25 , 	7 , 	5 , 	1 , 	2 , 	3 , 	0 , 	3 , 	5 , 	7 , 	3 , 	1 , 	2 , 	1 , 	0 , 	0 , 	-   , 	-   , 	-   , 	2 , 	5 , 	-   , 	-   , 	2 , 	-   , 	-   , 	2 , 	-   , 	-   , 	-   , 	2 , 	2 , 	98 ,,,,,,,,,,,
OR, 	1 , 	1 , 	1 , 	0 , 	1 , 	0 , 	1 , 	2 , 	0 , 	-   , 	2 , 	-   , 	0 , 	2 , 	-   , 	-   , 	0 , 	-   , 	5 , 	3 , 	5 , 	2 , 	0 , 	4 , 	0 , 	4 , 	4 , 	8 , 	2 , 	6 , 	-   , 	0 , 	-   , 	1 , 	1 , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	3 , 	-   , 	-   , 	0 , 	-   , 	-   , 	0 , 	1 , 	1 , 	62 ,,,,,,,,,,,
RR, 	4 , 	3 , 	5 , 	1 , 	1 , 	1 , 	6 , 	7 , 	6 , 	3 , 	7 , 	3 , 	2 , 	2 , 	1 , 	0 , 	3 , 	0 , 	6 , 	8 , 	5 , 	2 , 	3 , 	2 , 	4 , 	13 , 	8 , 	20 , 	10 , 	6 , 	4 , 	4 , 	2 , 	1 , 	-   , 	-   , 	1 , 	1 , 	1 , 	1 , 	1 , 	4 , 	2 , 	0 , 	2 , 	-   , 	-   , 	1 , 	2 , 	2 , 	161 ,,,,,,,,,,,
OW, 	3 , 	4 , 	1 , 	1 , 	7 , 	3 , 	9 , 	5 , 	7 , 	4 , 	15 , 	8 , 	3 , 	9 , 	5 , 	2 , 	1 , 	2 , 	3 , 	1 , 	1 , 	-   , 	-   , 	5 , 	8 , 	38 , 	36 , 	120 , 	41 , 	27 , 	18 , 	5 , 	10 , 	5 , 	2 , 	3 , 	4 , 	-   , 	2 , 	3 , 	6 , 	11 , 	1 , 	2 , 	2 , 	1 , 	0 , 	1 , 	1 , 	4 , 	441 ,,,,,,,,,,,
EM, 	20 , 	29 , 	10 , 	6 , 	15 , 	10 , 	19 , 	28 , 	20 , 	21 , 	40 , 	23 , 	22 , 	23 , 	6 , 	6 , 	5 , 	7 , 	16 , 	11 , 	9 , 	3 , 	5 , 	10 , 	46 , 	9 , 	3 , 	9 , 	7 , 	20 , 	27 , 	9 , 	27 , 	13 , 	8 , 	6 , 	15 , 	4 , 	12 , 	4 , 	4 , 	11 , 	2 , 	4 , 	6 , 	3 , 	3 , 	4 , 	5 , 	9 , 	628 ,,,,,,,,,,,
MT, 	28 , 	26 , 	10 , 	4 , 	12 , 	11 , 	22 , 	19 , 	31 , 	21 , 	39 , 	15 , 	20 , 	32 , 	7 , 	5 , 	4 , 	6 , 	13 , 	16 , 	11 , 	4 , 	6 , 	9 , 	44 , 	3 , 	9 , 	6 , 	7 , 	21 , 	29 , 	15 , 	47 , 	20 , 	11 , 	8 , 	10 , 	3 , 	11 , 	5 , 	7 , 	18 , 	3 , 	3 , 	5 , 	1 , 	2 , 	4 , 	4 , 	9 , 	669 ,,,,,,,,,,,
PL, 	50 , 	56 , 	21 , 	8 , 	27 , 	22 , 	35 , 	45 , 	54 , 	47 , 	85 , 	51 , 	42 , 	46 , 	16 , 	13 , 	7 , 	7 , 	25 , 	22 , 	19 , 	7 , 	10 , 	17 , 	120 , 	9 , 	3 , 	30 , 	10 , 	80 , 	117 , 	66 , 	162 , 	104 , 	40 , 	17 , 	24 , 	11 , 	32 , 	14 , 	26 , 	32 , 	13 , 	12 , 	5 , 	4 , 	4 , 	8 , 	8 , 	15 ," 	1,693 ",,,,,,,,,,,
CC, 	23 , 	19 , 	10 , 	6 , 	19 , 	9 , 	33 , 	22 , 	33 , 	19 , 	66 , 	25 , 	17 , 	14 , 	9 , 	4 , 	4 , 	3 , 	12 , 	10 , 	10 , 	5 , 	2 , 	9 , 	49 , 	6 , 	6 , 	8 , 	14 , 	31 , 	33 , 	24 , 	47 , 	29 , 	20 , 	3 , 	10 , 	2 , 	7 , 	12 , 	12 , 	25 , 	4 , 	4 , 	4 , 	2 , 	3 , 	3 , 	3 , 	10 , 	747 ,,,,,,,,,,,
16, 	20 , 	19 , 	5 , 	5 , 	12 , 	8 , 	20 , 	20 , 	27 , 	14 , 	20 , 	10 , 	9 , 	7 , 	3 , 	4 , 	3 , 	2 , 	10 , 	5 , 	5 , 	3 , 	4 , 	6 , 	29 , 	16 , 	19 , 	91 , 	35 , 	11 , 	7 , 	13 , 	32 , 	34 , 	14 , 	2 , 	6 , 	1 , 	8 , 	7 , 	14 , 	17 , 	7 , 	2 , 	2 , 	1 , 	1 , 	2 , 	2 , 	6 , 	613 ,,,,,,,,,,,
24, 	16 , 	13 , 	4 , 	4 , 	8 , 	6 , 	12 , 	13 , 	11 , 	12 , 	27 , 	9 , 	9 , 	10 , 	3 , 	5 , 	3 , 	2 , 	10 , 	5 , 	5 , 	1 , 	0 , 	3 , 	25 , 	28 , 	20 , 	145 , 	45 , 	7 , 	14 , 	14 , 	32 , 	28 , 	18 , 	2 , 	6 , 	2 , 	6 , 	14 , 	14 , 	16 , 	4 , 	2 , 	2 , 	1 , 	3 , 	2 , 	3 , 	3 , 	641 ,,,,,,,,,,,
GP, 	3 , 	10 , 	1 , 	-   , 	4 , 	1 , 	2 , 	7 , 	6 , 	5 , 	4 , 	3 , 	3 , 	1 , 	2 , 	1 , 	0 , 	1 , 	5 , 	1 , 	1 , 	1 , 	1 , 	3 , 	6 , 	12 , 	9 , 	73 , 	23 , 	15 , 	15 , 	10 , 	3 , 	7 , 	6 , 	1 , 	2 , 	1 , 	3 , 	3 , 	9 , 	6 , 	2 , 	1 , 	1 , 	1 , 	1 , 	2 , 	1 , 	3 , 	278 ,,,,,,,,,,,
BP, 	4 , 	8 , 	2 , 	2 , 	4 , 	1 , 	5 , 	7 , 	7 , 	6 , 	6 , 	4 , 	6 , 	6 , 	3 , 	1 , 	1 , 	2 , 	5 , 	2 , 	3 , 	1 , 	1 , 	1 , 	12 , 	28 , 	24 , 	184 , 	52 , 	31 , 	31 , 	3 , 	14 , 	6 , 	9 , 	1 , 	6 , 	1 , 	6 , 	6 , 	18 , 	24 , 	5 , 	1 , 	1 , 	1 , 	1 , 	1 , 	1 , 	2 , 	549 ,,,,,,,,,,,
DC, 	6 , 	3 , 	1 , 	0 , 	3 , 	1 , 	3 , 	5 , 	5 , 	6 , 	7 , 	7 , 	5 , 	5 , 	1 , 	1 , 	1 , 	3 , 	3 , 	1 , 	5 , 	1 , 	1 , 	1 , 	5 , 	14 , 	18 , 	123 , 	39 , 	28 , 	27 , 	5 , 	10 , 	10 , 	3 , 	1 , 	5 , 	3 , 	4 , 	3 , 	13 , 	40 , 	11 , 	1 , 	1 , 	2 , 	3 , 	1 , 	3 , 	2 , 	442 ,,,,,,,,,,,
CM, 	2 , 	4 , 	-   , 	-   , 	1 , 	-   , 	3 , 	2 , 	4 , 	1 , 	1 , 	1 , 	2 , 	3 , 	0 , 	0 , 	0 , 	1 , 	2 , 	1 , 	1 , 	0 , 	-   , 	0 , 	2 , 	7 , 	7 , 	48 , 	23 , 	15 , 	18 , 	6 , 	9 , 	3 , 	3 , 	-   , 	0 , 	0 , 	2 , 	2 , 	6 , 	26 , 	2 , 	-   , 	-   , 	-   , 	1 , 	-   , 	1 , 	2 , 	207 ,,,,,,,,,,,
CV, 	0 , 	0 , 	-   , 	-   , 	1 , 	0 , 	1 , 	-   , 	-   , 	6 , 	5 , 	4 , 	6 , 	7 , 	2 , 	1 , 	2 , 	1 , 	-   , 	-   , 	0 , 	1 , 	0 , 	-   , 	2 , 	3 , 	7 , 	15 , 	4 , 	3 , 	2 , 	0 , 	2 , 	1 , 	0 , 	1 , 	10 , 	-   , 	1 , 	-   , 	1 , 	3 , 	1 , 	14 , 	0 , 	1 , 	1 , 	0 , 	-   , 	1 , 	106 ,,,,,,,,,,,
ED, 	1 , 	4 , 	1 , 	0 , 	2 , 	1 , 	1 , 	2 , 	2 , 	10 , 	13 , 	7 , 	7 , 	15 , 	6 , 	2 , 	2 , 	4 , 	2 , 	2 , 	1 , 	-   , 	-   , 	1 , 	5 , 	12 , 	6 , 	29 , 	10 , 	6 , 	4 , 	2 , 	3 , 	3 , 	1 , 	10 , 	3 , 	-   , 	2 , 	-   , 	1 , 	10 , 	1 , 	4 , 	7 , 	1 , 	3 , 	3 , 	0 , 	0 , 	206 ,,,,,,,,,,,
NC, 	-   , 	0 , 	-   , 	0 , 	0 , 	-   , 	1 , 	2 , 	0 , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	0 , 	0 , 	-   , 	3 , 	2 , 	5 , 	2 , 	0 , 	1 , 	1 , 	2 , 	2 , 	12 , 	3 , 	1 , 	2 , 	2 , 	1 , 	2 , 	1 , 	-   , 	-   , 	-   , 	5 , 	-   , 	0 , 	6 , 	1 , 	-   , 	2 , 	-   , 	-   , 	1 , 	3 , 	2 , 	64 ,,,,,,,,,,,
WP, 	2 , 	2 , 	1 , 	1 , 	2 , 	1 , 	7 , 	4 , 	4 , 	1 , 	2 , 	1 , 	3 , 	1 , 	2 , 	1 , 	1 , 	1 , 	25 , 	10 , 	15 , 	3 , 	2 , 	4 , 	3 , 	7 , 	8 , 	37 , 	9 , 	7 , 	7 , 	3 , 	5 , 	2 , 	2 , 	0 , 	1 , 	5 , 	4 , 	1 , 	1 , 	13 , 	2 , 	1 , 	4 , 	-   , 	0 , 	1 , 	1 , 	4 , 	219 ,,,,,,,,,,,
SS, 	1 , 	4 , 	1 , 	1 , 	1 , 	-   , 	1 , 	1 , 	1 , 	1 , 	2 , 	1 , 	1 , 	2 , 	1 , 	1 , 	-   , 	1 , 	2 , 	2 , 	2 , 	-   , 	-   , 	1 , 	2 , 	4 , 	4 , 	23 , 	13 , 	5 , 	14 , 	3 , 	4 , 	5 , 	1 , 	-   , 	0 , 	1 , 	1 , 	2 , 	3 , 	8 , 	2 , 	0 , 	1 , 	1 , 	0 , 	-   , 	-   , 	1 , 	123 ,,,,,,,,,,,
SB, 	4 , 	4 , 	1 , 	0 , 	1 , 	1 , 	2 , 	1 , 	2 , 	1 , 	2 , 	1 , 	1 , 	5 , 	0 , 	1 , 	1 , 	1 , 	3 , 	2 , 	2 , 	0 , 	1 , 	1 , 	5 , 	2 , 	5 , 	28 , 	13 , 	18 , 	15 , 	9 , 	16 , 	12 , 	6 , 	0 , 	-   , 	-   , 	2 , 	8 , 	3 , 	11 , 	4 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	1 , 	192 ,,,,,,,,,,,
SO, 	5 , 	10 , 	4 , 	2 , 	8 , 	2 , 	7 , 	7 , 	7 , 	2 , 	3 , 	4 , 	5 , 	2 , 	1 , 	0 , 	-   , 	1 , 	11 , 	9 , 	5 , 	2 , 	3 , 	6 , 	9 , 	5 , 	12 , 	34 , 	19 , 	10 , 	8 , 	6 , 	14 , 	26 , 	15 , 	2 , 	5 , 	4 , 	13 , 	7 , 	4 , 	10 , 	10 , 	2 , 	2 , 	1 , 	1 , 	0 , 	4 , 	8 , 	332 ,,,,,,,,,,,
MB, 	2 , 	2 , 	0 , 	1 , 	1 , 	0 , 	1 , 	1 , 	3 , 	1 , 	1 , 	0 , 	1 , 	1 , 	-   , 	0 , 	0 , 	-   , 	1 , 	1 , 	1 , 	-   , 	-   , 	2 , 	1 , 	3 , 	3 , 	8 , 	6 , 	4 , 	5 , 	3 , 	5 , 	10 , 	3 , 	1 , 	1 , 	1 , 	2 , 	2 , 	1 , 	20 , 	2 , 	-   , 	-   , 	0 , 	-   , 	-   , 	1 , 	1 , 	97 ,,,,,,,,,,,
WD, 	1 , 	0 , 	1 , 	-   , 	1 , 	0 , 	2 , 	-   , 	1 , 	5 , 	13 , 	5 , 	7 , 	16 , 	4 , 	3 , 	2 , 	3 , 	1 , 	-   , 	0 , 	-   , 	-   , 	1 , 	2 , 	5 , 	4 , 	12 , 	5 , 	1 , 	1 , 	0 , 	2 , 	1 , 	1 , 	13 , 	9 , 	-   , 	1 , 	-   , 	-   , 	2 , 	0 , 	3 , 	3 , 	1 , 	1 , 	0 , 	-   , 	0 , 	127 ,,,,,,,,,,,
OA, 	2 , 	2 , 	-   , 	1 , 	3 , 	1 , 	2 , 	1 , 	1 , 	2 , 	3 , 	2 , 	1 , 	1 , 	1 , 	1 , 	-   , 	0 , 	2 , 	3 , 	1 , 	1 , 	-   , 	2 , 	-   , 	2 , 	1 , 	6 , 	1 , 	2 , 	1 , 	-   , 	-   , 	-   , 	-   , 	0 , 	4 , 	-   , 	3 , 	-   , 	1 , 	4 , 	-   , 	1 , 	1 , 	0 , 	-   , 	0 , 	0 , 	2 , 	58 ,,,,,,,,,,,
WS, 	3 , 	3 , 	1 , 	1 , 	1 , 	1 , 	1 , 	3 , 	1 , 	1 , 	7 , 	6 , 	4 , 	4 , 	6 , 	5 , 	7 , 	3 , 	0 , 	-   , 	0 , 	-   , 	-   , 	-   , 	0 , 	3 , 	1 , 	3 , 	3 , 	2 , 	1 , 	2 , 	1 , 	1 , 	-   , 	1 , 	0 , 	-   , 	0 , 	-   , 	1 , 	1 , 	-   , 	2 , 	1 , 	1 , 	3 , 	4 , 	-   , 	1 , 	84 ,,,,,,,,,,,
ML, 	2 , 	3 , 	1 , 	-   , 	1 , 	2 , 	2 , 	0 , 	1 , 	1 , 	4 , 	2 , 	4 , 	7 , 	4 , 	3 , 	3 , 	6 , 	-   , 	-   , 	0 , 	-   , 	-   , 	0 , 	0 , 	4 , 	3 , 	4 , 	2 , 	3 , 	2 , 	1 , 	2 , 	2 , 	-   , 	0 , 	2 , 	-   , 	1 , 	-   , 	-   , 	1 , 	-   , 	1 , 	1 , 	2 , 	2 , 	3 , 	-   , 	0 , 	79 ,,,,,,,,,,,
BE, 	4 , 	3 , 	2 , 	1 , 	3 , 	2 , 	2 , 	3 , 	1 , 	3 , 	11 , 	4 , 	2 , 	3 , 	6 , 	7 , 	7 , 	9 , 	2 , 	2 , 	1 , 	1 , 	1 , 	1 , 	1 , 	3 , 	3 , 	10 , 	3 , 	3 , 	2 , 	0 , 	1 , 	2 , 	0 , 	1 , 	3 , 	0 , 	2 , 	0 , 	-   , 	1 , 	-   , 	1 , 	1 , 	6 , 	2 , 	2 , 	1 , 	2 , 	129 ,,,,,,,,,,,
PC, 	1 , 	3 , 	1 , 	0 , 	-   , 	1 , 	7 , 	3 , 	3 , 	0 , 	1 , 	2 , 	1 , 	-   , 	1 , 	-   , 	-   , 	1 , 	16 , 	2 , 	7 , 	3 , 	2 , 	1 , 	1 , 	3 , 	4 , 	8 , 	5 , 	1 , 	2 , 	1 , 	2 , 	3 , 	1 , 	-   , 	-   , 	2 , 	2 , 	-   , 	0 , 	3 , 	0 , 	-   , 	1 , 	-   , 	-   , 	-   , 	2 , 	4 , 	98 ,,,,,,,,,,,
