Exit stations,Entry stations->,,SATURDAY,,,Dec 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	2 , 	16 , 	17 , 	10 , 	43 , 	16 , 	19 , 	10 , 	17 , 	5 , 	23 , 	13 , 	7 , 	6 , 	5 , 	4 , 	2 , 	2 , 	4 , 	1 , 	5 , 	1 , 	-   , 	3 , 	5 , 	33 , 	28 , 	79 , 	26 , 	37 , 	34 , 	9 , 	11 , 	10 , 	3 , 	1 , 	3 , 	1 , 	2 , 	3 , 	5 , 	9 , 	2 , 	1 , 	3 , 	2 , 	2 , 	2 , 	3 , 	3 , 	542 ,,,,,,,,,,
GP, 	8 , 	11 , 	2 , 	3 , 	8 , 	2 , 	8 , 	4 , 	5 , 	5 , 	8 , 	4 , 	6 , 	3 , 	1 , 	1 , 	2 , 	1 , 	4 , 	3 , 	1 , 	1 , 	-   , 	4 , 	7 , 	21 , 	24 , 	120 , 	28 , 	25 , 	32 , 	7 , 	9 , 	7 , 	8 , 	1 , 	2 , 	1 , 	5 , 	4 , 	11 , 	6 , 	3 , 	0 , 	0 , 	1 , 	1 , 	1 , 	1 , 	3 , 	415 ,,,,,,,,,,
BP, 	10 , 	10 , 	2 , 	1 , 	7 , 	3 , 	7 , 	7 , 	10 , 	10 , 	10 , 	3 , 	7 , 	11 , 	6 , 	1 , 	3 , 	2 , 	3 , 	2 , 	2 , 	2 , 	1 , 	4 , 	17 , 	43 , 	41 , 	304 , 	78 , 	65 , 	55 , 	9 , 	6 , 	8 , 	10 , 	3 , 	4 , 	1 , 	5 , 	6 , 	21 , 	16 , 	10 , 	2 , 	1 , 	1 , 	1 , 	2 , 	1 , 	3 , 	829 ,,,,,,,,,,
DC, 	10 , 	8 , 	2 , 	4 , 	7 , 	2 , 	4 , 	6 , 	8 , 	3 , 	10 , 	10 , 	6 , 	3 , 	4 , 	3 , 	1 , 	3 , 	3 , 	2 , 	3 , 	1 , 	1 , 	2 , 	10 , 	33 , 	42 , 	224 , 	63 , 	55 , 	59 , 	9 , 	13 , 	8 , 	5 , 	2 , 	4 , 	2 , 	4 , 	11 , 	21 , 	28 , 	15 , 	1 , 	1 , 	1 , 	1 , 	2 , 	2 , 	3 , 	721 ,,,,,,,,,,
CM, 	1 , 	3 , 	1 , 	1 , 	1 , 	1 , 	2 , 	2 , 	7 , 	2 , 	2 , 	2 , 	2 , 	3 , 	2 , 	0 , 	1 , 	1 , 	1 , 	2 , 	1 , 	-   , 	-   , 	0 , 	2 , 	10 , 	8 , 	57 , 	23 , 	17 , 	18 , 	6 , 	9 , 	6 , 	2 , 	0 , 	-   , 	1 , 	2 , 	2 , 	8 , 	21 , 	3 , 	-   , 	-   , 	1 , 	0 , 	0 , 	3 , 	1 , 	235 ,,,,,,,,,,
CV, 	1 , 	1 , 	0 , 	0 , 	2 , 	1 , 	2 , 	1 , 	1 , 	6 , 	9 , 	3 , 	5 , 	10 , 	3 , 	2 , 	1 , 	2 , 	-   , 	-   , 	1 , 	0 , 	1 , 	-   , 	3 , 	7 , 	11 , 	23 , 	5 , 	4 , 	4 , 	2 , 	2 , 	2 , 	-   , 	1 , 	13 , 	-   , 	1 , 	0 , 	1 , 	1 , 	0 , 	15 , 	1 , 	2 , 	0 , 	1 , 	-   , 	0 , 	146 ,,,,,,,,,,
ED, 	2 , 	3 , 	1 , 	1 , 	3 , 	1 , 	1 , 	3 , 	3 , 	8 , 	25 , 	11 , 	12 , 	19 , 	9 , 	5 , 	3 , 	6 , 	1 , 	1 , 	2 , 	0 , 	-   , 	1 , 	3 , 	19 , 	17 , 	35 , 	10 , 	8 , 	5 , 	2 , 	6 , 	3 , 	1 , 	14 , 	8 , 	-   , 	2 , 	-   , 	1 , 	12 , 	1 , 	6 , 	4 , 	2 , 	2 , 	3 , 	0 , 	0 , 	279 ,,,,,,,,,,
NC, 	-   , 	1 , 	0 , 	-   , 	0 , 	-   , 	2 , 	0 , 	1 , 	1 , 	1 , 	0 , 	2 , 	0 , 	1 , 	-   , 	0 , 	-   , 	4 , 	1 , 	3 , 	2 , 	1 , 	1 , 	1 , 	5 , 	4 , 	8 , 	2 , 	2 , 	2 , 	3 , 	3 , 	1 , 	1 , 	-   , 	1 , 	1 , 	4 , 	-   , 	1 , 	4 , 	1 , 	-   , 	1 , 	-   , 	0 , 	1 , 	2 , 	2 , 	68 ,,,,,,,,,,
WP, 	3 , 	4 , 	0 , 	2 , 	5 , 	1 , 	11 , 	5 , 	4 , 	1 , 	4 , 	4 , 	3 , 	3 , 	2 , 	1 , 	1 , 	1 , 	33 , 	9 , 	24 , 	4 , 	2 , 	5 , 	4 , 	16 , 	13 , 	50 , 	10 , 	10 , 	14 , 	5 , 	7 , 	4 , 	1 , 	1 , 	2 , 	4 , 	5 , 	4 , 	2 , 	14 , 	2 , 	-   , 	3 , 	1 , 	0 , 	2 , 	5 , 	5 , 	309 ,,,,,,,,,,
SS, 	1 , 	3 , 	1 , 	-   , 	1 , 	1 , 	1 , 	3 , 	2 , 	1 , 	2 , 	2 , 	1 , 	2 , 	1 , 	1 , 	-   , 	1 , 	3 , 	1 , 	1 , 	0 , 	-   , 	-   , 	2 , 	7 , 	5 , 	33 , 	9 , 	11 , 	14 , 	4 , 	7 , 	8 , 	2 , 	-   , 	1 , 	0 , 	4 , 	2 , 	6 , 	7 , 	3 , 	-   , 	0 , 	-   , 	-   , 	-   , 	1 , 	3 , 	152 ,,,,,,,,,,
SB, 	4 , 	4 , 	1 , 	0 , 	1 , 	1 , 	1 , 	2 , 	6 , 	2 , 	3 , 	2 , 	2 , 	5 , 	1 , 	1 , 	1 , 	0 , 	3 , 	2 , 	4 , 	-   , 	1 , 	1 , 	4 , 	5 , 	4 , 	41 , 	18 , 	20 , 	27 , 	8 , 	17 , 	20 , 	5 , 	1 , 	1 , 	1 , 	1 , 	5 , 	4 , 	9 , 	2 , 	1 , 	-   , 	-   , 	0 , 	-   , 	1 , 	2 , 	242 ,,,,,,,,,,
