Exit stations,Entry stations->,,TOTAL,,,Dec 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	156 , 	737 , 	671 , 	526 ," 	1,740 ", 	603 , 	813 , 	597 , 	926 , 	269 , 	719 , 	709 , 	357 , 	290 , 	262 , 	166 , 	139 , 	127 , 	174 , 	59 , 	158 , 	35 , 	54 , 	131 , 	270 ," 	1,843 "," 	1,800 "," 	3,453 "," 	2,111 "," 	1,462 "," 	1,578 ", 	464 , 	490 , 	330 , 	159 , 	19 , 	88 , 	15 , 	107 , 	121 , 	283 , 	226 , 	114 , 	30 , 	73 , 	90 , 	65 , 	61 , 	79 , 	73 ," 	25,822 ",,,,,,,,,,,,,
LF, 	59 , 	38 , 	42 , 	17 , 	59 , 	16 , 	174 , 	138 , 	131 , 	31 , 	167 , 	34 , 	46 , 	26 , 	31 , 	5 , 	26 , 	9 , 	932 , 	321 , 	340 , 	54 , 	51 , 	123 , 	8 , 	457 , 	654 , 	509 , 	431 , 	157 , 	177 , 	38 , 	38 , 	29 , 	13 , 	4 , 	5 , 	73 , 	228 , 	5 , 	10 , 	97 , 	22 , 	-   , 	31 , 	14 , 	9 , 	6 , 	133 , 	104 ," 	6,122 ",,,,,,,,,,,,,
OR, 	78 , 	48 , 	12 , 	11 , 	30 , 	20 , 	142 , 	112 , 	173 , 	10 , 	204 , 	15 , 	33 , 	66 , 	16 , 	10 , 	2 , 	23 , 	214 , 	144 , 	282 , 	46 , 	39 , 	129 , 	12 , 	417 , 	480 , 	363 , 	295 , 	221 , 	89 , 	29 , 	21 , 	48 , 	10 , 	6 , 	3 , 	37 , 	42 , 	12 , 	22 , 	93 , 	15 , 	1 , 	32 , 	1 , 	2 , 	12 , 	41 , 	35 ," 	4,198 ",,,,,,,,,,,,,
RR, 	163 , 	159 , 	140 , 	44 , 	64 , 	39 , 	221 , 	286 , 	399 , 	77 , 	415 , 	134 , 	142 , 	86 , 	99 , 	29 , 	64 , 	21 , 	320 , 	418 , 	344 , 	138 , 	152 , 	76 , 	106 , 	713 , 	737 , 	841 , 	748 , 	304 , 	249 , 	101 , 	107 , 	30 , 	11 , 	3 , 	59 , 	94 , 	242 , 	14 , 	27 , 	136 , 	39 , 	2 , 	27 , 	5 , 	10 , 	16 , 	82 , 	150 ," 	8,883 ",,,,,,,,,,,,,
OW, 	179 , 	247 , 	51 , 	59 , 	298 , 	238 , 	365 , 	265 , 	527 , 	185 , 	917 , 	678 , 	349 , 	525 , 	326 , 	161 , 	89 , 	82 , 	199 , 	71 , 	110 , 	9 , 	8 , 	109 , 	188 ," 	4,243 "," 	3,684 "," 	5,753 "," 	3,348 "," 	1,611 "," 	1,231 ", 	341 , 	431 , 	327 , 	132 , 	64 , 	240 , 	17 , 	152 , 	189 , 	246 , 	327 , 	118 , 	72 , 	38 , 	58 , 	23 , 	39 , 	106 , 	143 ," 	29,168 ",,,,,,,,,,,,,
EM," 	2,161 "," 	3,176 "," 	1,106 ", 	722 ," 	1,370 ", 	819 ," 	1,650 "," 	2,169 "," 	2,150 "," 	1,758 "," 	3,296 "," 	1,983 "," 	2,569 "," 	1,911 "," 	1,229 "," 	1,128 ", 	859 , 	653 ," 	1,847 "," 	1,648 "," 	1,037 ", 	543 , 	454 , 	765 ," 	4,622 ", 	283 , 	185 , 	829 , 	840 ," 	1,600 "," 	2,405 "," 	1,426 "," 	3,496 "," 	2,640 ", 	982 , 	866 ," 	1,715 ", 	503 ," 	1,845 ", 	706 , 	589 , 	458 , 	331 , 	518 , 	120 , 	232 , 	150 , 	300 , 	607 ," 	1,744 "," 	66,995 ",,,,,,,,,,,,,
MT," 	2,483 "," 	3,625 "," 	1,060 ", 	599 , 	908 , 	834 ," 	1,716 "," 	2,036 "," 	2,368 "," 	1,754 "," 	3,260 "," 	2,033 "," 	2,777 "," 	2,396 "," 	1,115 "," 	1,064 ", 	843 , 	695 ," 	1,851 "," 	1,673 "," 	1,253 ", 	668 , 	594 , 	774 ," 	4,411 ", 	219 , 	268 , 	416 , 	715 ," 	2,067 "," 	3,222 "," 	2,593 "," 	6,316 "," 	3,399 "," 	1,366 ", 	847 ," 	1,297 ", 	479 ," 	2,113 ", 	872 , 	981 , 	558 , 	541 , 	347 , 	111 , 	234 , 	249 , 	244 , 	422 ," 	1,336 "," 	74,002 ",,,,,,,,,,,,,
PL," 	2,779 "," 	3,725 "," 	1,181 ", 	551 ," 	1,299 "," 	1,038 "," 	2,392 "," 	2,136 "," 	3,087 "," 	2,462 "," 	4,624 "," 	2,744 "," 	2,571 "," 	2,348 "," 	1,282 ", 	947 , 	686 , 	631 ," 	2,114 "," 	1,596 "," 	1,207 ", 	420 , 	282 , 	671 ," 	5,525 "," 	1,104 ", 	328 , 	562 , 	818 ," 	4,267 "," 	6,301 "," 	3,974 "," 	9,096 "," 	5,818 "," 	2,214 ", 	928 ," 	1,533 ", 	535 ," 	2,116 "," 	1,429 "," 	1,394 "," 	1,125 ", 	827 , 	536 , 	128 , 	181 , 	175 , 	320 , 	686 ," 	1,460 "," 	96,153 ",,,,,,,,,,,,,
CC," 	1,842 "," 	2,668 ", 	943 , 	504 ," 	1,097 ", 	877 ," 	2,159 "," 	1,902 "," 	1,837 "," 	1,664 "," 	4,244 "," 	2,003 "," 	1,693 "," 	1,870 ", 	929 , 	712 , 	658 , 	541 ," 	1,813 "," 	1,254 ", 	904 , 	368 , 	281 , 	649 ," 	3,607 ", 	873 , 	608 , 	672 , 	335 ," 	1,948 "," 	2,862 "," 	1,759 "," 	4,470 "," 	3,347 "," 	1,732 ", 	630 ," 	1,292 ", 	430 ," 	1,533 "," 	1,074 "," 	1,012 ", 	771 , 	908 , 	353 , 	94 , 	142 , 	245 , 	342 , 	469 ," 	1,296 "," 	66,216 ",,,,,,,,,,,,,
16," 	1,389 "," 	1,242 ", 	353 , 	295 , 	541 , 	465 ," 	1,198 "," 	1,019 "," 	1,181 ", 	828 ," 	1,700 ", 	828 , 	868 , 	661 , 	392 , 	489 , 	259 , 	304 , 	615 , 	511 , 	405 , 	135 , 	206 , 	273 ," 	1,685 "," 	1,626 "," 	1,898 "," 	4,765 "," 	2,228 ", 	251 , 	636 ," 	1,160 "," 	2,566 "," 	2,207 "," 	1,011 ", 	159 , 	409 , 	149 , 	850 , 	576 , 	769 , 	559 , 	490 , 	176 , 	53 , 	64 , 	47 , 	65 , 	294 , 	719 ," 	41,569 ",,,,,,,,,,,,,
24," 	1,421 "," 	1,592 ", 	337 , 	277 , 	496 , 	340 , 	812 , 	714 , 	744 , 	603 ," 	1,736 ", 	955 , 	800 , 	658 , 	367 , 	309 , 	246 , 	201 , 	583 , 	301 , 	309 , 	163 , 	100 , 	277 ," 	1,275 "," 	2,083 "," 	2,584 "," 	7,207 "," 	3,617 ", 	680 , 	265 ," 	1,135 "," 	2,133 "," 	1,915 ", 	977 , 	121 , 	214 , 	115 , 	706 , 	783 , 	847 , 	476 , 	504 , 	124 , 	66 , 	64 , 	75 , 	71 , 	247 , 	412 ," 	43,037 ",,,,,,,,,,,,,
