Exit stations,Entry stations->,,TOTAL,,,Jun 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	567 ," 	1,713 "," 	1,553 ", 	909 ," 	6,129 "," 	1,380 "," 	1,997 "," 	1,415 "," 	1,917 ", 	594 ," 	1,324 "," 	1,202 ", 	611 , 	269 , 	464 , 	230 , 	203 , 	216 , 	386 , 	159 , 	365 , 	175 , 	150 , 	348 , 	502 ," 	5,181 "," 	3,943 "," 	6,891 "," 	3,697 "," 	2,425 "," 	2,799 ", 	788 , 	607 , 	577 , 	288 , 	94 , 	152 , 	73 , 	185 , 	179 , 	400 ," 	1,125 ", 	334 , 	59 , 	217 , 	309 , 	201 , 	231 , 	127 , 	193 ," 	55,853 ",,,,,,,,,,,,,
LF, 	166 , 	136 , 	140 , 	92 , 	483 , 	93 , 	844 ," 	1,127 ", 	982 , 	97 , 	277 , 	449 , 	95 , 	33 , 	69 , 	22 , 	16 , 	21 ," 	2,337 ", 	725 , 	949 , 	312 , 	230 , 	938 , 	55 ," 	8,077 "," 	6,073 "," 	2,457 "," 	2,724 ", 	759 , 	404 , 	245 , 	156 , 	115 , 	50 , 	16 , 	37 , 	101 , 	324 , 	69 , 	138 ," 	1,753 ", 	89 , 	5 , 	306 , 	28 , 	46 , 	62 , 	187 , 	263 ," 	35,172 ",,,,,,,,,,,,,
OR, 	148 , 	171 , 	117 , 	84 , 	509 , 	59 , 	500 , 	786 , 	998 , 	96 , 	255 , 	440 , 	116 , 	61 , 	33 , 	21 , 	26 , 	74 , 	562 , 	317 , 	673 , 	235 , 	260 , 	751 , 	67 ," 	7,302 "," 	5,070 "," 	2,156 "," 	2,154 ", 	707 , 	337 , 	256 , 	73 , 	157 , 	30 , 	19 , 	40 , 	50 , 	179 , 	52 , 	86 ," 	1,375 ", 	54 , 	7 , 	139 , 	36 , 	60 , 	56 , 	150 , 	191 ," 	28,095 ",,,,,,,,,,,,,
RR, 	383 , 	544 , 	401 , 	185 , 	332 , 	169 , 	978 ," 	1,757 "," 	1,952 ", 	253 , 	684 , 	783 , 	347 , 	260 , 	179 , 	91 , 	92 , 	143 ," 	1,003 "," 	1,342 "," 	1,866 ", 	927 , 	780 , 	423 , 	434 ," 	12,150 "," 	8,323 "," 	5,543 "," 	6,088 "," 	2,571 "," 	1,469 ", 	643 , 	312 , 	360 , 	83 , 	90 , 	100 , 	189 , 	517 , 	142 , 	140 ," 	2,606 ", 	183 , 	33 , 	237 , 	80 , 	121 , 	163 , 	185 , 	494 ," 	59,130 ",,,,,,,,,,,,,
OW, 	446 , 	510 , 	142 , 	207 , 	827 , 	349 , 	789 ," 	1,005 "," 	1,099 ", 	323 ," 	1,872 "," 	1,268 ", 	684 , 	507 , 	529 , 	235 , 	170 , 	175 , 	349 , 	203 , 	271 , 	44 , 	55 , 	393 , 	462 ," 	18,301 "," 	12,727 "," 	13,528 "," 	10,683 "," 	5,517 "," 	3,255 ", 	888 , 	773 , 	629 , 	167 , 	168 , 	483 , 	87 , 	251 , 	243 , 	378 ," 	1,909 ", 	405 , 	134 , 	166 , 	162 , 	100 , 	156 , 	114 , 	258 ," 	84,396 ",,,,,,,,,,,,,
EM," 	5,913 "," 	11,281 "," 	7,120 "," 	8,243 "," 	12,539 "," 	7,660 "," 	12,449 "," 	16,524 "," 	14,590 "," 	9,821 "," 	10,020 "," 	5,694 "," 	9,572 "," 	7,898 "," 	5,257 "," 	3,887 "," 	6,103 "," 	7,942 "," 	8,099 "," 	12,510 "," 	13,119 "," 	9,557 "," 	8,466 "," 	13,647 "," 	21,741 "," 	3,458 ", 	741 ," 	4,468 "," 	5,501 "," 	12,622 "," 	18,241 "," 	11,904 "," 	12,479 "," 	13,599 "," 	5,254 "," 	5,549 "," 	19,493 "," 	2,562 "," 	6,044 "," 	4,390 "," 	4,031 "," 	6,509 "," 	7,116 "," 	7,286 "," 	1,548 "," 	2,744 "," 	3,628 "," 	4,284 ", 	981 ," 	6,584 "," 	420,668 ",,,,,,,,,,,,,
MT," 	5,103 "," 	8,884 "," 	5,471 "," 	5,830 "," 	9,136 "," 	5,748 "," 	9,989 "," 	12,413 "," 	10,893 "," 	7,669 "," 	8,388 "," 	4,484 "," 	7,768 "," 	7,016 "," 	3,819 "," 	3,406 "," 	4,424 "," 	5,049 "," 	6,311 "," 	8,735 "," 	8,407 "," 	6,256 "," 	5,033 "," 	8,921 "," 	15,025 "," 	1,073 "," 	1,772 "," 	1,189 "," 	3,748 "," 	11,045 "," 	18,099 "," 	12,620 "," 	16,093 "," 	16,266 "," 	5,703 "," 	4,142 "," 	10,870 "," 	1,672 "," 	5,151 "," 	4,898 "," 	4,374 "," 	6,891 "," 	7,571 "," 	4,113 ", 	996 ," 	2,194 "," 	3,026 "," 	3,242 ", 	916 ," 	4,896 "," 	336,738 ",,,,,,,,,,,,,
PL," 	5,940 "," 	9,567 "," 	3,904 "," 	3,505 "," 	7,643 "," 	3,958 "," 	7,681 "," 	9,064 "," 	9,735 "," 	6,579 "," 	8,755 "," 	5,489 "," 	6,735 "," 	6,327 "," 	2,981 "," 	2,316 "," 	2,852 "," 	2,669 "," 	4,885 "," 	4,380 "," 	4,646 "," 	2,122 "," 	2,042 "," 	4,916 "," 	13,312 "," 	5,254 "," 	1,452 "," 	2,808 "," 	3,238 "," 	14,931 "," 	18,319 "," 	12,083 "," 	19,914 "," 	15,156 "," 	5,209 "," 	2,721 "," 	6,957 "," 	1,307 "," 	5,371 "," 	4,483 "," 	3,994 "," 	19,345 "," 	5,716 "," 	2,227 "," 	1,319 "," 	1,279 "," 	1,734 "," 	2,115 "," 	1,150 "," 	4,192 "," 	304,277 ",,,,,,,,,,,,,
CC," 	4,048 "," 	7,164 "," 	3,638 "," 	4,734 "," 	6,184 "," 	4,502 "," 	7,975 "," 	8,511 "," 	7,273 "," 	5,575 "," 	9,007 "," 	3,970 "," 	5,326 "," 	4,332 "," 	2,501 "," 	2,148 "," 	2,505 "," 	2,471 "," 	4,285 "," 	3,766 "," 	3,875 "," 	2,468 "," 	2,094 "," 	5,705 "," 	11,204 "," 	5,019 "," 	3,490 "," 	3,113 "," 	1,908 "," 	7,535 "," 	10,288 "," 	7,583 "," 	10,478 "," 	10,880 "," 	4,078 "," 	2,699 "," 	5,675 "," 	1,503 "," 	3,121 "," 	3,790 "," 	3,795 "," 	6,231 "," 	6,439 "," 	1,941 ", 	581 ," 	1,192 "," 	1,420 "," 	1,887 ", 	806 ," 	3,741 "," 	234,454 ",,,,,,,,,,,,,
16," 	2,186 "," 	3,048 "," 	1,533 "," 	2,296 "," 	3,738 "," 	2,888 "," 	5,056 "," 	5,729 "," 	4,317 "," 	3,117 "," 	3,795 "," 	1,841 "," 	1,988 "," 	1,568 ", 	943 , 	693 , 	869 , 	785 ," 	1,492 "," 	1,333 "," 	1,402 ", 	710 , 	664 ," 	2,475 "," 	6,275 "," 	12,351 "," 	11,096 "," 	16,440 "," 	9,271 ", 	860 ," 	2,746 "," 	4,730 "," 	6,580 "," 	6,139 "," 	2,765 ", 	779 ," 	1,541 ", 	496 ," 	1,431 "," 	2,031 "," 	2,106 "," 	4,524 "," 	3,281 ", 	820 , 	289 , 	491 , 	404 , 	709 , 	324 ," 	1,410 "," 	154,355 ",,,,,,,,,,,,,
24," 	2,528 "," 	2,634 "," 	1,013 "," 	1,235 "," 	2,760 "," 	1,472 "," 	3,007 "," 	3,397 "," 	3,134 "," 	1,921 "," 	2,694 "," 	1,702 "," 	1,358 ", 	938 , 	610 , 	655 , 	440 , 	428 ," 	1,065 ", 	747 , 	711 , 	433 , 	337 ," 	1,354 "," 	3,634 "," 	16,066 "," 	15,302 "," 	21,346 "," 	11,504 "," 	2,592 ", 	788 ," 	4,135 "," 	4,640 "," 	4,613 "," 	2,235 ", 	442 , 	993 , 	441 ," 	1,207 "," 	1,596 "," 	1,940 "," 	2,983 "," 	2,669 ", 	373 , 	309 , 	265 , 	258 , 	350 , 	236 , 	940 ," 	138,430 ",,,,,,,,,,,,,
GP, 	719 , 	831 , 	366 , 	540 ," 	1,427 ", 	505 ," 	1,008 "," 	1,506 "," 	1,555 ", 	795 , 	904 , 	765 , 	524 , 	412 , 	298 , 	131 , 	211 , 	202 , 	530 , 	410 , 	354 , 	244 , 	217 , 	659 , 	917 ," 	10,956 "," 	10,457 "," 	12,964 "," 	7,342 "," 	4,722 "," 	3,912 ", 	457 ," 	1,045 "," 	1,190 ", 	933 , 	197 , 	546 , 	89 , 	432 , 	704 , 	915 ," 	2,110 "," 	1,526 ", 	209 , 	198 , 	134 , 	143 , 	128 , 	100 , 	583 ," 	78,022 ",,,,,,,,,,,,,
BP, 	666 , 	836 , 	294 , 	237 , 	746 , 	280 , 	632 ," 	1,016 "," 	1,483 ", 	696 , 	962 , 	669 , 	649 , 	452 , 	303 , 	166 , 	184 , 	150 , 	400 , 	291 , 	333 , 	166 , 	73 , 	288 , 	805 ," 	10,361 "," 	10,666 "," 	22,396 "," 	9,303 "," 	5,510 "," 	4,553 ", 	997 , 	305 ," 	1,075 "," 	1,194 ", 	215 , 	424 , 	129 , 	433 , 	848 ," 	1,412 "," 	1,740 "," 	1,669 ", 	232 , 	143 , 	124 , 	164 , 	171 , 	157 , 	417 ," 	87,415 ",,,,,,,,,,,,,
DC, 	666 ," 	1,102 ", 	357 , 	241 , 	961 , 	239 , 	681 ," 	1,202 "," 	1,571 ", 	647 , 	895 ," 	1,229 ", 	729 , 	469 , 	347 , 	184 , 	356 , 	272 , 	576 , 	419 , 	485 , 	103 , 	145 , 	297 , 	709 ," 	12,860 "," 	14,234 "," 	18,058 "," 	11,847 "," 	6,472 "," 	4,857 "," 	1,383 "," 	1,430 ", 	640 , 	594 , 	235 , 	763 , 	139 , 	449 ," 	1,205 "," 	1,782 "," 	3,996 "," 	3,062 ", 	319 , 	166 , 	192 , 	168 , 	200 , 	139 , 	416 ," 	100,488 ",,,,,,,,,,,,,
CM, 	261 , 	304 , 	97 , 	107 , 	365 , 	71 , 	287 , 	354 , 	766 , 	140 , 	168 , 	129 , 	109 , 	104 , 	102 , 	54 , 	59 , 	87 , 	193 , 	113 , 	172 , 	71 , 	31 , 	52 , 	197 ," 	4,995 "," 	4,812 "," 	6,229 "," 	4,029 "," 	2,503 "," 	2,122 ", 	980 ," 	1,087 ", 	439 , 	213 , 	48 , 	115 , 	67 , 	206 , 	272 , 	777 ," 	1,903 "," 	1,274 ", 	24 , 	14 , 	18 , 	39 , 	16 , 	82 , 	307 ," 	36,964 ",,,,,,,,,,,,,
CV, 	103 , 	78 , 	85 , 	46 , 	412 , 	85 , 	192 , 	408 , 	358 ," 	1,380 ", 	864 ," 	1,246 ", 	894 , 	629 , 	265 , 	234 , 	255 , 	267 , 	75 , 	44 , 	76 , 	6 , 	17 , 	88 , 	265 ," 	4,837 "," 	3,676 "," 	3,293 "," 	2,872 ", 	810 , 	503 , 	174 , 	224 , 	236 , 	51 , 	230 ," 	1,605 ", 	17 , 	37 , 	55 , 	76 , 	270 , 	81 ," 	1,057 ", 	99 , 	169 , 	119 , 	90 , 	4 , 	12 ," 	28,969 ",,,,,,,,,,,,,
