Exit stations,Entry stations->,,SUNDAY,,,Jun 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
16, 	39 , 	48 , 	30 , 	52 , 	92 , 	65 , 	106 , 	109 , 	77 , 	72 , 	64 , 	33 , 	25 , 	25 , 	12 , 	7 , 	12 , 	14 , 	22 , 	21 , 	18 , 	15 , 	8 , 	61 , 	135 , 	168 , 	138 , 	466 , 	465 , 	34 , 	61 , 	85 , 	93 , 	132 , 	53 , 	12 , 	32 , 	4 , 	9 , 	38 , 	47 , 	132 , 	89 , 	13 , 	11 , 	13 , 	10 , 	26 , 	1 , 	11 ," 	3,299 ",,,,,,,,,,,
24, 	46 , 	43 , 	19 , 	24 , 	59 , 	38 , 	77 , 	64 , 	54 , 	51 , 	51 , 	33 , 	23 , 	16 , 	12 , 	13 , 	7 , 	10 , 	13 , 	12 , 	16 , 	10 , 	7 , 	39 , 	85 , 	220 , 	147 , 	572 , 	434 , 	53 , 	34 , 	96 , 	79 , 	106 , 	41 , 	9 , 	23 , 	5 , 	14 , 	33 , 	45 , 	103 , 	76 , 	7 , 	11 , 	4 , 	8 , 	18 , 	2 , 	8 ," 	2,967 ",,,,,,,,,,,
GP, 	11 , 	14 , 	9 , 	11 , 	32 , 	15 , 	19 , 	20 , 	18 , 	14 , 	20 , 	16 , 	5 , 	7 , 	2 , 	3 , 	4 , 	3 , 	8 , 	6 , 	5 , 	6 , 	3 , 	16 , 	16 , 	142 , 	98 , 	299 , 	219 , 	94 , 	74 , 	14 , 	12 , 	21 , 	18 , 	4 , 	15 , 	3 , 	7 , 	10 , 	15 , 	69 , 	26 , 	4 , 	5 , 	2 , 	5 , 	7 , 	1 , 	5 ," 	1,447 ",,,,,,,,,,,
BP, 	10 , 	14 , 	7 , 	6 , 	13 , 	7 , 	14 , 	15 , 	18 , 	18 , 	12 , 	11 , 	13 , 	10 , 	4 , 	4 , 	3 , 	2 , 	6 , 	3 , 	4 , 	3 , 	1 , 	6 , 	18 , 	126 , 	110 , 	472 , 	197 , 	93 , 	78 , 	15 , 	10 , 	26 , 	27 , 	3 , 	9 , 	1 , 	9 , 	12 , 	33 , 	55 , 	29 , 	2 , 	5 , 	3 , 	5 , 	10 , 	2 , 	6 ," 	1,553 ",,,,,,,,,,,
DC, 	12 , 	17 , 	8 , 	8 , 	19 , 	8 , 	14 , 	21 , 	14 , 	13 , 	18 , 	16 , 	9 , 	10 , 	7 , 	5 , 	4 , 	6 , 	11 , 	8 , 	10 , 	2 , 	2 , 	9 , 	19 , 	166 , 	144 , 	492 , 	447 , 	162 , 	116 , 	25 , 	28 , 	22 , 	20 , 	7 , 	17 , 	1 , 	10 , 	18 , 	31 , 	120 , 	56 , 	5 , 	6 , 	7 , 	4 , 	9 , 	2 , 	7 ," 	2,188 ",,,,,,,,,,,
CM, 	4 , 	12 , 	3 , 	2 , 	5 , 	1 , 	4 , 	5 , 	9 , 	3 , 	2 , 	2 , 	2 , 	3 , 	2 , 	2 , 	0 , 	2 , 	2 , 	2 , 	2 , 	1 , 	1 , 	2 , 	5 , 	44 , 	32 , 	126 , 	107 , 	45 , 	38 , 	21 , 	24 , 	12 , 	8 , 	0 , 	1 , 	1 , 	4 , 	3 , 	13 , 	50 , 	14 , 	1 , 	0 , 	-   , 	2 , 	1 , 	0 , 	3 , 	623 ,,,,,,,,,,,
CV, 	2 , 	1 , 	2 , 	1 , 	6 , 	2 , 	2 , 	4 , 	4 , 	30 , 	18 , 	28 , 	17 , 	12 , 	3 , 	5 , 	3 , 	4 , 	1 , 	1 , 	1 , 	-   , 	0 , 	1 , 	5 , 	78 , 	46 , 	77 , 	83 , 	17 , 	11 , 	4 , 	4 , 	4 , 	1 , 	9 , 	30 , 	0 , 	1 , 	2 , 	1 , 	7 , 	-   , 	26 , 	2 , 	0 , 	3 , 	2 , 	-   , 	-   , 	553 ,,,,,,,,,,,
ED, 	6 , 	7 , 	1 , 	4 , 	23 , 	6 , 	6 , 	8 , 	9 , 	34 , 	30 , 	87 , 	27 , 	32 , 	21 , 	9 , 	13 , 	13 , 	2 , 	1 , 	2 , 	1 , 	0 , 	3 , 	14 , 	379 , 	175 , 	270 , 	318 , 	52 , 	22 , 	16 , 	10 , 	14 , 	1 , 	29 , 	60 , 	0 , 	2 , 	1 , 	2 , 	65 , 	3 , 	13 , 	26 , 	5 , 	15 , 	12 , 	2 , 	1 ," 	1,843 ",,,,,,,,,,,
NC, 	1 , 	2 , 	0 , 	1 , 	2 , 	1 , 	3 , 	3 , 	2 , 	0 , 	1 , 	5 , 	1 , 	2 , 	-   , 	1 , 	0 , 	0 , 	9 , 	4 , 	9 , 	3 , 	2 , 	3 , 	0 , 	36 , 	13 , 	36 , 	48 , 	10 , 	2 , 	1 , 	2 , 	3 , 	0 , 	-   , 	1 , 	10 , 	8 , 	1 , 	2 , 	11 , 	0 , 	-   , 	4 , 	0 , 	0 , 	2 , 	2 , 	7 , 	249 ,,,,,,,,,,,
WP, 	3 , 	4 , 	1 , 	1 , 	3 , 	3 , 	12 , 	10 , 	8 , 	4 , 	5 , 	8 , 	3 , 	3 , 	2 , 	1 , 	2 , 	3 , 	57 , 	23 , 	41 , 	4 , 	5 , 	9 , 	2 , 	65 , 	39 , 	95 , 	68 , 	15 , 	15 , 	5 , 	7 , 	3 , 	5 , 	1 , 	3 , 	7 , 	12 , 	3 , 	2 , 	38 , 	2 , 	1 , 	5 , 	2 , 	1 , 	4 , 	3 , 	9 , 	619 ,,,,,,,,,,,
SS, 	7 , 	5 , 	1 , 	3 , 	3 , 	1 , 	5 , 	4 , 	3 , 	3 , 	4 , 	3 , 	1 , 	2 , 	1 , 	-   , 	2 , 	1 , 	3 , 	3 , 	4 , 	1 , 	-   , 	2 , 	3 , 	43 , 	32 , 	113 , 	102 , 	39 , 	29 , 	12 , 	12 , 	26 , 	4 , 	1 , 	1 , 	2 , 	3 , 	9 , 	11 , 	24 , 	10 , 	-   , 	0 , 	1 , 	1 , 	0 , 	0 , 	3 , 	539 ,,,,,,,,,,,
SB, 	10 , 	4 , 	3 , 	2 , 	7 , 	2 , 	5 , 	6 , 	11 , 	4 , 	4 , 	4 , 	2 , 	2 , 	1 , 	0 , 	2 , 	1 , 	5 , 	4 , 	5 , 	2 , 	0 , 	3 , 	5 , 	52 , 	46 , 	134 , 	159 , 	55 , 	50 , 	18 , 	31 , 	27 , 	12 , 	1 , 	2 , 	0 , 	5 , 	12 , 	9 , 	57 , 	14 , 	1 , 	1 , 	1 , 	1 , 	2 , 	1 , 	3 , 	785 ,,,,,,,,,,,
SO, 	33 , 	32 , 	31 , 	41 , 	62 , 	19 , 	44 , 	32 , 	46 , 	11 , 	17 , 	9 , 	7 , 	5 , 	4 , 	2 , 	3 , 	8 , 	34 , 	38 , 	53 , 	35 , 	22 , 	68 , 	44 , 	175 , 	148 , 	629 , 	145 , 	100 , 	61 , 	35 , 	33 , 	87 , 	31 , 	4 , 	46 , 	10 , 	21 , 	14 , 	26 , 	76 , 	121 , 	7 , 	11 , 	2 , 	4 , 	4 , 	5 , 	27 ," 	2,516 ",,,,,,,,,,,
MB, 	9 , 	7 , 	5 , 	8 , 	30 , 	11 , 	12 , 	15 , 	15 , 	4 , 	4 , 	7 , 	1 , 	2 , 	1 , 	1 , 	1 , 	1 , 	2 , 	2 , 	4 , 	1 , 	1 , 	7 , 	10 , 	140 , 	101 , 	264 , 	474 , 	132 , 	63 , 	25 , 	33 , 	50 , 	13 , 	1 , 	4 , 	1 , 	2 , 	7 , 	13 , 	244 , 	43 , 	1 , 	2 , 	-   , 	-   , 	1 , 	2 , 	2 ," 	1,775 ",,,,,,,,,,,
WD, 	3 , 	3 , 	2 , 	1 , 	8 , 	1 , 	2 , 	2 , 	2 , 	9 , 	20 , 	36 , 	19 , 	20 , 	8 , 	9 , 	6 , 	4 , 	1 , 	2 , 	1 , 	-   , 	-   , 	1 , 	6 , 	101 , 	44 , 	69 , 	73 , 	21 , 	10 , 	5 , 	3 , 	4 , 	2 , 	25 , 	15 , 	-   , 	1 , 	-   , 	1 , 	16 , 	1 , 	12 , 	10 , 	5 , 	4 , 	7 , 	-   , 	0 , 	588 ,,,,,,,,,,,
