Exit stations,Entry stations->,,SATURDAY,,,Jun 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RR, 	10 , 	12 , 	12 , 	7 , 	10 , 	5 , 	23 , 	48 , 	46 , 	5 , 	24 , 	12 , 	10 , 	8 , 	3 , 	2 , 	3 , 	5 , 	22 , 	27 , 	49 , 	20 , 	16 , 	16 , 	17 , 	254 , 	153 , 	189 , 	189 , 	140 , 	57 , 	22 , 	9 , 	11 , 	3 , 	2 , 	3 , 	3 , 	10 , 	3 , 	2 , 	82 , 	6 , 	0 , 	9 , 	1 , 	3 , 	6 , 	4 , 	9 ," 	1,576 ",,,,,,,,,,
OW, 	9 , 	7 , 	3 , 	5 , 	20 , 	10 , 	21 , 	30 , 	32 , 	7 , 	51 , 	24 , 	16 , 	17 , 	13 , 	3 , 	3 , 	4 , 	10 , 	5 , 	9 , 	2 , 	2 , 	14 , 	17 , 	384 , 	266 , 	460 , 	297 , 	275 , 	122 , 	25 , 	21 , 	22 , 	4 , 	2 , 	15 , 	1 , 	8 , 	5 , 	8 , 	50 , 	9 , 	3 , 	6 , 	4 , 	4 , 	6 , 	3 , 	3 ," 	2,330 ",,,,,,,,,,
EM, 	108 , 	202 , 	148 , 	162 , 	377 , 	130 , 	253 , 	296 , 	254 , 	185 , 	178 , 	94 , 	148 , 	137 , 	76 , 	59 , 	100 , 	113 , 	121 , 	151 , 	210 , 	129 , 	105 , 	315 , 	477 , 	126 , 	16 , 	126 , 	122 , 	276 , 	326 , 	193 , 	213 , 	205 , 	55 , 	84 , 	411 , 	37 , 	77 , 	55 , 	64 , 	193 , 	163 , 	115 , 	30 , 	48 , 	103 , 	115 , 	12 , 	65 ," 	7,753 ",,,,,,,,,,
MT, 	89 , 	148 , 	93 , 	113 , 	263 , 	110 , 	203 , 	235 , 	207 , 	134 , 	151 , 	72 , 	112 , 	113 , 	47 , 	42 , 	59 , 	71 , 	79 , 	80 , 	97 , 	64 , 	45 , 	181 , 	317 , 	26 , 	56 , 	24 , 	62 , 	198 , 	270 , 	154 , 	247 , 	212 , 	71 , 	65 , 	150 , 	16 , 	51 , 	55 , 	52 , 	195 , 	149 , 	54 , 	17 , 	35 , 	66 , 	81 , 	8 , 	31 ," 	5,460 ",,,,,,,,,,
PL, 	152 , 	242 , 	113 , 	104 , 	257 , 	119 , 	210 , 	263 , 	266 , 	194 , 	223 , 	136 , 	175 , 	164 , 	67 , 	53 , 	71 , 	81 , 	98 , 	105 , 	123 , 	64 , 	52 , 	162 , 	456 , 	129 , 	22 , 	131 , 	125 , 	574 , 	588 , 	334 , 	552 , 	429 , 	136 , 	60 , 	215 , 	34 , 	103 , 	103 , 	141 , 	609 , 	241 , 	68 , 	40 , 	38 , 	78 , 	101 , 	14 , 	70 ," 	8,879 ",,,,,,,,,,
CC, 	90 , 	142 , 	81 , 	121 , 	209 , 	112 , 	217 , 	243 , 	173 , 	137 , 	206 , 	93 , 	95 , 	90 , 	49 , 	36 , 	55 , 	66 , 	75 , 	82 , 	113 , 	82 , 	59 , 	200 , 	356 , 	109 , 	48 , 	124 , 	83 , 	252 , 	284 , 	150 , 	165 , 	278 , 	80 , 	62 , 	151 , 	25 , 	47 , 	75 , 	87 , 	175 , 	237 , 	52 , 	15 , 	29 , 	59 , 	90 , 	10 , 	37 ," 	5,898 ",,,,,,,,,,
16, 	56 , 	84 , 	52 , 	102 , 	186 , 	149 , 	259 , 	244 , 	150 , 	131 , 	127 , 	47 , 	50 , 	39 , 	21 , 	17 , 	24 , 	27 , 	29 , 	33 , 	46 , 	23 , 	23 , 	144 , 	316 , 	247 , 	173 , 	594 , 	316 , 	50 , 	85 , 	133 , 	155 , 	204 , 	65 , 	23 , 	53 , 	9 , 	23 , 	57 , 	67 , 	142 , 	168 , 	21 , 	6 , 	13 , 	23 , 	46 , 	4 , 	14 ," 	5,063 ",,,,,,,,,,
24, 	66 , 	64 , 	26 , 	52 , 	84 , 	47 , 	108 , 	110 , 	81 , 	68 , 	82 , 	30 , 	33 , 	25 , 	18 , 	16 , 	16 , 	19 , 	23 , 	17 , 	23 , 	12 , 	10 , 	64 , 	147 , 	298 , 	210 , 	692 , 	324 , 	80 , 	44 , 	109 , 	120 , 	141 , 	64 , 	13 , 	27 , 	7 , 	26 , 	35 , 	56 , 	82 , 	92 , 	10 , 	8 , 	6 , 	14 , 	16 , 	5 , 	12 ," 	3,725 ",,,,,,,,,,
GP, 	9 , 	15 , 	5 , 	17 , 	49 , 	15 , 	26 , 	29 , 	24 , 	19 , 	15 , 	12 , 	8 , 	9 , 	7 , 	5 , 	6 , 	4 , 	7 , 	6 , 	10 , 	7 , 	7 , 	16 , 	24 , 	183 , 	114 , 	370 , 	138 , 	120 , 	96 , 	24 , 	18 , 	25 , 	21 , 	4 , 	16 , 	5 , 	6 , 	19 , 	25 , 	62 , 	48 , 	5 , 	6 , 	2 , 	6 , 	5 , 	1 , 	7 ," 	1,673 ",,,,,,,,,,
BP, 	19 , 	19 , 	8 , 	7 , 	22 , 	5 , 	11 , 	22 , 	26 , 	13 , 	20 , 	9 , 	17 , 	12 , 	5 , 	3 , 	6 , 	3 , 	7 , 	6 , 	4 , 	3 , 	2 , 	8 , 	19 , 	167 , 	129 , 	620 , 	154 , 	125 , 	104 , 	19 , 	16 , 	25 , 	25 , 	4 , 	14 , 	2 , 	7 , 	20 , 	36 , 	54 , 	34 , 	4 , 	5 , 	2 , 	3 , 	9 , 	2 , 	11 ," 	1,861 ",,,,,,,,,,
DC, 	16 , 	25 , 	8 , 	7 , 	29 , 	8 , 	13 , 	23 , 	26 , 	18 , 	24 , 	17 , 	17 , 	10 , 	8 , 	6 , 	5 , 	8 , 	13 , 	9 , 	11 , 	4 , 	3 , 	12 , 	25 , 	187 , 	151 , 	534 , 	286 , 	190 , 	139 , 	35 , 	33 , 	32 , 	21 , 	3 , 	21 , 	3 , 	7 , 	19 , 	49 , 	131 , 	60 , 	7 , 	4 , 	10 , 	5 , 	8 , 	3 , 	8 ," 	2,284 ",,,,,,,,,,
