Exit stations,Entry stations->,,SUNDAY,,,Dec 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	13 , 	23 , 	20 , 	10 , 	55 , 	15 , 	23 , 	13 , 	18 , 	9 , 	21 , 	10 , 	8 , 	4 , 	4 , 	2 , 	2 , 	2 , 	3 , 	3 , 	4 , 	3 , 	2 , 	4 , 	6 , 	35 , 	20 , 	96 , 	30 , 	22 , 	29 , 	7 , 	11 , 	7 , 	2 , 	3 , 	3 , 	1 , 	4 , 	3 , 	6 , 	13 , 	1 , 	-   , 	6 , 	3 , 	2 , 	5 , 	3 , 	3 , 	585 ,,,,,,,,,,,
CL, 	11 , 	16 , 	5 , 	3 , 	17 , 	6 , 	16 , 	15 , 	16 , 	20 , 	32 , 	8 , 	16 , 	31 , 	16 , 	11 , 	6 , 	6 , 	6 , 	4 , 	3 , 	1 , 	-   , 	1 , 	15 , 	39 , 	23 , 	92 , 	30 , 	18 , 	18 , 	6 , 	8 , 	3 , 	1 , 	5 , 	16 , 	1 , 	6 , 	1 , 	2 , 	9 , 	1 , 	10 , 	29 , 	8 , 	6 , 	4 , 	3 , 	6 , 	619 ,,,,,,,,,,,
SL, 	9 , 	10 , 	6 , 	4 , 	16 , 	6 , 	18 , 	24 , 	18 , 	31 , 	36 , 	17 , 	12 , 	38 , 	21 , 	13 , 	14 , 	16 , 	3 , 	2 , 	5 , 	2 , 	1 , 	3 , 	8 , 	44 , 	35 , 	109 , 	37 , 	16 , 	16 , 	4 , 	7 , 	8 , 	1 , 	13 , 	28 , 	2 , 	2 , 	1 , 	3 , 	11 , 	2 , 	18 , 	6 , 	12 , 	12 , 	18 , 	1 , 	2 , 	729 ,,,,,,,,,,,
BF, 	5 , 	10 , 	3 , 	5 , 	14 , 	7 , 	14 , 	15 , 	28 , 	38 , 	66 , 	36 , 	35 , 	17 , 	27 , 	12 , 	14 , 	16 , 	6 , 	1 , 	4 , 	1 , 	3 , 	1 , 	6 , 	40 , 	32 , 	110 , 	32 , 	16 , 	8 , 	5 , 	6 , 	6 , 	3 , 	7 , 	27 , 	1 , 	5 , 	1 , 	2 , 	10 , 	1 , 	21 , 	2 , 	13 , 	11 , 	9 , 	1 , 	2 , 	750 ,,,,,,,,,,,
HY, 	5 , 	6 , 	4 , 	3 , 	15 , 	3 , 	12 , 	12 , 	18 , 	9 , 	37 , 	17 , 	21 , 	25 , 	9 , 	17 , 	21 , 	20 , 	4 , 	2 , 	1 , 	1 , 	1 , 	3 , 	4 , 	25 , 	8 , 	33 , 	11 , 	3 , 	9 , 	2 , 	3 , 	3 , 	2 , 	3 , 	8 , 	-   , 	2 , 	1 , 	1 , 	5 , 	-   , 	9 , 	6 , 	16 , 	16 , 	13 , 	1 , 	2 , 	443 ,,,,,,,,,,,
SH, 	2 , 	4 , 	3 , 	2 , 	4 , 	4 , 	3 , 	5 , 	6 , 	6 , 	16 , 	9 , 	13 , 	15 , 	12 , 	5 , 	6 , 	10 , 	4 , 	2 , 	1 , 	-   , 	0 , 	2 , 	1 , 	9 , 	9 , 	37 , 	10 , 	5 , 	5 , 	2 , 	2 , 	3 , 	1 , 	6 , 	4 , 	1 , 	1 , 	1 , 	1 , 	6 , 	0 , 	4 , 	2 , 	7 , 	7 , 	12 , 	0 , 	2 , 	267 ,,,,,,,,,,,
UC, 	3 , 	6 , 	2 , 	3 , 	13 , 	7 , 	6 , 	8 , 	6 , 	11 , 	14 , 	7 , 	14 , 	12 , 	21 , 	6 , 	6 , 	11 , 	3 , 	2 , 	3 , 	1 , 	1 , 	1 , 	3 , 	26 , 	13 , 	40 , 	17 , 	6 , 	3 , 	3 , 	2 , 	3 , 	1 , 	4 , 	8 , 	-   , 	1 , 	1 , 	-   , 	7 , 	-   , 	2 , 	6 , 	11 , 	14 , 	14 , 	1 , 	2 , 	348 ,,,,,,,,,,,
FM, 	6 , 	6 , 	1 , 	4 , 	20 , 	3 , 	5 , 	7 , 	11 , 	8 , 	19 , 	8 , 	16 , 	16 , 	26 , 	8 , 	15 , 	9 , 	3 , 	3 , 	3 , 	0 , 	0 , 	3 , 	3 , 	24 , 	16 , 	44 , 	20 , 	6 , 	3 , 	2 , 	4 , 	3 , 	2 , 	3 , 	8 , 	1 , 	2 , 	0 , 	2 , 	6 , 	1 , 	1 , 	7 , 	13 , 	20 , 	12 , 	1 , 	2 , 	400 ,,,,,,,,,,,
CN, 	4 , 	6 , 	3 , 	3 , 	5 , 	2 , 	11 , 	11 , 	12 , 	2 , 	7 , 	10 , 	3 , 	6 , 	3 , 	2 , 	3 , 	3 , 	9 , 	16 , 	49 , 	26 , 	5 , 	18 , 	2 , 	37 , 	34 , 	79 , 	30 , 	13 , 	14 , 	3 , 	6 , 	6 , 	3 , 	0 , 	2 , 	5 , 	28 , 	1 , 	2 , 	32 , 	2 , 	1 , 	9 , 	3 , 	2 , 	3 , 	23 , 	17 , 	569 ,,,,,,,,,,,
PH, 	2 , 	5 , 	2 , 	1 , 	10 , 	2 , 	8 , 	9 , 	9 , 	1 , 	5 , 	6 , 	2 , 	3 , 	2 , 	2 , 	2 , 	1 , 	13 , 	8 , 	32 , 	7 , 	3 , 	13 , 	2 , 	26 , 	26 , 	84 , 	41 , 	19 , 	8 , 	5 , 	3 , 	7 , 	2 , 	1 , 	1 , 	3 , 	16 , 	2 , 	1 , 	40 , 	2 , 	-   , 	14 , 	0 , 	3 , 	2 , 	6 , 	8 , 	462 ,,,,,,,,,,,
WC, 	5 , 	11 , 	2 , 	2 , 	11 , 	3 , 	16 , 	14 , 	13 , 	2 , 	6 , 	2 , 	5 , 	4 , 	2 , 	2 , 	3 , 	1 , 	66 , 	30 , 	12 , 	12 , 	8 , 	21 , 	4 , 	53 , 	43 , 	95 , 	45 , 	17 , 	13 , 	7 , 	5 , 	8 , 	1 , 	0 , 	1 , 	9 , 	22 , 	4 , 	2 , 	47 , 	3 , 	0 , 	11 , 	0 , 	1 , 	3 , 	11 , 	16 , 	669 ,,,,,,,,,,,
LF, 	3 , 	2 , 	3 , 	1 , 	4 , 	1 , 	7 , 	11 , 	4 , 	0 , 	3 , 	1 , 	1 , 	2 , 	1 , 	1 , 	1 , 	0 , 	33 , 	8 , 	11 , 	4 , 	4 , 	13 , 	0 , 	25 , 	25 , 	50 , 	29 , 	9 , 	5 , 	3 , 	1 , 	2 , 	1 , 	-   , 	0 , 	2 , 	5 , 	1 , 	2 , 	24 , 	2 , 	-   , 	4 , 	-   , 	3 , 	2 , 	4 , 	2 , 	315 ,,,,,,,,,,,
OR, 	2 , 	1 , 	0 , 	1 , 	6 , 	1 , 	3 , 	9 , 	3 , 	0 , 	4 , 	0 , 	0 , 	2 , 	1 , 	0 , 	0 , 	1 , 	6 , 	3 , 	7 , 	4 , 	4 , 	7 , 	0 , 	21 , 	18 , 	45 , 	23 , 	11 , 	8 , 	2 , 	2 , 	2 , 	0 , 	-   , 	0 , 	1 , 	1 , 	-   , 	-   , 	17 , 	0 , 	-   , 	2 , 	-   , 	-   , 	1 , 	2 , 	1 , 	220 ,,,,,,,,,,,
RR, 	7 , 	4 , 	8 , 	2 , 	4 , 	4 , 	14 , 	22 , 	18 , 	4 , 	10 , 	1 , 	3 , 	4 , 	2 , 	1 , 	2 , 	3 , 	22 , 	13 , 	18 , 	12 , 	6 , 	13 , 	9 , 	70 , 	50 , 	133 , 	58 , 	34 , 	28 , 	14 , 	7 , 	5 , 	2 , 	1 , 	2 , 	1 , 	5 , 	1 , 	2 , 	34 , 	3 , 	2 , 	5 , 	1 , 	1 , 	3 , 	2 , 	6 , 	667 ,,,,,,,,,,,
OW, 	6 , 	4 , 	1 , 	2 , 	11 , 	5 , 	9 , 	9 , 	14 , 	4 , 	18 , 	9 , 	7 , 	7 , 	6 , 	1 , 	1 , 	2 , 	4 , 	3 , 	5 , 	1 , 	1 , 	9 , 	11 , 	102 , 	83 , 	228 , 	92 , 	64 , 	43 , 	11 , 	12 , 	10 , 	5 , 	3 , 	6 , 	1 , 	4 , 	2 , 	3 , 	30 , 	4 , 	4 , 	4 , 	2 , 	1 , 	3 , 	2 , 	5 , 	869 ,,,,,,,,,,,
EM, 	39 , 	54 , 	33 , 	46 , 	102 , 	36 , 	68 , 	71 , 	72 , 	53 , 	68 , 	44 , 	45 , 	49 , 	26 , 	13 , 	26 , 	25 , 	44 , 	39 , 	53 , 	29 , 	29 , 	80 , 	123 , 	49 , 	7 , 	54 , 	16 , 	73 , 	85 , 	47 , 	74 , 	52 , 	17 , 	27 , 	94 , 	9 , 	35 , 	16 , 	20 , 	79 , 	17 , 	33 , 	31 , 	9 , 	26 , 	18 , 	9 , 	27 ," 	2,184 ",,,,,,,,,,,
MT, 	36 , 	45 , 	31 , 	34 , 	75 , 	33 , 	63 , 	71 , 	64 , 	55 , 	65 , 	22 , 	43 , 	47 , 	12 , 	9 , 	21 , 	23 , 	37 , 	42 , 	45 , 	22 , 	18 , 	68 , 	108 , 	8 , 	30 , 	13 , 	13 , 	59 , 	70 , 	50 , 	91 , 	47 , 	20 , 	22 , 	59 , 	11 , 	27 , 	16 , 	17 , 	91 , 	12 , 	20 , 	18 , 	7 , 	15 , 	14 , 	6 , 	18 ," 	1,837 ",,,,,,,,,,,
PL, 	89 , 	127 , 	56 , 	61 , 	145 , 	46 , 	100 , 	111 , 	133 , 	96 , 	171 , 	73 , 	94 , 	87 , 	36 , 	35 , 	38 , 	36 , 	69 , 	74 , 	82 , 	47 , 	45 , 	102 , 	230 , 	43 , 	10 , 	106 , 	46 , 	253 , 	350 , 	165 , 	253 , 	231 , 	97 , 	47 , 	139 , 	27 , 	54 , 	45 , 	63 , 	271 , 	48 , 	36 , 	29 , 	17 , 	50 , 	30 , 	14 , 	37 ," 	4,638 ",,,,,,,,,,,
CC, 	27 , 	42 , 	34 , 	27 , 	60 , 	34 , 	81 , 	73 , 	63 , 	44 , 	105 , 	29 , 	34 , 	34 , 	9 , 	9 , 	13 , 	21 , 	27 , 	34 , 	48 , 	30 , 	17 , 	67 , 	104 , 	15 , 	12 , 	33 , 	58 , 	72 , 	96 , 	60 , 	70 , 	72 , 	35 , 	25 , 	54 , 	11 , 	19 , 	20 , 	36 , 	122 , 	19 , 	15 , 	15 , 	6 , 	13 , 	15 , 	2 , 	13 ," 	1,965 ",,,,,,,,,,,
16, 	31 , 	31 , 	12 , 	21 , 	42 , 	27 , 	52 , 	49 , 	48 , 	40 , 	51 , 	16 , 	15 , 	9 , 	6 , 	6 , 	5 , 	6 , 	17 , 	21 , 	18 , 	10 , 	11 , 	27 , 	74 , 	62 , 	50 , 	277 , 	92 , 	40 , 	34 , 	33 , 	56 , 	63 , 	32 , 	15 , 	25 , 	2 , 	12 , 	18 , 	37 , 	80 , 	19 , 	8 , 	6 , 	5 , 	9 , 	9 , 	5 , 	9 ," 	1,637 ",,,,,,,,,,,
24, 	32 , 	24 , 	11 , 	17 , 	28 , 	15 , 	40 , 	40 , 	25 , 	31 , 	45 , 	19 , 	17 , 	12 , 	9 , 	7 , 	9 , 	5 , 	11 , 	8 , 	8 , 	4 , 	7 , 	22 , 	52 , 	92 , 	66 , 	409 , 	114 , 	31 , 	57 , 	37 , 	47 , 	51 , 	30 , 	5 , 	17 , 	6 , 	10 , 	19 , 	33 , 	60 , 	20 , 	5 , 	13 , 	1 , 	8 , 	7 , 	3 , 	7 ," 	1,643 ",,,,,,,,,,,
GP, 	5 , 	10 , 	4 , 	5 , 	17 , 	4 , 	14 , 	12 , 	14 , 	8 , 	10 , 	4 , 	1 , 	4 , 	2 , 	1 , 	2 , 	2 , 	3 , 	6 , 	6 , 	4 , 	3 , 	11 , 	14 , 	44 , 	35 , 	183 , 	54 , 	39 , 	34 , 	21 , 	9 , 	11 , 	8 , 	2 , 	6 , 	2 , 	4 , 	4 , 	18 , 	37 , 	7 , 	1 , 	7 , 	1 , 	1 , 	2 , 	1 , 	5 , 	698 ,,,,,,,,,,,
BP, 	11 , 	7 , 	4 , 	4 , 	9 , 	4 , 	9 , 	9 , 	11 , 	8 , 	8 , 	4 , 	7 , 	8 , 	1 , 	1 , 	2 , 	2 , 	8 , 	2 , 	3 , 	2 , 	1 , 	7 , 	14 , 	68 , 	43 , 	320 , 	70 , 	44 , 	49 , 	6 , 	31 , 	10 , 	18 , 	2 , 	5 , 	1 , 	8 , 	7 , 	24 , 	41 , 	6 , 	1 , 	2 , 	1 , 	4 , 	4 , 	1 , 	4 , 	912 ,,,,,,,,,,,
DC, 	9 , 	8 , 	3 , 	3 , 	8 , 	3 , 	7 , 	13 , 	12 , 	7 , 	9 , 	4 , 	6 , 	4 , 	4 , 	3 , 	2 , 	3 , 	8 , 	5 , 	6 , 	2 , 	1 , 	5 , 	12 , 	47 , 	43 , 	301 , 	81 , 	63 , 	61 , 	12 , 	14 , 	21 , 	7 , 	3 , 	11 , 	3 , 	5 , 	8 , 	24 , 	76 , 	17 , 	3 , 	5 , 	4 , 	4 , 	3 , 	3 , 	6 , 	964 ,,,,,,,,,,,
CM, 	3 , 	5 , 	1 , 	0 , 	2 , 	0 , 	3 , 	3 , 	7 , 	1 , 	1 , 	1 , 	1 , 	2 , 	3 , 	0 , 	1 , 	2 , 	2 , 	2 , 	2 , 	0 , 	1 , 	2 , 	5 , 	15 , 	17 , 	104 , 	36 , 	30 , 	30 , 	9 , 	16 , 	10 , 	8 , 	1 , 	1 , 	1 , 	5 , 	2 , 	12 , 	57 , 	5 , 	1 , 	1 , 	-   , 	1 , 	1 , 	1 , 	3 , 	412 ,,,,,,,,,,,
CV, 	2 , 	2 , 	0 , 	-   , 	2 , 	1 , 	3 , 	0 , 	3 , 	11 , 	11 , 	6 , 	13 , 	10 , 	5 , 	3 , 	2 , 	2 , 	1 , 	1 , 	0 , 	-   , 	-   , 	1 , 	3 , 	26 , 	14 , 	52 , 	22 , 	10 , 	3 , 	3 , 	3 , 	4 , 	-   , 	4 , 	14 , 	-   , 	-   , 	-   , 	1 , 	4 , 	-   , 	18 , 	1 , 	0 , 	2 , 	2 , 	-   , 	0 , 	261 ,,,,,,,,,,,
ED, 	2 , 	2 , 	1 , 	3 , 	11 , 	3 , 	8 , 	5 , 	4 , 	27 , 	22 , 	10 , 	23 , 	22 , 	6 , 	7 , 	5 , 	8 , 	2 , 	2 , 	2 , 	0 , 	1 , 	3 , 	8 , 	80 , 	47 , 	164 , 	48 , 	20 , 	17 , 	9 , 	6 , 	13 , 	2 , 	15 , 	13 , 	-   , 	1 , 	2 , 	1 , 	31 , 	2 , 	5 , 	19 , 	4 , 	10 , 	9 , 	1 , 	1 , 	701 ,,,,,,,,,,,
NC, 	-   , 	0 , 	1 , 	0 , 	4 , 	1 , 	4 , 	3 , 	3 , 	-   , 	2 , 	0 , 	2 , 	1 , 	0 , 	-   , 	0 , 	1 , 	6 , 	2 , 	6 , 	2 , 	1 , 	2 , 	0 , 	7 , 	6 , 	30 , 	9 , 	2 , 	5 , 	1 , 	1 , 	2 , 	1 , 	-   , 	0 , 	2 , 	4 , 	-   , 	1 , 	10 , 	1 , 	-   , 	1 , 	0 , 	3 , 	1 , 	2 , 	4 , 	128 ,,,,,,,,,,,
WP, 	4 , 	3 , 	2 , 	1 , 	6 , 	1 , 	6 , 	8 , 	3 , 	2 , 	5 , 	5 , 	4 , 	1 , 	1 , 	2 , 	2 , 	3 , 	24 , 	12 , 	23 , 	6 , 	2 , 	4 , 	2 , 	28 , 	26 , 	63 , 	19 , 	9 , 	10 , 	3 , 	6 , 	5 , 	3 , 	1 , 	1 , 	5 , 	9 , 	2 , 	5 , 	22 , 	2 , 	-   , 	5 , 	2 , 	1 , 	1 , 	3 , 	6 , 	363 ,,,,,,,,,,,
SS, 	2 , 	4 , 	0 , 	1 , 	2 , 	1 , 	1 , 	2 , 	6 , 	2 , 	4 , 	1 , 	1 , 	1 , 	1 , 	0 , 	1 , 	0 , 	4 , 	2 , 	3 , 	1 , 	0 , 	2 , 	4 , 	15 , 	10 , 	62 , 	23 , 	15 , 	15 , 	8 , 	7 , 	8 , 	2 , 	1 , 	0 , 	-   , 	2 , 	6 , 	9 , 	24 , 	2 , 	-   , 	1 , 	-   , 	1 , 	1 , 	1 , 	3 , 	256 ,,,,,,,,,,,
SB, 	6 , 	6 , 	3 , 	4 , 	6 , 	-   , 	4 , 	3 , 	6 , 	2 , 	4 , 	3 , 	2 , 	3 , 	0 , 	2 , 	1 , 	1 , 	3 , 	2 , 	3 , 	2 , 	-   , 	2 , 	6 , 	18 , 	16 , 	76 , 	36 , 	35 , 	40 , 	21 , 	29 , 	26 , 	11 , 	1 , 	2 , 	0 , 	3 , 	8 , 	11 , 	24 , 	3 , 	-   , 	1 , 	0 , 	1 , 	1 , 	1 , 	3 , 	434 ,,,,,,,,,,,
SO, 	16 , 	20 , 	23 , 	21 , 	56 , 	12 , 	30 , 	20 , 	29 , 	7 , 	5 , 	5 , 	7 , 	8 , 	3 , 	6 , 	4 , 	2 , 	35 , 	27 , 	39 , 	22 , 	17 , 	49 , 	32 , 	67 , 	71 , 	316 , 	87 , 	58 , 	39 , 	28 , 	28 , 	52 , 	46 , 	2 , 	17 , 	8 , 	27 , 	20 , 	17 , 	33 , 	48 , 	6 , 	7 , 	1 , 	3 , 	1 , 	2 , 	21 ," 	1,494 ",,,,,,,,,,,
MB, 	3 , 	5 , 	3 , 	3 , 	9 , 	3 , 	5 , 	5 , 	5 , 	1 , 	2 , 	1 , 	1 , 	0 , 	1 , 	1 , 	1 , 	1 , 	1 , 	3 , 	2 , 	1 , 	1 , 	2 , 	3 , 	18 , 	10 , 	55 , 	25 , 	14 , 	15 , 	8 , 	8 , 	14 , 	4 , 	0 , 	1 , 	1 , 	2 , 	3 , 	2 , 	58 , 	10 , 	0 , 	-   , 	-   , 	0 , 	1 , 	-   , 	1 , 	304 ,,,,,,,,,,,
WD, 	-   , 	2 , 	1 , 	1 , 	6 , 	1 , 	3 , 	1 , 	1 , 	11 , 	19 , 	13 , 	16 , 	21 , 	9 , 	5 , 	2 , 	1 , 	1 , 	-   , 	0 , 	-   , 	-   , 	2 , 	5 , 	26 , 	20 , 	47 , 	17 , 	12 , 	6 , 	1 , 	2 , 	3 , 	0 , 	17 , 	9 , 	-   , 	1 , 	0 , 	-   , 	5 , 	1 , 	8 , 	10 , 	2 , 	3 , 	2 , 	0 , 	0 , 	307 ,,,,,,,,,,,
OA, 	4 , 	7 , 	6 , 	7 , 	34 , 	7 , 	7 , 	7 , 	6 , 	3 , 	6 , 	8 , 	2 , 	2 , 	3 , 	1 , 	3 , 	2 , 	7 , 	7 , 	9 , 	5 , 	2 , 	3 , 	3 , 	29 , 	21 , 	50 , 	14 , 	7 , 	7 , 	4 , 	3 , 	3 , 	1 , 	2 , 	13 , 	6 , 	4 , 	1 , 	1 , 	10 , 	1 , 	4 , 	7 , 	1 , 	6 , 	5 , 	1 , 	6 , 	352 ,,,,,,,,,,,
WS, 	5 , 	6 , 	3 , 	2 , 	11 , 	1 , 	2 , 	4 , 	7 , 	6 , 	11 , 	12 , 	11 , 	12 , 	11 , 	8 , 	9 , 	10 , 	3 , 	1 , 	1 , 	1 , 	-   , 	2 , 	3 , 	12 , 	8 , 	20 , 	8 , 	5 , 	3 , 	1 , 	1 , 	3 , 	-   , 	1 , 	3 , 	0 , 	3 , 	0 , 	-   , 	3 , 	0 , 	3 , 	3 , 	4 , 	16 , 	11 , 	0 , 	3 , 	248 ,,,,,,,,,,,
ML, 	5 , 	10 , 	2 , 	4 , 	25 , 	4 , 	6 , 	5 , 	7 , 	8 , 	12 , 	6 , 	10 , 	10 , 	12 , 	9 , 	16 , 	22 , 	3 , 	3 , 	2 , 	3 , 	1 , 	1 , 	1 , 	23 , 	15 , 	60 , 	20 , 	9 , 	8 , 	2 , 	2 , 	5 , 	2 , 	2 , 	9 , 	3 , 	1 , 	1 , 	-   , 	4 , 	-   , 	2 , 	7 , 	17 , 	9 , 	4 , 	1 , 	2 , 	389 ,,,,,,,,,,,
BE, 	7 , 	11 , 	3 , 	3 , 	34 , 	6 , 	11 , 	11 , 	9 , 	9 , 	17 , 	7 , 	14 , 	10 , 	15 , 	12 , 	10 , 	17 , 	3 , 	3 , 	1 , 	2 , 	1 , 	2 , 	2 , 	19 , 	13 , 	35 , 	12 , 	8 , 	6 , 	2 , 	3 , 	5 , 	1 , 	2 , 	8 , 	1 , 	3 , 	1 , 	1 , 	2 , 	-   , 	3 , 	4 , 	15 , 	4 , 	10 , 	-   , 	3 , 	376 ,,,,,,,,,,,
