Exit stations,Entry stations->,,TOTAL,,,Dec 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	384 ," 	1,375 "," 	1,193 ", 	740 ," 	3,946 ", 	964 ," 	1,651 "," 	1,003 "," 	1,446 ", 	340 ," 	1,197 ", 	628 , 	443 , 	308 , 	358 , 	172 , 	162 , 	207 , 	252 , 	115 , 	233 , 	133 , 	92 , 	280 , 	460 ," 	3,497 "," 	2,834 "," 	5,886 "," 	2,924 "," 	2,295 "," 	2,336 ", 	534 , 	668 , 	559 , 	223 , 	73 , 	200 , 	68 , 	150 , 	179 , 	276 , 	640 , 	137 , 	28 , 	187 , 	206 , 	105 , 	176 , 	152 , 	159 ," 	42,574 ",,,,,,,,,,,,,
CL, 	659 , 	878 , 	250 , 	255 ," 	1,139 ", 	552 ," 	1,429 "," 	1,118 "," 	1,699 "," 	1,386 "," 	2,679 ", 	411 ," 	1,166 "," 	1,722 "," 	1,336 ", 	805 , 	548 , 	518 , 	404 , 	272 , 	122 , 	75 , 	68 , 	193 , 	923 ," 	3,336 "," 	2,383 "," 	4,269 "," 	2,713 "," 	1,350 "," 	1,377 ", 	457 , 	579 , 	430 , 	89 , 	315 , 	921 , 	56 , 	247 , 	124 , 	139 , 	374 , 	71 , 	446 , 	457 , 	624 , 	241 , 	254 , 	167 , 	456 ," 	42,482 ",,,,,,,,,,,,,
SL, 	479 , 	662 , 	346 , 	318 ," 	1,386 ", 	428 ," 	1,289 "," 	1,223 "," 	1,929 "," 	2,686 "," 	3,011 "," 	1,435 ", 	383 ," 	1,596 "," 	1,628 "," 	1,174 "," 	1,008 ", 	841 , 	202 , 	156 , 	253 , 	74 , 	72 , 	204 , 	573 ," 	4,825 "," 	4,475 "," 	6,762 "," 	4,109 "," 	1,516 "," 	1,217 ", 	431 , 	650 , 	553 , 	71 , 	633 ," 	1,200 ", 	71 , 	177 , 	135 , 	117 , 	549 , 	69 , 	704 , 	161 , 	750 , 	328 , 	437 , 	100 , 	287 ," 	53,683 ",,,,,,,,,,,,,
BF, 	322 , 	457 , 	167 , 	184 , 	801 , 	319 , 	866 ," 	1,020 "," 	1,644 "," 	2,249 "," 	3,132 "," 	1,738 "," 	1,736 ", 	345 ," 	1,241 ", 	959 , 	839 ," 	1,102 ", 	240 , 	114 , 	158 , 	44 , 	63 , 	145 , 	505 ," 	4,195 "," 	3,627 "," 	5,935 "," 	3,356 "," 	1,282 ", 	763 , 	340 , 	533 , 	410 , 	148 , 	493 ," 	1,247 ", 	45 , 	128 , 	125 , 	205 , 	381 , 	97 , 	756 , 	115 , 	879 , 	398 , 	344 , 	62 , 	111 ," 	46,365 ",,,,,,,,,,,,,
HY, 	320 , 	585 , 	215 , 	222 , 	938 , 	262 , 	645 , 	887 ," 	1,490 ", 	985 ," 	2,320 "," 	1,305 "," 	1,882 "," 	1,267 ", 	295 ," 	1,031 "," 	1,704 "," 	1,670 ", 	217 , 	187 , 	155 , 	51 , 	69 , 	113 , 	405 ," 	2,393 "," 	1,827 "," 	2,761 "," 	1,735 ", 	752 , 	574 , 	299 , 	240 , 	352 , 	94 , 	272 , 	709 , 	30 , 	132 , 	52 , 	172 , 	241 , 	58 , 	339 , 	135 ," 	1,074 ", 	648 , 	551 , 	53 , 	203 ," 	34,916 ",,,,,,,,,,,,,
SH, 	193 , 	216 , 	141 , 	59 , 	485 , 	154 , 	401 , 	519 , 	752 , 	812 ," 	1,253 ", 	696 ," 	1,121 ", 	905 , 	973 , 	200 , 	807 , 	944 , 	127 , 	114 , 	110 , 	10 , 	10 , 	38 , 	207 ," 	1,851 "," 	1,614 "," 	2,052 "," 	1,544 ", 	393 , 	493 , 	183 , 	167 , 	213 , 	71 , 	243 , 	238 , 	26 , 	89 , 	76 , 	65 , 	243 , 	62 , 	202 , 	86 , 	820 , 	418 , 	407 , 	21 , 	120 ," 	22,944 ",,,,,,,,,,,,,
UC, 	207 , 	390 , 	202 , 	112 , 	911 , 	208 , 	550 , 	607 , 	916 , 	876 ," 	1,120 ", 	652 ," 	1,140 ", 	793 ," 	1,681 ", 	619 , 	301 , 	972 , 	137 , 	56 , 	143 , 	17 , 	21 , 	93 , 	280 ," 	2,462 "," 	1,791 "," 	2,588 "," 	1,631 ", 	606 , 	324 , 	134 , 	157 , 	224 , 	75 , 	175 , 	466 , 	20 , 	61 , 	43 , 	20 , 	284 , 	17 , 	192 , 	212 , 	894 , 	668 , 	641 , 	55 , 	84 ," 	26,828 ",,,,,,,,,,,,,
FM, 	243 , 	378 , 	173 , 	217 , 	890 , 	270 , 	573 , 	594 , 	931 , 	732 ," 	1,263 ", 	508 , 	907 ," 	1,013 "," 	1,734 ", 	931 , 	918 , 	395 , 	198 , 	100 , 	70 , 	38 , 	53 , 	112 , 	136 ," 	2,375 "," 	1,931 "," 	2,383 "," 	1,574 ", 	616 , 	380 , 	102 , 	172 , 	228 , 	58 , 	244 , 	414 , 	13 , 	156 , 	21 , 	51 , 	333 , 	26 , 	140 , 	266 , 	924 ," 	1,009 ", 	909 , 	29 , 	88 ," 	27,819 ",,,,,,,,,,,,,
CN, 	245 , 	312 , 	230 , 	141 , 	671 , 	153 , 	882 ," 	1,086 "," 	1,386 ", 	255 , 	364 , 	446 , 	237 , 	250 , 	308 , 	119 , 	113 , 	194 , 	522 , 	878 ," 	2,633 "," 	1,074 ", 	303 , 	834 , 	198 ," 	4,066 "," 	3,664 "," 	4,737 "," 	3,448 "," 	1,303 ", 	952 , 	462 , 	413 , 	445 , 	183 , 	46 , 	82 , 	470 ," 	1,714 ", 	167 , 	264 ," 	1,623 ", 	120 , 	37 , 	402 , 	73 , 	113 , 	105 ," 	1,130 "," 	1,278 "," 	41,131 ",,,,,,,,,,,,,
PH, 	122 , 	168 , 	78 , 	171 , 	687 , 	168 , 	891 , 	962 ," 	1,179 ", 	178 , 	245 , 	269 , 	144 , 	132 , 	128 , 	98 , 	68 , 	90 , 	833 , 	329 ," 	1,196 ", 	424 , 	270 , 	733 , 	144 ," 	4,994 "," 	4,744 "," 	4,321 "," 	3,066 "," 	1,054 ", 	676 , 	452 , 	294 , 	375 , 	74 , 	17 , 	74 , 	262 , 	758 , 	116 , 	154 ," 	1,740 ", 	108 , 	10 , 	462 , 	58 , 	56 , 	80 , 	405 , 	576 ," 	34,633 ",,,,,,,,,,,,,
WC, 	251 , 	415 , 	231 , 	183 , 	798 , 	213 ," 	1,085 "," 	1,267 "," 	1,406 ", 	229 , 	452 , 	103 , 	258 , 	163 , 	155 , 	116 , 	136 , 	50 ," 	3,015 "," 	1,230 ", 	319 , 	728 , 	392 ," 	1,155 ", 	245 ," 	5,035 "," 	3,813 "," 	3,984 "," 	2,959 "," 	1,085 ", 	662 , 	332 , 	226 , 	424 , 	132 , 	54 , 	84 , 	533 ," 	1,323 ", 	160 , 	203 ," 	1,898 ", 	106 , 	21 , 	428 , 	51 , 	69 , 	121 , 	591 ," 	1,035 "," 	39,924 ",,,,,,,,,,,,,
LF, 	120 , 	74 , 	113 , 	65 , 	394 , 	71 , 	385 , 	585 , 	551 , 	38 , 	215 , 	70 , 	63 , 	42 , 	55 , 	26 , 	18 , 	33 ," 	1,365 ", 	565 , 	784 , 	213 , 	200 , 	643 , 	32 ," 	3,264 "," 	2,692 "," 	2,136 "," 	1,599 ", 	564 , 	347 , 	139 , 	112 , 	119 , 	60 , 	10 , 	33 , 	94 , 	304 , 	21 , 	68 ," 	1,192 ", 	28 , 	2 , 	229 , 	8 , 	38 , 	45 , 	203 , 	153 ," 	20,180 ",,,,,,,,,,,,,
OR, 	106 , 	140 , 	57 , 	83 , 	308 , 	25 , 	272 , 	434 , 	444 , 	39 , 	183 , 	51 , 	52 , 	61 , 	74 , 	12 , 	23 , 	60 , 	275 , 	238 , 	385 , 	201 , 	144 , 	504 , 	67 ," 	2,913 "," 	2,182 "," 	1,878 "," 	1,204 ", 	460 , 	265 , 	154 , 	81 , 	102 , 	18 , 	22 , 	10 , 	44 , 	86 , 	35 , 	22 , 	848 , 	58 , 	3 , 	122 , 	10 , 	18 , 	34 , 	110 , 	105 ," 	15,022 ",,,,,,,,,,,,,
RR, 	297 , 	346 , 	409 , 	187 , 	263 , 	104 , 	679 ," 	1,189 ", 	985 , 	182 , 	670 , 	191 , 	236 , 	171 , 	151 , 	28 , 	115 , 	124 , 	820 , 	800 ," 	1,025 ", 	634 , 	520 , 	381 , 	339 ," 	4,756 "," 	4,009 "," 	4,806 "," 	3,504 "," 	1,655 "," 	1,044 ", 	486 , 	519 , 	237 , 	81 , 	45 , 	98 , 	150 , 	381 , 	88 , 	111 ," 	1,468 ", 	80 , 	28 , 	200 , 	38 , 	63 , 	86 , 	184 , 	527 ," 	35,490 ",,,,,,,,,,,,,
OW, 	377 , 	391 , 	109 , 	104 , 	664 , 	237 , 	685 , 	535 , 	901 , 	260 ," 	1,313 ", 	828 , 	616 , 	469 , 	436 , 	216 , 	220 , 	98 , 	182 , 	139 , 	222 , 	42 , 	37 , 	339 , 	357 ," 	10,434 "," 	7,263 "," 	10,480 "," 	6,573 "," 	3,427 "," 	2,091 ", 	660 , 	770 , 	488 , 	208 , 	135 , 	267 , 	36 , 	209 , 	207 , 	231 ," 	1,261 ", 	175 , 	122 , 	143 , 	170 , 	74 , 	93 , 	135 , 	326 ," 	55,755 ",,,,,,,,,,,,,
EM," 	3,829 "," 	7,451 "," 	3,799 "," 	3,642 "," 	6,292 "," 	3,548 "," 	6,852 "," 	7,580 "," 	7,169 "," 	5,574 "," 	7,021 "," 	3,978 "," 	5,636 "," 	4,930 "," 	3,081 "," 	2,521 "," 	2,842 "," 	2,749 "," 	4,972 "," 	6,189 "," 	5,890 "," 	3,995 "," 	3,633 "," 	5,568 "," 	12,253 "," 	1,923 ", 	511 ," 	2,916 "," 	2,536 "," 	6,152 "," 	8,627 "," 	5,301 "," 	7,941 "," 	6,793 "," 	2,639 "," 	2,624 "," 	7,213 "," 	1,420 "," 	3,667 "," 	1,967 "," 	1,776 "," 	3,656 "," 	1,678 "," 	2,969 "," 	1,255 ", 	911 ," 	1,235 "," 	1,663 "," 	1,010 "," 	4,098 "," 	213,475 ",,,,,,,,,,,,,
MT," 	3,877 "," 	6,374 "," 	3,455 "," 	3,131 "," 	4,765 "," 	3,031 "," 	5,955 "," 	6,652 "," 	5,870 "," 	4,780 "," 	5,667 "," 	2,776 "," 	5,293 "," 	4,351 "," 	2,395 "," 	1,860 "," 	2,164 "," 	2,209 "," 	4,082 "," 	5,415 "," 	4,296 "," 	3,039 "," 	2,453 "," 	4,510 "," 	9,054 ", 	701 ," 	1,446 ", 	923 ," 	1,935 "," 	6,573 "," 	10,068 "," 	7,034 "," 	12,722 "," 	8,721 "," 	3,494 "," 	2,546 "," 	5,089 "," 	1,287 "," 	3,825 "," 	2,528 "," 	2,268 "," 	4,066 "," 	2,028 "," 	1,895 ", 	742 , 	942 , 	911 ," 	1,152 ", 	829 ," 	3,305 "," 	194,484 ",,,,,,,,,,,,,
PL," 	4,929 "," 	7,543 "," 	3,063 "," 	2,697 "," 	6,832 "," 	2,669 "," 	5,483 "," 	5,862 "," 	6,856 "," 	5,062 "," 	8,435 "," 	3,913 "," 	5,538 "," 	4,810 "," 	2,428 "," 	1,795 "," 	2,300 "," 	2,155 "," 	3,905 "," 	3,784 "," 	3,611 "," 	2,003 "," 	1,813 "," 	4,005 "," 	10,269 "," 	3,680 "," 	1,176 "," 	3,025 "," 	2,607 "," 	12,237 "," 	16,643 "," 	9,649 "," 	15,381 "," 	12,290 "," 	4,612 "," 	2,272 "," 	5,322 "," 	1,418 "," 	4,123 "," 	3,556 "," 	3,291 "," 	11,593 "," 	2,578 "," 	1,762 "," 	1,250 ", 	839 ," 	1,138 "," 	1,275 "," 	1,023 "," 	3,088 "," 	237,588 ",,,,,,,,,,,,,
CC," 	2,734 "," 	4,856 "," 	2,442 "," 	2,725 "," 	3,947 "," 	2,790 "," 	5,221 "," 	4,974 "," 	4,735 "," 	4,015 "," 	7,249 "," 	2,656 "," 	3,776 "," 	2,946 "," 	1,683 "," 	1,468 "," 	1,457 "," 	1,527 "," 	3,186 "," 	2,846 "," 	2,850 "," 	1,647 "," 	1,252 "," 	3,402 "," 	7,111 "," 	2,449 "," 	1,686 "," 	2,226 "," 	1,495 "," 	4,595 "," 	7,391 "," 	5,069 "," 	8,145 "," 	6,298 "," 	3,298 "," 	1,623 "," 	3,483 "," 	1,067 "," 	2,532 "," 	2,496 "," 	2,514 "," 	4,675 "," 	2,084 "," 	1,268 ", 	542 , 	554 , 	648 , 	843 , 	583 ," 	2,507 "," 	153,566 ",,,,,,,,,,,,,
16," 	2,164 "," 	2,118 ", 	965 ," 	1,224 "," 	2,206 "," 	1,441 "," 	3,165 "," 	3,291 "," 	2,351 "," 	2,088 "," 	2,859 "," 	1,224 "," 	1,424 "," 	1,175 ", 	795 , 	477 , 	543 , 	586 ," 	1,135 ", 	996 ," 	1,081 ", 	587 , 	468 ," 	1,581 "," 	3,677 "," 	5,766 "," 	5,960 "," 	12,771 "," 	5,048 ", 	899 ," 	1,945 "," 	3,034 "," 	4,935 "," 	4,162 "," 	1,974 ", 	601 ," 	1,157 ", 	346 ," 	1,248 "," 	1,322 "," 	1,675 "," 	3,127 "," 	1,329 ", 	527 , 	270 , 	265 , 	273 , 	340 , 	472 ," 	1,158 "," 	100,225 ",,,,,,,,,,,,,
24," 	2,121 "," 	2,023 ", 	847 , 	892 ," 	1,836 ", 	896 ," 	2,276 "," 	2,072 "," 	1,849 "," 	1,398 "," 	2,569 "," 	1,274 "," 	1,189 ", 	708 , 	630 , 	479 , 	384 , 	352 , 	880 , 	620 , 	590 , 	381 , 	278 ," 	1,097 "," 	2,472 "," 	7,786 "," 	8,360 "," 	18,760 "," 	8,194 "," 	1,832 ", 	932 ," 	2,756 "," 	3,870 "," 	3,601 "," 	1,881 ", 	262 , 	688 , 	382 ," 	1,047 "," 	1,280 "," 	1,698 "," 	2,306 "," 	1,143 ", 	278 , 	277 , 	119 , 	192 , 	227 , 	333 , 	903 ," 	99,220 ",,,,,,,,,,,,,
GP, 	479 , 	726 , 	271 , 	305 , 	904 , 	263 , 	680 , 	647 , 	891 , 	558 , 	552 , 	349 , 	348 , 	315 , 	257 , 	157 , 	112 , 	82 , 	409 , 	340 , 	309 , 	170 , 	116 , 	508 , 	744 ," 	4,805 "," 	5,830 "," 	10,690 "," 	4,813 "," 	3,035 "," 	2,711 ", 	371 , 	840 , 	739 , 	508 , 	124 , 	291 , 	64 , 	399 , 	441 , 	843 ," 	1,427 ", 	564 , 	124 , 	201 , 	58 , 	58 , 	69 , 	143 , 	380 ," 	50,020 ",,,,,,,,,,,,,
BP, 	592 , 	767 , 	242 , 	249 , 	624 , 	300 , 	593 , 	720 , 	949 , 	672 , 	674 , 	513 , 	493 , 	481 , 	201 , 	160 , 	172 , 	152 , 	368 , 	269 , 	203 , 	91 , 	48 , 	478 ," 	1,021 "," 	6,467 "," 	7,071 "," 	18,405 "," 	7,186 "," 	4,196 "," 	3,911 ", 	714 , 	470 , 	824 , 	972 , 	176 , 	338 , 	28 , 	408 , 	683 ," 	1,321 "," 	1,655 ", 	826 , 	119 , 	97 , 	79 , 	76 , 	105 , 	87 , 	355 ," 	67,601 ",,,,,,,,,,,,,
DC, 	572 , 	977 , 	291 , 	271 , 	630 , 	278 , 	441 , 	580 ," 	1,105 ", 	514 , 	905 , 	465 , 	534 , 	362 , 	373 , 	226 , 	228 , 	207 , 	434 , 	369 , 	444 , 	111 , 	101 , 	228 , 	508 ," 	6,541 "," 	7,528 "," 	14,531 "," 	6,797 "," 	4,257 "," 	3,766 ", 	830 ," 	1,042 ", 	530 , 	533 , 	220 , 	582 , 	87 , 	466 , 	819 ," 	1,435 "," 	3,007 "," 	1,126 ", 	165 , 	152 , 	192 , 	163 , 	143 , 	197 , 	565 ," 	66,828 ",,,,,,,,,,,,,
CM, 	178 , 	220 , 	62 , 	68 , 	212 , 	54 , 	197 , 	225 , 	408 , 	83 , 	152 , 	109 , 	77 , 	112 , 	98 , 	90 , 	73 , 	60 , 	177 , 	74 , 	144 , 	63 , 	33 , 	89 , 	222 ," 	2,522 "," 	2,759 "," 	5,390 "," 	3,104 "," 	1,817 "," 	1,794 ", 	558 ," 	1,052 ", 	546 , 	205 , 	45 , 	66 , 	41 , 	261 , 	173 , 	578 ," 	2,328 ", 	485 , 	12 , 	24 , 	12 , 	23 , 	14 , 	85 , 	241 ," 	27,415 ",,,,,,,,,,,,,
CV, 	61 , 	56 , 	59 , 	46 , 	290 , 	70 , 	184 , 	143 , 	253 ," 	1,045 ", 	692 , 	387 , 	780 , 	515 , 	360 , 	273 , 	156 , 	186 , 	40 , 	29 , 	63 , 	11 , 	18 , 	60 , 	168 ," 	2,352 "," 	2,200 "," 	2,545 "," 	1,660 ", 	651 , 	253 , 	148 , 	194 , 	205 , 	40 , 	133 ," 	1,027 ", 	9 , 	20 , 	33 , 	57 , 	211 , 	15 , 	790 , 	83 , 	106 , 	57 , 	79 , 	7 , 	13 ," 	18,833 ",,,,,,,,,,,,,
ED, 	170 , 	218 , 	90 , 	98 , 	785 , 	218 , 	402 , 	462 , 	667 ," 	1,341 "," 	1,639 ", 	938 ," 	1,130 "," 	1,162 ", 	605 , 	404 , 	475 , 	368 , 	101 , 	58 , 	56 , 	24 , 	20 , 	94 , 	303 ," 	6,090 "," 	4,457 "," 	6,119 "," 	3,550 "," 	1,134 ", 	722 , 	351 , 	365 , 	598 , 	76 ," 	1,031 ", 	451 , 	3 , 	38 , 	78 , 	53 ," 	1,420 ", 	87 , 	311 , 	780 , 	214 , 	278 , 	310 , 	35 , 	55 ," 	40,434 ",,,,,,,,,,,,,
NC, 	64 , 	56 , 	41 , 	32 , 	176 , 	42 , 	232 , 	221 , 	311 , 	44 , 	76 , 	58 , 	94 , 	26 , 	20 , 	26 , 	16 , 	9 , 	378 , 	249 , 	365 , 	81 , 	36 , 	174 , 	46 ," 	1,122 "," 	1,141 "," 	1,453 "," 	1,133 ", 	325 , 	369 , 	84 , 	88 , 	94 , 	36 , 	2 , 	6 , 	92 , 	203 , 	79 , 	42 , 	586 , 	20 , 	6 , 	134 , 	22 , 	19 , 	23 , 	200 , 	238 ," 	10,390 ",,,,,,,,,,,,,
WP, 	148 , 	131 , 	121 , 	79 , 	408 , 	62 , 	937 , 	645 , 	864 , 	148 , 	239 , 	264 , 	130 , 	127 , 	93 , 	89 , 	79 , 	138 ," 	1,741 ", 	836 ," 	1,317 ", 	312 , 	143 , 	379 , 	227 ," 	3,082 "," 	2,954 "," 	4,908 "," 	3,194 "," 	1,438 "," 	1,116 ", 	454 , 	549 , 	499 , 	230 , 	33 , 	28 , 	238 , 	292 , 	209 , 	277 ," 	1,396 ", 	93 , 	22 , 	287 , 	137 , 	26 , 	66 , 	234 , 	384 ," 	31,803 ",,,,,,,,,,,,,
SS, 	210 , 	255 , 	66 , 	56 , 	199 , 	81 , 	179 , 	241 , 	393 , 	71 , 	136 , 	104 , 	139 , 	117 , 	82 , 	52 , 	42 , 	18 , 	185 , 	126 , 	164 , 	21 , 	47 , 	95 , 	176 ," 	1,846 "," 	2,108 "," 	4,153 "," 	2,492 "," 	1,279 "," 	1,378 ", 	482 , 	872 , 	870 , 	273 , 	49 , 	73 , 	73 , 	196 , 	198 , 	381 ," 	1,095 ", 	316 , 	24 , 	14 , 	25 , 	17 , 	26 , 	82 , 	290 ," 	21,867 ",,,,,,,,,,,,,
