Exit stations,Entry stations->,,SUNDAY,,,Jul 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	9 , 	31 , 	32 , 	9 , 	105 , 	15 , 	23 , 	16 , 	15 , 	19 , 	28 , 	22 , 	7 , 	7 , 	5 , 	4 , 	2 , 	2 , 	5 , 	2 , 	1 , 	3 , 	1 , 	8 , 	6 , 	76 , 	41 , 	106 , 	36 , 	36 , 	27 , 	7 , 	14 , 	11 , 	5 , 	1 , 	2 , 	0 , 	3 , 	2 , 	6 , 	27 , 	7 , 	0 , 	4 , 	5 , 	4 , 	7 , 	3 , 	1 , 	810 ,,,,,,,,,,,
CC, 	37 , 	51 , 	33 , 	51 , 	141 , 	59 , 	116 , 	122 , 	106 , 	80 , 	113 , 	52 , 	51 , 	46 , 	26 , 	18 , 	13 , 	25 , 	38 , 	41 , 	55 , 	26 , 	23 , 	69 , 	142 , 	41 , 	26 , 	51 , 	52 , 	129 , 	163 , 	80 , 	127 , 	118 , 	51 , 	24 , 	65 , 	8 , 	25 , 	35 , 	57 , 	213 , 	83 , 	24 , 	32 , 	8 , 	27 , 	35 , 	4 , 	21 ," 	3,031 ",,,,,,,,,,,
16, 	37 , 	43 , 	22 , 	40 , 	90 , 	43 , 	89 , 	94 , 	78 , 	61 , 	50 , 	24 , 	27 , 	20 , 	10 , 	10 , 	7 , 	13 , 	23 , 	21 , 	29 , 	14 , 	15 , 	50 , 	110 , 	171 , 	95 , 	384 , 	139 , 	29 , 	51 , 	63 , 	92 , 	99 , 	55 , 	11 , 	46 , 	5 , 	14 , 	27 , 	44 , 	137 , 	68 , 	13 , 	12 , 	7 , 	15 , 	17 , 	4 , 	11 ," 	2,630 ",,,,,,,,,,,
24, 	32 , 	31 , 	17 , 	25 , 	71 , 	33 , 	73 , 	72 , 	50 , 	48 , 	50 , 	34 , 	18 , 	15 , 	12 , 	16 , 	5 , 	6 , 	21 , 	12 , 	19 , 	8 , 	8 , 	35 , 	78 , 	194 , 	114 , 	461 , 	211 , 	49 , 	27 , 	72 , 	84 , 	88 , 	43 , 	8 , 	19 , 	7 , 	20 , 	36 , 	42 , 	102 , 	52 , 	8 , 	15 , 	4 , 	8 , 	13 , 	4 , 	9 ," 	2,476 ",,,,,,,,,,,
GP, 	6 , 	12 , 	5 , 	13 , 	31 , 	9 , 	23 , 	17 , 	20 , 	17 , 	12 , 	13 , 	6 , 	6 , 	3 , 	3 , 	2 , 	2 , 	6 , 	8 , 	9 , 	5 , 	6 , 	13 , 	19 , 	110 , 	54 , 	222 , 	79 , 	66 , 	75 , 	12 , 	12 , 	18 , 	18 , 	3 , 	13 , 	2 , 	5 , 	9 , 	21 , 	72 , 	23 , 	3 , 	9 , 	1 , 	5 , 	5 , 	1 , 	5 ," 	1,107 ",,,,,,,,,,,
BP, 	12 , 	18 , 	6 , 	7 , 	22 , 	10 , 	14 , 	14 , 	15 , 	16 , 	12 , 	10 , 	7 , 	9 , 	3 , 	4 , 	1 , 	1 , 	6 , 	3 , 	5 , 	1 , 	3 , 	4 , 	15 , 	116 , 	91 , 	434 , 	102 , 	86 , 	79 , 	10 , 	12 , 	13 , 	23 , 	3 , 	11 , 	1 , 	9 , 	13 , 	32 , 	66 , 	22 , 	2 , 	9 , 	4 , 	5 , 	6 , 	1 , 	4 ," 	1,369 ",,,,,,,,,,,
DC, 	10 , 	11 , 	5 , 	5 , 	22 , 	8 , 	11 , 	15 , 	9 , 	15 , 	13 , 	10 , 	11 , 	6 , 	2 , 	5 , 	2 , 	3 , 	8 , 	6 , 	8 , 	3 , 	3 , 	7 , 	15 , 	114 , 	71 , 	350 , 	144 , 	101 , 	89 , 	20 , 	15 , 	19 , 	10 , 	4 , 	18 , 	1 , 	8 , 	12 , 	28 , 	110 , 	47 , 	3 , 	8 , 	3 , 	6 , 	5 , 	3 , 	6 ," 	1,405 ",,,,,,,,,,,
CM, 	3 , 	10 , 	1 , 	1 , 	3 , 	1 , 	3 , 	5 , 	7 , 	2 , 	3 , 	2 , 	1 , 	2 , 	1 , 	1 , 	-   , 	1 , 	6 , 	3 , 	5 , 	0 , 	0 , 	1 , 	6 , 	42 , 	29 , 	126 , 	50 , 	44 , 	37 , 	15 , 	25 , 	13 , 	9 , 	1 , 	1 , 	-   , 	4 , 	2 , 	16 , 	81 , 	12 , 	0 , 	1 , 	0 , 	1 , 	0 , 	2 , 	4 , 	584 ,,,,,,,,,,,
CV, 	1 , 	2 , 	0 , 	1 , 	3 , 	1 , 	2 , 	3 , 	2 , 	25 , 	13 , 	20 , 	14 , 	12 , 	5 , 	4 , 	3 , 	2 , 	1 , 	1 , 	1 , 	1 , 	-   , 	1 , 	4 , 	58 , 	30 , 	54 , 	22 , 	11 , 	8 , 	3 , 	3 , 	5 , 	1 , 	6 , 	22 , 	-   , 	-   , 	0 , 	3 , 	12 , 	0 , 	23 , 	5 , 	2 , 	1 , 	3 , 	1 , 	2 , 	399 ,,,,,,,,,,,
ED, 	3 , 	4 , 	2 , 	1 , 	19 , 	6 , 	8 , 	9 , 	6 , 	28 , 	28 , 	76 , 	22 , 	36 , 	10 , 	6 , 	4 , 	8 , 	4 , 	1 , 	1 , 	1 , 	1 , 	3 , 	15 , 	274 , 	99 , 	201 , 	71 , 	45 , 	20 , 	9 , 	8 , 	12 , 	1 , 	19 , 	20 , 	-   , 	2 , 	1 , 	2 , 	57 , 	5 , 	11 , 	33 , 	5 , 	8 , 	13 , 	0 , 	1 ," 	1,218 ",,,,,,,,,,,
NC, 	0 , 	0 , 	0 , 	1 , 	2 , 	1 , 	3 , 	2 , 	4 , 	0 , 	1 , 	5 , 	0 , 	0 , 	1 , 	1 , 	-   , 	0 , 	7 , 	4 , 	6 , 	2 , 	0 , 	3 , 	-   , 	35 , 	11 , 	23 , 	8 , 	6 , 	6 , 	1 , 	1 , 	2 , 	1 , 	-   , 	0 , 	3 , 	5 , 	2 , 	1 , 	16 , 	1 , 	-   , 	2 , 	0 , 	1 , 	0 , 	4 , 	3 , 	175 ,,,,,,,,,,,
WP, 	2 , 	5 , 	2 , 	1 , 	4 , 	1 , 	14 , 	5 , 	8 , 	3 , 	4 , 	6 , 	3 , 	3 , 	2 , 	1 , 	1 , 	3 , 	44 , 	20 , 	37 , 	8 , 	2 , 	8 , 	5 , 	65 , 	34 , 	79 , 	30 , 	18 , 	19 , 	4 , 	7 , 	8 , 	5 , 	1 , 	1 , 	7 , 	11 , 	1 , 	4 , 	45 , 	2 , 	-   , 	11 , 	1 , 	2 , 	4 , 	3 , 	6 , 	561 ,,,,,,,,,,,
SS, 	4 , 	3 , 	1 , 	1 , 	7 , 	1 , 	2 , 	2 , 	7 , 	2 , 	3 , 	1 , 	2 , 	0 , 	1 , 	1 , 	1 , 	0 , 	3 , 	1 , 	4 , 	1 , 	1 , 	2 , 	3 , 	35 , 	17 , 	77 , 	35 , 	26 , 	32 , 	10 , 	12 , 	16 , 	3 , 	1 , 	1 , 	1 , 	4 , 	7 , 	11 , 	38 , 	10 , 	0 , 	1 , 	-   , 	0 , 	0 , 	0 , 	3 , 	397 ,,,,,,,,,,,
SB, 	5 , 	8 , 	3 , 	1 , 	7 , 	2 , 	6 , 	4 , 	8 , 	3 , 	5 , 	3 , 	3 , 	3 , 	2 , 	2 , 	0 , 	0 , 	4 , 	7 , 	5 , 	2 , 	2 , 	3 , 	8 , 	43 , 	33 , 	98 , 	55 , 	38 , 	46 , 	19 , 	34 , 	34 , 	14 , 	2 , 	3 , 	0 , 	3 , 	8 , 	9 , 	40 , 	7 , 	1 , 	2 , 	0 , 	1 , 	1 , 	1 , 	4 , 	590 ,,,,,,,,,,,
