Exit stations,Entry stations->,,SUNDAY,,,Dec 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
LF, 	9 , 	5 , 	7 , 	8 , 	31 , 	9 , 	16 , 	17 , 	20 , 	4 , 	9 , 	46 , 	3 , 	7 , 	4 , 	0 , 	4 , 	6 , 	53 , 	18 , 	38 , 	6 , 	13 , 	43 , 	3 , 	119 , 	88 , 	316 , 	115 , 	22 , 	16 , 	17 , 	15 , 	8 , 	1 , 	1 , 	2 , 	1 , 	17 , 	3 , 	2 , 	77 , 	9 , 	0 ," 	1,210 ",,,CM line," 	23,855 "," 	3,016 "," 	4,043 ",,,,,
OR, 	3 , 	4 , 	4 , 	6 , 	27 , 	6 , 	14 , 	18 , 	16 , 	5 , 	7 , 	49 , 	4 , 	3 , 	1 , 	1 , 	1 , 	4 , 	19 , 	13 , 	17 , 	14 , 	5 , 	32 , 	3 , 	110 , 	62 , 	268 , 	93 , 	17 , 	10 , 	11 , 	12 , 	9 , 	2 , 	1 , 	1 , 	1 , 	7 , 	2 , 	3 , 	52 , 	7 , 	0 , 	944 ,,,RM line," 	9,359 "," 	3,144 "," 	2,694 "," 	2,529 ",,,,
RR, 	10 , 	12 , 	23 , 	19 , 	30 , 	10 , 	34 , 	54 , 	50 , 	16 , 	25 , 	49 , 	6 , 	11 , 	6 , 	3 , 	3 , 	14 , 	32 , 	36 , 	60 , 	41 , 	29 , 	11 , 	19 , 	202 , 	186 , 	548 , 	250 , 	115 , 	82 , 	36 , 	14 , 	15 , 	5 , 	2 , 	6 , 	4 , 	16 , 	3 , 	4 , 	101 , 	16 , 	3 ," 	2,207 ",,,WP line," 	10,635 "," 	1,587 "," 	2,146 "," 	1,270 "," 	2,150 ",,,
OW, 	19 , 	25 , 	9 , 	12 , 	50 , 	27 , 	46 , 	28 , 	52 , 	24 , 	67 , 	72 , 	21 , 	32 , 	14 , 	8 , 	6 , 	8 , 	4 , 	3 , 	6 , 	4 , 	1 , 	17 , 	9 , 	229 , 	217 , 	762 , 	241 , 	135 , 	89 , 	22 , 	43 , 	17 , 	7 , 	5 , 	8 , 	2 , 	18 , 	6 , 	9 , 	42 , 	7 , 	6 ," 	2,430 ",,,FT/ED line," 	13,597 "," 	4,091 "," 	3,042 "," 	3,758 "," 	2,313 "," 	8,420 ",,
EM, 	82 , 	159 , 	97 , 	164 , 	309 , 	125 , 	224 , 	191 , 	206 , 	155 , 	177 , 	261 , 	106 , 	119 , 	62 , 	42 , 	68 , 	154 , 	105 , 	150 , 	198 , 	116 , 	99 , 	221 , 	278 , 	74 , 	32 , 	263 , 	108 , 	251 , 	314 , 	162 , 	276 , 	161 , 	48 , 	84 , 	260 , 	38 , 	117 , 	44 , 	52 , 	319 , 	116 , 	95 ," 	6,680 ",,,SFIA," 	8,722 ", 	848 ," 	3,851 "," 	1,201 "," 	1,480 ", 	945 , 	908 ," 	133,255 "
MT, 	69 , 	131 , 	90 , 	132 , 	220 , 	118 , 	204 , 	170 , 	194 , 	160 , 	158 , 	169 , 	100 , 	93 , 	47 , 	28 , 	56 , 	99 , 	80 , 	114 , 	139 , 	90 , 	62 , 	175 , 	247 , 	30 , 	40 , 	58 , 	71 , 	299 , 	351 , 	253 , 	656 , 	188 , 	76 , 	54 , 	139 , 	33 , 	83 , 	49 , 	43 , 	365 , 	89 , 	51 ," 	6,072 ",,,,,,,,,,,
PL, 	193 , 	449 , 	253 , 	321 , 	633 , 	271 , 	503 , 	355 , 	463 , 	434 , 	541 , 	462 , 	320 , 	329 , 	144 , 	129 , 	218 , 	377 , 	230 , 	314 , 	445 , 	287 , 	222 , 	479 , 	741 , 	261 , 	53 , 	172 , 	284 ," 	1,352 "," 	1,571 ", 	956 ," 	1,516 ", 	967 , 	317 , 	197 , 	583 , 	113 , 	276 , 	250 , 	255 ," 	1,552 ", 	566 , 	185 ," 	20,540 ",,,,,,,,,,,
CC, 	69 , 	118 , 	92 , 	142 , 	208 , 	141 , 	244 , 	184 , 	158 , 	160 , 	246 , 	164 , 	85 , 	67 , 	40 , 	30 , 	49 , 	105 , 	95 , 	97 , 	155 , 	110 , 	81 , 	211 , 	259 , 	74 , 	44 , 	249 , 	80 , 	449 , 	519 , 	267 , 	437 , 	233 , 	105 , 	62 , 	195 , 	45 , 	88 , 	62 , 	111 , 	547 , 	204 , 	62 ," 	7,142 ",,,,,,,,,,,
16, 	48 , 	46 , 	38 , 	74 , 	143 , 	110 , 	167 , 	122 , 	85 , 	87 , 	93 , 	78 , 	23 , 	36 , 	21 , 	13 , 	16 , 	25 , 	24 , 	27 , 	38 , 	26 , 	15 , 	113 , 	128 , 	276 , 	250 ," 	1,474 ", 	482 , 	55 , 	217 , 	199 , 	334 , 	150 , 	57 , 	15 , 	46 , 	12 , 	28 , 	36 , 	77 , 	196 , 	100 , 	16 ," 	5,615 ",,,,,,,,,,,
24, 	54 , 	50 , 	33 , 	58 , 	116 , 	72 , 	120 , 	94 , 	74 , 	67 , 	102 , 	82 , 	26 , 	29 , 	17 , 	14 , 	11 , 	25 , 	27 , 	21 , 	32 , 	16 , 	11 , 	70 , 	98 , 	287 , 	255 ," 	1,745 ", 	604 , 	201 , 	59 , 	163 , 	318 , 	141 , 	76 , 	12 , 	33 , 	7 , 	40 , 	36 , 	124 , 	214 , 	106 , 	7 ," 	5,747 ",,,,,,,,,,,
