Exit stations,Entry stations->,,SATURDAY,,,Jan 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
WC, 	8 , 	15 , 	10 , 	15 , 	53 , 	9 , 	33 , 	58 , 	65 , 	10 , 	20 , 	10 , 	9 , 	9 , 	4 , 	3 , 	5 , 	4 , 	152 , 	73 , 	16 , 	30 , 	25 , 	59 , 	9 , 	287 , 	170 , 	279 , 	169 , 	57 , 	41 , 	23 , 	16 , 	22 , 	5 , 	1 , 	2 , 	19 , 	53 , 	5 , 	9 , 	111 , 	11 , 	1 , 	16 , 	7 , 	-   , 	-   , 	28 , 	41 ," 	2,073 ",,,,,,,,,,
LF, 	4 , 	5 , 	5 , 	6 , 	25 , 	5 , 	17 , 	30 , 	37 , 	3 , 	9 , 	8 , 	3 , 	3 , 	2 , 	2 , 	1 , 	2 , 	63 , 	21 , 	24 , 	11 , 	7 , 	35 , 	3 , 	187 , 	105 , 	175 , 	129 , 	39 , 	19 , 	11 , 	5 , 	7 , 	1 , 	1 , 	1 , 	6 , 	18 , 	2 , 	3 , 	51 , 	7 , 	0 , 	14 , 	3 , 	-   , 	-   , 	6 , 	4 ," 	1,118 ",,,,,,,,,,
OR, 	5 , 	4 , 	6 , 	2 , 	27 , 	3 , 	12 , 	26 , 	40 , 	3 , 	9 , 	8 , 	4 , 	2 , 	1 , 	0 , 	0 , 	1 , 	16 , 	13 , 	29 , 	11 , 	7 , 	20 , 	2 , 	181 , 	101 , 	161 , 	97 , 	38 , 	22 , 	6 , 	7 , 	5 , 	2 , 	1 , 	2 , 	1 , 	4 , 	4 , 	1 , 	46 , 	3 , 	1 , 	6 , 	4 , 	-   , 	-   , 	1 , 	3 , 	942 ,,,,,,,,,,
RR, 	19 , 	28 , 	23 , 	13 , 	25 , 	10 , 	39 , 	98 , 	136 , 	11 , 	35 , 	14 , 	13 , 	8 , 	7 , 	3 , 	8 , 	7 , 	45 , 	48 , 	59 , 	33 , 	20 , 	18 , 	19 , 	308 , 	218 , 	356 , 	266 , 	136 , 	83 , 	38 , 	21 , 	14 , 	4 , 	2 , 	6 , 	7 , 	10 , 	6 , 	5 , 	107 , 	14 , 	3 , 	11 , 	8 , 	-   , 	-   , 	3 , 	11 ," 	2,372 ",,,,,,,,,,
OW, 	11 , 	17 , 	8 , 	8 , 	34 , 	16 , 	22 , 	46 , 	51 , 	14 , 	43 , 	31 , 	17 , 	18 , 	11 , 	5 , 	7 , 	5 , 	7 , 	7 , 	9 , 	2 , 	3 , 	16 , 	16 , 	558 , 	447 , 	830 , 	441 , 	271 , 	178 , 	34 , 	33 , 	28 , 	7 , 	4 , 	15 , 	3 , 	8 , 	6 , 	14 , 	69 , 	13 , 	9 , 	6 , 	9 , 	-   , 	-   , 	3 , 	7 ," 	3,411 ",,,,,,,,,,
EM, 	171 , 	316 , 	195 , 	223 , 	442 , 	214 , 	389 , 	409 , 	400 , 	288 , 	333 , 	162 , 	240 , 	182 , 	117 , 	86 , 	140 , 	176 , 	189 , 	267 , 	311 , 	214 , 	189 , 	349 , 	709 , 	85 , 	35 , 	195 , 	154 , 	367 , 	467 , 	273 , 	378 , 	301 , 	88 , 	117 , 	439 , 	60 , 	108 , 	78 , 	88 , 	246 , 	175 , 	163 , 	51 , 	160 , 	-   , 	-   , 	28 , 	83 ," 	10,841 ",,,,,,,,,,
MT, 	143 , 	240 , 	160 , 	181 , 	386 , 	180 , 	343 , 	393 , 	325 , 	290 , 	282 , 	118 , 	223 , 	209 , 	91 , 	70 , 	121 , 	110 , 	132 , 	167 , 	185 , 	124 , 	100 , 	246 , 	588 , 	39 , 	50 , 	49 , 	95 , 	418 , 	491 , 	310 , 	761 , 	371 , 	113 , 	108 , 	249 , 	44 , 	78 , 	77 , 	88 , 	212 , 	169 , 	103 , 	35 , 	117 , 	-   , 	-   , 	18 , 	54 ," 	9,450 ",,,,,,,,,,
PL, 	249 , 	463 , 	244 , 	237 , 	489 , 	247 , 	436 , 	435 , 	444 , 	370 , 	484 , 	201 , 	291 , 	299 , 	152 , 	119 , 	157 , 	180 , 	215 , 	256 , 	277 , 	166 , 	169 , 	337 , 	872 , 	249 , 	53 , 	108 , 	175 ," 	1,109 "," 	1,328 ", 	734 ," 	1,229 "," 	1,068 ", 	266 , 	142 , 	410 , 	76 , 	194 , 	201 , 	219 , 	744 , 	413 , 	155 , 	52 , 	159 , 	-   , 	-   , 	44 , 	122 ," 	17,035 ",,,,,,,,,,
CC, 	130 , 	220 , 	157 , 	222 , 	309 , 	179 , 	313 , 	342 , 	264 , 	224 , 	292 , 	120 , 	158 , 	130 , 	74 , 	65 , 	87 , 	127 , 	137 , 	175 , 	195 , 	157 , 	134 , 	303 , 	493 , 	207 , 	104 , 	177 , 	60 , 	448 , 	602 , 	357 , 	404 , 	467 , 	130 , 	95 , 	323 , 	57 , 	91 , 	129 , 	139 , 	305 , 	401 , 	151 , 	24 , 	102 , 	-   , 	-   , 	15 , 	59 ," 	9,850 ",,,,,,,,,,
16, 	79 , 	89 , 	69 , 	106 , 	192 , 	130 , 	225 , 	276 , 	157 , 	145 , 	154 , 	61 , 	52 , 	54 , 	25 , 	22 , 	32 , 	31 , 	42 , 	50 , 	66 , 	42 , 	44 , 	140 , 	304 , 	378 , 	380 ," 	1,169 ", 	473 , 	31 , 	201 , 	232 , 	331 , 	249 , 	79 , 	26 , 	80 , 	14 , 	34 , 	65 , 	82 , 	157 , 	167 , 	31 , 	12 , 	38 , 	-   , 	-   , 	12 , 	20 ," 	6,837 ",,,,,,,,,,
24, 	99 , 	96 , 	52 , 	81 , 	143 , 	98 , 	153 , 	190 , 	125 , 	103 , 	132 , 	46 , 	44 , 	35 , 	36 , 	17 , 	21 , 	25 , 	32 , 	36 , 	44 , 	26 , 	25 , 	93 , 	197 , 	470 , 	455 ," 	1,483 ", 	624 , 	176 , 	33 , 	182 , 	290 , 	218 , 	93 , 	21 , 	46 , 	12 , 	33 , 	65 , 	92 , 	127 , 	122 , 	17 , 	14 , 	20 , 	-   , 	-   , 	6 , 	13 ," 	6,559 ",,,,,,,,,,
GP, 	17 , 	29 , 	16 , 	21 , 	65 , 	23 , 	39 , 	56 , 	50 , 	28 , 	25 , 	17 , 	21 , 	17 , 	8 , 	6 , 	8 , 	9 , 	21 , 	14 , 	18 , 	11 , 	3 , 	42 , 	37 , 	267 , 	241 , 	828 , 	254 , 	203 , 	201 , 	20 , 	47 , 	41 , 	32 , 	9 , 	24 , 	3 , 	14 , 	15 , 	37 , 	84 , 	49 , 	10 , 	7 , 	8 , 	-   , 	-   , 	3 , 	6 ," 	2,996 ",,,,,,,,,,
BP, 	21 , 	32 , 	15 , 	9 , 	31 , 	15 , 	28 , 	35 , 	50 , 	32 , 	40 , 	23 , 	19 , 	18 , 	10 , 	6 , 	10 , 	10 , 	16 , 	11 , 	14 , 	5 , 	5 , 	21 , 	38 , 	289 , 	333 ," 	1,560 ", 	339 , 	262 , 	262 , 	46 , 	25 , 	40 , 	34 , 	8 , 	16 , 	5 , 	12 , 	28 , 	69 , 	104 , 	62 , 	5 , 	6 , 	7 , 	-   , 	-   , 	3 , 	9 ," 	4,032 ",,,,,,,,,,
DC, 	25 , 	35 , 	15 , 	11 , 	46 , 	17 , 	33 , 	38 , 	48 , 	21 , 	29 , 	21 , 	21 , 	22 , 	12 , 	14 , 	17 , 	15 , 	17 , 	12 , 	20 , 	6 , 	6 , 	18 , 	35 , 	330 , 	292 ," 	1,209 ", 	361 , 	270 , 	221 , 	47 , 	47 , 	25 , 	22 , 	11 , 	34 , 	8 , 	15 , 	23 , 	82 , 	206 , 	75 , 	12 , 	8 , 	11 , 	-   , 	-   , 	2 , 	16 ," 	3,874 ",,,,,,,,,,
CM, 	7 , 	15 , 	3 , 	3 , 	9 , 	2 , 	10 , 	12 , 	19 , 	4 , 	9 , 	1 , 	5 , 	4 , 	3 , 	3 , 	5 , 	1 , 	10 , 	7 , 	8 , 	3 , 	2 , 	5 , 	9 , 	81 , 	86 , 	306 , 	101 , 	72 , 	80 , 	26 , 	36 , 	19 , 	9 , 	1 , 	6 , 	3 , 	12 , 	10 , 	29 , 	132 , 	20 , 	2 , 	0 , 	2 , 	-   , 	-   , 	3 , 	8 ," 	1,198 ",,,,,,,,,,
CV, 	2 , 	6 , 	4 , 	3 , 	16 , 	6 , 	6 , 	11 , 	19 , 	56 , 	34 , 	22 , 	26 , 	28 , 	10 , 	7 , 	10 , 	7 , 	3 , 	2 , 	1 , 	1 , 	2 , 	4 , 	4 , 	105 , 	91 , 	161 , 	76 , 	32 , 	18 , 	12 , 	8 , 	13 , 	1 , 	7 , 	44 , 	1 , 	2 , 	2 , 	5 , 	15 , 	3 , 	49 , 	4 , 	8 , 	-   , 	-   , 	1 , 	3 , 	944 ,,,,,,,,,,
ED, 	6 , 	12 , 	9 , 	6 , 	47 , 	9 , 	13 , 	20 , 	28 , 	80 , 	69 , 	45 , 	32 , 	56 , 	23 , 	16 , 	19 , 	22 , 	4 , 	3 , 	5 , 	1 , 	2 , 	9 , 	17 , 	435 , 	198 , 	426 , 	224 , 	81 , 	48 , 	26 , 	25 , 	33 , 	6 , 	45 , 	23 , 	1 , 	3 , 	7 , 	8 , 	80 , 	12 , 	28 , 	37 , 	22 , 	-   , 	-   , 	1 , 	2 ," 	2,319 ",,,,,,,,,,
NC, 	1 , 	3 , 	1 , 	2 , 	7 , 	1 , 	8 , 	8 , 	8 , 	3 , 	3 , 	5 , 	2 , 	1 , 	3 , 	0 , 	1 , 	1 , 	16 , 	8 , 	19 , 	5 , 	3 , 	6 , 	2 , 	65 , 	41 , 	76 , 	34 , 	14 , 	15 , 	5 , 	5 , 	7 , 	2 , 	2 , 	1 , 	3 , 	6 , 	1 , 	3 , 	29 , 	4 , 	0 , 	4 , 	4 , 	-   , 	-   , 	5 , 	5 , 	445 ,,,,,,,,,,
WP, 	9 , 	11 , 	4 , 	3 , 	14 , 	4 , 	26 , 	19 , 	25 , 	4 , 	14 , 	13 , 	7 , 	7 , 	6 , 	4 , 	4 , 	3 , 	68 , 	33 , 	53 , 	17 , 	8 , 	13 , 	10 , 	114 , 	68 , 	216 , 	60 , 	37 , 	33 , 	16 , 	13 , 	15 , 	12 , 	1 , 	1 , 	7 , 	16 , 	4 , 	8 , 	63 , 	3 , 	-   , 	8 , 	6 , 	-   , 	-   , 	10 , 	8 ," 	1,092 ",,,,,,,,,,
