Exit stations,Entry stations->,,SUNDAY,,,Jan 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
OW, 	6 , 	10 , 	2 , 	8 , 	35 , 	13 , 	21 , 	28 , 	34 , 	9 , 	22 , 	19 , 	8 , 	9 , 	7 , 	1 , 	3 , 	3 , 	7 , 	6 , 	6 , 	2 , 	2 , 	11 , 	28 , 	334 , 	252 , 	627 , 	295 , 	165 , 	106 , 	27 , 	29 , 	19 , 	8 , 	2 , 	4 , 	2 , 	6 , 	6 , 	12 , 	79 , 	10 , 	1 , 	5 , 	4 , 	-   , 	-   , 	1 , 	9 ," 	2,297 ",,,,,,,,,,,
EM, 	135 , 	219 , 	151 , 	207 , 	426 , 	197 , 	337 , 	418 , 	435 , 	171 , 	210 , 	100 , 	147 , 	128 , 	93 , 	51 , 	90 , 	120 , 	131 , 	163 , 	230 , 	115 , 	142 , 	294 , 	668 , 	101 , 	16 , 	84 , 	54 , 	187 , 	262 , 	137 , 	162 , 	138 , 	46 , 	66 , 	253 , 	47 , 	78 , 	36 , 	47 , 	189 , 	73 , 	80 , 	77 , 	111 , 	-   , 	-   , 	26 , 	59 ," 	7,703 ",,,,,,,,,,,
MT, 	71 , 	109 , 	70 , 	81 , 	222 , 	80 , 	161 , 	172 , 	206 , 	79 , 	80 , 	51 , 	72 , 	92 , 	37 , 	27 , 	51 , 	49 , 	66 , 	79 , 	93 , 	54 , 	46 , 	113 , 	267 , 	17 , 	65 , 	22 , 	39 , 	195 , 	244 , 	157 , 	440 , 	176 , 	63 , 	27 , 	96 , 	25 , 	42 , 	40 , 	54 , 	204 , 	63 , 	37 , 	24 , 	56 , 	-   , 	-   , 	17 , 	34 ," 	4,557 ",,,,,,,,,,,
PL, 	143 , 	242 , 	114 , 	115 , 	250 , 	110 , 	245 , 	238 , 	326 , 	124 , 	206 , 	104 , 	120 , 	138 , 	78 , 	49 , 	74 , 	83 , 	134 , 	129 , 	160 , 	97 , 	83 , 	185 , 	528 , 	78 , 	21 , 	155 , 	80 , 	656 , 	746 , 	440 , 	769 , 	560 , 	176 , 	60 , 	211 , 	43 , 	116 , 	147 , 	141 , 	585 , 	193 , 	54 , 	47 , 	69 , 	-   , 	-   , 	26 , 	63 ," 	9,505 ",,,,,,,,,,,
CC, 	58 , 	86 , 	68 , 	93 , 	144 , 	85 , 	179 , 	182 , 	169 , 	65 , 	130 , 	49 , 	65 , 	58 , 	31 , 	18 , 	31 , 	40 , 	56 , 	90 , 	104 , 	77 , 	57 , 	157 , 	267 , 	40 , 	30 , 	82 , 	95 , 	230 , 	289 , 	149 , 	253 , 	202 , 	83 , 	31 , 	109 , 	19 , 	32 , 	56 , 	86 , 	300 , 	101 , 	33 , 	26 , 	43 , 	-   , 	-   , 	9 , 	36 ," 	4,686 ",,,,,,,,,,,
16, 	52 , 	47 , 	38 , 	59 , 	118 , 	77 , 	131 , 	161 , 	124 , 	52 , 	54 , 	33 , 	22 , 	28 , 	13 , 	11 , 	14 , 	14 , 	19 , 	26 , 	28 , 	20 , 	20 , 	83 , 	169 , 	172 , 	167 , 	688 , 	263 , 	85 , 	80 , 	122 , 	170 , 	122 , 	47 , 	17 , 	26 , 	10 , 	26 , 	42 , 	55 , 	159 , 	60 , 	13 , 	14 , 	17 , 	-   , 	-   , 	3 , 	11 ," 	3,776 ",,,,,,,,,,,
24, 	62 , 	63 , 	33 , 	41 , 	85 , 	58 , 	114 , 	118 , 	95 , 	40 , 	66 , 	26 , 	20 , 	18 , 	16 , 	10 , 	10 , 	12 , 	32 , 	26 , 	31 , 	13 , 	17 , 	68 , 	128 , 	231 , 	211 , 	844 , 	318 , 	92 , 	97 , 	150 , 	208 , 	155 , 	67 , 	10 , 	22 , 	7 , 	30 , 	47 , 	77 , 	184 , 	81 , 	10 , 	18 , 	12 , 	-   , 	-   , 	8 , 	13 ," 	4,090 ",,,,,,,,,,,
GP, 	18 , 	23 , 	8 , 	21 , 	49 , 	19 , 	29 , 	32 , 	38 , 	15 , 	17 , 	10 , 	8 , 	11 , 	6 , 	4 , 	5 , 	6 , 	17 , 	16 , 	16 , 	10 , 	9 , 	25 , 	31 , 	133 , 	121 , 	537 , 	140 , 	134 , 	117 , 	38 , 	25 , 	29 , 	20 , 	3 , 	11 , 	5 , 	10 , 	9 , 	32 , 	91 , 	27 , 	5 , 	9 , 	6 , 	-   , 	-   , 	3 , 	5 ," 	1,945 ",,,,,,,,,,,
BP, 	17 , 	24 , 	9 , 	11 , 	20 , 	8 , 	22 , 	27 , 	45 , 	15 , 	19 , 	11 , 	14 , 	18 , 	6 , 	2 , 	4 , 	5 , 	11 , 	6 , 	13 , 	3 , 	5 , 	12 , 	27 , 	173 , 	207 ," 	1,056 ", 	223 , 	175 , 	162 , 	30 , 	46 , 	28 , 	32 , 	6 , 	13 , 	3 , 	9 , 	14 , 	58 , 	113 , 	44 , 	4 , 	7 , 	9 , 	-   , 	-   , 	4 , 	10 ," 	2,774 ",,,,,,,,,,,
DC, 	17 , 	26 , 	8 , 	13 , 	34 , 	14 , 	26 , 	24 , 	30 , 	12 , 	17 , 	7 , 	12 , 	12 , 	5 , 	5 , 	9 , 	12 , 	11 , 	12 , 	15 , 	5 , 	5 , 	16 , 	26 , 	132 , 	141 , 	670 , 	195 , 	141 , 	129 , 	27 , 	25 , 	22 , 	14 , 	6 , 	19 , 	4 , 	13 , 	12 , 	65 , 	215 , 	51 , 	9 , 	9 , 	9 , 	-   , 	-   , 	2 , 	8 ," 	2,285 ",,,,,,,,,,,
