Avg Saturday Trip OD																																																			
																																																			
2024 / 07																																																			
	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday
ED	4	8	5	4	58	7	13	20	13	39	52	145	44	45	22	15	13	24	3	2	2	2	1	3	8	343	124	176	108	48	22	18	14	24	4	36	35	1	2	2	4	65	9	14	22	6	1	1	21	26	"1,675"
NC	2	0	1		3	1	8	9	9	0	0	3	0	1	2	1	1	0	13	4	10	5	3	8	0	40	17	24	17	6	3	1	3	2	0		2	4	7	1	1	15	1		4	1	5	5	1	1	240
WP	4	7	2	3	8	2	23	10	9	2	10	8	6	4	2	2	1	1	66	28	47	8	5	17	4	71	34	98	30	17	19	8	8	14	7	1	2	8	10	3	5	45	2	1	5	4	8	8	3	5	690
SS	4	8	2	1	6	3	5	6	11	1	5	5	1	3	2	2	2		4	4	5	1	2	5	9	55	29	92	62	36	39	17	26	31	4	2	2	1	4	8	15	30	8	0	2	0	1	4	1	1	562
SB	8	13	3	2	13	2	7	7	15	2	4	9	3	3	4	1	0	3	9	2	6	1	1	3	15	62	42	135	78	63	54	30	37	51	18	2	4	2	4	18	12	78	8	1	1	1	1	4	1	1	838
SO	36	41	35	40	98	29	51	36	44	12	23	13	10	3	6	2	5	7	48	62	58	51	38	42	49	194	152	616	185	116	69	48	48	99	34	7	40	9	32	22	44	73	201	13	14	3	5	37	4	3	"2,898"
MB	10	10	5	6	48	6	10	14	16	3	7	7	2	1	4	1	1	1	3	3	4	1	2	3	9	104	62	130	109	71	50	33	31	64	13		4	0	1	10	9	273	30	1	2	1	1	3	0	1	"1,173"
WD	2	2	2	2	10	3	4	5	2	20	28	49	22	31	19	11	6	11	4	1	1	0		2	3	116	43	62	38	19	10	7	6	7	1	39	18		1		0	10	1	14	7	3	1	1	10	8	656
OA	2	9	10	8	21	6	7	6	13	11	2	31	4	3	2	3	6	4	5	6	8	4	3	5	1	33	14	41	20	7	5	8	3	5	0	8	12	2	6	1	1	12		3	7	2	1	7	5	5	384
WS	3	6	2	3	20	2	9	10	7	10	17	32	12	13	23	23	27	21	2	1	2	1	1	0	2	64	23	46	22	11	5	1	2	8		1	3	1	2	0	1	5	0	2	4	8	1		29	30	512
PC	5	3	1	1	2	2	11	6	6	1	5	4	1	1	3	1	1	1	39	14	15	3	3	5	3	16	7	14	9	8	3	3	4	3	2	1	2	6	10	1	1	5	1	1	1	1	2	10	1	1	242
AN	8	4	3	2	10	4	32	14	11	5	12	14	7	5	6	3	3	4	49	22	38	10	6	19	6	72	26	62	30	15	18	9	9	12	5	1	1	7	12	5	3	47	2	0	7	1	11	8	3	7	662
ML	8	10	6	6	61	10	15	14	11	22	22	35	22	20	41	27	46	59	6	3	2	1	3	3	3	85	45	78	41	14	7	5	5	10	1	5	17	1	2	1	1	11	1	10	4	34	1	4	22	22	875
BE	9	20	10	11	91	13	23	30	14	22	33	59	29	32	49	29	52	64	5	6	5	2	3	5	10	112	55	94	71	37	20	12	14	15	5	4	30	2	4	1	0	7	1	7	8	41	1	6	18	28	"1,214"
Grand Total	"1,321"	"1,626"	"1,098"	"1,053"	"3,336"	"1,113"	"2,147"	"2,107"	"2,010"	"1,282"	"1,980"	"1,905"	"1,496"	"1,306"	"1,089"	669	857	"1,014"	"1,196"	980	"1,339"	777	613	"1,372"	"2,268"	"7,017"	"3,868"	"8,487"	"4,496"	"3,530"	"3,301"	"1,646"	"2,065"	"2,145"	682	599	"1,823"	249	714	586	779	"3,612"	"1,264"	675	509	606	218	595	921	"1,137"	"87,469"
