Exit stations,Entry stations->,,SATURDAY,,,Dec 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
LF, 	6 , 	6 , 	14 , 	11 , 	44 , 	10 , 	21 , 	28 , 	33 , 	5 , 	19 , 	87 , 	6 , 	3 , 	2 , 	4 , 	4 , 	6 , 	74 , 	27 , 	45 , 	8 , 	10 , 	57 , 	4 , 	217 , 	193 , 	445 , 	157 , 	36 , 	26 , 	17 , 	5 , 	14 , 	1 , 	4 , 	3 , 	7 , 	23 , 	1 , 	3 , 	61 , 	9 , 	2 ," 	1,753 ",,,CM line," 	37,814 "," 	4,575 "," 	6,236 ",,,,,
OR, 	3 , 	8 , 	8 , 	6 , 	35 , 	8 , 	18 , 	24 , 	35 , 	5 , 	13 , 	57 , 	3 , 	2 , 	3 , 	1 , 	2 , 	6 , 	26 , 	17 , 	38 , 	12 , 	5 , 	53 , 	2 , 	193 , 	188 , 	375 , 	110 , 	29 , 	28 , 	10 , 	8 , 	8 , 	4 , 	1 , 	3 , 	3 , 	11 , 	4 , 	2 , 	37 , 	8 , 	-   ," 	1,408 ",,,RM line," 	16,994 "," 	5,287 "," 	4,510 "," 	3,928 ",,,,
RR, 	15 , 	27 , 	29 , 	16 , 	50 , 	15 , 	56 , 	96 , 	81 , 	27 , 	32 , 	41 , 	18 , 	11 , 	9 , 	6 , 	9 , 	13 , 	50 , 	55 , 	91 , 	62 , 	63 , 	19 , 	18 , 	358 , 	410 , 	755 , 	382 , 	173 , 	129 , 	47 , 	26 , 	19 , 	5 , 	5 , 	9 , 	14 , 	27 , 	5 , 	4 , 	88 , 	16 , 	5 ," 	3,380 ",,,WP line," 	19,386 "," 	2,513 "," 	2,988 "," 	1,763 "," 	3,099 ",,,
OW, 	18 , 	27 , 	13 , 	13 , 	57 , 	34 , 	52 , 	36 , 	97 , 	19 , 	84 , 	77 , 	23 , 	42 , 	18 , 	10 , 	9 , 	10 , 	10 , 	5 , 	11 , 	5 , 	2 , 	18 , 	10 , 	488 , 	385 ," 	1,012 ", 	326 , 	181 , 	123 , 	28 , 	42 , 	20 , 	6 , 	7 , 	13 , 	2 , 	19 , 	4 , 	9 , 	43 , 	9 , 	6 ," 	3,416 ",,,FT/ED line," 	24,952 "," 	6,314 "," 	4,026 "," 	4,812 "," 	2,509 "," 	7,704 ",,
EM, 	125 , 	342 , 	204 , 	339 , 	584 , 	263 , 	456 , 	300 , 	371 , 	379 , 	494 , 	458 , 	323 , 	324 , 	288 , 	176 , 	359 , 	747 , 	219 , 	324 , 	523 , 	278 , 	245 , 	460 , 	585 , 	79 , 	52 , 	592 , 	216 , 	575 , 	747 , 	441 , 	561 , 	495 , 	142 , 	262 , 	882 , 	98 , 	214 , 	150 , 	192 , 	384 , 	494 , 	229 ," 	15,967 ",,,SFIA," 	12,465 ", 	815 ," 	4,482 "," 	1,382 "," 	1,388 "," 	1,016 ", 	940 ," 	204,157 "
MT, 	144 , 	395 , 	262 , 	325 , 	567 , 	309 , 	500 , 	334 , 	388 , 	271 , 	265 , 	170 , 	176 , 	166 , 	90 , 	67 , 	117 , 	238 , 	309 , 	371 , 	468 , 	247 , 	217 , 	497 , 	467 , 	50 , 	41 , 	96 , 	149 , 	545 , 	688 , 	511 ," 	1,178 ", 	418 , 	158 , 	106 , 	302 , 	118 , 	278 , 	116 , 	138 , 	349 , 	328 , 	91 ," 	13,017 ",,,,,,,,,,,
PL, 	281 , 	744 , 	453 , 	514 ," 	1,114 ", 	430 , 	817 , 	518 , 	638 , 	561 , 	765 , 	576 , 	496 , 	502 , 	281 , 	197 , 	351 , 	753 , 	405 , 	568 , 	790 , 	499 , 	417 , 	769 ," 	1,060 ", 	539 , 	96 , 	152 , 	384 ," 	1,777 "," 	2,158 "," 	1,373 "," 	2,194 "," 	1,572 ", 	489 , 	339 ," 	1,308 ", 	190 , 	411 , 	406 , 	392 ," 	1,497 "," 	1,062 ", 	349 ," 	31,181 ",,,,,,,,,,,
CC, 	106 , 	211 , 	165 , 	288 , 	480 , 	271 , 	482 , 	322 , 	267 , 	225 , 	342 , 	177 , 	126 , 	119 , 	69 , 	53 , 	91 , 	176 , 	120 , 	188 , 	249 , 	170 , 	125 , 	406 , 	364 , 	204 , 	127 , 	353 , 	66 , 	713 , 	962 , 	446 , 	644 , 	414 , 	172 , 	104 , 	317 , 	65 , 	124 , 	114 , 	200 , 	495 , 	395 , 	77 ," 	11,579 ",,,,,,,,,,,
16, 	73 , 	86 , 	65 , 	159 , 	310 , 	219 , 	306 , 	217 , 	154 , 	132 , 	152 , 	85 , 	42 , 	49 , 	38 , 	23 , 	34 , 	69 , 	47 , 	47 , 	63 , 	44 , 	38 , 	216 , 	197 , 	468 , 	451 ," 	1,916 ", 	736 , 	39 , 	352 , 	339 , 	538 , 	271 , 	103 , 	31 , 	89 , 	13 , 	59 , 	79 , 	124 , 	168 , 	199 , 	19 ," 	8,853 ",,,,,,,,,,,
24, 	85 , 	119 , 	63 , 	106 , 	208 , 	146 , 	239 , 	145 , 	109 , 	83 , 	145 , 	77 , 	43 , 	43 , 	23 , 	26 , 	20 , 	48 , 	43 , 	42 , 	64 , 	36 , 	24 , 	143 , 	145 , 	603 , 	505 ," 	2,364 ", 	971 , 	313 , 	46 , 	293 , 	516 , 	260 , 	130 , 	19 , 	52 , 	11 , 	63 , 	65 , 	157 , 	165 , 	170 , 	12 ," 	8,936 ",,,,,,,,,,,
GP, 	21 , 	46 , 	33 , 	35 , 	82 , 	31 , 	49 , 	40 , 	46 , 	31 , 	39 , 	49 , 	21 , 	20 , 	12 , 	8 , 	13 , 	27 , 	36 , 	27 , 	38 , 	22 , 	13 , 	44 , 	34 , 	370 , 	328 ," 	1,469 ", 	405 , 	286 , 	264 , 	21 , 	77 , 	62 , 	41 , 	13 , 	47 , 	13 , 	31 , 	24 , 	71 , 	90 , 	77 , 	11 ," 	4,514 ",,,,,,,,,,,
BP, 	34 , 	51 , 	16 , 	21 , 	55 , 	28 , 	44 , 	33 , 	61 , 	31 , 	57 , 	50 , 	23 , 	30 , 	15 , 	12 , 	12 , 	25 , 	20 , 	23 , 	22 , 	10 , 	8 , 	19 , 	37 , 	463 , 	454 ," 	2,638 ", 	541 , 	423 , 	453 , 	79 , 	41 , 	81 , 	83 , 	7 , 	33 , 	4 , 	39 , 	45 , 	145 , 	64 , 	87 , 	8 ," 	6,421 ",,,,,,,,,,,
DC, 	29 , 	50 , 	16 , 	12 , 	81 , 	16 , 	33 , 	36 , 	41 , 	39 , 	49 , 	87 , 	28 , 	32 , 	21 , 	23 , 	24 , 	39 , 	36 , 	31 , 	30 , 	12 , 	12 , 	23 , 	27 , 	450 , 	361 ," 	1,614 ", 	386 , 	241 , 	263 , 	62 , 	100 , 	17 , 	39 , 	16 , 	50 , 	10 , 	44 , 	42 , 	134 , 	131 , 	117 , 	11 ," 	4,912 ",,,,,,,,,,,
CM, 	6 , 	22 , 	4 , 	3 , 	14 , 	8 , 	9 , 	11 , 	25 , 	4 , 	7 , 	19 , 	6 , 	11 , 	4 , 	4 , 	5 , 	5 , 	5 , 	7 , 	9 , 	3 , 	6 , 	7 , 	10 , 	111 , 	116 , 	537 , 	187 , 	86 , 	128 , 	44 , 	96 , 	42 , 	11 , 	2 , 	8 , 	3 , 	16 , 	11 , 	70 , 	60 , 	39 , 	1 ," 	1,777 ",,,,,,,,,,,
CV, 	5 , 	4 , 	8 , 	4 , 	20 , 	8 , 	11 , 	16 , 	16 , 	49 , 	51 , 	54 , 	25 , 	59 , 	19 , 	14 , 	9 , 	21 , 	8 , 	2 , 	5 , 	2 , 	3 , 	4 , 	8 , 	224 , 	90 , 	333 , 	89 , 	29 , 	17 , 	11 , 	7 , 	13 , 	2 , 	6 , 	60 , 	1 , 	4 , 	3 , 	3 , 	16 , 	4 , 	60 ," 	1,393 ",,,,,,,,,,,
ED, 	8 , 	16 , 	10 , 	9 , 	57 , 	17 , 	17 , 	26 , 	28 , 	55 , 	75 , 	158 , 	33 , 	99 , 	34 , 	24 , 	26 , 	52 , 	10 , 	5 , 	7 , 	2 , 	1 , 	10 , 	13 , 	707 , 	239 ," 	1,190 ", 	257 , 	65 , 	41 , 	42 , 	32 , 	56 , 	7 , 	65 , 	14 , 	2 , 	9 , 	6 , 	11 , 	106 , 	11 , 	27 ," 	3,670 ",,,,,,,,,,,
NC, 	3 , 	3 , 	3 , 	3 , 	9 , 	4 , 	11 , 	9 , 	14 , 	2 , 	7 , 	18 , 	5 , 	3 , 	2 , 	3 , 	3 , 	5 , 	28 , 	11 , 	31 , 	7 , 	2 , 	13 , 	2 , 	73 , 	110 , 	177 , 	49 , 	12 , 	11 , 	10 , 	5 , 	12 , 	3 , 	1 , 	1 , 	5 , 	21 , 	5 , 	4 , 	20 , 	5 , 	0 , 	718 ,,,,,,,,,,,
WP, 	34 , 	46 , 	14 , 	12 , 	41 , 	26 , 	112 , 	48 , 	79 , 	12 , 	53 , 	93 , 	27 , 	31 , 	22 , 	18 , 	17 , 	31 , 	229 , 	65 , 	116 , 	20 , 	14 , 	30 , 	31 , 	180 , 	201 , 	434 , 	148 , 	58 , 	74 , 	41 , 	45 , 	46 , 	19 , 	5 , 	9 , 	29 , 	18 , 	18 , 	22 , 	70 , 	17 , 	4 ," 	2,652 ",,,,,,,,,,,
