Exit stations,Entry stations->,,TOTAL,,,Feb 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
WC, 	574 , 	682 , 	591 , 	612 ," 	3,155 ", 	498 ," 	3,271 "," 	6,753 "," 	6,897 ", 	506 , 	757 ," 	1,093 ", 	529 , 	217 , 	445 , 	285 , 	330 , 	308 ," 	6,060 "," 	2,768 ", 	649 ," 	1,217 ", 	755 ," 	3,208 ", 	450 ," 	27,365 "," 	27,481 "," 	12,238 "," 	10,273 "," 	2,877 "," 	1,571 "," 	1,098 ", 	984 ," 	1,348 ", 	323 , 	120 , 	96 ," 	1,011 "," 	2,580 ", 	517 , 	481 ," 	3,599 ", 	608 , 	46 , 	852 , 	302 , 	-   , 	-   ," 	1,047 "," 	1,891 "," 	141,318 ",,,,,,,,,,,,,
LF, 	168 , 	162 , 	194 , 	165 ," 	1,489 ", 	196 ," 	1,232 "," 	3,473 "," 	3,055 ", 	186 , 	324 , 	550 , 	121 , 	47 , 	137 , 	36 , 	79 , 	130 ," 	2,181 "," 	1,240 "," 	1,217 ", 	375 , 	329 ," 	1,519 ", 	93 ," 	17,748 "," 	16,800 "," 	6,115 "," 	6,014 "," 	1,472 ", 	876 , 	439 , 	317 , 	638 , 	103 , 	17 , 	31 , 	246 , 	569 , 	120 , 	203 ," 	2,007 ", 	309 , 	15 , 	544 , 	102 , 	-   , 	-   , 	342 , 	325 ," 	74,050 ",,,,,,,,,,,,,
OR, 	177 , 	267 , 	125 , 	191 ," 	1,154 ", 	149 , 	882 ," 	2,482 "," 	2,669 ", 	219 , 	344 , 	470 , 	169 , 	67 , 	114 , 	46 , 	86 , 	154 , 	813 , 	686 , 	813 , 	389 , 	399 ," 	1,145 ", 	81 ," 	15,965 "," 	14,666 "," 	5,660 "," 	5,168 "," 	1,378 ", 	750 , 	641 , 	400 , 	506 , 	53 , 	47 , 	68 , 	137 , 	224 , 	150 , 	197 ," 	1,584 ", 	270 , 	21 , 	322 , 	124 , 	-   , 	-   , 	150 , 	244 ," 	62,816 ",,,,,,,,,,,,,
RR, 	573 , 	806 , 	673 , 	433 ," 	1,230 ", 	283 ," 	1,338 "," 	4,509 "," 	4,439 ", 	803 ," 	1,067 ", 	735 , 	488 , 	157 , 	383 , 	177 , 	260 , 	396 ," 	1,831 "," 	2,565 "," 	3,189 "," 	1,407 "," 	1,313 ", 	593 , 	441 ," 	22,732 "," 	24,167 "," 	13,462 "," 	14,523 "," 	5,154 "," 	2,696 "," 	1,255 "," 	1,164 "," 	1,046 ", 	115 , 	106 , 	228 , 	498 , 	799 , 	270 , 	278 ," 	2,814 ", 	670 , 	132 , 	368 , 	298 , 	-   , 	-   , 	356 , 	727 ," 	123,947 ",,,,,,,,,,,,,
OW, 	475 , 	724 , 	256 , 	306 ," 	1,655 ", 	521 , 	948 ," 	1,391 "," 	2,372 ", 	736 ," 	2,041 "," 	1,997 ", 	919 , 	691 , 	701 , 	324 , 	295 , 	251 , 	366 , 	243 , 	391 , 	122 , 	73 , 	389 , 	671 ," 	37,803 "," 	33,856 "," 	26,675 "," 	20,139 "," 	8,722 "," 	5,250 "," 	1,370 "," 	1,781 "," 	1,589 ", 	358 , 	243 , 	563 , 	109 , 	384 , 	441 , 	549 ," 	2,336 ", 	798 , 	205 , 	193 , 	327 , 	-   , 	-   , 	222 , 	328 ," 	163,099 ",,,,,,,,,,,,,
EM," 	9,903 "," 	21,180 "," 	14,553 "," 	14,941 "," 	24,071 "," 	18,642 "," 	27,673 "," 	39,038 "," 	35,593 "," 	24,853 "," 	24,774 "," 	14,165 "," 	20,108 "," 	17,630 "," 	12,379 "," 	10,233 "," 	21,096 "," 	29,865 "," 	21,010 "," 	41,141 "," 	32,337 "," 	20,489 "," 	18,625 "," 	25,668 "," 	47,757 "," 	4,527 "," 	3,072 "," 	11,159 "," 	13,746 "," 	25,524 "," 	40,763 "," 	26,751 "," 	34,300 "," 	27,961 "," 	17,459 "," 	13,412 "," 	48,499 "," 	8,370 "," 	12,661 "," 	13,095 "," 	12,766 "," 	7,889 "," 	22,798 "," 	18,495 "," 	3,446 "," 	16,597 ", 	-   , 	-   ," 	2,836 "," 	9,392 "," 	983,242 ",,,,,,,,,,,,,
MT," 	10,307 "," 	20,183 "," 	13,903 "," 	14,474 "," 	19,897 "," 	16,724 "," 	25,023 "," 	32,581 "," 	26,615 "," 	24,603 "," 	22,546 "," 	12,678 "," 	18,617 "," 	16,499 "," 	12,005 "," 	9,101 "," 	17,245 "," 	23,347 "," 	18,596 "," 	35,972 "," 	26,543 "," 	15,397 "," 	13,697 "," 	22,535 "," 	38,887 "," 	3,638 "," 	3,823 "," 	4,280 "," 	13,793 "," 	32,486 "," 	52,133 "," 	36,359 "," 	57,133 "," 	42,854 "," 	23,557 "," 	11,920 "," 	37,663 "," 	8,016 "," 	12,153 "," 	17,308 "," 	16,683 "," 	8,937 "," 	33,384 "," 	14,254 "," 	2,376 "," 	16,751 ", 	-   , 	-   ," 	2,364 "," 	7,500 "," 	967,340 ",,,,,,,,,,,,,
PL," 	9,231 "," 	15,188 "," 	7,639 "," 	7,649 "," 	14,906 "," 	8,608 "," 	15,324 "," 	17,903 "," 	19,341 "," 	14,238 "," 	17,341 "," 	11,931 "," 	11,669 "," 	10,181 "," 	6,457 "," 	4,588 "," 	6,629 "," 	7,890 "," 	9,297 "," 	11,702 "," 	9,719 "," 	5,178 "," 	4,556 "," 	10,303 "," 	25,558 "," 	16,192 "," 	7,255 "," 	3,356 "," 	8,031 "," 	30,761 "," 	39,179 "," 	25,385 "," 	46,662 "," 	29,490 "," 	11,575 "," 	5,358 "," 	15,457 "," 	4,266 "," 	8,334 "," 	8,918 "," 	10,073 "," 	24,181 "," 	18,254 "," 	5,944 "," 	2,208 "," 	6,256 ", 	-   , 	-   ," 	2,172 "," 	5,435 "," 	617,768 ",,,,,,,,,,,,,
CC," 	6,967 "," 	13,014 "," 	8,286 "," 	9,039 "," 	13,327 "," 	10,221 "," 	16,331 "," 	19,150 "," 	16,286 "," 	13,250 "," 	15,914 "," 	8,568 "," 	9,785 "," 	8,693 "," 	5,935 "," 	4,735 "," 	6,456 "," 	6,935 "," 	8,238 "," 	11,384 "," 	8,731 "," 	5,379 "," 	4,514 "," 	11,815 "," 	20,677 "," 	13,473 "," 	13,122 "," 	7,659 "," 	2,088 "," 	14,029 "," 	22,137 "," 	16,501 "," 	27,263 "," 	17,820 "," 	10,165 "," 	4,903 "," 	12,522 "," 	4,053 "," 	6,391 "," 	8,157 "," 	7,968 "," 	9,016 "," 	13,928 "," 	5,061 "," 	1,307 "," 	5,351 ", 	-   , 	-   ," 	1,539 "," 	4,675 "," 	492,758 ",,,,,,,,,,,,,
16," 	3,510 "," 	4,964 "," 	2,678 "," 	3,486 "," 	7,356 "," 	5,303 "," 	7,893 "," 	9,792 "," 	7,446 "," 	5,545 "," 	6,929 "," 	3,561 "," 	3,140 "," 	3,154 "," 	2,068 "," 	1,618 "," 	1,807 "," 	2,075 "," 	2,524 "," 	3,162 "," 	2,082 "," 	1,166 "," 	1,223 "," 	4,523 "," 	9,113 "," 	26,299 "," 	34,380 "," 	35,454 "," 	15,918 "," 	1,183 "," 	5,187 "," 	7,294 "," 	14,078 "," 	7,417 "," 	3,406 "," 	1,534 "," 	4,267 "," 	1,207 "," 	2,748 "," 	3,026 "," 	3,197 "," 	4,114 "," 	6,095 "," 	1,517 ", 	539 ," 	1,671 ", 	-   , 	-   , 	681 ," 	1,812 "," 	289,142 ",,,,,,,,,,,,,
