Exit stations,Entry stations->,,SUNDAY,,,Feb 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
WC, 	7 , 	11 , 	14 , 	18 , 	45 , 	9 , 	28 , 	42 , 	35 , 	9 , 	16 , 	37 , 	3 , 	4 , 	4 , 	4 , 	3 , 	2 , 	103 , 	50 , 	12 , 	18 , 	10 , 	61 , 	8 , 	162 , 	109 , 	217 , 	134 , 	40 , 	32 , 	19 , 	13 , 	17 , 	6 , 	2 , 	2 , 	12 , 	34 , 	5 , 	6 , 	109 , 	16 , 	2 , 	22 , 	7 , 	-   , 	-   , 	13 , 	18 ," 	1,541 ",,,,,,,,,,,
LF, 	1 , 	3 , 	2 , 	4 , 	24 , 	4 , 	14 , 	34 , 	12 , 	5 , 	7 , 	22 , 	4 , 	2 , 	1 , 	1 , 	1 , 	2 , 	36 , 	16 , 	19 , 	10 , 	6 , 	26 , 	2 , 	81 , 	63 , 	119 , 	71 , 	25 , 	20 , 	6 , 	3 , 	7 , 	1 , 	1 , 	0 , 	3 , 	10 , 	2 , 	1 , 	57 , 	5 , 	1 , 	12 , 	5 , 	-   , 	-   , 	10 , 	4 , 	759 ,,,,,,,,,,,
OR, 	1 , 	4 , 	3 , 	4 , 	16 , 	1 , 	11 , 	16 , 	17 , 	4 , 	2 , 	30 , 	1 , 	3 , 	2 , 	0 , 	3 , 	1 , 	12 , 	6 , 	12 , 	6 , 	4 , 	21 , 	3 , 	76 , 	50 , 	116 , 	66 , 	21 , 	15 , 	7 , 	5 , 	9 , 	3 , 	1 , 	2 , 	1 , 	5 , 	2 , 	3 , 	42 , 	7 , 	1 , 	10 , 	2 , 	-   , 	-   , 	2 , 	4 , 	626 ,,,,,,,,,,,
RR, 	10 , 	15 , 	13 , 	6 , 	21 , 	8 , 	22 , 	61 , 	49 , 	10 , 	20 , 	32 , 	6 , 	3 , 	7 , 	2 , 	5 , 	7 , 	20 , 	44 , 	57 , 	25 , 	21 , 	16 , 	13 , 	179 , 	144 , 	276 , 	202 , 	101 , 	74 , 	34 , 	16 , 	14 , 	3 , 	2 , 	3 , 	6 , 	11 , 	4 , 	5 , 	91 , 	13 , 	2 , 	16 , 	9 , 	-   , 	-   , 	3 , 	9 ," 	1,705 ",,,,,,,,,,,
OW, 	8 , 	15 , 	6 , 	8 , 	29 , 	10 , 	17 , 	35 , 	30 , 	10 , 	26 , 	39 , 	15 , 	11 , 	6 , 	5 , 	6 , 	6 , 	7 , 	3 , 	8 , 	3 , 	2 , 	8 , 	29 , 	333 , 	279 , 	654 , 	331 , 	178 , 	132 , 	33 , 	27 , 	26 , 	9 , 	4 , 	11 , 	1 , 	11 , 	8 , 	12 , 	97 , 	12 , 	2 , 	5 , 	5 , 	-   , 	-   , 	4 , 	8 ," 	2,520 ",,,,,,,,,,,
EM, 	87 , 	140 , 	107 , 	118 , 	354 , 	130 , 	199 , 	230 , 	253 , 	151 , 	173 , 	156 , 	102 , 	92 , 	59 , 	39 , 	68 , 	88 , 	88 , 	128 , 	170 , 	82 , 	82 , 	193 , 	408 , 	130 , 	22 , 	115 , 	69 , 	181 , 	232 , 	123 , 	182 , 	130 , 	44 , 	69 , 	225 , 	41 , 	56 , 	30 , 	40 , 	189 , 	100 , 	71 , 	69 , 	85 , 	-   , 	-   , 	14 , 	47 ," 	5,956 ",,,,,,,,,,,
MT, 	69 , 	130 , 	83 , 	114 , 	260 , 	100 , 	186 , 	207 , 	217 , 	177 , 	177 , 	128 , 	112 , 	136 , 	49 , 	32 , 	65 , 	74 , 	81 , 	103 , 	119 , 	66 , 	52 , 	153 , 	359 , 	13 , 	56 , 	54 , 	76 , 	254 , 	312 , 	216 , 	545 , 	216 , 	84 , 	57 , 	134 , 	24 , 	60 , 	46 , 	74 , 	217 , 	120 , 	48 , 	39 , 	65 , 	-   , 	-   , 	15 , 	32 ," 	6,002 ",,,,,,,,,,,
PL, 	139 , 	257 , 	122 , 	147 , 	351 , 	124 , 	227 , 	286 , 	318 , 	233 , 	328 , 	249 , 	177 , 	181 , 	77 , 	63 , 	97 , 	105 , 	122 , 	136 , 	183 , 	99 , 	96 , 	199 , 	596 , 	115 , 	30 , 	118 , 	104 , 	774 , 	841 , 	514 , 	849 , 	658 , 	148 , 	93 , 	282 , 	49 , 	128 , 	135 , 	152 , 	784 , 	319 , 	86 , 	48 , 	106 , 	-   , 	-   , 	26 , 	66 ," 	11,334 ",,,,,,,,,,,
CC, 	69 , 	102 , 	83 , 	128 , 	227 , 	103 , 	185 , 	214 , 	180 , 	136 , 	181 , 	113 , 	79 , 	60 , 	35 , 	31 , 	42 , 	58 , 	58 , 	81 , 	116 , 	69 , 	66 , 	173 , 	342 , 	59 , 	45 , 	114 , 	74 , 	265 , 	320 , 	177 , 	276 , 	205 , 	72 , 	50 , 	107 , 	22 , 	42 , 	61 , 	88 , 	280 , 	203 , 	44 , 	29 , 	46 , 	-   , 	-   , 	10 , 	30 ," 	5,544 ",,,,,,,,,,,
16, 	47 , 	44 , 	31 , 	61 , 	159 , 	83 , 	129 , 	164 , 	116 , 	91 , 	94 , 	65 , 	37 , 	30 , 	14 , 	11 , 	21 , 	25 , 	28 , 	28 , 	37 , 	21 , 	22 , 	92 , 	188 , 	195 , 	191 , 	815 , 	290 , 	74 , 	114 , 	151 , 	199 , 	147 , 	52 , 	12 , 	45 , 	6 , 	24 , 	38 , 	64 , 	139 , 	110 , 	15 , 	19 , 	23 , 	-   , 	-   , 	7 , 	14 ," 	4,376 ",,,,,,,,,,,
