Exit stations,Entry stations->,,SATURDAY,,,Sep 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
WC, 	15 , 	21 , 	14 , 	17 , 	189 , 	19 , 	57 , 	90 , 	74 , 	17 , 	25 , 	99 , 	11 , 	15 , 	11 , 	2 , 	5 , 	18 , 	208 , 	105 , 	26 , 	130 , 	33 , 	103 , 	8 , 	378 , 	212 , 	333 , 	203 , 	71 , 	46 , 	18 , 	12 , 	23 , 	8 , 	4 , 	4 , 	22 , 	134 , 	8 , 	9 , 	119 , 	15 , 	2 , 	31 , 	-   ," 	2,959 ",,,OAK," 	15,665 "," 	1,209 ",,,,,,
LF, 	6 , 	10 , 	11 , 	11 , 	137 , 	13 , 	27 , 	53 , 	39 , 	6 , 	16 , 	63 , 	6 , 	5 , 	6 , 	3 , 	5 , 	10 , 	107 , 	99 , 	130 , 	11 , 	48 , 	99 , 	6 , 	198 , 	116 , 	194 , 	118 , 	32 , 	28 , 	8 , 	7 , 	13 , 	3 , 	4 , 	6 , 	16 , 	39 , 	4 , 	2 , 	53 , 	10 , 	0 , 	18 , 	-   ," 	1,791 ",,,CM line," 	31,673 "," 	5,131 "," 	5,748 ",,,,,
OR, 	3 , 	9 , 	8 , 	6 , 	123 , 	6 , 	21 , 	40 , 	35 , 	6 , 	14 , 	41 , 	5 , 	5 , 	3 , 	1 , 	3 , 	6 , 	18 , 	17 , 	30 , 	40 , 	11 , 	73 , 	4 , 	188 , 	102 , 	178 , 	102 , 	34 , 	22 , 	8 , 	5 , 	11 , 	2 , 	1 , 	2 , 	4 , 	13 , 	2 , 	3 , 	47 , 	7 , 	1 , 	11 , 	-   ," 	1,267 ",,,RM line," 	13,623 "," 	6,837 "," 	4,265 "," 	6,547 ",,,,
RR, 	21 , 	28 , 	29 , 	17 , 	95 , 	12 , 	51 , 	120 , 	98 , 	25 , 	36 , 	60 , 	25 , 	13 , 	10 , 	4 , 	9 , 	18 , 	52 , 	76 , 	102 , 	102 , 	81 , 	25 , 	21 , 	320 , 	214 , 	397 , 	275 , 	157 , 	109 , 	35 , 	22 , 	20 , 	2 , 	5 , 	6 , 	18 , 	35 , 	4 , 	4 , 	88 , 	19 , 	4 , 	22 , 	-   ," 	2,879 ",,,WP line," 	12,822 "," 	3,038 "," 	2,535 "," 	2,838 "," 	3,894 ",,,
OW, 	14 , 	27 , 	14 , 	14 , 	56 , 	28 , 	45 , 	54 , 	60 , 	21 , 	66 , 	63 , 	21 , 	30 , 	18 , 	10 , 	8 , 	14 , 	8 , 	8 , 	6 , 	5 , 	4 , 	18 , 	15 , 	474 , 	328 , 	739 , 	385 , 	233 , 	160 , 	37 , 	45 , 	32 , 	12 , 	8 , 	14 , 	3 , 	21 , 	4 , 	10 , 	50 , 	12 , 	7 , 	3 , 	-   ," 	3,196 ",,,FT/ED line," 	16,808 "," 	6,800 "," 	3,580 "," 	6,888 "," 	2,755 "," 	10,050 ",,
EM, 	130 , 	331 , 	201 , 	309 , 	810 , 	272 , 	457 , 	422 , 	462 , 	307 , 	332 , 	306 , 	223 , 	196 , 	136 , 	85 , 	186 , 	346 , 	251 , 	370 , 	475 , 	227 , 	226 , 	402 , 	601 , 	89 , 	49 , 	365 , 	223 , 	531 , 	636 , 	405 , 	556 , 	498 , 	153 , 	172 , 	786 , 	122 , 	240 , 	132 , 	170 , 	555 , 	367 , 	229 , 	59 , 	-   ," 	14,392 ",,,SFIA," 	11,858 ", 	920 ," 	4,950 "," 	1,263 "," 	1,464 ", 	960 ," 	1,070 "," 	187,628 "
MT, 	122 , 	273 , 	134 , 	151 , 	462 , 	178 , 	279 , 	328 , 	317 , 	264 , 	271 , 	172 , 	159 , 	179 , 	83 , 	55 , 	106 , 	201 , 	145 , 	194 , 	226 , 	115 , 	109 , 	250 , 	401 , 	50 , 	52 , 	69 , 	110 , 	454 , 	522 , 	422 ," 	1,101 ", 	487 , 	154 , 	98 , 	286 , 	57 , 	139 , 	128 , 	128 , 	434 , 	237 , 	109 , 	33 , 	-   ," 	10,239 ",,,,,,,,,,,
PL, 	241 , 	489 , 	242 , 	270 , 	882 , 	290 , 	476 , 	480 , 	508 , 	405 , 	502 , 	303 , 	285 , 	300 , 	195 , 	103 , 	175 , 	362 , 	257 , 	270 , 	322 , 	184 , 	160 , 	372 , 	739 , 	393 , 	73 , 	133 , 	243 ," 	1,401 "," 	1,524 ", 	999 ," 	1,852 "," 	1,264 ", 	341 , 	166 , 	469 , 	107 , 	293 , 	329 , 	344 ," 	1,792 ", 	706 , 	176 , 	90 , 	-   ," 	21,504 ",,,,,,,,,,,
CC, 	92 , 	181 , 	108 , 	197 , 	427 , 	203 , 	336 , 	418 , 	281 , 	200 , 	297 , 	148 , 	115 , 	100 , 	62 , 	42 , 	70 , 	151 , 	92 , 	129 , 	179 , 	101 , 	97 , 	267 , 	389 , 	182 , 	89 , 	261 , 	61 , 	498 , 	620 , 	360 , 	601 , 	425 , 	173 , 	95 , 	212 , 	54 , 	99 , 	126 , 	176 , 	559 , 	351 , 	86 , 	39 , 	-   ," 	9,742 ",,,,,,,,,,,
16, 	76 , 	90 , 	63 , 	130 , 	346 , 	189 , 	235 , 	303 , 	150 , 	143 , 	180 , 	84 , 	49 , 	50 , 	36 , 	17 , 	34 , 	61 , 	51 , 	50 , 	60 , 	34 , 	36 , 	171 , 	262 , 	521 , 	403 ," 	1,497 ", 	557 , 	43 , 	251 , 	279 , 	512 , 	323 , 	117 , 	25 , 	73 , 	15 , 	45 , 	100 , 	100 , 	223 , 	249 , 	29 , 	15 , 	-   ," 	8,272 ",,,,,,,,,,,
24, 	80 , 	91 , 	49 , 	85 , 	183 , 	122 , 	173 , 	206 , 	136 , 	101 , 	150 , 	78 , 	44 , 	33 , 	28 , 	24 , 	17 , 	37 , 	34 , 	32 , 	46 , 	27 , 	23 , 	116 , 	182 , 	573 , 	431 ," 	1,678 ", 	702 , 	216 , 	43 , 	230 , 	464 , 	288 , 	125 , 	23 , 	46 , 	12 , 	52 , 	86 , 	125 , 	171 , 	177 , 	16 , 	19 , 	-   ," 	7,566 ",,,,,,,,,,,
GP, 	18 , 	25 , 	17 , 	25 , 	96 , 	28 , 	40 , 	68 , 	53 , 	26 , 	31 , 	34 , 	13 , 	12 , 	12 , 	6 , 	5 , 	11 , 	17 , 	13 , 	16 , 	11 , 	5 , 	28 , 	37 , 	349 , 	315 ," 	1,084 ", 	301 , 	242 , 	207 , 	23 , 	65 , 	48 , 	28 , 	6 , 	18 , 	3 , 	22 , 	25 , 	61 , 	89 , 	80 , 	8 , 	8 , 	-   ," 	3,624 ",,,,,,,,,,,
BP, 	27 , 	39 , 	12 , 	21 , 	65 , 	16 , 	38 , 	45 , 	50 , 	35 , 	55 , 	36 , 	21 , 	19 , 	11 , 	8 , 	10 , 	18 , 	19 , 	16 , 	10 , 	9 , 	7 , 	20 , 	46 , 	485 , 	565 ," 	2,245 ", 	486 , 	468 , 	381 , 	57 , 	45 , 	79 , 	64 , 	10 , 	22 , 	6 , 	30 , 	40 , 	110 , 	102 , 	92 , 	5 , 	6 , 	-   ," 	5,948 ",,,,,,,,,,,
DC, 	24 , 	43 , 	14 , 	16 , 	122 , 	15 , 	27 , 	47 , 	54 , 	31 , 	34 , 	50 , 	22 , 	29 , 	19 , 	17 , 	13 , 	34 , 	27 , 	15 , 	23 , 	11 , 	11 , 	25 , 	34 , 	440 , 	423 ," 	1,428 ", 	427 , 	315 , 	283 , 	56 , 	88 , 	23 , 	28 , 	12 , 	36 , 	6 , 	30 , 	33 , 	113 , 	180 , 	129 , 	10 , 	10 , 	-   ," 	4,820 ",,,,,,,,,,,
CM, 	10 , 	13 , 	5 , 	5 , 	19 , 	7 , 	9 , 	13 , 	20 , 	6 , 	4 , 	8 , 	4 , 	6 , 	3 , 	6 , 	1 , 	6 , 	8 , 	8 , 	10 , 	3 , 	4 , 	4 , 	10 , 	143 , 	118 , 	376 , 	154 , 	100 , 	113 , 	37 , 	66 , 	38 , 	9 , 	3 , 	4 , 	3 , 	19 , 	9 , 	53 , 	106 , 	53 , 	1 , 	1 , 	-   ," 	1,596 ",,,,,,,,,,,
CV, 	4 , 	10 , 	4 , 	5 , 	53 , 	6 , 	13 , 	26 , 	21 , 	61 , 	44 , 	123 , 	41 , 	70 , 	26 , 	13 , 	15 , 	27 , 	5 , 	3 , 	3 , 	3 , 	1 , 	6 , 	6 , 	155 , 	84 , 	179 , 	94 , 	28 , 	16 , 	11 , 	10 , 	12 , 	2 , 	8 , 	70 , 	2 , 	7 , 	2 , 	4 , 	17 , 	4 , 	84 , 	10 , 	-   ," 	1,384 ",,,,,,,,,,,
