Exit stations,Entry stations->,,SUNDAY,,,Sep 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
WC, 	13 , 	16 , 	11 , 	17 , 	76 , 	18 , 	47 , 	75 , 	53 , 	16 , 	15 , 	177 , 	12 , 	11 , 	10 , 	2 , 	4 , 	18 , 	151 , 	75 , 	16 , 	65 , 	17 , 	75 , 	10 , 	287 , 	137 , 	219 , 	168 , 	46 , 	28 , 	16 , 	9 , 	17 , 	7 , 	3 , 	5 , 	17 , 	96 , 	3 , 	5 , 	142 , 	18 , 	2 , 	44 , 	-   ," 	2,266 ",,,OAK," 	11,054 "," 	1,167 ",,,,,,
LF, 	6 , 	8 , 	7 , 	7 , 	34 , 	6 , 	24 , 	43 , 	27 , 	5 , 	11 , 	128 , 	2 , 	5 , 	4 , 	2 , 	2 , 	11 , 	66 , 	76 , 	72 , 	7 , 	20 , 	47 , 	7 , 	160 , 	80 , 	138 , 	91 , 	25 , 	15 , 	11 , 	8 , 	7 , 	2 , 	1 , 	2 , 	13 , 	30 , 	2 , 	1 , 	81 , 	8 , 	1 , 	22 , 	-   ," 	1,320 ",,,CM line," 	22,076 "," 	3,658 "," 	4,104 ",,,,,
OR, 	4 , 	6 , 	7 , 	7 , 	31 , 	7 , 	18 , 	36 , 	27 , 	6 , 	8 , 	116 , 	3 , 	6 , 	4 , 	0 , 	2 , 	6 , 	15 , 	14 , 	17 , 	16 , 	8 , 	36 , 	4 , 	129 , 	69 , 	124 , 	81 , 	19 , 	12 , 	10 , 	3 , 	8 , 	2 , 	1 , 	1 , 	3 , 	5 , 	2 , 	2 , 	56 , 	5 , 	1 , 	17 , 	-   , 	944 ,,,RM line," 	8,893 "," 	4,514 "," 	2,695 "," 	3,113 ",,,,
RR, 	12 , 	17 , 	27 , 	16 , 	37 , 	11 , 	40 , 	136 , 	63 , 	18 , 	29 , 	104 , 	14 , 	9 , 	9 , 	4 , 	9 , 	15 , 	41 , 	45 , 	69 , 	47 , 	38 , 	15 , 	15 , 	259 , 	157 , 	271 , 	262 , 	128 , 	74 , 	24 , 	18 , 	15 , 	4 , 	3 , 	11 , 	9 , 	27 , 	4 , 	7 , 	119 , 	18 , 	3 , 	29 , 	-   ," 	2,275 ",,,WP line," 	9,048 "," 	2,431 "," 	1,782 "," 	1,425 "," 	2,654 ",,,
OW, 	7 , 	16 , 	9 , 	9 , 	41 , 	22 , 	33 , 	47 , 	50 , 	22 , 	55 , 	90 , 	19 , 	19 , 	11 , 	7 , 	6 , 	9 , 	8 , 	3 , 	9 , 	5 , 	2 , 	16 , 	11 , 	316 , 	203 , 	505 , 	382 , 	206 , 	101 , 	25 , 	37 , 	21 , 	3 , 	8 , 	17 , 	4 , 	18 , 	4 , 	8 , 	65 , 	12 , 	7 , 	9 , 	-   ," 	2,471 ",,,FT/ED line," 	13,027 "," 	6,291 "," 	2,998 "," 	5,129 "," 	3,662 "," 	13,914 ",,
EM, 	110 , 	222 , 	129 , 	207 , 	453 , 	171 , 	275 , 	286 , 	291 , 	221 , 	239 , 	397 , 	142 , 	136 , 	93 , 	62 , 	113 , 	230 , 	154 , 	223 , 	321 , 	199 , 	155 , 	302 , 	392 , 	75 , 	39 , 	247 , 	155 , 	323 , 	438 , 	261 , 	388 , 	317 , 	97 , 	130 , 	541 , 	91 , 	201 , 	104 , 	121 , 	409 , 	245 , 	152 , 	87 , 	-   ," 	9,936 ",,,SFIA," 	9,677 ", 	977 ," 	4,216 "," 	1,185 "," 	1,513 "," 	1,020 "," 	1,031 "," 	144,961 "
MT, 	73 , 	152 , 	83 , 	106 , 	217 , 	94 , 	156 , 	174 , 	196 , 	172 , 	187 , 	206 , 	101 , 	106 , 	46 , 	30 , 	71 , 	120 , 	95 , 	112 , 	129 , 	74 , 	63 , 	147 , 	240 , 	33 , 	36 , 	43 , 	64 , 	283 , 	311 , 	223 , 	674 , 	262 , 	85 , 	68 , 	171 , 	44 , 	91 , 	69 , 	66 , 	346 , 	129 , 	52 , 	48 , 	-   ," 	6,241 ",,,,,,,,,,,
PL, 	142 , 	296 , 	138 , 	173 , 	480 , 	170 , 	304 , 	276 , 	310 , 	308 , 	327 , 	483 , 	206 , 	199 , 	119 , 	72 , 	108 , 	224 , 	164 , 	158 , 	191 , 	114 , 	99 , 	219 , 	485 , 	228 , 	39 , 	121 , 	176 , 	968 ," 	1,019 ", 	620 ," 	1,272 ", 	841 , 	255 , 	110 , 	299 , 	66 , 	180 , 	189 , 	203 ," 	1,348 ", 	423 , 	93 , 	80 , 	-   ," 	14,286 ",,,,,,,,,,,
CC, 	82 , 	142 , 	109 , 	185 , 	331 , 	186 , 	319 , 	339 , 	218 , 	222 , 	253 , 	191 , 	105 , 	88 , 	51 , 	28 , 	49 , 	136 , 	96 , 	117 , 	160 , 	86 , 	70 , 	231 , 	412 , 	150 , 	59 , 	171 , 	77 , 	386 , 	488 , 	309 , 	493 , 	376 , 	110 , 	58 , 	187 , 	49 , 	87 , 	114 , 	145 , 	546 , 	314 , 	61 , 	52 , 	-   ," 	8,430 ",,,,,,,,,,,
16, 	52 , 	62 , 	36 , 	83 , 	184 , 	104 , 	167 , 	182 , 	103 , 	126 , 	126 , 	82 , 	45 , 	32 , 	21 , 	23 , 	25 , 	47 , 	34 , 	31 , 	42 , 	30 , 	21 , 	99 , 	200 , 	322 , 	263 ," 	1,033 ", 	425 , 	39 , 	165 , 	196 , 	369 , 	223 , 	76 , 	19 , 	51 , 	5 , 	32 , 	66 , 	74 , 	261 , 	180 , 	17 , 	22 , 	-   ," 	5,787 ",,,,,,,,,,,
