Exit stations,Entry stations->,,WEEKDAY,,,Jul 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
WC, 	25 , 	45 , 	25 , 	29 , 	182 , 	34 , 	137 , 	293 , 	311 , 	28 , 	43 , 	51 , 	22 , 	21 , 	22 , 	17 , 	14 , 	29 , 	366 , 	133 , 	25 , 	80 , 	46 , 	169 , 	22 ," 	1,500 "," 	1,419 ", 	611 , 	458 , 	137 , 	75 , 	49 , 	40 , 	58 , 	24 , 	7 , 	7 , 	57 , 	256 , 	21 , 	24 , 	192 , 	39 , 	4 , 	48 , 	-   ," 	7,195 ",,,OAK,"43,750","2,047",,,,,,
LF, 	10 , 	13 , 	13 , 	14 , 	108 , 	11 , 	56 , 	155 , 	156 , 	12 , 	24 , 	34 , 	10 , 	4 , 	9 , 	4 , 	4 , 	13 , 	125 , 	59 , 	85 , 	14 , 	15 , 	86 , 	7 ," 	1,017 ", 	870 , 	331 , 	271 , 	62 , 	34 , 	24 , 	16 , 	18 , 	5 , 	2 , 	3 , 	13 , 	42 , 	5 , 	10 , 	108 , 	18 , 	3 , 	25 , 	-   ," 	3,916 ",,,CM line,"66,496","9,700","7,449",,,,,
OR, 	12 , 	12 , 	11 , 	11 , 	93 , 	9 , 	47 , 	94 , 	133 , 	14 , 	21 , 	25 , 	8 , 	3 , 	6 , 	2 , 	5 , 	15 , 	44 , 	33 , 	44 , 	22 , 	18 , 	73 , 	6 , 	841 , 	757 , 	272 , 	234 , 	49 , 	27 , 	31 , 	14 , 	14 , 	6 , 	2 , 	3 , 	7 , 	19 , 	8 , 	6 , 	79 , 	12 , 	1 , 	16 , 	-   ," 	3,159 ",,,RM line,"35,765","13,007","7,102","7,573",,,,
RR, 	24 , 	40 , 	38 , 	24 , 	78 , 	19 , 	80 , 	202 , 	221 , 	37 , 	63 , 	49 , 	22 , 	19 , 	18 , 	9 , 	11 , 	36 , 	97 , 	122 , 	153 , 	83 , 	70 , 	20 , 	36 ," 	1,286 "," 	1,329 ", 	710 , 	669 , 	247 , 	121 , 	69 , 	29 , 	28 , 	5 , 	8 , 	14 , 	24 , 	59 , 	7 , 	19 , 	158 , 	33 , 	5 , 	29 , 	-   ," 	6,419 ",,,WP line,"48,950","10,144","5,115","3,572","5,501",,,
OW, 	25 , 	45 , 	18 , 	21 , 	97 , 	40 , 	72 , 	73 , 	107 , 	38 , 	116 , 	99 , 	44 , 	45 , 	34 , 	14 , 	14 , 	26 , 	19 , 	14 , 	19 , 	5 , 	6 , 	33 , 	20 ," 	1,678 "," 	1,413 ", 	990 , 	824 , 	356 , 	207 , 	60 , 	63 , 	45 , 	12 , 	15 , 	29 , 	4 , 	32 , 	12 , 	34 , 	86 , 	34 , 	11 , 	12 , 	-   ," 	6,959 ",,,FT/ED line,"55,433","15,762","7,009","8,502","3,235","12,653",,
EM, 	436 ," 	1,108 ", 	691 , 	874 ," 	1,837 ", 	998 ," 	1,370 "," 	1,644 "," 	1,713 "," 	1,055 "," 	1,140 ", 	632 , 	915 , 	824 , 	622 , 	491 ," 	1,130 "," 	2,154 "," 	1,217 "," 	2,056 "," 	1,805 "," 	1,132 ", 	926 ," 	1,405 "," 	2,001 ", 	185 , 	137 , 	585 , 	581 ," 	1,148 "," 	1,739 "," 	1,266 "," 	1,646 "," 	1,381 ", 	893 , 	660 ," 	2,319 ", 	612 , 	953 , 	692 , 	598 , 	582 ," 	1,189 ", 	975 , 	174 , 	-   ," 	48,489 ",,,SFIA,"23,759","2,799","6,833","2,768","3,060","1,830","1,476","417,089"
MT, 	478 ," 	1,018 ", 	653 , 	710 ," 	1,336 ", 	911 ," 	1,248 "," 	1,355 "," 	1,288 ", 	992 ," 	1,037 ", 	540 , 	719 , 	719 , 	555 , 	409 , 	845 ," 	1,659 "," 	1,031 "," 	1,667 "," 	1,345 ", 	784 , 	680 ," 	1,179 "," 	1,524 ", 	156 , 	154 , 	219 , 	545 ," 	1,520 "," 	2,435 "," 	1,772 "," 	2,809 "," 	1,954 "," 	1,172 ", 	551 ," 	1,564 ", 	530 , 	841 , 	900 , 	792 , 	539 ," 	1,683 ", 	683 , 	124 , 	-   ," 	45,628 ",,,,,,,,,,,
PL, 	415 , 	769 , 	363 , 	417 ," 	1,103 ", 	452 , 	804 , 	843 , 	895 , 	648 , 	775 , 	471 , 	466 , 	450 , 	303 , 	220 , 	332 , 	568 , 	467 , 	535 , 	486 , 	253 , 	206 , 	551 , 	918 , 	823 , 	352 , 	144 , 	391 ," 	1,465 "," 	1,848 "," 	1,204 "," 	2,283 "," 	1,344 ", 	638 , 	243 , 	707 , 	273 , 	548 , 	463 , 	444 ," 	1,566 ", 	776 , 	288 , 	162 , 	-   ," 	29,671 ",,,,,,,,,,,
CC, 	320 , 	632 , 	365 , 	429 , 	770 , 	520 , 	821 , 	849 , 	748 , 	521 , 	758 , 	379 , 	403 , 	373 , 	272 , 	207 , 	270 , 	452 , 	416 , 	476 , 	357 , 	237 , 	197 , 	555 , 	799 , 	570 , 	530 , 	340 , 	87 , 	683 ," 	1,093 ", 	822 ," 	1,411 ", 	826 , 	532 , 	215 , 	561 , 	236 , 	490 , 	389 , 	374 , 	595 , 	620 , 	217 , 	72 , 	-   ," 	22,786 ",,,,,,,,,,,
16, 	174 , 	211 , 	107 , 	175 , 	405 , 	259 , 	394 , 	448 , 	345 , 	245 , 	304 , 	138 , 	122 , 	116 , 	88 , 	67 , 	71 , 	126 , 	108 , 	123 , 	116 , 	50 , 	44 , 	199 , 	355 ," 	1,162 "," 	1,546 "," 	1,699 ", 	778 , 	33 , 	267 , 	366 , 	703 , 	346 , 	166 , 	58 , 	157 , 	65 , 	166 , 	149 , 	149 , 	250 , 	308 , 	56 , 	26 , 	-   ," 	13,239 ",,,,,,,,,,,
