Exit stations,Entry stations->,,SUNDAY,,,Jul 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
WC, 	10 , 	23 , 	13 , 	5 , 	78 , 	18 , 	50 , 	38 , 	45 , 	12 , 	22 , 	66 , 	6 , 	11 , 	8 , 	3 , 	4 , 	18 , 	171 , 	71 , 	14 , 	29 , 	19 , 	69 , 	9 , 	462 , 	199 , 	331 , 	188 , 	64 , 	37 , 	26 , 	19 , 	22 , 	10 , 	2 , 	5 , 	13 , 	93 , 	5 , 	6 , 	162 , 	21 , 	2 , 	57 , 	-   ," 	2,531 ",,,OAK," 	13,696 ", 	850 ,,,,,,
LF, 	5 , 	5 , 	7 , 	7 , 	34 , 	7 , 	21 , 	21 , 	19 , 	4 , 	11 , 	33 , 	5 , 	3 , 	1 , 	3 , 	3 , 	7 , 	52 , 	23 , 	28 , 	9 , 	8 , 	46 , 	6 , 	240 , 	122 , 	174 , 	101 , 	37 , 	16 , 	9 , 	8 , 	9 , 	2 , 	0 , 	2 , 	3 , 	20 , 	1 , 	2 , 	92 , 	9 , 	1 , 	30 , 	-   ," 	1,242 ",,,CM line," 	22,316 "," 	4,381 "," 	3,977 ",,,,,
OR, 	6 , 	6 , 	6 , 	4 , 	25 , 	4 , 	17 , 	12 , 	23 , 	3 , 	4 , 	22 , 	2 , 	5 , 	1 , 	1 , 	3 , 	6 , 	16 , 	16 , 	22 , 	10 , 	6 , 	40 , 	2 , 	182 , 	102 , 	152 , 	92 , 	33 , 	15 , 	10 , 	7 , 	9 , 	3 , 	1 , 	1 , 	1 , 	8 , 	0 , 	3 , 	69 , 	5 , 	0 , 	16 , 	-   , 	968 ,,,RM line," 	12,562 "," 	3,690 "," 	3,283 "," 	2,912 ",,,,
RR, 	14 , 	16 , 	28 , 	14 , 	31 , 	8 , 	45 , 	62 , 	57 , 	18 , 	32 , 	48 , 	9 , 	7 , 	9 , 	3 , 	4 , 	17 , 	36 , 	51 , 	68 , 	45 , 	37 , 	15 , 	23 , 	420 , 	208 , 	421 , 	294 , 	158 , 	94 , 	40 , 	20 , 	20 , 	5 , 	1 , 	11 , 	11 , 	27 , 	4 , 	7 , 	146 , 	36 , 	2 , 	45 , 	-   ," 	2,663 ",,,WP line," 	12,097 "," 	1,774 "," 	2,356 "," 	1,333 "," 	2,357 ",,,
OW, 	8 , 	18 , 	6 , 	11 , 	55 , 	22 , 	41 , 	32 , 	42 , 	25 , 	64 , 	57 , 	22 , 	19 , 	10 , 	4 , 	7 , 	12 , 	10 , 	6 , 	11 , 	6 , 	2 , 	21 , 	14 , 	497 , 	265 , 	687 , 	382 , 	218 , 	140 , 	34 , 	27 , 	34 , 	6 , 	9 , 	17 , 	3 , 	14 , 	6 , 	10 , 	75 , 	11 , 	4 , 	17 , 	-   ," 	2,978 ",,,FT/ED line," 	15,032 "," 	4,195 "," 	3,096 "," 	3,864 "," 	1,873 "," 	6,246 ",,
EM, 	148 , 	307 , 	220 , 	304 , 	858 , 	275 , 	428 , 	331 , 	372 , 	292 , 	340 , 	228 , 	197 , 	177 , 	106 , 	65 , 	150 , 	325 , 	223 , 	332 , 	514 , 	279 , 	217 , 	447 , 	613 , 	92 , 	37 , 	254 , 	143 , 	394 , 	435 , 	264 , 	384 , 	323 , 	98 , 	161 , 	866 , 	130 , 	270 , 	92 , 	115 , 	489 , 	278 , 	212 , 	188 , 	-   ," 	12,969 ",,,SFIA," 	9,721 "," 	1,168 "," 	4,163 "," 	1,603 "," 	1,890 ", 	992 ," 	1,118 "," 	144,263 "
MT, 	94 , 	176 , 	114 , 	132 , 	350 , 	146 , 	216 , 	189 , 	237 , 	233 , 	203 , 	167 , 	117 , 	147 , 	56 , 	41 , 	83 , 	140 , 	108 , 	134 , 	206 , 	112 , 	102 , 	217 , 	315 , 	39 , 	39 , 	47 , 	62 , 	310 , 	326 , 	232 , 	634 , 	229 , 	94 , 	86 , 	231 , 	53 , 	141 , 	59 , 	68 , 	346 , 	137 , 	80 , 	108 , 	-   ," 	7,352 ",,,,,,,,,,,
PL, 	185 , 	372 , 	180 , 	222 , 	842 , 	254 , 	391 , 	339 , 	410 , 	410 , 	447 , 	278 , 	257 , 	255 , 	131 , 	100 , 	143 , 	297 , 	179 , 	206 , 	277 , 	155 , 	115 , 	328 , 	683 , 	265 , 	40 , 	140 , 	164 ," 	1,049 "," 	1,120 ", 	658 ," 	1,264 ", 	831 , 	241 , 	123 , 	426 , 	88 , 	239 , 	219 , 	237 ," 	1,383 ", 	454 , 	151 , 	164 , 	-   ," 	16,703 ",,,,,,,,,,,
CC, 	86 , 	140 , 	104 , 	164 , 	378 , 	208 , 	340 , 	280 , 	216 , 	235 , 	269 , 	126 , 	95 , 	86 , 	52 , 	28 , 	61 , 	129 , 	97 , 	111 , 	157 , 	90 , 	77 , 	244 , 	396 , 	135 , 	58 , 	145 , 	62 , 	394 , 	463 , 	297 , 	435 , 	312 , 	112 , 	66 , 	192 , 	40 , 	84 , 	86 , 	120 , 	543 , 	283 , 	61 , 	100 , 	-   ," 	8,153 ",,,,,,,,,,,
16, 	64 , 	76 , 	52 , 	95 , 	225 , 	130 , 	231 , 	203 , 	125 , 	140 , 	151 , 	62 , 	41 , 	45 , 	21 , 	14 , 	25 , 	51 , 	35 , 	38 , 	58 , 	40 , 	33 , 	153 , 	238 , 	410 , 	298 ," 	1,105 ", 	429 , 	45 , 	142 , 	210 , 	334 , 	195 , 	78 , 	25 , 	59 , 	13 , 	42 , 	65 , 	76 , 	258 , 	174 , 	24 , 	47 , 	-   ," 	6,371 ",,,,,,,,,,,
24, 	67 , 	73 , 	42 , 	60 , 	129 , 	85 , 	185 , 	138 , 	99 , 	100 , 	110 , 	64 , 	41 , 	33 , 	20 , 	15 , 	16 , 	31 , 	27 , 	30 , 	46 , 	18 , 	16 , 	84 , 	151 , 	442 , 	284 ," 	1,277 ", 	560 , 	144 , 	52 , 	164 , 	323 , 	169 , 	68 , 	20 , 	39 , 	10 , 	46 , 	53 , 	100 , 	245 , 	155 , 	12 , 	51 , 	-   ," 	5,887 ",,,,,,,,,,,
GP, 	22 , 	30 , 	17 , 	27 , 	66 , 	29 , 	50 , 	45 , 	40 , 	29 , 	29 , 	27 , 	21 , 	13 , 	6 , 	8 , 	6 , 	16 , 	17 , 	22 , 	31 , 	10 , 	8 , 	42 , 	42 , 	253 , 	167 , 	765 , 	280 , 	193 , 	151 , 	22 , 	43 , 	38 , 	26 , 	11 , 	31 , 	7 , 	26 , 	20 , 	43 , 	136 , 	61 , 	10 , 	25 , 	-   ," 	2,956 ",,,,,,,,,,,
BP, 	28 , 	37 , 	7 , 	19 , 	49 , 	24 , 	45 , 	32 , 	42 , 	36 , 	47 , 	34 , 	21 , 	21 , 	9 , 	12 , 	17 , 	18 , 	25 , 	12 , 	16 , 	8 , 	8 , 	17 , 	37 , 	370 , 	327 ," 	1,639 ", 	409 , 	339 , 	267 , 	41 , 	37 , 	54 , 	53 , 	9 , 	28 , 	8 , 	35 , 	24 , 	103 , 	128 , 	76 , 	7 , 	17 , 	-   ," 	4,586 ",,,,,,,,,,,
DC, 	16 , 	34 , 	10 , 	9 , 	47 , 	23 , 	29 , 	33 , 	29 , 	31 , 	40 , 	35 , 	22 , 	18 , 	12 , 	10 , 	14 , 	28 , 	25 , 	14 , 	24 , 	9 , 	11 , 	14 , 	37 , 	334 , 	216 , 	964 , 	304 , 	214 , 	183 , 	43 , 	69 , 	14 , 	29 , 	11 , 	37 , 	7 , 	32 , 	25 , 	89 , 	197 , 	111 , 	13 , 	19 , 	-   ," 	3,477 ",,,,,,,,,,,
