Exit stations,Entry stations->,,SATURDAY,,,Nov 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
WC, 	11 , 	20 , 	19 , 	16 , 	184 , 	17 , 	52 , 	67 , 	73 , 	11 , 	23 , 	76 , 	9 , 	8 , 	11 , 	4 , 	8 , 	13 , 	234 , 	96 , 	15 , 	58 , 	26 , 	101 , 	11 , 	317 , 	222 , 	490 , 	237 , 	72 , 	54 , 	27 , 	16 , 	31 , 	10 , 	7 , 	7 , 	21 , 	146 , 	8 , 	11 , 	130 , 	17 , 	3 , 	13 , 	-   ," 	3,001 ",,,OAK," 	18,093 "," 	1,132 ",,,,,,
LF, 	7 , 	7 , 	9 , 	7 , 	108 , 	8 , 	24 , 	40 , 	36 , 	6 , 	16 , 	32 , 	6 , 	4 , 	3 , 	2 , 	3 , 	7 , 	77 , 	30 , 	64 , 	12 , 	10 , 	84 , 	4 , 	197 , 	133 , 	291 , 	137 , 	32 , 	22 , 	14 , 	9 , 	10 , 	4 , 	2 , 	1 , 	7 , 	24 , 	4 , 	3 , 	67 , 	10 , 	1 , 	7 , 	-   ," 	1,582 ",,,CM line," 	33,163 "," 	5,550 "," 	5,868 ",,,,,
OR, 	4 , 	9 , 	7 , 	4 , 	92 , 	7 , 	17 , 	31 , 	26 , 	4 , 	14 , 	18 , 	4 , 	5 , 	3 , 	1 , 	1 , 	7 , 	23 , 	17 , 	33 , 	10 , 	8 , 	76 , 	4 , 	154 , 	102 , 	231 , 	90 , 	24 , 	25 , 	12 , 	7 , 	7 , 	2 , 	2 , 	1 , 	4 , 	16 , 	2 , 	3 , 	57 , 	8 , 	1 , 	4 , 	-   ," 	1,178 ",,,RM line," 	16,969 "," 	5,776 "," 	5,061 "," 	5,417 ",,,,
RR, 	21 , 	20 , 	34 , 	21 , 	72 , 	15 , 	53 , 	96 , 	81 , 	24 , 	37 , 	55 , 	16 , 	15 , 	13 , 	6 , 	7 , 	23 , 	51 , 	72 , 	104 , 	92 , 	74 , 	21 , 	23 , 	387 , 	271 , 	630 , 	355 , 	201 , 	118 , 	45 , 	17 , 	20 , 	6 , 	4 , 	7 , 	13 , 	31 , 	5 , 	7 , 	131 , 	31 , 	4 , 	18 , 	-   ," 	3,348 ",,,WP line," 	14,527 "," 	2,625 "," 	2,845 "," 	2,473 "," 	3,275 ",,,
OW, 	19 , 	27 , 	13 , 	13 , 	78 , 	34 , 	53 , 	47 , 	87 , 	23 , 	90 , 	67 , 	26 , 	25 , 	23 , 	8 , 	6 , 	14 , 	7 , 	5 , 	12 , 	4 , 	5 , 	19 , 	12 , 	487 , 	427 , 	973 , 	429 , 	245 , 	171 , 	34 , 	41 , 	31 , 	9 , 	4 , 	14 , 	2 , 	23 , 	5 , 	20 , 	49 , 	14 , 	7 , 	7 , 	-   ," 	3,708 ",,,FT/ED line," 	20,026 "," 	5,976 "," 	4,309 "," 	6,067 "," 	2,197 "," 	8,301 ",,
EM, 	144 , 	346 , 	201 , 	316 , 	927 , 	281 , 	417 , 	473 , 	424 , 	343 , 	432 , 	367 , 	203 , 	199 , 	137 , 	79 , 	152 , 	303 , 	196 , 	275 , 	377 , 	225 , 	188 , 	467 , 	591 , 	72 , 	46 , 	363 , 	159 , 	504 , 	601 , 	360 , 	519 , 	348 , 	100 , 	147 , 	470 , 	89 , 	182 , 	91 , 	102 , 	354 , 	275 , 	194 , 	37 , 	-   ," 	13,077 ",,,SFIA," 	10,052 "," 	1,085 "," 	4,695 "," 	1,735 "," 	1,680 "," 	1,107 "," 	1,055 "," 	193,403 "
MT, 	149 , 	320 , 	174 , 	220 , 	639 , 	249 , 	340 , 	388 , 	369 , 	274 , 	361 , 	262 , 	170 , 	201 , 	106 , 	73 , 	127 , 	236 , 	147 , 	189 , 	242 , 	149 , 	116 , 	299 , 	532 , 	54 , 	49 , 	64 , 	103 , 	497 , 	576 , 	435 ," 	1,104 ", 	434 , 	135 , 	116 , 	255 , 	78 , 	167 , 	105 , 	102 , 	335 , 	200 , 	113 , 	21 , 	-   ," 	11,274 ",,,,,,,,,,,
PL, 	275 , 	668 , 	344 , 	355 ," 	1,198 ", 	360 , 	615 , 	590 , 	594 , 	538 , 	683 , 	539 , 	411 , 	432 , 	256 , 	165 , 	241 , 	499 , 	316 , 	373 , 	482 , 	294 , 	225 , 	584 , 	974 , 	410 , 	74 , 	166 , 	251 ," 	1,651 "," 	1,860 "," 	1,161 "," 	2,015 "," 	1,378 ", 	412 , 	256 , 	735 , 	155 , 	373 , 	325 , 	345 ," 	1,509 ", 	714 , 	270 , 	38 , 	-   ," 	26,107 ",,,,,,,,,,,
CC, 	100 , 	190 , 	134 , 	228 , 	568 , 	257 , 	391 , 	425 , 	303 , 	228 , 	367 , 	215 , 	114 , 	110 , 	89 , 	47 , 	69 , 	145 , 	113 , 	132 , 	190 , 	125 , 	82 , 	311 , 	416 , 	145 , 	85 , 	234 , 	71 , 	558 , 	706 , 	367 , 	582 , 	364 , 	151 , 	79 , 	202 , 	42 , 	119 , 	104 , 	161 , 	491 , 	304 , 	87 , 	23 , 	-   ," 	10,227 ",,,,,,,,,,,
16, 	84 , 	119 , 	64 , 	129 , 	375 , 	209 , 	310 , 	318 , 	198 , 	159 , 	188 , 	106 , 	54 , 	59 , 	45 , 	30 , 	29 , 	63 , 	41 , 	54 , 	72 , 	38 , 	33 , 	203 , 	281 , 	481 , 	411 ," 	1,784 ", 	602 , 	44 , 	277 , 	302 , 	506 , 	273 , 	102 , 	26 , 	68 , 	13 , 	50 , 	79 , 	106 , 	203 , 	209 , 	26 , 	10 , 	-   ," 	8,834 ",,,,,,,,,,,
