Exit stations,Entry stations->,,WEEKDAY,,,Nov 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
WC, 	34 , 	55 , 	24 , 	32 , 	153 , 	29 , 	136 , 	288 , 	302 , 	36 , 	39 , 	80 , 	28 , 	19 , 	25 , 	14 , 	13 , 	25 , 	365 , 	140 , 	22 , 	76 , 	42 , 	148 , 	21 ," 	1,267 "," 	1,335 ", 	616 , 	447 , 	111 , 	72 , 	49 , 	37 , 	79 , 	25 , 	8 , 	6 , 	73 , 	275 , 	19 , 	27 , 	178 , 	29 , 	6 , 	8 , 	-   ," 	6,812 ",,,OAK,"42,096","2,178",,,,,,
LF, 	13 , 	11 , 	11 , 	13 , 	92 , 	11 , 	61 , 	153 , 	155 , 	15 , 	23 , 	43 , 	16 , 	5 , 	10 , 	5 , 	3 , 	13 , 	138 , 	68 , 	86 , 	12 , 	14 , 	92 , 	6 , 	931 , 	893 , 	366 , 	255 , 	50 , 	33 , 	23 , 	14 , 	27 , 	5 , 	3 , 	1 , 	15 , 	48 , 	6 , 	12 , 	92 , 	16 , 	1 , 	6 , 	-   ," 	3,866 ",,,CM line,"68,413","9,756","8,809",,,,,
OR, 	9 , 	16 , 	10 , 	12 , 	69 , 	9 , 	47 , 	103 , 	117 , 	10 , 	29 , 	26 , 	8 , 	4 , 	7 , 	2 , 	4 , 	13 , 	48 , 	37 , 	43 , 	23 , 	17 , 	76 , 	4 , 	773 , 	715 , 	271 , 	224 , 	37 , 	26 , 	30 , 	13 , 	26 , 	4 , 	1 , 	2 , 	13 , 	21 , 	5 , 	7 , 	76 , 	13 , 	-   , 	4 , 	-   ," 	3,004 ",,,RM line,"32,088","13,324","7,418","8,429",,,,
RR, 	25 , 	42 , 	48 , 	27 , 	75 , 	18 , 	73 , 	183 , 	205 , 	48 , 	63 , 	62 , 	28 , 	15 , 	27 , 	10 , 	14 , 	39 , 	95 , 	118 , 	153 , 	95 , 	74 , 	19 , 	35 ," 	1,160 "," 	1,310 ", 	704 , 	639 , 	223 , 	121 , 	66 , 	52 , 	41 , 	5 , 	8 , 	11 , 	24 , 	60 , 	9 , 	18 , 	143 , 	24 , 	7 , 	4 , 	-   ," 	6,223 ",,,WP line,"46,152","10,104","5,401","3,528","5,774",,,
OW, 	31 , 	44 , 	17 , 	18 , 	110 , 	39 , 	69 , 	78 , 	117 , 	43 , 	130 , 	126 , 	50 , 	49 , 	42 , 	20 , 	15 , 	27 , 	20 , 	12 , 	14 , 	5 , 	5 , 	32 , 	17 ," 	1,513 "," 	1,420 "," 	1,042 ", 	793 , 	305 , 	189 , 	53 , 	80 , 	75 , 	13 , 	11 , 	27 , 	5 , 	37 , 	14 , 	32 , 	70 , 	34 , 	12 , 	1 , 	-   ," 	6,854 ",,,FT/ED line,"53,830","17,186","8,273","8,826","3,807","14,387",,
EM, 	393 , 	965 , 	635 , 	771 ," 	1,196 ", 	900 ," 	1,231 "," 	1,578 "," 	1,516 "," 	1,000 "," 	1,046 ", 	714 , 	894 , 	776 , 	590 , 	485 ," 	1,017 "," 	2,013 "," 	1,097 "," 	1,873 "," 	1,529 "," 	1,033 ", 	835 ," 	1,266 "," 	1,796 ", 	165 , 	139 , 	592 , 	587 ," 	1,094 "," 	1,725 "," 	1,267 "," 	1,606 "," 	1,276 ", 	828 , 	603 ," 	1,858 ", 	578 , 	829 , 	662 , 	567 , 	489 ," 	1,048 ", 	949 , 	16 , 	-   ," 	44,029 ",,,SFIA,"22,572","2,608","7,044","2,548","2,841","1,806","1,437","416,632"
MT, 	420 ," 	1,025 ", 	667 , 	700 , 	988 , 	861 ," 	1,210 "," 	1,316 "," 	1,262 ", 	988 ," 	1,070 ", 	635 , 	755 , 	703 , 	554 , 	419 , 	833 ," 	1,585 "," 	1,009 "," 	1,614 "," 	1,252 ", 	810 , 	650 ," 	1,129 "," 	1,525 ", 	150 , 	149 , 	239 , 	575 ," 	1,505 "," 	2,537 "," 	1,832 "," 	2,919 "," 	1,966 "," 	1,140 ", 	530 ," 	1,453 ", 	516 , 	809 , 	910 , 	775 , 	516 ," 	1,567 ", 	710 , 	12 , 	-   ," 	44,790 ",,,,,,,,,,,
PL, 	400 , 	757 , 	368 , 	397 , 	923 , 	466 , 	788 , 	856 , 	889 , 	648 , 	776 , 	595 , 	477 , 	457 , 	337 , 	229 , 	327 , 	526 , 	439 , 	513 , 	490 , 	272 , 	215 , 	544 , 	925 , 	867 , 	368 , 	141 , 	449 ," 	1,535 "," 	1,957 "," 	1,328 "," 	2,577 "," 	1,391 ", 	670 , 	256 , 	627 , 	257 , 	514 , 	461 , 	442 ," 	1,326 ", 	741 , 	350 , 	15 , 	-   ," 	29,888 ",,,,,,,,,,,
CC, 	296 , 	617 , 	340 , 	425 , 	650 , 	507 , 	772 , 	819 , 	715 , 	527 , 	792 , 	451 , 	384 , 	370 , 	292 , 	211 , 	277 , 	411 , 	401 , 	471 , 	358 , 	221 , 	181 , 	501 , 	772 , 	554 , 	549 , 	396 , 	79 , 	728 ," 	1,187 ", 	888 ," 	1,571 ", 	799 , 	527 , 	212 , 	520 , 	239 , 	483 , 	406 , 	405 , 	526 , 	580 , 	230 , 	7 , 	-   ," 	22,647 ",,,,,,,,,,,
16, 	159 , 	190 , 	94 , 	161 , 	352 , 	244 , 	366 , 	401 , 	326 , 	225 , 	302 , 	159 , 	132 , 	112 , 	96 , 	70 , 	61 , 	108 , 	94 , 	112 , 	89 , 	46 , 	34 , 	192 , 	307 ," 	1,081 "," 	1,482 "," 	1,788 ", 	831 , 	33 , 	302 , 	412 , 	812 , 	354 , 	166 , 	61 , 	124 , 	65 , 	147 , 	136 , 	145 , 	216 , 	262 , 	57 , 	3 , 	-   ," 	12,909 ",,,,,,,,,,,
