Avg Saturday Trip OD																																																			
																																																			
2024 / 02																																																			
	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday
FV	29	43	23	20	74	35	54	40	35	47	17	73	75	77	61	32	20	29	11	6	11	9	5	18	44	154	147	281	160	102	89	23	24	21	4	26	39	2	9	3	4	26	5	25	7	24	2	8	23	27	"2,120"
CL	21	38	15	15	37	18	35	30	33	42	73	10	53	54	44	23	21	19	11	12	9	5	7	7	26	61	48	109	69	29	44	11	8	19	3	17	41	4	10	4	6	10	6	10	9	18	3	11	14	17	"1,229"
SL	10	19	8	9	40	10	26	40	44	71	81	59	11	48	66	28	26	23	8	3	6	1	2	10	10	104	127	231	99	34	38	12	15	15	2	14	36	1	3	5	4	12	3	19	2	13	3	7	15	23	"1,493"
BF	7	16	11	5	35	8	25	26	35	61	87	58	49	13	56	30	19	23	7	2	4	1	1	7	17	89	101	231	72	27	23	9	16	14	6	19	40		3	1	3	9	2	19	3	23	1	5	19	19	"1,349"
HY	10	19	5	8	36	12	17	28	35	34	65	38	62	44	15	32	38	53	9	4	6	3	2	5	11	67	45	96	44	17	19	5	8	12	3	7	28	0	4	3	3	5	2	11	4	24	2	6	32	33	"1,065"
SH	4	7	4	2	27	5	9	11	15	14	35	24	31	21	30	11	14	32	2	2	3	2	1	2	3	41	40	74	36	8	16	3	5	8	0	5	12	2	1	1	2	3	1	8	3	31	1	2	19	22	649
UC	5	11	7	2	47	8	8	21	16	19	24	21	21	22	46	19	8	26	2	4	2	1	0	2	4	68	69	109	44	20	14	6	5	8	1	4	16		3	1	2	7	1	10	3	39	1	2	32	38	848
FM	5	11	8	6	58	8	10	18	16	19	28	17	23	25	54	34	25	14	4	2	2	2	1	3	4	80	75	124	53	21	12	7	5	11	1	7	16		1	0	3	8	2	5	6	25	1	4	53	42	952
CN	6	11	5	5	15	3	30	28	29	4	8	11	6	7	12	1	2	4	16	36	94	70	16	33	8	81	75	159	67	29	25	14	5	11	4	2	6	6	54	7	6	40	4	1	10	3	39	34	6	9	"1,147"
PH	4	8	4	7	23	5	27	27	21	3	7	9	3	2	4	1	3	2	40	11	39	21	5	29	5	110	102	156	74	26	14	8	10	11	3	1	3	7	23	3	2	44	2	1	12	3	13	15	2	6	954
WC	8	15	8	11	45	7	37	42	35	4	14	8	4	4	3	4	2	1	119	41	18	22	14	68	5	162	126	183	106	37	25	14	12	10	5	2	1	12	42	6	5	49	5	1	8	0	19	25	5	7	"1,400"
LF	5	8	4	5	13	4	14	27	15	2	8	5	1	1	3	2	1	2	84	24	26	7	7	26	2	102	93	108	81	19	18	6	3	5	2	0	1	4	5	1	1	34	4		7	2	3	8	1	3	805
OR	1	5	3	1	10	1	11	15	14	2	4	8	1	2	3	1	1	0	14	5	14	7	5	26	1	77	79	102	68	21	7	5	4	4	1	1		1	3	3	1	27	0	1	4	0	4	4		1	571
RR	9	11	12	5	13	7	28	45	38	12	19	6	8	6	5	3	2	3	26	34	60	30	24	13	9	216	160	229	145	85	59	19	9	13	2	2	3	4	10	2	3	51	2	0	6	1	4	17	2	3	"1,470"
OW	9	12	5	4	22	10	19	22	29	10	45	27	12	14	11	4	4	5	7	4	5	2	1	10	24	329	293	503	272	169	123	26	19	21	5	4	14	2	6	6	9	50	6	3	3	3	3	8	6	7	"2,203"
EM	72	189	120	164	482	145	226	279	252	171	179	70	121	122	75	56	75	96	100	144	178	123	85	247	404	73	28	97	101	238	289	162	177	175	46	69	240	29	57	50	48	162	94	86	34	41	9	52	86	85	"6,697"
MT	66	209	136	177	489	169	227	259	240	165	193	62	159	134	57	53	86	95	97	134	141	100	105	212	386	23	66	30	70	279	334	226	298	305	72	85	207	35	70	61	84	139	154	62	18	34	6	39	69	82	"6,990"
PL	115	279	133	141	450	133	237	279	265	180	241	106	194	174	93	68	82	109	133	137	187	119	104	214	507	118	66	113	95	536	635	409	562	534	136	88	254	39	118	115	131	492	219	92	32	36	18	66	73	105	"9,757"
CC	58	125	98	93	216	104	171	191	163	108	160	68	93	65	41	32	46	51	65	79	111	85	68	157	292	74	77	91	50	208	274	140	166	260	94	49	148	26	49	68	82	155	139	57	11	23	6	34	38	57	"5,111"
16	44	69	46	68	174	81	145	147	124	67	93	34	33	23	16	11	22	19	24	30	30	21	19	94	191	229	261	587	230	26	115	133	158	202	60	17	39	8	21	38	57	107	85	12	9	9	8	18	21	25	"4,094"
24	58	71	32	49	130	67	104	114	88	57	90	37	35	20	19	18	14	13	23	18	24	12	10	62	147	263	305	728	324	109	23	126	117	163	61	10	26	3	28	39	60	69	61	9	8	5	5	17	11	11	"3,889"
GP	8	19	8	13	50	12	22	36	29	18	13	10	9	8	5	4	6	5	9	7	12	7	6	19	24	136	187	441	154	112	120	12	21	28	24	4	9	4	7	14	23	49	34	4	6	2	2	4	3	7	"1,757"
BP	13	23	6	5	21	10	13	16	19	12	20	8	14	13	6	5	5	4	6	6	10	3	4	11	26	137	170	614	148	125	120	20	10	30	32	5	11	2	8	19	36	42	27	5	3	4	3	8	4	7	"1,865"
DC	10	20	8	11	44	10	12	26	21	17	21	21	17	17	12	5	7	6	12	9	10	6	2	12	22	160	242	623	280	195	175	33	38	21	15	6	15	3	12	21	51	94	52	5	5	6	3	9	6	11	"2,428"
CM	4	13	3	6	14	4	6	6	7	2	4	3	1	2	3	1	1	2	4	4	5	1	1	4	5	40	50	162	86	54	59	20	36	19	6	1	1	1	6	5	13	51	19		0	1	1	7	1	1	740
CV	2	4	2	2	13	2	5	8	8	28	27	19	15	17	11	6	4	4	2	2	2		0	1	5	63	69	105	42	13	13	4	4	7	1	5	35	1	1	1	2	4	1	32	2	2	1	3	5	3	603
ED	4	10	5	7	40	7	8	18	14	37	44	42	38	41	24	11	17	16	5	2	3	1	1	5	13	193	181	279	149	40	24	10	16	20	3	32	22		1	3	5	48	2	11	19	6		3	16	26	"1,513"
NC	1	1	1	1	5	1	3	12	5	1	1	5	1	1	1	2	1	1	8	4	10	3	3	5	1	28	27	41	22	7	3	3	2	2	1	0	1	2	6	0	3	14	1		2	1	5	3		2	249
WP	4	8	1	2	9	1	23	11	15	3	8	10	3	4	3	2	2	1	60	23	40	8	4	14	4	47	62	134	44	22	27	11	13	15	5	1	2	6	10	5	6	33	1	0	5	2	5	9	3	5	729
SS	5	8	2	2	7	2	3	7	9	3	4	4	3	3	3	1	1	1	4	3	4	2	1	4	8	38	53	131	67	38	41	14	24	26	7	1	3	2	2	7	13	29	9	1	1	1	2	5	1	1	606
SB	6	13	3	3	20	4	6	13	16	7	5	8	5	3	4	2	2	3	7	4	6	1	2	5	11	41	62	151	94	63	66	21	38	59	17	2	3	3	6	15	8	47	8	1	1	2	1	4	1	1	867
SO	17	34	23	30	84	21	35	27	41	6	14	6	8	4	3	3	6	4	35	34	45	30	19	39	40	111	88	387	120	89	54	32	34	77	31	5	24	14	23	21	33	28	161	8	8	2	5	21	4	2	"1,983"
MB	6	14	3	7	59	5	10	11	15	4	5	3	2	4	2	2	0	1	3	4	3	3	0	5	6	65	119	224	120	60	52	27	30	59	15	1	4	1	2	8	8	178	23		1		1	2		0	"1,171"
WD	2	3	1	3	15	5	4	8	3	19	25	13	19	26	18	8	10	7	1	2	1	1	1	2	3	83	58	97	54	14	8	3	5	6	0	35	12		2	0	1	8	1	5	8	3	1	1	7	9	615
OA	3	9	8	7	23	6	6	7	7	7	5	4	4	2	4		3	2	6	7	6	3	3	6	1	23	13	26	9	6	5	2	4	2	0	2	10	2	5	1	0	8	2	6	2	2	3	5	3	2	276
WS	4	9	1	4	32	5	6	13	5	14	19	14	11	17	18	22	26	22	3	2	0	2	0	2	4	31	30	44	21	10	6	2	3	5	1	1	5		2	1	1	3	1	3	3	6	1	2	25	27	484
PC	2	5	2	1	3	1	7	6	5	0	2	6	1	2	1	1	0	2	42	12	17	1	4	4	4	9	8	25	11	7	6	2	4	3	2	2		4	7	1	2	5	1	2	2	1	2	10	0	0	243
AN	5	10	2	2	13	3	20	12	12	2	10	10	7	7	6	3	4	3	40	17	29	6	7	18	9	51	40	80	38	15	18	8	11	13	7	1	3	3	10	6	4	35	2	1	5	2	10	7	3	4	626
ML	6	11	3	11	77	5	14	17	11	16	20	15	13	15	28	19	33	46	5	4	4	3	1	3	2	68	54	83	47	18	10	4	5	11	1	4	14	1	2	1	1	5	0	5	4	32		3	15	18	786
BE	6	18	5	11	123	17	19	23	18	25	24	21	24	23	36	27	35	44	6	5	6	3	2	7	7	84	60	123	70	28	21	6	9	15	1	2	21	1	4	1	1	4	1	7	4	33	0	5	11	17	"1,057"
Grand Total	"1,015"	"1,996"	"1,237"	"1,200"	"4,203"	"1,311"	"2,113"	"2,394"	"2,326"	"1,475"	"2,138"	"1,251"	"1,463"	"1,303"	"1,092"	678	798	925	"1,194"	"1,012"	"1,374"	815	603	"1,573"	"2,450"	"5,694"	"5,538"	"10,602"	"5,208"	"3,889"	"3,739"	"1,819"	"2,079"	"2,419"	738	604	"1,492"	254	712	589	799	"2,509"	"1,260"	571	380	543	215	549	758	988	"91,879"
