Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Sep 04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
LF, 	13 , 	10 , 	9 , 	12 , 	87 , 	13 , 	36 , 	125 , 	191 , 	10 , 	21 , 	67 , 	5 , 	5 , 	7 , 	4 , 	3 , 	5 , 	142 , 	83 , 	88 , 	7 , 	20 , 	69 , 	4 , 	805 , 	669 , 	246 , 	215 , 	26 , 	33 , 	9 , 	9 , 	30 , 	3 , 	1 , 	5 , 	13 , 	37 , 	6 , 	5 , 	40 , 	5 ," 	3,194 ",,,CM line,"61,038","6,207","8,500",,,,,
OR, 	10 , 	13 , 	7 , 	9 , 	55 , 	11 , 	39 , 	81 , 	151 , 	10 , 	37 , 	65 , 	9 , 	2 , 	8 , 	2 , 	5 , 	8 , 	67 , 	45 , 	60 , 	29 , 	4 , 	68 , 	7 , 	734 , 	604 , 	218 , 	200 , 	25 , 	31 , 	11 , 	14 , 	26 , 	3 , 	2 , 	3 , 	12 , 	24 , 	9 , 	4 , 	31 , 	8 ," 	2,760 ",,,RM line,"22,838","11,171","5,769","7,436",,,,
RR, 	22 , 	25 , 	22 , 	27 , 	62 , 	16 , 	59 , 	111 , 	204 , 	39 , 	45 , 	101 , 	20 , 	13 , 	16 , 	7 , 	11 , 	20 , 	101 , 	113 , 	143 , 	73 , 	64 , 	9 , 	15 , 	952 , 	929 , 	490 , 	475 , 	131 , 	80 , 	26 , 	51 , 	64 , 	5 , 	6 , 	15 , 	20 , 	53 , 	17 , 	9 , 	58 , 	18 ," 	4,737 ",,,WP line,"35,594","8,415","4,099","3,006","6,356",,,
OW, 	27 , 	31 , 	11 , 	17 , 	54 , 	35 , 	53 , 	50 , 	96 , 	34 , 	126 , 	110 , 	41 , 	46 , 	33 , 	19 , 	20 , 	21 , 	14 , 	9 , 	15 , 	4 , 	7 , 	16 , 	6 ," 	1,095 ", 	974 , 	545 , 	414 , 	101 , 	93 , 	21 , 	52 , 	65 , 	8 , 	9 , 	27 , 	3 , 	27 , 	11 , 	5 , 	22 , 	11 ," 	4,379 ",,,FT/ED line,"40,170","15,577","6,046","8,312","3,836","14,347",,
EM, 	235 , 	804 , 	449 , 	473 , 	853 , 	483 , 	750 , 	845 ," 	1,215 ", 	551 , 	728 , 	711 , 	628 , 	589 , 	424 , 	327 , 	596 , 	965 , 	820 ," 	1,565 "," 	1,250 ", 	817 , 	745 , 	922 ," 	1,174 ", 	93 , 	109 , 	384 , 	372 , 	802 ," 	1,354 "," 	1,088 "," 	1,496 ", 	995 , 	555 , 	477 ," 	1,617 ", 	343 , 	748 , 	469 , 	279 , 	288 , 	517 ," 	30,904 ",,,SFIA,"12,262","2,540","2,533","1,369","1,403",602,785,"321,820"
MT, 	233 , 	787 , 	479 , 	415 , 	645 , 	473 , 	734 , 	615 , 	904 , 	534 , 	688 , 	542 , 	630 , 	568 , 	362 , 	291 , 	534 , 	848 , 	631 ," 	1,183 ", 	907 , 	566 , 	515 , 	777 ," 	1,029 ", 	119 , 	83 , 	184 , 	364 ," 	1,195 "," 	1,938 "," 	1,615 "," 	3,024 "," 	1,384 ", 	703 , 	429 ," 	1,142 ", 	282 , 	595 , 	511 , 	319 , 	270 , 	657 ," 	30,705 ",,,,,,,,,,,
PL, 	237 , 	539 , 	265 , 	263 , 	758 , 	283 , 	532 , 	490 , 	758 , 	411 , 	536 , 	744 , 	362 , 	305 , 	241 , 	197 , 	244 , 	410 , 	331 , 	440 , 	410 , 	222 , 	189 , 	427 , 	542 , 	524 , 	255 , 	116 , 	377 ," 	1,267 "," 	1,864 "," 	1,132 "," 	2,597 ", 	959 , 	485 , 	184 , 	656 , 	134 , 	360 , 	334 , 	217 , 	864 , 	379 ," 	22,839 ",,,,,,,,,,,
CC, 	199 , 	532 , 	294 , 	331 , 	641 , 	338 , 	543 , 	420 , 	572 , 	361 , 	498 , 	493 , 	330 , 	276 , 	225 , 	211 , 	268 , 	408 , 	339 , 	438 , 	324 , 	218 , 	181 , 	424 , 	436 , 	380 , 	386 , 	356 , 	102 ," 	1,050 "," 	1,378 ", 	845 ," 	2,085 ", 	783 , 	460 , 	182 , 	533 , 	129 , 	395 , 	331 , 	204 , 	416 , 	302 ," 	19,615 ",,,,,,,,,,,
16, 	99 , 	97 , 	50 , 	83 , 	290 , 	110 , 	185 , 	142 , 	203 , 	100 , 	157 , 	136 , 	68 , 	47 , 	53 , 	38 , 	30 , 	49 , 	54 , 	55 , 	51 , 	27 , 	23 , 	127 , 	99 , 	728 , 	987 ," 	1,389 ", 	987 , 	35 , 	329 , 	270 , 	843 , 	208 , 	130 , 	22 , 	67 , 	18 , 	82 , 	69 , 	65 , 	100 , 	84 ," 	8,786 ",,,,,,,,,,,
24, 	116 , 	125 , 	49 , 	62 , 	319 , 	95 , 	150 , 	156 , 	226 , 	81 , 	177 , 	160 , 	62 , 	51 , 	48 , 	40 , 	30 , 	38 , 	69 , 	51 , 	54 , 	34 , 	31 , 	89 , 	103 ," 	1,198 "," 	1,599 "," 	2,166 "," 	1,315 ", 	332 , 	56 , 	259 , 	952 , 	313 , 	158 , 	21 , 	66 , 	18 , 	110 , 	93 , 	77 , 	118 , 	122 ," 	11,384 ",,,,,,,,,,,
GP, 	22 , 	44 , 	14 , 	16 , 	133 , 	21 , 	52 , 	99 , 	140 , 	32 , 	36 , 	75 , 	22 , 	21 , 	19 , 	9 , 	12 , 	18 , 	27 , 	32 , 	28 , 	10 , 	11 , 	27 , 	25 ," 	1,061 "," 	1,284 "," 	1,482 ", 	754 , 	278 , 	277 , 	27 , 	172 , 	66 , 	55 , 	9 , 	41 , 	10 , 	28 , 	37 , 	30 , 	65 , 	56 ," 	6,678 ",,,,,,,,,,,
