Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Apr 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
OR, 	4 , 	2 , 	3 , 	4 , 	12 , 	3 , 	6 , 	3 , 	16 , 	2 , 	8 , 	49 , 	2 , 	3 , 	1 , 	1 , 	3 , 	1 , 	16 , 	6 , 	13 , 	8 , 	1 , 	19 , 	1 , 	57 , 	39 , 	80 , 	54 , 	6 , 	7 , 	5 , 	6 , 	5 , 	8 , 	1 , 	2 , 	3 , 	6 , 	462 ,,,FT/ED line," 	9,267 "," 	3,155 "," 	2,759 "," 	3,861 "," 	1,974 "," 	7,435 "," 	84,215 "
RR, 	8 , 	8 , 	8 , 	9 , 	25 , 	8 , 	17 , 	22 , 	36 , 	15 , 	19 , 	82 , 	6 , 	6 , 	8 , 	2 , 	4 , 	11 , 	23 , 	29 , 	48 , 	25 , 	20 , 	5 , 	11 , 	129 , 	112 , 	253 , 	185 , 	59 , 	48 , 	20 , 	8 , 	20 , 	23 , 	3 , 	5 , 	4 , 	16 ," 	1,338 ",,,,,,,,,,
OW, 	28 , 	18 , 	4 , 	7 , 	29 , 	22 , 	20 , 	13 , 	26 , 	8 , 	37 , 	35 , 	12 , 	14 , 	10 , 	2 , 	3 , 	7 , 	3 , 	1 , 	4 , 	0 , 	1 , 	6 , 	3 , 	110 , 	80 , 	239 , 	110 , 	49 , 	44 , 	13 , 	11 , 	6 , 	9 , 	3 , 	10 , 	1 , 	9 ," 	1,002 ",,,,,,,,,,
EM, 	46 , 	94 , 	73 , 	94 , 	218 , 	89 , 	114 , 	85 , 	180 , 	95 , 	111 , 	331 , 	81 , 	88 , 	45 , 	27 , 	62 , 	116 , 	77 , 	115 , 	151 , 	69 , 	67 , 	137 , 	119 , 	34 , 	24 , 	81 , 	50 , 	187 , 	270 , 	125 , 	183 , 	100 , 	104 , 	57 , 	250 , 	30 , 	90 ," 	4,267 ",,,,,,,,,,
MT, 	49 , 	88 , 	61 , 	65 , 	185 , 	78 , 	119 , 	95 , 	208 , 	112 , 	104 , 	201 , 	75 , 	56 , 	31 , 	28 , 	55 , 	82 , 	47 , 	87 , 	82 , 	40 , 	43 , 	119 , 	100 , 	17 , 	21 , 	58 , 	49 , 	275 , 	320 , 	291 , 	872 , 	138 , 	129 , 	29 , 	118 , 	18 , 	64 ," 	4,601 ",,,,,,,,,,
PL, 	116 , 	217 , 	109 , 	136 , 	457 , 	145 , 	255 , 	154 , 	362 , 	187 , 	279 , 	456 , 	143 , 	132 , 	64 , 	49 , 	107 , 	191 , 	122 , 	136 , 	180 , 	89 , 	76 , 	235 , 	283 , 	94 , 	40 , 	104 , 	128 , 	709 ," 	1,027 ", 	523 , 	984 , 	431 , 	410 , 	82 , 	299 , 	41 , 	132 ," 	9,680 ",,,,,,,,,,
CC, 	56 , 	81 , 	72 , 	105 , 	239 , 	112 , 	178 , 	110 , 	149 , 	103 , 	124 , 	244 , 	67 , 	51 , 	35 , 	29 , 	41 , 	99 , 	61 , 	79 , 	117 , 	83 , 	53 , 	174 , 	114 , 	44 , 	33 , 	128 , 	71 , 	498 , 	616 , 	241 , 	471 , 	218 , 	241 , 	47 , 	170 , 	22 , 	55 ," 	5,429 ",,,,,,,,,,
16, 	46 , 	42 , 	17 , 	33 , 	104 , 	56 , 	76 , 	42 , 	65 , 	36 , 	82 , 	103 , 	13 , 	18 , 	17 , 	14 , 	10 , 	22 , 	23 , 	9 , 	17 , 	13 , 	6 , 	53 , 	42 , 	165 , 	190 , 	761 , 	530 , 	41 , 	164 , 	106 , 	244 , 	116 , 	106 , 	7 , 	23 , 	4 , 	31 ," 	3,442 ",,,,,,,,,,
24, 	69 , 	63 , 	21 , 	36 , 	75 , 	48 , 	61 , 	49 , 	56 , 	39 , 	98 , 	118 , 	26 , 	22 , 	18 , 	15 , 	11 , 	24 , 	33 , 	17 , 	26 , 	7 , 	5 , 	40 , 	54 , 	211 , 	257 ," 	1,084 ", 	600 , 	183 , 	46 , 	114 , 	261 , 	154 , 	155 , 	7 , 	30 , 	4 , 	47 ," 	4,179 ",,,,,,,,,,
GP, 	13 , 	17 , 	6 , 	14 , 	27 , 	10 , 	19 , 	12 , 	21 , 	20 , 	25 , 	64 , 	12 , 	9 , 	5 , 	7 , 	4 , 	13 , 	15 , 	9 , 	11 , 	4 , 	5 , 	22 , 	14 , 	122 , 	139 , 	720 , 	223 , 	113 , 	118 , 	19 , 	43 , 	37 , 	45 , 	6 , 	17 , 	3 , 	21 ," 	1,997 ",,,,,,,,,,
