Exit stations,Entry stations->,,WEEKDAY,,,Nov 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,
EM, 	491 ," 	1,116 ", 	736 , 	788 ," 	1,314 ", 	969 ," 	1,364 "," 	1,822 "," 	1,677 "," 	1,103 "," 	1,157 ", 	683 , 	941 , 	904 , 	692 , 	515 ," 	1,173 "," 	2,310 "," 	1,188 "," 	2,116 "," 	1,745 "," 	1,046 ", 	919 ," 	1,283 "," 	2,039 ", 	171 , 	117 , 	537 , 	574 ," 	1,121 "," 	1,791 "," 	1,271 "," 	1,542 "," 	1,401 ", 	893 , 	672 ," 	2,314 ", 	631 ," 	1,036 ", 	688 , 	637 , 	473 ," 	1,092 ", 	941 , 	166 , 	-   ," 	48,162 ",,,,,,,,,
MT, 	462 ," 	1,072 ", 	680 , 	729 , 	975 , 	868 ," 	1,270 "," 	1,451 "," 	1,211 "," 	1,080 "," 	1,117 ", 	599 , 	825 , 	773 , 	589 , 	424 , 	916 ," 	1,741 "," 	1,023 "," 	1,803 "," 	1,393 ", 	774 , 	678 ," 	1,105 "," 	1,705 ", 	146 , 	173 , 	206 , 	541 ," 	1,464 "," 	2,488 "," 	1,776 "," 	2,672 "," 	2,073 "," 	1,204 ", 	582 ," 	1,675 ", 	554 , 	932 , 	947 , 	857 , 	467 ," 	1,566 ", 	719 , 	124 , 	-   ," 	46,428 ",,,,,,,,,
PL, 	389 , 	752 , 	354 , 	353 , 	773 , 	434 , 	740 , 	861 , 	816 , 	600 , 	794 , 	503 , 	485 , 	473 , 	322 , 	207 , 	318 , 	565 , 	470 , 	544 , 	464 , 	245 , 	212 , 	495 , 	971 , 	788 , 	331 , 	144 , 	363 ," 	1,300 "," 	1,725 "," 	1,159 "," 	2,218 "," 	1,323 ", 	611 , 	249 , 	663 , 	252 , 	575 , 	445 , 	411 ," 	1,164 ", 	709 , 	292 , 	124 , 	-   ," 	27,984 ",,,,,,,,,
CC, 	333 , 	697 , 	392 , 	446 , 	663 , 	527 , 	835 , 	915 , 	795 , 	588 , 	832 , 	423 , 	463 , 	438 , 	334 , 	222 , 	322 , 	525 , 	458 , 	524 , 	419 , 	253 , 	217 , 	574 , 	920 , 	623 , 	572 , 	335 , 	83 , 	664 ," 	1,125 ", 	838 ," 	1,483 ", 	839 , 	535 , 	243 , 	606 , 	265 , 	582 , 	419 , 	380 , 	446 , 	658 , 	249 , 	65 , 	-   ," 	24,122 ",,,,,,,,,
16, 	173 , 	224 , 	123 , 	155 , 	331 , 	229 , 	370 , 	447 , 	309 , 	231 , 	298 , 	161 , 	141 , 	121 , 	88 , 	67 , 	64 , 	126 , 	122 , 	123 , 	106 , 	58 , 	46 , 	180 , 	373 ," 	1,148 "," 	1,505 "," 	1,514 ", 	740 , 	39 , 	247 , 	356 , 	725 , 	322 , 	151 , 	62 , 	152 , 	69 , 	181 , 	137 , 	134 , 	201 , 	268 , 	57 , 	23 , 	-   ," 	12,696 ",,,,,,,,,
24, 	170 , 	207 , 	69 , 	95 , 	282 , 	137 , 	235 , 	332 , 	288 , 	151 , 	227 , 	131 , 	93 , 	83 , 	59 , 	46 , 	36 , 	55 , 	76 , 	72 , 	64 , 	29 , 	26 , 	109 , 	225 ," 	1,553 "," 	2,129 "," 	2,015 "," 	1,178 ", 	249 , 	45 , 	274 , 	679 , 	296 , 	131 , 	26 , 	84 , 	45 , 	145 , 	100 , 	143 , 	187 , 	248 , 	32 , 	23 , 	-   ," 	12,879 ",,,,,,,,,
GP, 	46 , 	75 , 	31 , 	39 , 	138 , 	35 , 	81 , 	174 , 	171 , 	52 , 	75 , 	75 , 	44 , 	33 , 	25 , 	12 , 	13 , 	30 , 	44 , 	51 , 	49 , 	14 , 	17 , 	45 , 	65 ," 	1,159 "," 	1,416 "," 	1,343 ", 	754 , 	350 , 	299 , 	30 , 	138 , 	71 , 	58 , 	16 , 	54 , 	13 , 	60 , 	46 , 	76 , 	110 , 	149 , 	23 , 	13 , 	-   ," 	7,613 ",,,,,,,,,
BP, 	70 , 	98 , 	40 , 	37 , 	123 , 	46 , 	87 , 	128 , 	154 , 	79 , 	99 , 	67 , 	64 , 	48 , 	38 , 	22 , 	25 , 	42 , 	50 , 	44 , 	41 , 	13 , 	14 , 	46 , 	94 ," 	1,352 "," 	1,803 "," 	2,601 "," 	1,346 ", 	654 , 	650 , 	129 , 	51 , 	122 , 	98 , 	23 , 	67 , 	24 , 	72 , 	81 , 	115 , 	115 , 	175 , 	18 , 	8 , 	-   ," 	11,072 ",,,,,,,,,
DC, 	91 , 	181 , 	66 , 	54 , 	141 , 	49 , 	106 , 	164 , 	202 , 	136 , 	148 , 	171 , 	114 , 	93 , 	69 , 	61 , 	81 , 	96 , 	112 , 	93 , 	73 , 	22 , 	22 , 	45 , 	75 ," 	1,313 "," 	1,781 "," 	1,526 ", 	831 , 	327 , 	320 , 	79 , 	134 , 	26 , 	43 , 	38 , 	110 , 	71 , 	142 , 	90 , 	155 , 	200 , 	296 , 	56 , 	15 , 	-   ," 	10,019 ",,,,,,,,,
CM, 	16 , 	25 , 	5 , 	6 , 	38 , 	8 , 	33 , 	82 , 	130 , 	12 , 	9 , 	16 , 	9 , 	10 , 	8 , 	5 , 	3 , 	6 , 	24 , 	13 , 	23 , 	4 , 	4 , 	6 , 	16 , 	886 ," 	1,059 ", 	704 , 	508 , 	141 , 	137 , 	60 , 	92 , 	37 , 	11 , 	3 , 	19 , 	6 , 	27 , 	26 , 	56 , 	128 , 	101 , 	5 , 	2 , 	-   ," 	4,520 ",,,,,,,,,
CV, 	5 , 	7 , 	4 , 	8 , 	54 , 	10 , 	28 , 	81 , 	107 , 	129 , 	56 , 	58 , 	49 , 	71 , 	26 , 	13 , 	16 , 	46 , 	6 , 	4 , 	5 , 	1 , 	4 , 	6 , 	11 , 	540 , 	558 , 	300 , 	270 , 	73 , 	33 , 	17 , 	24 , 	38 , 	4 , 	9 , 	127 , 	3 , 	4 , 	6 , 	7 , 	24 , 	6 , 	82 , 	11 , 	-   ," 	2,938 ",,,,,,,,,
ED, 	17 , 	34 , 	19 , 	17 , 	137 , 	19 , 	67 , 	230 , 	220 , 	182 , 	134 , 	145 , 	97 , 	177 , 	68 , 	35 , 	57 , 	116 , 	8 , 	7 , 	7 , 	2 , 	2 , 	15 , 	28 ," 	1,965 "," 	1,657 ", 	774 , 	654 , 	165 , 	98 , 	58 , 	73 , 	119 , 	17 , 	132 , 	41 , 	2 , 	12 , 	23 , 	15 , 	148 , 	20 , 	65 , 	84 , 	-   ," 	7,964 ",,,,,,,,,
NC, 	5 , 	8 , 	4 , 	5 , 	49 , 	10 , 	69 , 	160 , 	162 , 	13 , 	12 , 	16 , 	11 , 	6 , 	13 , 	2 , 	5 , 	13 , 	50 , 	32 , 	63 , 	13 , 	8 , 	27 , 	7 , 	503 , 	505 , 	283 , 	298 , 	79 , 	50 , 	19 , 	26 , 	64 , 	7 , 	4 , 	2 , 	11 , 	55 , 	11 , 	13 , 	62 , 	13 , 	1 , 	13 , 	-   ," 	2,784 ",,,,,,,,,
WP, 	41 , 	38 , 	20 , 	14 , 	133 , 	34 , 	283 , 	284 , 	355 , 	53 , 	57 , 	101 , 	45 , 	25 , 	58 , 	14 , 	25 , 	52 , 	352 , 	157 , 	264 , 	50 , 	29 , 	71 , 	41 , 	809 , 	780 , 	733 , 	721 , 	210 , 	166 , 	83 , 	96 , 	140 , 	31 , 	5 , 	11 , 	61 , 	37 , 	51 , 	56 , 	170 , 	34 , 	7 , 	37 , 	-   ," 	6,836 ",,,,,,,,,
SS, 	15 , 	38 , 	11 , 	10 , 	41 , 	11 , 	33 , 	73 , 	82 , 	12 , 	18 , 	24 , 	19 , 	16 , 	8 , 	7 , 	11 , 	10 , 	24 , 	23 , 	20 , 	6 , 	7 , 	12 , 	16 , 	664 , 	846 , 	526 , 	421 , 	137 , 	110 , 	44 , 	89 , 	96 , 	22 , 	3 , 	25 , 	11 , 	47 , 	16 , 	37 , 	52 , 	74 , 	7 , 	3 , 	-   ," 	3,775 ",,,,,,,,,
SB, 	26 , 	52 , 	12 , 	10 , 	47 , 	18 , 	32 , 	73 , 	87 , 	22 , 	29 , 	38 , 	19 , 	18 , 	15 , 	7 , 	5 , 	9 , 	30 , 	29 , 	26 , 	12 , 	10 , 	16 , 	32 , 	638 , 	790 , 	471 , 	404 , 	135 , 	142 , 	79 , 	143 , 	168 , 	54 , 	7 , 	14 , 	13 , 	50 , 	41 , 	17 , 	73 , 	61 , 	8 , 	4 , 	-   ," 	3,984 ",,,,,,,,,
SO, 	58 , 	124 , 	73 , 	107 , 	248 , 	81 , 	144 , 	112 , 	136 , 	48 , 	76 , 	43 , 	44 , 	34 , 	28 , 	14 , 	26 , 	48 , 	127 , 	181 , 	206 , 	99 , 	85 , 	169 , 	129 , 	446 , 	497 , 	953 , 	426 , 	193 , 	175 , 	103 , 	118 , 	213 , 	123 , 	24 , 	140 , 	68 , 	168 , 	52 , 	63 , 	58 , 	321 , 	41 , 	20 , 	-   ," 	6,641 ",,,,,,,,,
MB, 	30 , 	81 , 	35 , 	44 , 	198 , 	53 , 	68 , 	155 , 	144 , 	27 , 	27 , 	30 , 	13 , 	8 , 	7 , 	5 , 	5 , 	8 , 	26 , 	25 , 	27 , 	15 , 	12 , 	27 , 	40 ," 	1,030 "," 	1,396 ", 	718 , 	621 , 	231 , 	229 , 	151 , 	195 , 	302 , 	109 , 	4 , 	19 , 	13 , 	35 , 	74 , 	41 , 	324 , 	44 , 	5 , 	9 , 	-   ," 	6,660 ",,,,,,,,,
WD, 	8 , 	17 , 	10 , 	10 , 	67 , 	11 , 	29 , 	104 , 	115 , 	97 , 	63 , 	69 , 	55 , 	105 , 	43 , 	18 , 	24 , 	39 , 	4 , 	3 , 	4 , 	2 , 	1 , 	8 , 	10 , 	836 , 	770 , 	349 , 	296 , 	67 , 	37 , 	26 , 	21 , 	61 , 	4 , 	95 , 	81 , 	1 , 	7 , 	7 , 	8 , 	50 , 	5 , 	14 , 	37 , 	-   ," 	3,685 ",,,,,,,,,
OA, 	11 , 	41 , 	32 , 	44 , 	158 , 	35 , 	37 , 	47 , 	62 , 	23 , 	11 , 	35 , 	9 , 	8 , 	16 , 	7 , 	19 , 	38 , 	32 , 	54 , 	49 , 	25 , 	15 , 	26 , 	8 , 	166 , 	131 , 	112 , 	81 , 	25 , 	24 , 	15 , 	10 , 	15 , 	2 , 	10 , 	75 , 	14 , 	29 , 	3 , 	3 , 	24 , 	7 , 	38 , 	11 , 	-   ," 	1,637 ",,,,,,,,,
WS, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,,,,,
