Exit stations,Entry stations->,,SUNDAY,,,Jun 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	12 , 	23 , 	15 , 	9 , 	34 , 	12 , 	23 , 	14 , 	15 , 	12 , 	23 , 	18 , 	8 , 	8 , 	6 , 	4 , 	1 , 	5 , 	3 , 	1 , 	4 , 	2 , 	1 , 	2 , 	4 , 	57 , 	39 , 	77 , 	34 , 	27 , 	33 , 	9 , 	12 , 	6 , 	3 , 	1 , 	4 , 	1 , 	3 , 	2 , 	8 , 	13 , 	2 , 	1 , 	3 , 	4 , 	0 , 	8 , 	2 , 	3 , 	604 ,,,,,,,,,,,
LF, 	1 , 	2 , 	1 , 	1 , 	3 , 	2 , 	8 , 	4 , 	6 , 	2 , 	3 , 	4 , 	2 , 	0 , 	-   , 	1 , 	-   , 	0 , 	33 , 	10 , 	12 , 	3 , 	3 , 	11 , 	1 , 	58 , 	23 , 	29 , 	16 , 	10 , 	7 , 	4 , 	3 , 	2 , 	1 , 	1 , 	-   , 	2 , 	7 , 	1 , 	-   , 	23 , 	2 , 	-   , 	5 , 	1 , 	1 , 	1 , 	4 , 	2 , 	312 ,,,,,,,,,,,
OR, 	1 , 	1 , 	1 , 	-   , 	2 , 	1 , 	6 , 	5 , 	4 , 	1 , 	4 , 	2 , 	-   , 	2 , 	0 , 	1 , 	0 , 	0 , 	7 , 	4 , 	9 , 	2 , 	3 , 	9 , 	2 , 	52 , 	22 , 	25 , 	14 , 	10 , 	5 , 	4 , 	2 , 	2 , 	1 , 	0 , 	1 , 	0 , 	4 , 	-   , 	-   , 	12 , 	-   , 	-   , 	4 , 	-   , 	1 , 	2 , 	3 , 	1 , 	229 ,,,,,,,,,,,
RR, 	2 , 	8 , 	2 , 	1 , 	2 , 	1 , 	11 , 	18 , 	10 , 	3 , 	11 , 	3 , 	5 , 	2 , 	1 , 	2 , 	1 , 	3 , 	10 , 	17 , 	13 , 	18 , 	11 , 	11 , 	4 , 	103 , 	54 , 	74 , 	49 , 	49 , 	25 , 	11 , 	5 , 	6 , 	1 , 	1 , 	1 , 	1 , 	5 , 	1 , 	2 , 	30 , 	4 , 	1 , 	2 , 	0 , 	2 , 	4 , 	1 , 	5 , 	603 ,,,,,,,,,,,
OW, 	3 , 	5 , 	3 , 	1 , 	8 , 	7 , 	10 , 	7 , 	11 , 	10 , 	21 , 	12 , 	5 , 	10 , 	5 , 	2 , 	2 , 	2 , 	2 , 	1 , 	3 , 	1 , 	1 , 	4 , 	10 , 	175 , 	75 , 	160 , 	92 , 	75 , 	42 , 	8 , 	15 , 	7 , 	4 , 	3 , 	5 , 	-   , 	3 , 	2 , 	5 , 	30 , 	3 , 	1 , 	5 , 	1 , 	-   , 	1 , 	3 , 	4 , 	862 ,,,,,,,,,,,
EM, 	63 , 	95 , 	48 , 	66 , 	81 , 	46 , 	97 , 	111 , 	104 , 	80 , 	92 , 	65 , 	81 , 	66 , 	29 , 	33 , 	33 , 	44 , 	76 , 	105 , 	119 , 	71 , 	64 , 	111 , 	203 , 	50 , 	6 , 	27 , 	21 , 	60 , 	72 , 	45 , 	66 , 	60 , 	24 , 	50 , 	248 , 	30 , 	48 , 	14 , 	16 , 	78 , 	27 , 	62 , 	29 , 	13 , 	21 , 	26 , 	10 , 	48 ," 	3,131 ",,,,,,,,,,,
MT, 	41 , 	50 , 	35 , 	29 , 	52 , 	37 , 	74 , 	73 , 	76 , 	60 , 	65 , 	32 , 	40 , 	59 , 	18 , 	13 , 	20 , 	23 , 	42 , 	46 , 	56 , 	28 , 	18 , 	58 , 	92 , 	6 , 	28 , 	7 , 	16 , 	62 , 	64 , 	46 , 	94 , 	59 , 	28 , 	24 , 	69 , 	13 , 	33 , 	9 , 	20 , 	85 , 	18 , 	31 , 	20 , 	5 , 	11 , 	16 , 	4 , 	25 ," 	1,926 ",,,,,,,,,,,
PL, 	71 , 	80 , 	41 , 	34 , 	75 , 	35 , 	84 , 	91 , 	103 , 	88 , 	116 , 	62 , 	58 , 	68 , 	29 , 	15 , 	11 , 	22 , 	43 , 	41 , 	43 , 	19 , 	21 , 	50 , 	152 , 	24 , 	8 , 	72 , 	16 , 	154 , 	197 , 	91 , 	206 , 	155 , 	62 , 	23 , 	61 , 	14 , 	44 , 	29 , 	43 , 	158 , 	38 , 	18 , 	24 , 	8 , 	9 , 	18 , 	11 , 	28 ," 	2,957 ",,,,,,,,,,,
CC, 	31 , 	51 , 	31 , 	27 , 	46 , 	29 , 	72 , 	74 , 	72 , 	53 , 	102 , 	39 , 	30 , 	31 , 	23 , 	8 , 	11 , 	19 , 	30 , 	32 , 	36 , 	16 , 	12 , 	49 , 	97 , 	18 , 	13 , 	15 , 	39 , 	58 , 	74 , 	53 , 	90 , 	67 , 	32 , 	16 , 	48 , 	7 , 	23 , 	17 , 	33 , 	94 , 	37 , 	16 , 	17 , 	8 , 	7 , 	12 , 	4 , 	15 ," 	1,829 ",,,,,,,,,,,
16, 	28 , 	31 , 	15 , 	27 , 	39 , 	31 , 	63 , 	70 , 	58 , 	56 , 	43 , 	22 , 	22 , 	13 , 	8 , 	7 , 	6 , 	9 , 	16 , 	14 , 	21 , 	9 , 	9 , 	44 , 	87 , 	53 , 	57 , 	169 , 	66 , 	27 , 	22 , 	41 , 	62 , 	63 , 	26 , 	6 , 	26 , 	3 , 	12 , 	14 , 	23 , 	66 , 	23 , 	6 , 	9 , 	5 , 	5 , 	7 , 	6 , 	10 ," 	1,550 ",,,,,,,,,,,
24, 	31 , 	27 , 	9 , 	18 , 	24 , 	16 , 	46 , 	38 , 	40 , 	45 , 	43 , 	23 , 	16 , 	10 , 	7 , 	7 , 	5 , 	4 , 	18 , 	9 , 	12 , 	6 , 	4 , 	27 , 	50 , 	80 , 	61 , 	235 , 	86 , 	16 , 	34 , 	35 , 	53 , 	40 , 	24 , 	3 , 	15 , 	3 , 	9 , 	18 , 	30 , 	48 , 	17 , 	4 , 	12 , 	3 , 	2 , 	7 , 	2 , 	6 ," 	1,371 ",,,,,,,,,,,
