Exit stations,Entry stations->,,SUNDAY,,,Nov 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
WC, 	11 , 	18 , 	10 , 	10 , 	67 , 	14 , 	39 , 	41 , 	48 , 	7 , 	20 , 	116 , 	5 , 	7 , 	11 , 	2 , 	4 , 	21 , 	145 , 	76 , 	10 , 	30 , 	20 , 	64 , 	10 , 	210 , 	129 , 	332 , 	176 , 	59 , 	40 , 	26 , 	13 , 	24 , 	5 , 	2 , 	2 , 	16 , 	91 , 	5 , 	6 , 	150 , 	18 , 	2 , 	48 , 	-   ," 	2,161 ",,,OAK," 	11,878 ", 	755 ,,,,,,
LF, 	5 , 	10 , 	5 , 	7 , 	39 , 	7 , 	15 , 	18 , 	25 , 	5 , 	14 , 	62 , 	2 , 	3 , 	2 , 	1 , 	2 , 	11 , 	45 , 	26 , 	30 , 	10 , 	7 , 	40 , 	5 , 	125 , 	72 , 	175 , 	111 , 	26 , 	17 , 	10 , 	6 , 	9 , 	3 , 	0 , 	1 , 	3 , 	20 , 	3 , 	2 , 	98 , 	7 , 	1 , 	28 , 	-   ," 	1,112 ",,,CM line," 	21,299 "," 	3,863 "," 	3,749 ",,,,,
OR, 	4 , 	6 , 	8 , 	4 , 	30 , 	5 , 	24 , 	10 , 	25 , 	2 , 	10 , 	56 , 	3 , 	7 , 	2 , 	1 , 	1 , 	8 , 	17 , 	10 , 	22 , 	9 , 	4 , 	32 , 	3 , 	94 , 	59 , 	168 , 	94 , 	22 , 	15 , 	8 , 	5 , 	7 , 	2 , 	1 , 	2 , 	1 , 	7 , 	4 , 	3 , 	83 , 	7 , 	1 , 	21 , 	-   , 	909 ,,,RM line," 	9,656 "," 	3,484 "," 	3,142 "," 	3,070 ",,,,
RR, 	11 , 	13 , 	17 , 	10 , 	37 , 	10 , 	36 , 	61 , 	55 , 	13 , 	37 , 	59 , 	13 , 	6 , 	8 , 	2 , 	7 , 	19 , 	33 , 	40 , 	57 , 	38 , 	34 , 	18 , 	20 , 	252 , 	182 , 	393 , 	303 , 	128 , 	85 , 	35 , 	23 , 	22 , 	4 , 	3 , 	7 , 	7 , 	23 , 	2 , 	5 , 	192 , 	26 , 	4 , 	46 , 	-   ," 	2,398 ",,,WP line," 	9,377 "," 	1,742 "," 	2,048 "," 	1,225 "," 	2,150 ",,,
OW, 	9 , 	17 , 	4 , 	10 , 	51 , 	19 , 	38 , 	30 , 	39 , 	18 , 	78 , 	81 , 	21 , 	18 , 	8 , 	5 , 	3 , 	11 , 	7 , 	3 , 	7 , 	4 , 	2 , 	20 , 	16 , 	337 , 	254 , 	681 , 	324 , 	190 , 	114 , 	31 , 	37 , 	21 , 	6 , 	8 , 	14 , 	2 , 	21 , 	3 , 	10 , 	82 , 	13 , 	7 , 	11 , 	-   ," 	2,687 ",,,FT/ED line," 	13,451 "," 	4,854 "," 	3,251 "," 	4,490 "," 	2,527 "," 	10,718 ",,
EM, 	112 , 	184 , 	116 , 	187 , 	440 , 	179 , 	270 , 	261 , 	273 , 	217 , 	250 , 	310 , 	128 , 	130 , 	72 , 	45 , 	103 , 	196 , 	120 , 	142 , 	227 , 	148 , 	105 , 	268 , 	395 , 	66 , 	22 , 	179 , 	92 , 	261 , 	346 , 	195 , 	324 , 	214 , 	63 , 	91 , 	289 , 	54 , 	147 , 	61 , 	70 , 	365 , 	145 , 	102 , 	125 , 	-   ," 	8,087 ",,,SFIA," 	7,616 "," 	1,146 "," 	4,072 "," 	1,700 "," 	1,843 "," 	1,134 "," 	1,075 "," 	136,814 "
MT, 	80 , 	169 , 	91 , 	133 , 	252 , 	123 , 	204 , 	214 , 	229 , 	200 , 	213 , 	197 , 	113 , 	118 , 	53 , 	42 , 	65 , 	139 , 	89 , 	115 , 	141 , 	72 , 	64 , 	174 , 	313 , 	25 , 	28 , 	43 , 	65 , 	271 , 	298 , 	233 , 	600 , 	225 , 	78 , 	79 , 	160 , 	43 , 	99 , 	49 , 	63 , 	314 , 	104 , 	59 , 	81 , 	-   ," 	6,521 ",,,,,,,,,,,
PL, 	201 , 	395 , 	188 , 	207 , 	569 , 	218 , 	354 , 	351 , 	404 , 	382 , 	478 , 	432 , 	267 , 	281 , 	151 , 	104 , 	135 , 	310 , 	201 , 	200 , 	288 , 	148 , 	140 , 	319 , 	674 , 	205 , 	42 , 	135 , 	203 ," 	1,036 "," 	1,189 ", 	698 ," 	1,296 ", 	887 , 	254 , 	148 , 	397 , 	98 , 	248 , 	190 , 	225 , 	970 , 	414 , 	149 , 	110 , 	-   ," 	16,292 ",,,,,,,,,,,
CC, 	89 , 	132 , 	93 , 	171 , 	323 , 	143 , 	278 , 	247 , 	195 , 	182 , 	267 , 	185 , 	90 , 	98 , 	36 , 	25 , 	60 , 	115 , 	81 , 	98 , 	155 , 	108 , 	89 , 	258 , 	330 , 	83 , 	47 , 	205 , 	57 , 	362 , 	448 , 	263 , 	459 , 	288 , 	110 , 	62 , 	159 , 	30 , 	88 , 	86 , 	98 , 	505 , 	246 , 	61 , 	72 , 	-   ," 	7,578 ",,,,,,,,,,,
16, 	60 , 	65 , 	42 , 	78 , 	171 , 	121 , 	175 , 	179 , 	110 , 	118 , 	148 , 	81 , 	42 , 	31 , 	19 , 	15 , 	16 , 	39 , 	34 , 	31 , 	48 , 	25 , 	25 , 	98 , 	191 , 	269 , 	244 ," 	1,105 ", 	395 , 	42 , 	147 , 	188 , 	333 , 	178 , 	65 , 	16 , 	47 , 	10 , 	39 , 	54 , 	70 , 	292 , 	142 , 	16 , 	30 , 	-   ," 	5,644 ",,,,,,,,,,,
24, 	68 , 	68 , 	35 , 	65 , 	146 , 	89 , 	143 , 	143 , 	105 , 	88 , 	130 , 	74 , 	37 , 	28 , 	20 , 	15 , 	14 , 	29 , 	28 , 	26 , 	36 , 	17 , 	16 , 	80 , 	123 , 	346 , 	249 ," 	1,320 ", 	509 , 	148 , 	43 , 	150 , 	278 , 	168 , 	68 , 	12 , 	38 , 	8 , 	42 , 	45 , 	100 , 	253 , 	123 , 	13 , 	40 , 	-   ," 	5,574 ",,,,,,,,,,,
GP, 	21 , 	34 , 	16 , 	19 , 	59 , 	25 , 	45 , 	40 , 	39 , 	22 , 	26 , 	42 , 	15 , 	18 , 	8 , 	8 , 	9 , 	14 , 	16 , 	17 , 	22 , 	10 , 	7 , 	35 , 	34 , 	184 , 	158 , 	844 , 	249 , 	179 , 	142 , 	22 , 	45 , 	42 , 	27 , 	7 , 	24 , 	10 , 	21 , 	18 , 	46 , 	142 , 	53 , 	7 , 	18 , 	-   ," 	2,838 ",,,,,,,,,,,
BP, 	29 , 	31 , 	11 , 	17 , 	47 , 	17 , 	29 , 	34 , 	37 , 	46 , 	43 , 	41 , 	21 , 	24 , 	13 , 	10 , 	14 , 	21 , 	17 , 	10 , 	16 , 	6 , 	5 , 	17 , 	37 , 	318 , 	322 ," 	1,693 ", 	392 , 	339 , 	252 , 	44 , 	43 , 	43 , 	43 , 	8 , 	33 , 	4 , 	31 , 	26 , 	104 , 	114 , 	75 , 	6 , 	10 , 	-   ," 	4,492 ",,,,,,,,,,,
DC, 	25 , 	28 , 	14 , 	12 , 	62 , 	13 , 	22 , 	22 , 	39 , 	31 , 	36 , 	83 , 	21 , 	20 , 	10 , 	13 , 	12 , 	36 , 	18 , 	15 , 	23 , 	10 , 	10 , 	24 , 	30 , 	194 , 	208 ," 	1,065 ", 	289 , 	188 , 	176 , 	41 , 	47 , 	20 , 	22 , 	14 , 	51 , 	9 , 	39 , 	21 , 	86 , 	244 , 	123 , 	17 , 	22 , 	-   ," 	3,503 ",,,,,,,,,,,
CM, 	8 , 	13 , 	6 , 	5 , 	12 , 	5 , 	9 , 	8 , 	20 , 	3 , 	8 , 	12 , 	7 , 	8 , 	2 , 	3 , 	4 , 	7 , 	7 , 	8 , 	8 , 	4 , 	2 , 	2 , 	9 , 	64 , 	63 , 	313 , 	110 , 	63 , 	64 , 	28 , 	47 , 	20 , 	5 , 	2 , 	6 , 	3 , 	17 , 	6 , 	39 , 	108 , 	37 , 	0 , 	3 , 	-   ," 	1,180 ",,,,,,,,,,,
