Exit stations,Entry stations->,,SUNDAY,,,Aug 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	34 , 	34 , 	33 , 	16 , 	112 , 	23 , 	38 , 	23 , 	31 , 	20 , 	27 , 	27 , 	11 , 	6 , 	8 , 	4 , 	1 , 	2 , 	7 , 	2 , 	8 , 	4 , 	0 , 	6 , 	8 , 	75 , 	38 , 	125 , 	46 , 	39 , 	41 , 	12 , 	16 , 	13 , 	3 , 	3 , 	6 , 	2 , 	3 , 	3 , 	4 , 	35 , 	6 , 	-   , 	6 , 	5 , 	5 , 	9 , 	2 , 	5 , 	980 ,,,,,,,,,,,
LF, 	4 , 	3 , 	4 , 	4 , 	10 , 	3 , 	10 , 	10 , 	9 , 	1 , 	3 , 	38 , 	1 , 	1 , 	2 , 	1 , 	1 , 	-   , 	60 , 	13 , 	17 , 	9 , 	5 , 	31 , 	1 , 	98 , 	49 , 	81 , 	56 , 	17 , 	9 , 	7 , 	4 , 	4 , 	0 , 	0 , 	0 , 	1 , 	10 , 	1 , 	1 , 	47 , 	3 , 	0 , 	7 , 	1 , 	0 , 	2 , 	3 , 	7 , 	642 ,,,,,,,,,,,
OR, 	1 , 	1 , 	2 , 	3 , 	8 , 	1 , 	8 , 	6 , 	10 , 	1 , 	2 , 	32 , 	1 , 	3 , 	1 , 	1 , 	1 , 	1 , 	12 , 	5 , 	14 , 	4 , 	9 , 	11 , 	2 , 	94 , 	36 , 	72 , 	45 , 	17 , 	7 , 	4 , 	1 , 	3 , 	-   , 	0 , 	1 , 	1 , 	4 , 	1 , 	1 , 	29 , 	2 , 	-   , 	6 , 	-   , 	-   , 	2 , 	3 , 	3 , 	462 ,,,,,,,,,,,
RR, 	6 , 	11 , 	9 , 	5 , 	4 , 	3 , 	20 , 	36 , 	32 , 	7 , 	8 , 	43 , 	6 , 	4 , 	3 , 	0 , 	2 , 	3 , 	23 , 	24 , 	46 , 	23 , 	12 , 	20 , 	12 , 	145 , 	84 , 	142 , 	95 , 	56 , 	33 , 	17 , 	6 , 	12 , 	2 , 	0 , 	3 , 	3 , 	11 , 	1 , 	4 , 	71 , 	5 , 	0 , 	5 , 	1 , 	1 , 	4 , 	2 , 	7 ," 	1,066 ",,,,,,,,,,,
OW, 	9 , 	10 , 	3 , 	4 , 	19 , 	6 , 	15 , 	20 , 	20 , 	12 , 	41 , 	40 , 	13 , 	10 , 	5 , 	2 , 	3 , 	3 , 	7 , 	4 , 	4 , 	2 , 	3 , 	9 , 	10 , 	241 , 	142 , 	305 , 	174 , 	124 , 	70 , 	20 , 	20 , 	16 , 	6 , 	3 , 	9 , 	2 , 	6 , 	3 , 	7 , 	57 , 	7 , 	3 , 	7 , 	2 , 	5 , 	3 , 	2 , 	6 ," 	1,508 ",,,,,,,,,,,
EM, 	87 , 	116 , 	105 , 	135 , 	314 , 	104 , 	175 , 	183 , 	182 , 	127 , 	111 , 	146 , 	97 , 	106 , 	51 , 	49 , 	84 , 	82 , 	113 , 	143 , 	168 , 	122 , 	120 , 	170 , 	281 , 	77 , 	12 , 	97 , 	64 , 	164 , 	198 , 	107 , 	118 , 	127 , 	36 , 	72 , 	300 , 	36 , 	66 , 	47 , 	46 , 	188 , 	147 , 	78 , 	46 , 	26 , 	70 , 	87 , 	9 , 	68 ," 	5,652 ",,,,,,,,,,,
MT, 	50 , 	89 , 	54 , 	96 , 	319 , 	86 , 	144 , 	164 , 	159 , 	97 , 	98 , 	79 , 	67 , 	74 , 	27 , 	25 , 	41 , 	38 , 	46 , 	67 , 	68 , 	51 , 	36 , 	115 , 	188 , 	11 , 	34 , 	17 , 	30 , 	108 , 	149 , 	72 , 	149 , 	125 , 	37 , 	40 , 	133 , 	14 , 	38 , 	31 , 	42 , 	195 , 	88 , 	40 , 	24 , 	16 , 	65 , 	57 , 	5 , 	28 ," 	3,820 ",,,,,,,,,,,
PL, 	113 , 	177 , 	87 , 	85 , 	255 , 	104 , 	151 , 	165 , 	215 , 	131 , 	173 , 	155 , 	117 , 	125 , 	55 , 	41 , 	64 , 	51 , 	95 , 	80 , 	114 , 	81 , 	59 , 	117 , 	302 , 	82 , 	10 , 	101 , 	79 , 	368 , 	419 , 	239 , 	379 , 	338 , 	96 , 	49 , 	163 , 	24 , 	75 , 	90 , 	110 , 	575 , 	195 , 	52 , 	29 , 	26 , 	57 , 	68 , 	15 , 	60 ," 	6,807 ",,,,,,,,,,,
CC, 	51 , 	80 , 	45 , 	60 , 	141 , 	76 , 	136 , 	138 , 	123 , 	97 , 	122 , 	88 , 	65 , 	53 , 	28 , 	30 , 	38 , 	33 , 	48 , 	59 , 	95 , 	64 , 	53 , 	88 , 	192 , 	47 , 	26 , 	71 , 	64 , 	141 , 	205 , 	110 , 	152 , 	181 , 	58 , 	33 , 	110 , 	13 , 	37 , 	46 , 	68 , 	204 , 	184 , 	46 , 	16 , 	24 , 	40 , 	54 , 	6 , 	22 ," 	3,954 ",,,,,,,,,,,
16, 	41 , 	44 , 	28 , 	43 , 	94 , 	54 , 	96 , 	102 , 	78 , 	64 , 	51 , 	46 , 	29 , 	22 , 	11 , 	10 , 	17 , 	15 , 	17 , 	21 , 	29 , 	17 , 	13 , 	52 , 	115 , 	137 , 	104 , 	412 , 	151 , 	26 , 	54 , 	86 , 	101 , 	127 , 	44 , 	10 , 	35 , 	8 , 	12 , 	32 , 	47 , 	144 , 	106 , 	12 , 	15 , 	8 , 	16 , 	26 , 	2 , 	14 ," 	2,831 ",,,,,,,,,,,
24, 	43 , 	38 , 	14 , 	31 , 	53 , 	40 , 	74 , 	76 , 	64 , 	49 , 	57 , 	61 , 	28 , 	17 , 	13 , 	13 , 	11 , 	10 , 	17 , 	16 , 	14 , 	10 , 	6 , 	33 , 	87 , 	187 , 	118 , 	484 , 	227 , 	45 , 	23 , 	102 , 	92 , 	113 , 	42 , 	9 , 	25 , 	4 , 	16 , 	31 , 	44 , 	108 , 	79 , 	7 , 	10 , 	4 , 	11 , 	17 , 	2 , 	10 ," 	2,677 ",,,,,,,,,,,
