Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Mar 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
DC, 	52 , 	115 , 	55 , 	56 , 	167 , 	61 , 	77 , 	149 , 	219 , 	97 , 	109 , 	104 , 	72 , 	56 , 	39 , 	29 , 	39 , 	62 , 	71 , 	90 , 	61 , 	28 , 	24 , 	55 , 	64 ," 	1,140 "," 	1,547 "," 	1,189 ", 	708 , 	224 , 	340 , 	78 , 	149 , 	15 , 	73 , 	26 , 	107 , 	30 , 	70 ," 	7,645 ",,,,,,,,,,,
CM, 	28 , 	61 , 	16 , 	16 , 	116 , 	24 , 	39 , 	155 , 	223 , 	23 , 	37 , 	48 , 	26 , 	19 , 	19 , 	9 , 	14 , 	18 , 	64 , 	64 , 	54 , 	17 , 	17 , 	25 , 	26 ," 	1,311 "," 	1,385 ", 	990 , 	738 , 	183 , 	245 , 	89 , 	197 , 	61 , 	11 , 	6 , 	32 , 	16 , 	82 ," 	6,504 ",,,,,,,,,,,
CV, 	7 , 	7 , 	4 , 	3 , 	43 , 	9 , 	15 , 	46 , 	92 , 	56 , 	47 , 	36 , 	39 , 	53 , 	26 , 	15 , 	23 , 	20 , 	4 , 	5 , 	5 , 	1 , 	2 , 	5 , 	5 , 	395 , 	370 , 	199 , 	161 , 	20 , 	17 , 	16 , 	12 , 	26 , 	8 , 	4 , 	138 , 	2 , 	2 ," 	1,940 ",,,,,,,,,,,
ED, 	26 , 	44 , 	23 , 	17 , 	119 , 	27 , 	52 , 	159 , 	278 , 	163 , 	162 , 	175 , 	87 , 	246 , 	95 , 	54 , 	55 , 	74 , 	16 , 	8 , 	6 , 	2 , 	3 , 	15 , 	25 ," 	1,158 "," 	1,052 ", 	603 , 	430 , 	69 , 	67 , 	56 , 	45 , 	108 , 	34 , 	149 , 	19 , 	2 , 	6 ," 	5,727 ",,,,,,,,,,,
NC, 	7 , 	7 , 	3 , 	1 , 	41 , 	5 , 	27 , 	108 , 	119 , 	7 , 	9 , 	12 , 	7 , 	7 , 	7 , 	2 , 	6 , 	9 , 	79 , 	34 , 	61 , 	14 , 	11 , 	19 , 	3 , 	323 , 	329 , 	164 , 	147 , 	21 , 	19 , 	13 , 	15 , 	30 , 	15 , 	2 , 	3 , 	4 , 	79 ," 	1,768 ",,,,,,,,,,,
WP, 	26 , 	30 , 	6 , 	7 , 	90 , 	14 , 	111 , 	210 , 	280 , 	26 , 	38 , 	60 , 	22 , 	16 , 	25 , 	14 , 	22 , 	37 , 	547 , 	167 , 	206 , 	30 , 	22 , 	60 , 	22 , 	599 , 	588 , 	408 , 	366 , 	77 , 	105 , 	42 , 	58 , 	77 , 	84 , 	2 , 	7 , 	93 , 	17 ," 	4,611 ",,,,,,,,,,,
Entries," 	5,560 "," 	7,599 "," 	3,818 "," 	3,373 "," 	10,748 "," 	4,128 "," 	5,891 "," 	8,211 "," 	12,803 "," 	4,417 "," 	7,424 "," 	5,872 "," 	4,741 "," 	4,741 "," 	4,416 "," 	2,909 "," 	3,684 "," 	5,603 "," 	5,769 "," 	6,388 "," 	5,359 "," 	2,795 "," 	2,423 "," 	4,056 "," 	4,580 "," 	27,805 "," 	29,169 "," 	24,931 "," 	18,088 "," 	8,644 "," 	11,778 "," 	7,264 "," 	12,688 "," 	7,347 "," 	6,576 "," 	1,953 "," 	5,751 "," 	1,878 "," 	4,360 "," 	305,537 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
