Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Aug 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
OR, 	2 , 	2 , 	5 , 	4 , 	24 , 	5 , 	7 , 	6 , 	24 , 	3 , 	14 , 	62 , 	1 , 	2 , 	1 , 	4 , 	1 , 	4 , 	24 , 	15 , 	9 , 	6 , 	2 , 	25 , 	1 , 	123 , 	81 , 	148 , 	49 , 	11 , 	10 , 	6 , 	8 , 	7 , 	11 , 	0 , 	1 , 	2 , 	7 , 	714 ,,,FT/ED line," 	13,508 "," 	4,010 "," 	3,101 "," 	4,426 "," 	2,197 "," 	8,313 "," 	108,431 "
RR, 	16 , 	13 , 	22 , 	17 , 	17 , 	5 , 	16 , 	16 , 	59 , 	7 , 	24 , 	93 , 	9 , 	11 , 	5 , 	1 , 	3 , 	8 , 	41 , 	26 , 	32 , 	22 , 	16 , 	5 , 	7 , 	262 , 	212 , 	379 , 	184 , 	36 , 	31 , 	16 , 	10 , 	17 , 	21 , 	4 , 	6 , 	6 , 	10 ," 	1,679 ",,,,,,,,,,
OW, 	17 , 	15 , 	2 , 	7 , 	25 , 	23 , 	34 , 	10 , 	40 , 	18 , 	59 , 	66 , 	14 , 	14 , 	6 , 	4 , 	2 , 	5 , 	2 , 	2 , 	3 , 	1 , 	2 , 	4 , 	3 , 	197 , 	133 , 	381 , 	132 , 	50 , 	56 , 	17 , 	19 , 	9 , 	8 , 	2 , 	8 , 	2 , 	9 ," 	1,397 ",,,,,,,,,,
EM, 	76 , 	205 , 	137 , 	163 , 	364 , 	141 , 	212 , 	136 , 	290 , 	133 , 	199 , 	397 , 	120 , 	94 , 	97 , 	57 , 	106 , 	216 , 	186 , 	226 , 	269 , 	157 , 	148 , 	254 , 	225 , 	69 , 	44 , 	183 , 	79 , 	294 , 	357 , 	168 , 	235 , 	171 , 	130 , 	87 , 	529 , 	58 , 	141 ," 	7,149 ",,,,,,,,,,
MT, 	142 , 	176 , 	146 , 	168 , 	265 , 	78 , 	142 , 	89 , 	323 , 	135 , 	187 , 	241 , 	129 , 	110 , 	28 , 	24 , 	58 , 	116 , 	104 , 	106 , 	114 , 	61 , 	63 , 	199 , 	146 , 	133 , 	144 , 	168 , 	419 , 	209 , 	285 , 	221 , 	524 , 	184 , 	158 , 	67 , 	215 , 	29 , 	85 ," 	6,186 ",,,,,,,,,,
PL, 	163 , 	344 , 	191 , 	261 , 	817 , 	235 , 	411 , 	226 , 	532 , 	298 , 	431 , 	478 , 	229 , 	195 , 	117 , 	97 , 	162 , 	338 , 	210 , 	235 , 	272 , 	139 , 	164 , 	380 , 	447 , 	171 , 	57 , 	151 , 	170 ," 	1,041 "," 	1,414 ", 	770 ," 	1,278 ", 	714 , 	584 , 	141 , 	517 , 	50 , 	200 ," 	14,631 ",,,,,,,,,,
CC, 	58 , 	127 , 	64 , 	112 , 	278 , 	105 , 	208 , 	131 , 	194 , 	109 , 	150 , 	230 , 	77 , 	81 , 	43 , 	31 , 	49 , 	124 , 	101 , 	100 , 	125 , 	51 , 	56 , 	164 , 	155 , 	61 , 	48 , 	140 , 	77 , 	543 , 	697 , 	267 , 	532 , 	287 , 	256 , 	52 , 	186 , 	34 , 	76 ," 	6,179 ",,,,,,,,,,
16, 	68 , 	44 , 	23 , 	42 , 	98 , 	56 , 	86 , 	44 , 	71 , 	45 , 	90 , 	104 , 	21 , 	13 , 	19 , 	7 , 	12 , 	23 , 	29 , 	13 , 	19 , 	8 , 	9 , 	50 , 	52 , 	213 , 	238 , 	979 , 	480 , 	57 , 	188 , 	122 , 	271 , 	106 , 	100 , 	5 , 	36 , 	3 , 	28 ," 	3,869 ",,,,,,,,,,
24, 	97 , 	64 , 	20 , 	37 , 	88 , 	47 , 	64 , 	40 , 	82 , 	48 , 	122 , 	149 , 	31 , 	29 , 	20 , 	15 , 	12 , 	22 , 	71 , 	17 , 	23 , 	10 , 	8 , 	49 , 	52 , 	303 , 	325 ," 	1,341 ", 	670 , 	182 , 	80 , 	116 , 	298 , 	166 , 	176 , 	6 , 	34 , 	8 , 	54 ," 	4,969 ",,,,,,,,,,
GP, 	13 , 	19 , 	12 , 	11 , 	41 , 	16 , 	24 , 	13 , 	31 , 	18 , 	23 , 	67 , 	11 , 	9 , 	5 , 	7 , 	9 , 	16 , 	20 , 	16 , 	16 , 	5 , 	6 , 	23 , 	16 , 	166 , 	166 , 	904 , 	226 , 	119 , 	110 , 	24 , 	40 , 	30 , 	56 , 	6 , 	19 , 	3 , 	21 ," 	2,331 ",,,,,,,,,,
