Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Aug 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
OR, 	5 , 	8 , 	5 , 	2 , 	37 , 	5 , 	10 , 	12 , 	33 , 	7 , 	25 , 	128 , 	4 , 	2 , 	1 , 	3 , 	5 , 	6 , 	32 , 	24 , 	21 , 	8 , 	5 , 	39 , 	4 , 	146 , 	101 , 	194 , 	57 , 	11 , 	14 , 	8 , 	8 , 	10 , 	11 , 	1 , 	1 , 	3 , 	9 , 	998 ,,,FT/ED line," 	16,804 "," 	6,118 "," 	3,691 "," 	6,093 "," 	3,293 "," 	12,347 "," 	147,428 "
RR, 	22 , 	27 , 	27 , 	23 , 	33 , 	11 , 	18 , 	24 , 	73 , 	9 , 	30 , 	106 , 	13 , 	10 , 	9 , 	2 , 	5 , 	13 , 	46 , 	34 , 	58 , 	28 , 	30 , 	11 , 	13 , 	281 , 	272 , 	517 , 	187 , 	42 , 	37 , 	14 , 	8 , 	18 , 	15 , 	2 , 	6 , 	11 , 	17 ," 	2,097 ",,,,,,,,,,
OW, 	47 , 	59 , 	10 , 	14 , 	41 , 	32 , 	54 , 	35 , 	60 , 	24 , 	106 , 	93 , 	38 , 	41 , 	18 , 	15 , 	14 , 	24 , 	14 , 	12 , 	11 , 	5 , 	3 , 	9 , 	3 , 	242 , 	239 , 	584 , 	149 , 	60 , 	71 , 	15 , 	23 , 	7 , 	14 , 	9 , 	17 , 	5 , 	23 ," 	2,234 ",,,,,,,,,,
EM, 	86 , 	268 , 	141 , 	190 , 	529 , 	178 , 	262 , 	167 , 	346 , 	161 , 	224 , 	345 , 	141 , 	148 , 	107 , 	58 , 	120 , 	253 , 	204 , 	274 , 	314 , 	169 , 	173 , 	329 , 	270 , 	63 , 	60 , 	255 , 	114 , 	407 , 	451 , 	229 , 	295 , 	207 , 	170 , 	104 , 	634 , 	74 , 	183 ," 	8,701 ",,,,,,,,,,
MT, 	180 , 	264 , 	179 , 	233 , 	401 , 	147 , 	238 , 	134 , 	375 , 	160 , 	264 , 	216 , 	164 , 	147 , 	61 , 	38 , 	85 , 	176 , 	134 , 	136 , 	169 , 	83 , 	98 , 	249 , 	250 , 	183 , 	173 , 	201 , 	405 , 	353 , 	504 , 	379 , 	853 , 	293 , 	222 , 	73 , 	241 , 	44 , 	105 ," 	8,602 ",,,,,,,,,,
PL, 	233 , 	609 , 	305 , 	377 ," 	1,130 ", 	339 , 	597 , 	347 , 	662 , 	408 , 	571 , 	563 , 	308 , 	265 , 	168 , 	137 , 	226 , 	515 , 	232 , 	349 , 	396 , 	224 , 	190 , 	537 , 	651 , 	244 , 	83 , 	138 , 	241 ," 	1,393 "," 	1,820 "," 	1,093 "," 	1,673 "," 	1,021 ", 	723 , 	155 , 	672 , 	78 , 	258 ," 	19,930 ",,,,,,,,,,
CC, 	75 , 	158 , 	78 , 	109 , 	366 , 	127 , 	228 , 	146 , 	192 , 	117 , 	179 , 	223 , 	94 , 	76 , 	52 , 	38 , 	47 , 	136 , 	70 , 	76 , 	115 , 	73 , 	55 , 	136 , 	141 , 	71 , 	60 , 	201 , 	102 , 	641 , 	922 , 	416 , 	923 , 	402 , 	315 , 	48 , 	155 , 	25 , 	65 ," 	7,453 ",,,,,,,,,,
16, 	59 , 	70 , 	35 , 	60 , 	133 , 	84 , 	101 , 	70 , 	72 , 	48 , 	102 , 	87 , 	32 , 	15 , 	23 , 	12 , 	14 , 	31 , 	27 , 	21 , 	20 , 	11 , 	10 , 	73 , 	65 , 	282 , 	334 ," 	1,297 ", 	593 , 	62 , 	250 , 	206 , 	401 , 	153 , 	117 , 	7 , 	24 , 	4 , 	31 ," 	5,028 ",,,,,,,,,,
24, 	121 , 	108 , 	26 , 	54 , 	112 , 	64 , 	82 , 	65 , 	84 , 	64 , 	182 , 	150 , 	40 , 	44 , 	38 , 	20 , 	20 , 	31 , 	59 , 	26 , 	33 , 	13 , 	13 , 	56 , 	73 , 	378 , 	477 ," 	1,831 ", 	789 , 	235 , 	111 , 	205 , 	428 , 	242 , 	216 , 	9 , 	28 , 	11 , 	55 ," 	6,587 ",,,,,,,,,,
GP, 	16 , 	31 , 	10 , 	16 , 	48 , 	16 , 	30 , 	12 , 	40 , 	20 , 	31 , 	80 , 	13 , 	17 , 	8 , 	5 , 	9 , 	16 , 	21 , 	13 , 	15 , 	7 , 	6 , 	18 , 	16 , 	199 , 	269 ," 	1,202 ", 	297 , 	175 , 	167 , 	42 , 	83 , 	34 , 	64 , 	7 , 	17 , 	3 , 	23 ," 	3,097 ",,,,,,,,,,
BP, 	22 , 	44 , 	11 , 	6 , 	41 , 	14 , 	30 , 	18 , 	65 , 	22 , 	48 , 	47 , 	19 , 	20 , 	15 , 	11 , 	14 , 	18 , 	29 , 	17 , 	19 , 	6 , 	7 , 	10 , 	26 , 	261 , 	418 ," 	2,323 ", 	546 , 	348 , 	418 , 	72 , 	74 , 	50 , 	114 , 	5 , 	27 , 	9 , 	37 ," 	5,283 ",,,,,,,,,,
DC, 	23 , 	47 , 	15 , 	12 , 	63 , 	17 , 	25 , 	24 , 	61 , 	17 , 	46 , 	124 , 	31 , 	20 , 	21 , 	14 , 	15 , 	35 , 	29 , 	18 , 	25 , 	5 , 	8 , 	16 , 	16 , 	212 , 	254 ," 	1,074 ", 	324 , 	139 , 	238 , 	38 , 	62 , 	22 , 	61 , 	13 , 	36 , 	5 , 	28 ," 	3,227 ",,,,,,,,,,
CM, 	17 , 	33 , 	12 , 	10 , 	63 , 	15 , 	22 , 	28 , 	62 , 	12 , 	21 , 	59 , 	12 , 	16 , 	9 , 	7 , 	10 , 	13 , 	38 , 	27 , 	26 , 	9 , 	9 , 	17 , 	8 , 	140 , 	192 , 	688 , 	273 , 	117 , 	200 , 	74 , 	120 , 	60 , 	18 , 	6 , 	15 , 	7 , 	44 ," 	2,511 ",,,,,,,,,,
CV, 	3 , 	3 , 	3 , 	3 , 	21 , 	7 , 	3 , 	8 , 	20 , 	29 , 	43 , 	240 , 	27 , 	53 , 	16 , 	10 , 	9 , 	17 , 	6 , 	2 , 	1 , 	1 , 	0 , 	3 , 	3 , 	98 , 	67 , 	153 , 	50 , 	7 , 	12 , 	9 , 	6 , 	12 , 	9 , 	10 , 	60 , 	1 , 	3 ," 	1,022 ",,,,,,,,,,
ED, 	12 , 	16 , 	7 , 	9 , 	49 , 	12 , 	14 , 	13 , 	43 , 	40 , 	75 , 	464 , 	45 , 	102 , 	38 , 	19 , 	20 , 	30 , 	10 , 	3 , 	3 , 	1 , 	1 , 	5 , 	14 , 	529 , 	197 , 	554 , 	155 , 	21 , 	30 , 	13 , 	21 , 	24 , 	17 , 	52 , 	37 , 	1 , 	5 ," 	2,698 ",,,,,,,,,,
NC, 	2 , 	5 , 	2 , 	1 , 	10 , 	1 , 	4 , 	4 , 	10 , 	1 , 	8 , 	80 , 	3 , 	3 , 	3 , 	2 , 	2 , 	4 , 	38 , 	11 , 	28 , 	3 , 	2 , 	7 , 	2 , 	68 , 	41 , 	85 , 	32 , 	6 , 	15 , 	5 , 	10 , 	7 , 	14 , 	1 , 	1 , 	4 , 	42 , 	562 ,,,,,,,,,,
WP, 	20 , 	27 , 	5 , 	11 , 	25 , 	11 , 	49 , 	32 , 	67 , 	11 , 	38 , 	176 , 	15 , 	20 , 	13 , 	10 , 	12 , 	24 , 	255 , 	54 , 	100 , 	16 , 	7 , 	21 , 	16 , 	171 , 	109 , 	280 , 	86 , 	38 , 	68 , 	32 , 	40 , 	36 , 	56 , 	3 , 	4 , 	46 , 	23 ," 	2,022 ",,,,,,,,,,
Entries," 	2,837 "," 	3,674 "," 	1,913 "," 	1,955 "," 	6,423 "," 	2,496 "," 	3,131 "," 	2,218 "," 	4,760 "," 	2,203 "," 	5,102 "," 	8,039 "," 	2,358 "," 	2,624 "," 	2,055 "," 	1,171 "," 	1,674 "," 	3,133 "," 	2,465 "," 	1,762 "," 	2,302 "," 	1,059 ", 	976 ," 	2,169 "," 	2,097 "," 	8,458 "," 	6,867 "," 	20,598 "," 	7,686 "," 	5,223 "," 	6,761 "," 	3,349 "," 	5,620 "," 	3,253 "," 	2,722 ", 	949 ," 	2,974 ", 	553 ," 	1,821 "," 	147,428 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
